"","Date","Median_5_year"
"111",2012-10-31,2.7
"112",2012-09-30,2.8
"113",2012-08-31,3
"114",2012-07-31,2.7
"115",2012-06-30,2.8
"116",2012-05-31,2.7
"117",2012-04-30,2.9
"118",2012-03-31,3
"119",2012-02-29,2.9
"120",2012-01-31,2.7
"121",2011-12-31,2.7
"122",2011-11-30,2.7
"123",2011-10-31,2.7
"124",2011-09-30,2.8
"125",2011-08-31,2.9
"126",2011-07-31,2.9
"127",2011-06-30,3
"128",2011-05-31,2.9
"129",2011-04-30,2.9
"130",2011-03-31,3.2
"131",2011-02-28,2.9
"132",2011-01-31,2.9
"133",2010-12-31,2.8
"134",2010-11-30,2.8
"135",2010-10-31,2.8
"136",2010-09-30,2.7
"137",2010-08-31,2.8
"138",2010-07-31,2.9
"139",2010-06-30,2.8
"140",2010-05-31,2.9
"141",2010-04-30,2.7
"142",2010-03-31,2.7
"143",2010-02-28,2.7
"144",2010-01-31,2.9
"145",2009-12-31,2.7
"146",2009-11-30,3
"147",2009-10-31,2.9
"148",2009-09-30,2.8
"149",2009-08-31,2.8
"150",2009-07-31,3
"151",2009-06-30,3
"152",2009-05-31,2.9
"153",2009-04-30,2.8
"154",2009-03-31,2.6
"155",2009-02-28,3.1
"156",2009-01-31,2.9
"157",2008-12-31,2.6
"158",2008-11-30,2.9
"159",2008-10-31,2.9
"160",2008-09-30,3
"161",2008-08-31,3.2
"162",2008-07-31,3.2
"163",2008-06-30,3.4
"164",2008-05-31,3.4
"165",2008-04-30,3.2
"166",2008-03-31,2.9
"167",2008-02-29,3
"168",2008-01-31,3
"169",2007-12-31,3.1
"170",2007-11-30,2.9
"171",2007-10-31,2.8
"172",2007-09-30,2.9
"173",2007-08-31,2.9
"174",2007-07-31,3.1
"175",2007-06-30,2.9
"176",2007-05-31,3.1
"177",2007-04-30,3.1
"178",2007-03-31,2.9
"179",2007-02-28,2.9
"180",2007-01-31,3
"181",2006-12-31,3
"182",2006-11-30,3
"183",2006-10-31,3.1
"184",2006-09-30,3
"185",2006-08-31,3.2
"186",2006-07-31,2.9
"187",2006-06-30,2.9
"188",2006-05-31,3.2
"189",2006-04-30,3.1
"190",2006-03-31,2.9
"191",2006-02-28,2.9
"192",2006-01-31,2.9
"193",2005-12-31,3.1
"194",2005-11-30,3
"195",2005-10-31,3.2
"196",2005-09-30,3.1
"197",2005-08-31,2.8
"198",2005-07-31,2.9
"199",2005-06-30,2.8
"200",2005-05-31,2.9
"201",2005-04-30,3
"202",2005-03-31,2.9
"203",2005-02-28,2.8
"204",2005-01-31,2.7
"205",2004-12-31,2.8
"206",2004-11-30,2.7
"207",2004-10-31,2.8
"208",2004-09-30,2.8
"209",2004-08-31,2.7
"210",2004-07-31,2.8
"211",2004-06-30,2.9
"212",2004-05-31,2.8
"213",2004-04-30,2.7
"214",2004-03-31,2.9
"215",2004-02-29,2.9
"216",2004-01-31,2.8
"217",2003-12-31,2.8
"218",2003-11-30,2.7
"219",2003-10-31,2.8
"220",2003-09-30,2.7
"221",2003-08-31,2.7
"222",2003-07-31,2.7
"223",2003-06-30,2.7
"224",2003-05-31,2.8
"225",2003-04-30,2.7
"226",2003-03-31,2.8
"227",2003-02-28,2.7
"228",2003-01-31,2.7
"229",2002-12-31,2.8
"230",2002-11-30,2.8
"231",2002-10-31,2.8
"232",2002-09-30,2.5
"233",2002-08-31,2.9
"234",2002-07-31,2.8
"235",2002-06-30,2.8
"236",2002-05-31,3
"237",2002-04-30,2.8
"238",2002-03-31,2.8
"239",2002-02-28,2.8
"240",2002-01-31,2.7
"241",2001-12-31,3
"242",2001-11-30,2.8
"243",2001-10-31,2.7
"244",2001-09-30,2.9
"245",2001-08-31,3
"246",2001-07-31,2.9
"247",2001-06-30,3
"248",2001-05-31,3
"249",2001-04-30,3.1
"250",2001-03-31,3
"251",2001-02-28,3
"252",2001-01-31,2.9
"253",2000-12-31,3
"254",2000-11-30,2.9
"255",2000-10-31,3
"256",2000-09-30,3
"257",2000-08-31,2.9
"258",2000-07-31,2.8
"259",2000-06-30,2.8
"260",2000-05-31,2.9
"261",2000-04-30,2.8
"262",2000-03-31,3.1
"263",2000-02-29,2.9
"264",2000-01-31,3
"265",1999-12-31,2.9
"266",1999-11-30,2.9
"267",1999-10-31,2.8
"268",1999-09-30,2.9
"269",1999-08-31,2.8
"270",1999-07-31,2.9
"271",1999-06-30,2.8
"272",1999-05-31,2.9
"273",1999-04-30,2.8
"274",1999-03-31,2.7
"275",1999-02-28,2.8
"276",1999-01-31,3
"277",1998-12-31,2.9
"278",1998-11-30,2.8
"279",1998-10-31,2.8
"280",1998-09-30,2.9
"281",1998-08-31,2.7
"282",1998-07-31,2.7
"283",1998-06-30,2.9
"284",1998-05-31,2.8
"285",1998-04-30,2.7
"286",1998-03-31,2.8
"287",1998-02-28,2.9
"288",1998-01-31,2.9
"289",1997-12-31,3.1
"290",1997-11-30,3.1
"291",1997-10-31,3
"292",1997-09-30,3.1
"293",1997-08-31,3
"294",1997-07-31,2.9
"295",1997-06-30,3.1
"296",1997-05-31,3
"297",1997-04-30,2.9
"298",1997-03-31,3
"299",1997-02-28,3.1
"300",1997-01-31,3.2
"301",1996-12-31,3
"302",1996-11-30,3
"303",1996-10-31,3
"304",1996-09-30,3.2
"305",1996-08-31,3.3
"306",1996-07-31,3.2
"307",1996-06-30,3.1
"308",1996-05-31,3.3
"309",1996-04-30,3
"310",1996-03-31,3.2
"311",1996-02-29,3.3
"312",1996-01-31,3.2
"313",1995-12-31,3.1
"314",1995-11-30,3.1
"315",1995-10-31,3.2
"316",1995-09-30,3.1
"317",1995-08-31,3.1
"318",1995-07-31,3.2
"319",1995-06-30,3.1
"320",1995-05-31,3.2
"321",1995-04-30,3.5
"322",1995-03-31,3.3
"323",1995-02-28,3.2
"324",1995-01-31,3.2
"325",1994-12-31,3.2
"326",1994-11-30,3.2
"327",1994-10-31,3.3
"328",1994-09-30,3.2
"329",1994-08-31,3.5
"330",1994-07-31,3.2
"331",1994-06-30,3.4
"332",1994-05-31,3.4
"333",1994-04-30,3.2
"334",1994-03-31,3.4
"335",1994-02-28,3.3
"336",1994-01-31,3.2
"337",1993-12-31,3.6
"338",1993-11-30,3.4
"339",1993-10-31,3.5
"340",1993-09-30,3.3
"341",1993-08-31,3.3
"342",1993-07-31,3.5
"343",1993-06-30,3.8
"344",1993-05-31,3.5
"345",1993-04-30,3.5
"346",1993-03-31,3.6
"347",1993-02-28,4.1
"348",1993-01-31,3.4
"349",1992-12-31,3.4
"350",1992-11-30,3.7
"351",1992-10-31,3.7
"352",1992-09-30,3.5
"353",1992-08-31,4.2
"354",1992-07-31,3.7
"355",1992-06-30,3.4
"356",1992-05-31,4
"357",1992-04-30,3.9
"358",1992-03-31,3.6
"359",1992-02-29,3.4
"360",1992-01-31,3.6
"361",1991-12-31,3.8
"362",1991-11-30,3.8
"363",1991-10-31,3.7
"364",1991-09-30,3.9
"365",1991-08-31,4
"366",1991-07-31,4.2
"367",1991-06-30,4.5
"368",1991-05-31,4.4
"369",1991-04-30,4.2
"370",1991-03-31,4.6
"371",1991-02-28,4.6
"372",1991-01-31,4.6
"373",1990-12-31,4.5
"374",1990-11-30,4.6
"375",1990-10-31,4.6
"376",1990-09-30,4.7
"377",1990-08-31,4.6
"378",1990-07-31,4.2
"379",1990-06-30,4.6
"380",1990-05-31,4.3
"381",1990-04-30,4
"382",1987-12-31,4.1
"383",1987-09-30,3.4
"384",1987-06-30,4.3
"385",1987-03-31,3.9
"386",1986-12-31,3.8
"387",1986-09-30,4
"388",1986-06-30,3.9
"389",1986-03-31,3.8
"390",1985-09-30,4.7
"391",1985-08-31,4.7
"392",1985-07-31,4.6
"393",1985-03-31,4.7
"394",1985-02-28,4.8
"395",1985-01-31,4.7
"396",1984-09-30,4.9
"397",1984-08-31,4.9
"398",1984-07-31,5.1
"399",1984-03-31,5
"400",1984-02-29,5
"401",1984-01-31,4.9
"402",1983-09-30,5
"403",1983-08-31,4.9
"404",1983-07-31,5
"405",1983-03-31,4.9
"406",1983-02-28,4.8
"407",1983-01-31,5
"408",1982-09-30,5.1
"409",1982-08-31,5.4
"410",1982-07-31,5.3
"411",1982-03-31,5
"412",1982-02-28,5.9
"413",1982-01-31,6.1
"414",1981-09-30,6.5
"415",1981-08-31,6.7
"416",1981-07-31,5.8
"417",1981-03-31,5.9
"418",1981-02-28,6.7
"419",1981-01-31,7.4
"420",1980-09-30,9.3
"421",1980-08-31,8.7
"422",1980-02-29,9.7
"423",1979-02-28,7.2
