"","Date","SD_5_year"
"191",2006-02-28,2.8
"192",2006-01-31,3.5
"193",2005-12-31,3.1
"194",2005-11-30,3.1
"195",2005-10-31,3.4
"196",2005-09-30,3.3
"197",2005-08-31,3.2
"198",2005-07-31,2.6
"199",2005-06-30,2.7
"200",2005-05-31,2.7
"201",2005-04-30,2.6
"202",2005-03-31,2.7
"203",2005-02-28,2.8
"204",2005-01-31,2.8
"205",2004-12-31,2.6
"206",2004-11-30,3
"207",2004-10-31,2.6
"208",2004-09-30,2.9
"209",2004-08-31,3.1
"210",2004-07-31,2.7
"211",2004-06-30,2.7
"212",2004-05-31,2.8
"213",2004-04-30,2.9
"214",2004-03-31,2.8
"215",2004-02-29,3
"216",2004-01-31,2.8
"217",2003-12-31,3
"218",2003-11-30,2.4
"219",2003-10-31,2.9
"220",2003-09-30,2.9
"221",2003-08-31,3.1
"222",2003-07-31,3
"223",2003-06-30,2.9
"224",2003-05-31,2.9
"225",2003-04-30,3.3
"226",2003-03-31,3
"227",2003-02-28,2.9
"228",2003-01-31,2.7
"229",2002-12-31,2.9
"230",2002-11-30,2.8
"231",2002-10-31,2.8
"232",2002-09-30,2.9
"233",2002-08-31,3.1
"234",2002-07-31,2.8
"235",2002-06-30,2.9
"236",2002-05-31,2.8
"237",2002-04-30,2.9
"238",2002-03-31,3
"239",2002-02-28,2.7
"240",2002-01-31,2.4
"241",2001-12-31,3.2
"242",2001-11-30,2.9
"243",2001-10-31,2.7
"244",2001-09-30,3.3
"245",2001-08-31,3.4
"246",2001-07-31,3.3
"247",2001-06-30,3.1
"248",2001-05-31,3
"249",2001-04-30,3
"250",2001-03-31,3.2
"251",2001-02-28,3
"252",2001-01-31,3
"253",2000-12-31,3.4
"254",2000-11-30,3.5
"255",2000-10-31,3.2
"256",2000-09-30,3
"257",2000-08-31,3.3
"258",2000-07-31,3
"259",2000-06-30,3.3
"260",2000-05-31,2.7
"261",2000-04-30,2.8
"262",2000-03-31,3.3
"263",2000-02-29,2.6
"264",2000-01-31,2.7
"265",1999-12-31,2.7
"266",1999-11-30,2.7
"267",1999-10-31,2.6
"268",1999-09-30,2.9
"269",1999-08-31,3
"270",1999-07-31,2.9
"271",1999-06-30,3.1
"272",1999-05-31,3
"273",1999-04-30,2.2
"274",1999-03-31,3.1
"275",1999-02-28,2.8
"276",1999-01-31,2.9
"277",1998-12-31,2.6
"278",1998-11-30,2.8
"279",1998-10-31,2.6
"280",1998-09-30,2.8
"281",1998-08-31,2.6
"282",1998-07-31,2.3
"283",1998-06-30,2.7
"284",1998-05-31,2.8
"285",1998-04-30,2.6
"286",1998-03-31,3
"287",1998-02-28,2.8
"288",1998-01-31,3.1
"289",1997-12-31,3.8
"290",1997-11-30,3.7
"291",1997-10-31,3.8
"292",1997-09-30,3.1
"293",1997-08-31,3.8
"294",1997-07-31,3.4
"295",1997-06-30,4
"296",1997-05-31,4.2
"297",1997-04-30,4
"298",1997-03-31,3.5
"299",1997-02-28,3.6
"300",1997-01-31,3.6
"301",1996-12-31,5.2
"302",1996-11-30,4.2
"303",1996-10-31,6
"304",1996-09-30,5
"305",1996-08-31,5.7
"306",1996-07-31,4.6
"307",1996-06-30,4.7
"308",1996-05-31,6.3
"309",1996-04-30,5.6
"310",1996-03-31,5.1
"311",1996-02-29,4.8
"312",1996-01-31,5.4
"313",1995-12-31,3.8
"314",1995-11-30,4.2
"315",1995-10-31,3.4
"316",1995-09-30,6
"317",1995-08-31,5.5
"318",1995-07-31,5.4
"319",1995-06-30,4.9
"320",1995-05-31,4.6
"321",1995-04-30,4.7
"322",1995-03-31,5.9
"323",1995-02-28,4.9
"324",1995-01-31,4
"325",1994-12-31,5.6
"326",1994-11-30,4.6
"327",1994-10-31,5.7
"328",1994-09-30,7
"329",1994-08-31,7.3
"330",1994-07-31,6.5
"331",1994-06-30,6
"332",1994-05-31,6.6
"333",1994-04-30,7
"334",1994-03-31,7.9
"335",1994-02-28,6.3
"336",1994-01-31,7
"337",1993-12-31,6.4
"338",1993-11-30,5.9
"339",1993-10-31,5.5
"340",1993-09-30,5.9
"341",1993-08-31,5.5
"342",1993-07-31,6.7
"343",1993-06-30,6.2
"344",1993-05-31,8.1
"345",1993-04-30,6.7
"346",1993-03-31,6.1
"347",1993-02-28,8.5
"348",1993-01-31,6.7
"349",1992-12-31,8.1
"350",1992-11-30,7.8
"351",1992-10-31,6.8
"352",1992-09-30,6.2
"353",1992-08-31,6.2
"354",1992-07-31,6.2
"355",1992-06-30,6
"356",1992-05-31,6.3
"357",1992-04-30,6.2
"358",1992-03-31,5.3
"359",1992-02-29,5.4
"360",1992-01-31,7.4
"361",1991-12-31,6.2
"362",1991-11-30,6.5
"363",1991-10-31,7
"364",1991-09-30,6.5
"365",1991-08-31,8
"366",1991-07-31,7.2
"367",1991-06-30,7.8
"368",1991-05-31,7.1
"369",1991-04-30,6.1
"370",1991-03-31,8
"371",1991-02-28,7.9
"372",1991-01-31,6.7
"373",1990-12-31,7.4
"374",1990-11-30,7.3
"375",1990-10-31,7.8
"376",1990-09-30,6.6
"377",1990-08-31,6.6
"378",1990-07-31,5.6
"379",1990-06-30,6.5
"380",1990-05-31,7.6
"381",1990-04-30,5.8
"382",1987-12-31,7.5
"383",1987-09-30,6.4
"384",1987-06-30,7.5
"385",1987-03-31,6.8
"386",1986-12-31,6.1
"387",1986-09-30,7.7
"388",1986-06-30,6.3
"389",1986-03-31,8.1
"390",1985-09-30,9.3
"391",1985-08-31,6.5
"392",1985-07-31,8.5
"393",1985-03-31,8
"394",1985-02-28,8.8
"395",1985-01-31,7.5
"396",1984-09-30,7.3
"397",1984-08-31,7.7
"398",1984-07-31,7
"399",1984-03-31,8.3
"400",1984-02-29,8.3
"401",1984-01-31,8.7
"402",1983-09-30,8.1
"403",1983-08-31,8.9
"404",1983-07-31,7.3
"405",1983-03-31,7
"406",1983-02-28,8.8
"407",1983-01-31,8.3
"408",1982-09-30,8.7
"409",1982-08-31,8.8
"410",1982-07-31,9
"411",1982-03-31,9.5
"412",1982-02-28,7.8
"413",1982-01-31,8.7
"414",1981-09-30,10.2
"415",1981-08-31,8.6
"416",1981-07-31,9.9
"417",1981-03-31,8.9
"418",1981-02-28,8.9
"419",1981-01-31,9.1
"420",1980-09-30,9.7
"421",1980-08-31,9
"422",1980-02-29,10.9
"423",1979-02-28,9.8
