,X,Y,X1,Y1,X2,Y2,X3,Y3,X4,Y4
16,1995.0480591497228,7516.569071067366,1994.3807289445,5315.178333776967,1994.3807289445,4030.576257652396,1994.2973126688469,2795.381953686461,2006.3926726385137,2180.52967793453
17,1995.3817242523344,7456.181793984586,1994.7143940471112,5205.38328453555,1994.7143940471112,3981.1684854937575,1994.6309777714584,2795.381953686461,2006.7263377411248,2180.52967793453
18,1995.7153893549455,7401.284269363878,1995.0480591497228,5123.036997604488,1995.0480591497228,3959.2094756454753,1994.9646428740696,2767.933191376107,2007.0600028437368,2186.0194303966
19,1996.0490544575573,7362.856002129381,1995.3817242523344,5079.118977907921,1995.3817242523344,3959.2094756454753,1995.2983079766811,2751.463933989895,2007.393667946348,2224.447697631096
20,1996.3827195601689,7362.856002129381,1995.7153893549455,5035.200958211355,1995.7153893549455,3981.1684854937575,1995.631973079293,2751.463933989895,2007.72733304896,2262.8759648655905
21,1996.71638466278,7362.856002129381,1996.0490544575573,5007.752195901001,1996.0490544575573,4003.1274953420416,1995.9656381819043,2751.463933989895,2008.0609981515715,2268.3657173276624
22,1997.050049765392,7362.856002129381,1996.3827195601689,4969.323928666505,1996.3827195601689,4003.1274953420416,1996.299303284516,2751.463933989895,2008.394663254183,2268.3657173276624
23,1997.3837148680032,7362.856002129381,1996.71638466278,4963.834176204435,1996.71638466278,4030.576257652396,1996.6329683871277,2751.463933989895,2008.7283283567945,2268.3657173276624
24,1997.7173799706147,7384.815011977666,1997.050049765392,4925.4059089699385,1997.050049765392,4047.045515038608,1996.9666334897388,2767.933191376107,2009.0619934594056,2323.2632419483707
25,1998.0510450732263,7384.815011977666,1997.3837148680032,4925.4059089699385,1997.3837148680032,4074.494277348962,1997.3002985923504,2828.320468458885,2009.3956585620167,2422.078786265645
26,1998.3847101758377,7384.815011977666,1997.7173799706147,4925.4059089699385,1997.7173799706147,4090.963534735174,1997.633963694962,2899.687250465806,2009.7293236646287,2526.38408304499
27,1998.7183752784488,7384.815011977666,1998.0510450732263,4947.364918818223,1998.0510450732263,4140.371306893812,1997.9676287975733,2965.564280010656,2010.06298876724,2647.1586372105485
28,1999.0520403810608,7412.26377428802,1998.3847101758377,5029.711205749285,1998.3847101758377,4206.248336438661,1998.3012939001849,3064.3798243279307,2010.396653869852,2789.8922012243893
29,1999.385705483672,7472.651051370798,1998.7183752784488,5112.057492680346,1998.7183752784488,4283.104870907653,1998.6349590027964,3157.705616183135,2010.7303189724632,2943.605270162372
30,1999.719370586284,7538.528080915648,1999.0520403810608,5194.403779611408,1999.0520403810608,4365.451157838716,1998.968624105408,3267.500665424552,2011.0639840750744,3064.3798243279307
31,2000.0530356888955,7593.425605536357,1999.385705483672,5260.280809156258,1999.385705483672,4491.715464466344,1999.3022892080196,3388.2752195901085,2011.3976491776864,3185.1543784934893
32,2000.3867007915069,7648.323130157065,1999.719370586284,5342.627096087321,1999.719370586284,4612.490018631903,1999.635954310631,3503.560021293597,2011.7313142802975,3283.969922810764
33,2000.7203658941185,7692.241149853631,2000.0530356888955,5441.442640404595,2000.0530356888955,4733.26457279746,1999.9696194132423,3629.8243279212256,2012.064979382909,3311.418685121118
34,2001.0540309967296,7752.62842693641,2000.3867007915069,5584.176204418436,2000.3867007915069,4865.01863188716,2000.3032845158536,3745.109129624712,2012.398644485521,3245.541655576268
35,2001.3876960993407,7834.974713867473,2000.7203658941185,5732.399520894349,2000.7203658941185,4996.772690976859,2000.6369496184652,3865.883683790271,2012.732309588132,3168.685121107277
36,2001.7213612019527,7900.851743412322,2001.0540309967296,5820.235560287481,2001.0123228589032,5137.676337503344,2000.9706147210768,3997.6377428799697,2013.065974690744,3146.726111258993
37,2002.0550263045643,7966.728772957173,2001.3876960993407,5847.684322597836,2001.262571685862,5313.348416289611,2001.3042798236884,4162.330316742095,2013.3996397933552,3146.726111258993
38,2002.388691407176,7999.667287729598,2001.7213612019527,5864.153579984049,2001.5128205128208,5496.340165025304,2001.6379449263,4332.5126430662895,2013.7333048959667,3146.726111258993
39,2002.7223565097872,8038.095554964093,2002.0550263045643,5941.01011445304,2001.7630693397791,5672.01224381157,2001.9716100289115,4497.205216928414,2014.066969998578,3174.1748735693477
40,2003.0560216123988,8071.034069736518,2002.388691407176,6105.702688315165,2002.0550263045643,5831.215065211623,2002.3052751315229,4607.000266169831,2014.4006351011897,3190.6441309555594
41,2003.3896867150104,8098.482832046872,2002.7223565097872,6264.905509715218,2002.388691407176,5990.417886611678,2002.6389402341345,4705.815810487105,2014.7343002038008,3190.6441309555594
42,2003.7233518176215,8120.441841895155,2003.0560216123988,6330.782539260068,2002.7223565097872,6127.661698163449,2002.9726053367456,4793.65184988024,2015.0679653064128,3207.1133883417715
43,2004.0570169202333,8131.4213468192975,2003.3896867150104,6264.905509715218,2003.014313474572,6235.626829917508,2003.3062704393571,4837.569869576806,2015.401630409024,3256.5211605004097
44,2004.3906820228449,8109.462336971013,2003.7233518176215,6199.028480170369,2003.556519266316,6385.680063880776,2003.6399355419687,4881.487889273372,2015.735295511636,3300.439180196976
45,2004.724347125456,8098.482832046872,2003.9736006445803,6220.987490018651,2003.8901843689275,6473.516103273909,2003.9736006445803,4936.385413894081,2015.9855443385943,3377.2957146659683
46,2005.0163040902407,8307.093425605563,2004.140433195886,6407.63907372906,2004.09872505806,6550.372637742901,2004.307265747192,5024.221453287213,2016.1940850277265,3563.947298376376
47,2004.9745959524148,8120.441841895155,2004.307265747192,6594.290657439467,2004.6409308498032,6709.575459142954,2004.6409308498032,5112.057492680346,2016.402625716859,3739.619377162642
48,2005.0997203658944,8497.404844290686,2004.4740982984977,6780.942241149876,2004.9745959524148,6808.39100346023,2004.9745959524148,5194.403779611408,2016.6111664059908,3922.611125898337
49,2005.183136641547,8687.716262975806,2004.6409308498032,6967.593824860283,2005.3082610550264,6879.757785467151,2005.3082610550264,5254.791056694188,2016.8614152329492,4127.561884482313
50,2005.2665529172,8878.02768166093,2004.807763401109,7154.24540857069,2005.6419261576375,6951.124567474071,2005.6419261576375,5315.178333776967,2017.1533721977344,4272.125365983511
51,2005.3499691928528,9068.33910034605,2005.058012228068,7291.489220122461,2005.9755912602493,7027.981101943062,2005.9755912602493,5370.075858397675,2017.487037300346,4392.89992014907
52,2005.433385468505,9273.289858930028,2005.3916773306792,7296.978972584533,2006.3092563628609,7121.306893798266,2006.3092563628609,5441.442640404595,2017.8207024029573,4513.674474314626
53,2005.5168017441583,9463.60127761515,2005.7253424332907,7296.978972584533,2006.642921465472,7220.122438115541,2006.642921465472,5507.319669949446,2018.154367505569,4519.164226776698
54,2005.6002180198116,9668.552036199126,2006.0590075359023,7296.978972584533,2007.393667946348,7395.794516901808,2006.976586568084,5573.196699494296,2018.4880326081804,4480.735959542202
55,2005.6836342954643,9858.86345488425,2006.3926726385137,7302.468725046603,2007.72733304896,7450.692041522516,2007.3102516706956,5611.62496672879,2018.821697710792,4442.307692307706
56,2005.7879046400303,10074.793718392368,2006.7263377411248,7335.407239819027,2008.0609981515715,7505.589566143224,2007.6439167733067,5655.542986425358,2019.155362813404,4491.715464466344
57,2005.85046684677,10276.084642001631,2007.0600028437368,7313.448229970745,2008.394663254183,7549.50758583979,2007.9775818759183,5688.481501197783,2019.489027916015,4596.020761245689
58,2006.0590075359023,10431.62762842697,2007.393667946348,7264.040457812107,2008.7283283567945,7593.425605536357,2008.3112469785297,5721.420015970207,2019.8226930186263,4689.346553100893
59,2006.3926726385137,10481.035400585608,2007.72733304896,7214.632685653471,2009.0619934594056,7604.405110460499,2008.6449120811408,5754.358530742633,2020.156358121238,4727.774820335389
60,2006.7263377411248,10524.953420282174,2008.0609981515715,7203.653180729329,2009.645907388976,7538.528080915648,2008.9785771837528,5781.807293052987,2020.4900232238492,4766.203087569886
61,2007.0600028437368,10513.973915358032,2008.394663254183,7247.571200425895,2009.9795724915875,7533.038328453578,2009.3122422863644,5781.807293052987,2020.823688326461,4771.692840031956
62,2007.393667946348,10431.62762842697,2008.7283283567945,7296.978972584533,2010.3132375941989,7631.853872770853,2009.645907388976,5781.807293052987,2021.1573534290728,4700.326058025035
63,2007.72733304896,10354.771093957976,2009.0619934594056,7406.77402182595,2010.6469026968105,7736.159169550197,2009.9795724915875,5781.807293052987,2021.491018531684,4590.531008783619
64,2008.0609981515715,10266.935054564845,2009.3956585620167,7604.405110460499,2010.9805677994216,7818.50545648126,2010.3132375941989,5781.807293052987,2021.8246836342955,4480.735959542202
65,2008.394663254183,10157.140005323428,2009.6876155268023,7780.077189246764,2011.3142329020332,7785.566941708836,2010.6469026968105,5781.807293052987,,
66,2008.7283283567945,10047.344956082012,2009.9795724915875,7933.7902581847475,2012.064979382909,7736.159169550197,2010.9805677994216,5781.807293052987,,
67,2009.0619934594056,9948.52941176474,2010.3132375941989,8038.095554964093,2012.398644485521,7763.607931860552,2011.3142329020332,5781.807293052987,,
68,2009.3956585620167,9855.203619909536,2010.6469026968105,8131.4213468192975,2012.732309588132,7780.077189246764,2011.6478980046447,5787.297045515057,,
69,2009.7293236646287,9767.367580516402,2010.9805677994216,8164.359861591722,2013.065974690744,7780.077189246764,2011.9815631072563,5820.235560287481,,
70,2010.06298876724,9674.041788661198,2011.272524764207,8006.986957679024,2013.3996397933552,7774.587436784694,2012.315228209868,5853.174075059907,,
71,2010.396653869852,9580.715996805991,2011.5227735911656,7853.273888741041,2013.7333048959667,7736.159169550197,2012.6488933124792,5891.602342294404,,
72,2010.7303189724632,9481.90045248872,2011.773022418124,7714.200159701915,2014.066969998578,7736.159169550197,2012.9825584150908,5935.52036199097,,
73,2011.022275937248,9608.164759116347,2012.064979382909,7587.935853074287,2014.4006351011897,7697.730902315703,2013.3162235177024,5973.948629225466,,
74,2010.9388596615956,9448.961937716293,2012.398644485521,7533.038328453578,2014.7343002038008,7692.241149853631,2013.6498886203135,6017.866648922032,,
75,2011.1056922129007,9844.224114985393,2012.732309588132,7461.671546446658,2015.0679653064128,7637.343625232923,2013.9835537229253,6061.784668618599,,
76,2011.189108488554,10027.215863721083,2013.065974690744,7406.77402182595,2015.401630409024,7560.487090763932,2014.3172188255369,6116.682193239307,,
77,2011.272524764207,10232.166622305063,2013.3996397933552,7351.876497205241,2015.735295511636,7472.651051370798,2014.650883928148,6166.089965397943,,
78,2011.35594103986,10415.158371040758,2013.7333048959667,7302.468725046603,2016.068960614247,7390.304764439736,2014.98454903076,6220.987490018651,,
79,2011.4393573155128,10605.46978972588,2014.066969998578,7253.060952887967,2016.402625716859,7318.937982432815,2015.3182141333716,6177.069470322085,,
80,2011.5227735911656,10810.420548309856,2014.4006351011897,7253.060952887967,2016.7362908194705,7247.571200425895,2015.6518792359827,6171.579717860015,,
