Region,Year,Internet_Usage
Americas,2023-01-01T00:00:00,0.847
Arab States,2023-01-01T00:00:00,0.6859999999999999
Asia-Pacific,2023-01-01T00:00:00,0.634
Commonwealth of Independent States,2023-01-01T00:00:00,0.894
Europe,2023-01-01T00:00:00,0.899
Africa,2024-01-01T00:00:00,0.375
Americas,2024-01-01T00:00:00,0.865
Arab States,2024-01-01T00:00:00,0.696
Asia-Pacific,2024-01-01T00:00:00,0.6609999999999999
Commonwealth of Independent States,2024-01-01T00:00:00,0.915
Europe,2024-01-01T00:00:00,0.912
