Year,Type,Price
2013-01-01T00:00:00,Flash,508.39658
2014-01-01T00:00:00,Flash,366.16135
2015-01-01T00:00:00,Flash,158.12556
2016-01-01T00:00:00,Flash,156.15555
2017-01-01T00:00:00,Flash,152.89864
2018-01-01T00:00:00,Flash,
2019-01-01T00:00:00,Flash,
2020-01-01T00:00:00,Flash,
2021-01-01T00:00:00,Flash,
2022-01-01T00:00:00,Flash,
2023-01-01T00:00:00,Flash,
1956-01-01T00:00:00,Flash,
1964-01-01T00:00:00,Flash,
1966-01-01T00:00:00,Flash,
1957-01-01T00:00:00,Disk,
1959-01-01T00:00:00,Disk,67477360000.0
1960-01-01T00:00:00,Disk,31503645000.0
1965-01-01T00:00:00,Disk,
1970-01-01T00:00:00,Disk,1731185200.0
1973-01-01T00:00:00,Disk,1513812400.0
1974-01-01T00:00:00,Disk,971034000.0
1975-01-01T00:00:00,Disk,889688500.0
1976-01-01T00:00:00,Disk,
1977-01-01T00:00:00,Disk,
1978-01-01T00:00:00,Disk,
1979-01-01T00:00:00,Disk,659732200.0
1980-01-01T00:00:00,Disk,581010050.0
1981-01-01T00:00:00,Disk,526588640.0
1982-01-01T00:00:00,Disk,496166530.0
1983-01-01T00:00:00,Disk,311560860.0
1984-01-01T00:00:00,Disk,93426150.0
1985-01-01T00:00:00,Disk,75532904.0
1986-01-01T00:00:00,Disk,43564812.0
1987-01-01T00:00:00,Disk,34090570.0
1988-01-01T00:00:00,Disk,21812290.0
1989-01-01T00:00:00,Disk,15623316.0
1990-01-01T00:00:00,Disk,6475771.0
1991-01-01T00:00:00,Disk,5305764.0
1992-01-01T00:00:00,Disk,2581349.0
1993-01-01T00:00:00,Disk,1285968.9
1994-01-01T00:00:00,Disk,756436.25
1995-01-01T00:00:00,Disk,363201.0
1996-01-01T00:00:00,Disk,210547.08
1997-01-01T00:00:00,Disk,78017.58
1998-01-01T00:00:00,Disk,39444.86
1999-01-01T00:00:00,Disk,13730.564
2000-01-01T00:00:00,Disk,6119.577
2001-01-01T00:00:00,Disk,3785.6985
2002-01-01T00:00:00,Disk,1750.5924
2003-01-01T00:00:00,Disk,1055.0634
2004-01-01T00:00:00,Disk,834.98285
2005-01-01T00:00:00,Disk,538.3847
2006-01-01T00:00:00,Disk,280.8012
2007-01-01T00:00:00,Disk,249.62117
2008-01-01T00:00:00,Disk,120.196144
2009-01-01T00:00:00,Disk,84.4339
2010-01-01T00:00:00,Disk,53.410732
2011-01-01T00:00:00,Disk,42.180378
2012-01-01T00:00:00,Disk,41.32522
2013-01-01T00:00:00,Disk,40.72861
2014-01-01T00:00:00,Disk,38.26366
2015-01-01T00:00:00,Disk,30.935
2016-01-01T00:00:00,Disk,29.870235
2017-01-01T00:00:00,Disk,26.396421
2018-01-01T00:00:00,Disk,24.087029
2019-01-01T00:00:00,Disk,18.981298
2020-01-01T00:00:00,Disk,16.25
2021-01-01T00:00:00,Disk,15.520852
2022-01-01T00:00:00,Disk,12.63745
2023-01-01T00:00:00,Disk,10.617405
1956-01-01T00:00:00,Disk,87592750000.0
1964-01-01T00:00:00,Disk,29360284000.0
1966-01-01T00:00:00,Disk,8350479000.0
1957-01-01T00:00:00,Solid state,
1959-01-01T00:00:00,Solid state,
1960-01-01T00:00:00,Solid state,
1965-01-01T00:00:00,Solid state,
1970-01-01T00:00:00,Solid state,
1973-01-01T00:00:00,Solid state,
1974-01-01T00:00:00,Solid state,
1975-01-01T00:00:00,Solid state,
1976-01-01T00:00:00,Solid state,
1977-01-01T00:00:00,Solid state,
1978-01-01T00:00:00,Solid state,
1979-01-01T00:00:00,Solid state,
1980-01-01T00:00:00,Solid state,
1981-01-01T00:00:00,Solid state,
1982-01-01T00:00:00,Solid state,
1983-01-01T00:00:00,Solid state,
1984-01-01T00:00:00,Solid state,
1985-01-01T00:00:00,Solid state,
1986-01-01T00:00:00,Solid state,
1987-01-01T00:00:00,Solid state,
1988-01-01T00:00:00,Solid state,
1989-01-01T00:00:00,Solid state,
1990-01-01T00:00:00,Solid state,
1991-01-01T00:00:00,Solid state,
1992-01-01T00:00:00,Solid state,
1993-01-01T00:00:00,Solid state,
1994-01-01T00:00:00,Solid state,
1995-01-01T00:00:00,Solid state,
1996-01-01T00:00:00,Solid state,
1997-01-01T00:00:00,Solid state,
1998-01-01T00:00:00,Solid state,
1999-01-01T00:00:00,Solid state,
2000-01-01T00:00:00,Solid state,
2001-01-01T00:00:00,Solid state,
2002-01-01T00:00:00,Solid state,
2003-01-01T00:00:00,Solid state,
2004-01-01T00:00:00,Solid state,
2005-01-01T00:00:00,Solid state,
2006-01-01T00:00:00,Solid state,
2007-01-01T00:00:00,Solid state,
2008-01-01T00:00:00,Solid state,
2009-01-01T00:00:00,Solid state,
2010-01-01T00:00:00,Solid state,
2011-01-01T00:00:00,Solid state,
2012-01-01T00:00:00,Solid state,
2013-01-01T00:00:00,Solid state,694.31946
2014-01-01T00:00:00,Solid state,409.94592
2015-01-01T00:00:00,Solid state,272.9443
2016-01-01T00:00:00,Solid state,219.02322
2017-01-01T00:00:00,Solid state,214.45508
2018-01-01T00:00:00,Solid state,107.34549
2019-01-01T00:00:00,Solid state,80.13651
2020-01-01T00:00:00,Solid state,74.99
2021-01-01T00:00:00,Solid state,71.62515
2022-01-01T00:00:00,Solid state,39.796032
2023-01-01T00:00:00,Solid state,25.906467
1956-01-01T00:00:00,Solid state,
1964-01-01T00:00:00,Solid state,
1966-01-01T00:00:00,Solid state,
