,cycle,state,ballot_party,percent_sen,percent_gov,votes_gov,candidate_name_gov,percent_hou,percent_pres,votes_pres,candidate_name_pres
176,2000,Michigan,NLP,0.14,,,,0.4,0.0573183562153913,2426.0,John Hagelin
177,2000,Michigan,REF,0.63,,,,0.16,,,
178,2000,Michigan,REP,47.86,,,,43.91,46.14621473214064,1953139.0,George W. Bush
179,2000,Michigan,UST,0.28,,,,0.45,0.0895687915962689,3791.0,Howard Phillips
180,2000,Minnesota,CON,0.37,,,,1.03,0.1341706698487094,3272.0,Howard Phillips
181,2000,Minnesota,DEM,48.83,,,,52.21,47.9055720603522,1168266.0,Al Gore
182,2000,Minnesota,GRT,0.89,,,,,,,
183,2000,Minnesota,IDP,5.81,,,,3.18,,,
184,2000,Minnesota,LIB,0.27,,,,0.73,0.2165921387961135,5282.0,Harry Browne
185,2000,Minnesota,REP,43.29,,,,42.03,45.502350652093234,1109659.0,George W. Bush
186,2000,Minnesota,SWP,0.54,,,,,0.0419078314747497,1022.0,James Harris
187,2000,Mississippi,DEM,31.59,,,,50.27,40.69810015047516,404614.0,Al Gore
188,2000,Mississippi,IND,0.94,,,,,0.8169513892800527,8122.0,Ralph Nader
189,2000,Mississippi,LIB,0.85,,,,1.57,0.2020752697689763,2009.0,Harry Browne
190,2000,Mississippi,REF,0.74,,,,0.65,0.2278250303766707,2265.0,Patrick J. Buchanan
191,2000,Mississippi,REP,65.88,,,,47.51,57.61951509982056,572844.0,George W. Bush
192,2000,Missouri,DEM,50.47,49.119535714133534,1152752.0,"Robert Lee Holden, Jr.",48.84,47.08427334810237,1111138.0,Al Gore
193,2000,Missouri,GRE,0.45,0.383836920441617,9008.0,Lavoy Reed,0.69,1.6320662131995871,38515.0,Ralph Nader
194,2000,Missouri,LIB,0.43,0.4803926999399189,11274.0,John Swenson,1.07,0.3150991655550339,7436.0,Harry Browne
195,2000,Missouri,NLP,0.08,,,,0.21,0.046781801879069,1104.0,John Hagelin
196,2000,Missouri,REF,0.18,0.209474056493227,4916.0,Richard Allen Kline,0.36,0.4160359880875904,9818.0,Patrick J. Buchanan
197,2000,Missouri,REP,48.39,48.20574988388592,1131307.0,Jim Talent,48.83,50.42281595937441,1189924.0,George W. Bush
198,2000,Montana,DEM,47.24,47.08307329250693,193131.0,Mark O'Keefe,46.28,33.36512679264014,137126.0,Al Gore
199,2000,Montana,REF,2.21,,,,,1.386178604624002,5697.0,Patrick J. Buchanan
200,2000,Montana,REP,50.55,50.98466084175215,209135.0,Judy Martz,51.5,58.4394602249225,240178.0,George W. Bush
201,2000,Nebraska,DEM,51.09,,,,26.09,33.25303901328371,231780.0,Al Gore
202,2000,Nebraska,REP,48.91,,,,71.28,62.245362034607375,433862.0,George W. Bush
203,2000,Nevada,CFP,0.27,,,,0.67,0.7795129480926811,4747.0,Patrick J. Buchanan
204,2000,Nevada,DEM,40.47,,,,38.42,45.97566382580423,279978.0,Al Gore
205,2000,Nevada,GRE,1.75,,,,0.95,2.4644892195017816,15008.0,Ralph Nader
206,2000,Nevada,IAP,0.43,,,,1.63,0.1019754667717621,621.0,Howard Phillips
207,2000,Nevada,LIB,0.92,,,,1.6,0.543704944414339,3311.0,Harry Browne
208,2000,Nevada,REP,56.17,,,,56.54,49.52214394797773,301575.0,George W. Bush
209,2000,New Jersey,DEM,50.11,,,,51.28,56.12560891508792,1788850.0,Al Gore
210,2000,New Jersey,IND,2.79,,,,0.68,2.966655015991963,94554.0,Ralph Nader
211,2000,New Jersey,REP,47.1,,,,46.32,40.29124385907997,1284173.0,George W. Bush
212,2000,New Mexico,DEM,61.7,,,,51.04,47.908554054844174,286783.0,Al Gore
213,2000,New Mexico,REP,38.25,,,,46.64,47.84741189933261,286417.0,George W. Bush
214,2000,New Mexico,W,0.04,,,,,,,
215,2000,New York,CON,0.05,,,,,0.0215223236638523,1498.0,Howard Phillips
216,2000,New York,CRV,2.82,,,,3.42,2.080352402907094,144797.0,George W. Bush
217,2000,New York,DEM,52.54,,,,52.49,56.63927048230551,3942215.0,Al Gore
218,2000,New York,GRE,0.6,,,,0.74,3.506069855600725,244030.0,Ralph Nader
219,2000,New York,IDP,0.64,,,,1.69,0.3500035559246374,24361.0,John Hagelin
220,2000,New York,LBL,1.22,,,,0.74,1.1075376263520595,77087.0,Al Gore
221,2000,New York,LIB,0.07,,,,0.08,0.1098960305105517,7649.0,Harry Browne
222,2000,New York,REP,40.19,,,,38.45,32.44981656457451,2258577.0,George W. Bush
223,2000,New York,RTL,0.32,,,,1.29,0.3616985969542607,25175.0,Patrick J. Buchanan
224,2000,New York,SWP,0.04,,,,0.02,0.0257032289950813,1789.0,James Harris
225,2000,New York,WFP,1.51,,,,1.05,1.2700038720068274,88395.0,Al Gore
226,2000,North Dakota,DEM,61.37,44.96841872486282,130144.0,Heidi Heitkamp,52.93,33.05533969804618,95284.0,Al Gore
227,2000,North Dakota,REP,38.63,55.0270894088704,159255.0,John Hoeven,44.55,60.65858126110124,174852.0,George W. Bush
228,2000,Ohio,DEM,35.86,,,,45.78,46.44042809035648,2183628.0,Al Gore
229,2000,Ohio,LIB,2.62,,,,2.33,0.2865377654350342,13473.0,Harry Browne
230,2000,Ohio,NLP,1.59,,,,1.46,0.1314547560420059,6181.0,John Hagelin
231,2000,Ohio,REP,59.93,,,,48.76,49.98647383516539,2350363.0,George W. Bush
232,2000,Pennsylvania,CON,0.6,,,,0.05,0.293718579410181,14428.0,Howard Phillips
233,2000,Pennsylvania,DEM,45.51,,,,50.07,50.60817131276612,2485967.0,Al Gore
234,2000,Pennsylvania,LIB,0.97,,,,0.42,0.2289816039094618,11248.0,Harry Browne
235,2000,Pennsylvania,REF,0.51,,,,0.19,0.3261888548578687,16023.0,Patrick J. Buchanan
236,2000,Pennsylvania,REP,52.42,,,,48.97,46.43813292862545,2281127.0,George W. Bush
237,2000,Rhode Island,DEM,41.15,,,,64.41,60.9877001896791,249508.0,Al Gore
238,2000,Rhode Island,IND,0.93,,,,,,,
239,2000,Rhode Island,REF,1.05,,,,,0.5555935782866306,2273.0,Patrick J. Buchanan
240,2000,Rhode Island,REP,56.88,,,,23.3,31.911799213907194,130555.0,George W. Bush
241,2000,Tennessee,DEM,32.21,,,,44.21,47.28489471775341,981720.0,Al Gore
242,2000,Tennessee,GRE,1.34,,,,,,,
243,2000,Tennessee,IND,1.35,,,,0.13,0.952758935757528,19781.0,Randall Venson
244,2000,Tennessee,REP,65.1,,,,53.54,51.14915318076796,1061949.0,George W. Bush
245,2000,Texas,DEM,32.31,,,,46.76,37.981958091571045,2433746.0,Al Gore
246,2000,Texas,GRE,1.46,,,,,2.1535864157098787,137994.0,Ralph Nader
247,2000,Texas,LIB,1.16,,,,4.1,0.361443696014615,23160.0,Harry Browne
248,2000,Texas,REP,65.08,,,,48.99,59.298599468103454,3799639.0,George W. Bush
249,2000,Utah,DEM,31.51,42.26522237945093,321979.0,Bill Orton,40.17,26.34472218113692,203053.0,Al Gore
250,2000,Utah,IAP,1.55,1.9676925621483683,14990.0,Jeremy Friedbaum,2.01,0.3514740111630948,2709.0,Howard Phillips
251,2000,Utah,LIB,1.35,,,,1.17,0.4691509872151166,3616.0,Harry Browne
252,2000,Utah,REP,65.58,55.7670850584007,424837.0,Michael Leavitt,56.23,66.83014295092858,515096.0,George W. Bush
253,2000,Vermont,CON,3.5,,,,,0.0519863544314119,153.0,Howard Phillips
254,2000,Vermont,DEM,25.46,50.45063770772779,148059.0,Howard Dean,5.28,50.63470921619528,149022.0,Al Gore
255,2000,Vermont,GRT,1.7,0.463074967714236,1359.0,Joel Williams,1.7,0.3547304184731641,1044.0,Dennis I. Lane
256,2000,Vermont,IND,1.86,0.7319242315306689,2148.0,Phil Stannard Sr.,73.58,,,
257,2000,Vermont,LBU,0.51,0.1148316880939643,337.0,Richard Gottlieb,,0.0547045951859956,161.0,David E. McReynolds
258,2000,Vermont,LIB,1.33,0.2674862764206588,785.0,Hardy Machia,1.05,0.2663875939491961,784.0,Harry Browne
259,2000,Vermont,REP,65.64,37.94522835150082,111359.0,Ruth Dwyer,18.39,40.69716079753184,119775.0,George W. Bush
260,2000,Virginia,DEM,47.71,,,,43.95,44.43561054475593,1217290.0,Al Gore
261,2000,Virginia,REP,52.29,,,,46.92,52.47372918694905,1437490.0,George W. Bush
262,2000,Washington,DEM,48.73,58.38297193516049,1441973.0,Gary Locke,52.29,50.158215316754266,1247652.0,Al Gore
263,2000,Washington,LIB,2.63,1.936107912538889,47819.0,Steve LePage,3.45,0.5280544239784549,13135.0,Harry Browne
264,2000,Washington,REP,48.64,39.68092015230062,980060.0,John Carlson,41.89,44.5786479475025,1108864.0,George W. Bush
265,2000,West Virginia,DEM,77.75,50.123216371652056,324822.0,Bob Wise,72.56,45.59266436669526,295497.0,Al Gore
266,2000,West Virginia,LIB,2.09,0.8561107450539852,5548.0,Bob Myers,8.68,0.2950052767680258,1912.0,Harry Browne
267,2000,West Virginia,REP,20.16,47.20737847717835,305926.0,Cecil Underwood,18.76,51.91521992705099,336475.0,George W. Bush
268,2000,Wisconsin,CON,0.17,,,,,0.0785805625860316,2042.0,Howard Phillips
269,2000,Wisconsin,DEM,61.56,,,,47.46,47.83281966068744,1242987.0,Al Gore
270,2000,Wisconsin,IND,0.38,,,,,0.4404667577667573,11446.0,Patrick J. Buchanan
271,2000,Wisconsin,LIB,0.84,,,,0.15,0.2555215159506613,6640.0,Harry Browne
272,2000,Wisconsin,REP,37.05,,,,52.39,47.613163514144304,1237279.0,George W. Bush
273,2000,Wyoming,DEM,22.04,,,,28.56,28.298382040556604,60481.0,Al Gore
274,2000,Wyoming,LIB,4.19,,,,3.02,0.6751635271328711,1443.0,Harry Browne
275,2000,Wyoming,REP,73.77,,,,66.81,69.22274313841086,147947.0,George W. Bush
276,2002,Alabama,DEM,39.87,48.94506650437109,669105.0,Don Siegelman,40.04,,,
277,2002,Alabama,LIB,1.5,1.7023480435652458,23272.0,John Sophocleus,5.12,,,
278,2002,Alabama,REP,58.64,49.17329467109175,672225.0,Bob Riley,54.84,,,
279,2002,Alaska,AKI,2.93,0.9439097302621346,2185.0,Don Wright,,,,
280,2002,Alaska,DEM,10.53,40.70086917454338,94216.0,Fran Ulmer,17.32,,,
281,2002,Alaska,GRE,7.24,1.2640182474814674,2926.0,Diane Benson,6.35,,,
282,2002,Alaska,LIB,1.03,0.4790827875792711,1109.0,Billy Toien,1.67,,,
283,2002,Alaska,REP,78.27,55.84792037462633,129279.0,Frank Murkowski,74.66,,,
284,2002,Arkansas,DEM,53.9,46.94698744936056,378250.0,Jimmie Lou Fisher,56.97,,,
285,2002,Arkansas,REP,46.1,53.0078342203511,427082.0,Mike Huckabee,41.22,,,
286,2002,Colorado,ACP,1.52,,,,0.17,,,
287,2002,Colorado,CPC,0.5,,,,,,,
288,2002,Colorado,DEM,45.77,33.65229555104693,475373.0,Rollie Heath,42.19,,,
289,2002,Colorado,LIB,1.47,1.4545498307378866,20547.0,Ralph Shnelvar,2.78,,,
290,2002,Colorado,REP,50.7,62.62082313347992,884583.0,William F. Owens,53.9,,,
291,2002,Colorado,W,0.04,,,,0.02,,,
292,2002,Delaware,DEM,58.22,,,,26.71,,,
293,2002,Delaware,IDE,0.43,,,,,,,
294,2002,Delaware,LIB,0.4,,,,1.22,,,
295,2002,Delaware,NLP,0.15,,,,,,,
296,2002,Delaware,REP,40.8,,,,72.07,,,
297,2002,Georgia,DEM,45.9,46.254999726042406,937062.0,Roy Barnes,42.44,,,
298,2002,Georgia,LIB,1.37,2.326023355008068,47122.0,Garrett Hayes,,,,
299,2002,Georgia,REP,52.73,51.418976918949525,1041677.0,Sonny Perdue,57.56,,,
300,2002,Idaho,DEM,32.55,41.73040048410968,171711.0,Jerry Brady,34.08,,,
301,2002,Idaho,LIB,2.29,1.9896616335785475,8187.0,Daniel Adams,2.63,,,
302,2002,Idaho,REP,65.16,56.2767785319714,231566.0,C. Dirk Kempthorne,63.29,,,
303,2002,Illinois,DEM,60.33,52.19262192590842,1847040.0,Rod Blagojevich,50.76,,,
304,2002,Illinois,LIB,1.65,2.085229525294789,73794.0,Cal Skinner,0.69,,,
305,2002,Illinois,REP,38.02,45.06948645776318,1594960.0,Jim Ryan,48.33,,,
306,2002,Iowa,DEM,54.21,52.68550850943944,540449.0,Tom Vilsack,44.82,,,
307,2002,Iowa,GRE,1.11,1.4260061883287418,14628.0,Jay Robinson,,,,
308,2002,Iowa,LIB,0.87,1.2768545976708956,13098.0,Clyde Cleveland,0.97,,,
309,2002,Iowa,REP,43.81,44.512683734287904,456612.0,Doug Gross,54.0,,,
310,2002,Kansas,LIB,9.1,0.9688976321419852,8097.0,Dennis Hawver,3.48,,,
311,2002,Kansas,REF,8.37,1.065823293749372,8907.0,Ted Pettibone,0.61,,,
