,year,population,population_growth
133,2003,6351882385.0,0.012614776301006492
134,2004,6431551721.0,0.012542634005336728
135,2005,6511748273.0,0.01246923844803205
136,2006,6592734559.0,0.012436949741407854
137,2007,6674203697.0,0.012357412128595868
138,2008,6757020825.0,0.0124085406678891
139,2009,6839574233.0,0.01221742690130001
140,2010,6921877071.0,0.012033327689156437
141,2011,7002880914.0,0.011702583297726221
142,2012,7085790438.0,0.011839345123554779
143,2013,7169675197.0,0.011838447627541715
144,2014,7254292848.0,0.011802159606254747
145,2015,7339076654.0,0.011687397762467633
146,2016,7424484741.0,0.011637443104433487
147,2017,7509410228.0,0.011438569808220889
148,2018,7592475615.0,0.011061506094084184
149,2019,7673345391.0,0.010651305331851102
150,2020,7752840547.0,0.010359908481799796
