,year,value,country,kind
661,2016,72.60244,Slovakia,creation
662,2016,48.43689,Slovenia,creation
663,2016,54.69019,Spain,creation
664,2016,126.3364,Switzerland,creation
665,2016,124.9932,United Kingdom,creation
666,2016,86.01205,Belgium,destruction
667,2016,122.6693,Croatia,destruction
668,2016,89.40221,Czech Republic,destruction
669,2016,76.90591,Germany,destruction
670,2016,85.21727,Hungary,destruction
671,2016,112.7114,Italy,destruction
672,2016,79.0177,Latvia,destruction
673,2016,79.88721,Lithuania,destruction
674,2016,110.387,Malta,destruction
675,2016,138.6732,Netherlands,destruction
676,2016,116.0063,Poland,destruction
677,2016,157.1377,Portugal,destruction
678,2016,85.14325,Romania,destruction
679,2016,98.0126,Slovakia,destruction
680,2016,97.5843,Slovenia,destruction
681,2016,137.8074,Spain,destruction
682,2016,82.34229,Switzerland,destruction
683,2016,111.772,United Kingdom,destruction
684,2017,71.9586,Belgium,creation
685,2017,65.50458,Croatia,creation
686,2017,78.57591,Czech Republic,creation
687,2017,108.6326,Germany,creation
688,2017,81.07382,Hungary,creation
689,2017,68.54225,Italy,creation
690,2017,90.23287,Latvia,creation
691,2017,113.2234,Lithuania,creation
692,2017,63.09955,Malta,creation
693,2017,84.80483,Netherlands,creation
694,2017,64.09621,Poland,creation
695,2017,54.8807,Portugal,creation
696,2017,97.01659,Romania,creation
697,2017,70.27628,Slovakia,creation
698,2017,48.16991,Slovenia,creation
699,2017,49.90722,Spain,creation
700,2017,120.094,Switzerland,creation
701,2017,81.74561,United Kingdom,creation
702,2017,96.66004,Belgium,destruction
703,2017,124.5712,Croatia,destruction
704,2017,86.3581,Czech Republic,destruction
705,2017,92.08055,Germany,destruction
706,2017,88.6006,Hungary,destruction
707,2017,120.9927,Italy,destruction
708,2017,82.01683,Latvia,destruction
709,2017,91.337,Lithuania,destruction
710,2017,141.3058,Malta,destruction
711,2017,148.3239,Netherlands,destruction
712,2017,117.4701,Poland,destruction
713,2017,166.5159,Portugal,destruction
714,2017,76.17554,Romania,destruction
715,2017,100.9948,Slovakia,destruction
716,2017,116.3103,Slovenia,destruction
717,2017,141.019,Spain,destruction
718,2017,110.5351,Switzerland,destruction
719,2017,87.99346,United Kingdom,destruction
720,2018,93.52401,Belgium,creation
721,2018,83.68575,Croatia,creation
722,2018,98.47031,Czech Republic,creation
723,2018,114.708,Germany,creation
724,2018,85.0116,Hungary,creation
725,2018,62.14566,Italy,creation
726,2018,79.34331,Latvia,creation
727,2018,115.9874,Lithuania,creation
728,2018,83.00235,Malta,creation
729,2018,74.81191,Netherlands,creation
730,2018,77.27322,Poland,creation
731,2018,63.23558,Portugal,creation
732,2018,103.6029,Romania,creation
733,2018,73.17059,Slovakia,creation
734,2018,46.44604,Slovenia,creation
735,2018,65.93662,Spain,creation
736,2018,132.4458,Switzerland,creation
737,2018,106.517,United Kingdom,creation
738,2018,81.37056,Belgium,destruction
739,2018,133.5997,Croatia,destruction
740,2018,75.59306,Czech Republic,destruction
741,2018,94.19572,Germany,destruction
742,2018,81.66392,Hungary,destruction
743,2018,112.3859,Italy,destruction
744,2018,84.75565,Latvia,destruction
745,2018,83.17356,Lithuania,destruction
746,2018,129.5183,Malta,destruction
747,2018,206.462,Netherlands,destruction
748,2018,104.4646,Poland,destruction
749,2018,164.9375,Portugal,destruction
750,2018,67.04818,Romania,destruction
751,2018,88.47914,Slovakia,destruction
752,2018,109.6465,Slovenia,destruction
753,2018,117.9725,Spain,destruction
754,2018,101.4269,Switzerland,destruction
755,2018,113.0894,United Kingdom,destruction
756,2019,123.1771,Belgium,creation
757,2019,64.34559,Croatia,creation
758,2019,113.4787,Czech Republic,creation
759,2019,,Germany,creation
760,2019,99.22762,Hungary,creation
761,2019,82.67031,Italy,creation
762,2019,81.99165,Latvia,creation
763,2019,118.0125,Lithuania,creation
764,2019,80.62344,Malta,creation
765,2019,189.5511,Netherlands,creation
766,2019,74.62727,Poland,creation
767,2019,66.06314,Portugal,creation
768,2019,107.9165,Romania,creation
769,2019,102.0928,Slovakia,creation
770,2019,54.19723,Slovenia,creation
771,2019,56.79844,Spain,creation
772,2019,116.8164,Switzerland,creation
773,2019,108.2146,United Kingdom,creation
774,2019,85.90058,Belgium,destruction
775,2019,124.1646,Croatia,destruction
776,2019,64.9721,Czech Republic,destruction
777,2019,,Germany,destruction
778,2019,78.70929,Hungary,destruction
779,2019,100.7498,Italy,destruction
780,2019,74.87804,Latvia,destruction
781,2019,90.9883,Lithuania,destruction
782,2019,132.6682,Malta,destruction
783,2019,106.519,Netherlands,destruction
784,2019,90.47711,Poland,destruction
785,2019,147.638,Portugal,destruction
786,2019,63.06531,Romania,destruction
787,2019,64.33558,Slovakia,destruction
788,2019,94.29006,Slovenia,destruction
789,2019,112.9583,Spain,destruction
790,2019,85.59161,Switzerland,destruction
791,2019,99.55219,United Kingdom,destruction
792,2020,149.979,Belgium,creation
793,2020,107.9031,Croatia,creation
794,2020,144.2578,Czech Republic,creation
795,2020,,Germany,creation
796,2020,159.2868,Hungary,creation
797,2020,134.7041,Italy,creation
798,2020,,Latvia,creation
799,2020,171.4637,Lithuania,creation
800,2020,138.9946,Malta,creation
801,2020,,Netherlands,creation
802,2020,95.80592,Poland,creation
803,2020,138.3149,Portugal,creation
804,2020,149.4225,Romania,creation
