,gameName,ico3,year,medalValue,medalRank,participantType,medalValueRunningAverage,medalRankRunningAverage,iso3,gdpPerCap,population,gameId,gameSeason,country,ico2,ico3eq,gameType,medalCount
670,Paris 1900,AUT,1900,9,12.0,CountryOverall,10.5,9.5,,,,paris-1900,Summer,Austria,AT,AUT,Olympic Games,1
670,Paris 1900,AUT,1900,9,12.0,CountryOverall,10.5,9.5,,,,paris-1900,Summer,Austria,AT,AUT,Olympic Games,1
670,Paris 1900,AUT,1900,9,12.0,CountryOverall,10.5,9.5,,,,paris-1900,Summer,Austria,AT,AUT,Olympic Games,1
663,Paris 1900,BEL,1900,38,5.0,CountryOverall,38.0,5.0,,,,paris-1900,Summer,Belgium,BE,BEL,Olympic Games,1
663,Paris 1900,BEL,1900,38,5.0,CountryOverall,38.0,5.0,,,,paris-1900,Summer,Belgium,BE,BEL,Olympic Games,1
663,Paris 1900,BEL,1900,38,5.0,CountryOverall,38.0,5.0,,,,paris-1900,Summer,Belgium,BE,BEL,Olympic Games,1
663,Paris 1900,BEL,1900,38,5.0,CountryOverall,38.0,5.0,,,,paris-1900,Summer,Belgium,BE,BEL,Olympic Games,1
663,Paris 1900,BEL,1900,38,5.0,CountryOverall,38.0,5.0,,,,paris-1900,Summer,Belgium,BE,BEL,Olympic Games,1
663,Paris 1900,BEL,1900,38,5.0,CountryOverall,38.0,5.0,,,,paris-1900,Summer,Belgium,BE,BEL,Olympic Games,1
663,Paris 1900,BEL,1900,38,5.0,CountryOverall,38.0,5.0,,,,paris-1900,Summer,Belgium,BE,BEL,Olympic Games,1
663,Paris 1900,BEL,1900,38,5.0,CountryOverall,38.0,5.0,,,,paris-1900,Summer,Belgium,BE,BEL,Olympic Games,1
663,Paris 1900,BEL,1900,38,5.0,CountryOverall,38.0,5.0,,,,paris-1900,Summer,Belgium,BE,BEL,Olympic Games,1
663,Paris 1900,BEL,1900,38,5.0,CountryOverall,38.0,5.0,,,,paris-1900,Summer,Belgium,BE,BEL,Olympic Games,1
663,Paris 1900,BEL,1900,38,5.0,CountryOverall,38.0,5.0,,,,paris-1900,Summer,Belgium,BE,BEL,Olympic Games,1
663,Paris 1900,BEL,1900,38,5.0,CountryOverall,38.0,5.0,,,,paris-1900,Summer,Belgium,BE,BEL,Olympic Games,1
663,Paris 1900,BEL,1900,38,5.0,CountryOverall,38.0,5.0,,,,paris-1900,Summer,Belgium,BE,BEL,Olympic Games,1
663,Paris 1900,BEL,1900,38,5.0,CountryOverall,38.0,5.0,,,,paris-1900,Summer,Belgium,BE,BEL,Olympic Games,1
663,Paris 1900,BEL,1900,38,5.0,CountryOverall,38.0,5.0,,,,paris-1900,Summer,Belgium,BE,BEL,Olympic Games,1
663,Paris 1900,BEL,1900,38,5.0,CountryOverall,38.0,5.0,,,,paris-1900,Summer,Belgium,BE,BEL,Olympic Games,1
674,Paris 1900,CAN,1900,5,16.0,CountryOverall,5.0,16.0,,,,paris-1900,Summer,Canada,CA,CAN,Olympic Games,1
674,Paris 1900,CAN,1900,5,16.0,CountryOverall,5.0,16.0,,,,paris-1900,Summer,Canada,CA,CAN,Olympic Games,1
673,Paris 1900,CUB,1900,6,15.0,CountryOverall,6.0,15.0,,,,paris-1900,Summer,Cuba,CU,CUB,Olympic Games,1
673,Paris 1900,CUB,1900,6,15.0,CountryOverall,6.0,15.0,,,,paris-1900,Summer,Cuba,CU,CUB,Olympic Games,1
678,Paris 1900,BOH,1900,3,20.0,CountryOverall,3.0,20.0,,,,paris-1900,Summer,Bohemia,,CZE,Olympic Games,1
678,Paris 1900,BOH,1900,3,20.0,CountryOverall,3.0,20.0,,,,paris-1900,Summer,Bohemia,,CZE,Olympic Games,1
667,Paris 1900,DEN,1900,12,9.0,CountryOverall,11.5,8.5,,,,paris-1900,Summer,Denmark,DK,DEN,Olympic Games,1
667,Paris 1900,DEN,1900,12,9.0,CountryOverall,11.5,8.5,,,,paris-1900,Summer,Denmark,DK,DEN,Olympic Games,1
667,Paris 1900,DEN,1900,12,9.0,CountryOverall,11.5,8.5,,,,paris-1900,Summer,Denmark,DK,DEN,Olympic Games,1
667,Paris 1900,DEN,1900,12,9.0,CountryOverall,11.5,8.5,,,,paris-1900,Summer,Denmark,DK,DEN,Olympic Games,1
667,Paris 1900,DEN,1900,12,9.0,CountryOverall,11.5,8.5,,,,paris-1900,Summer,Denmark,DK,DEN,Olympic Games,1
667,Paris 1900,DEN,1900,12,9.0,CountryOverall,11.5,8.5,,,,paris-1900,Summer,Denmark,DK,DEN,Olympic Games,1
675,Paris 1900,ESP,1900,4,18.0,CountryOverall,4.0,18.0,,,,paris-1900,Summer,Spain,ES,ESP,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
659,Paris 1900,FRA,1900,211,1.0,CountryOverall,120.5,2.5,,,,paris-1900,Summer,France,FR,FRA,Olympic Games,1
