,metal,industry,value
194,Tellurium,Electricity networks,1
195,Tellurium,Concentrated solar,1
196,Tellurium,Hydrogen,1
197,Tellurium,Wind,1
198,Tellurium,Photovoltaics,3
199,Tellurium,Electric vehicles,1
200,Uranium,Geothermal,1
201,Uranium,Hydro,1
202,Uranium,Nuclear,3
203,Uranium,Bioenergy,1
204,Uranium,Electricity networks,1
205,Uranium,Concentrated solar,1
206,Uranium,Hydrogen,1
207,Uranium,Wind,1
208,Uranium,Photovoltaics,1
209,Uranium,Electric vehicles,1
