,year,day,date
666,1467,101.0,04-11
667,1468,101.0,04-10
671,1472,114.0,04-23
673,1474,98.0,04-08
675,1476,100.0,04-09
676,1477,110.0,04-20
677,1478,115.0,04-25
678,1479,110.0,04-20
679,1480,104.0,04-13
680,1481,106.0,04-16
681,1482,108.0,04-18
682,1483,101.0,04-11
683,1484,97.0,04-06
684,1485,94.0,04-04
685,1486,99.0,04-09
686,1487,93.0,04-03
687,1488,103.0,04-12
688,1489,100.0,04-10
689,1490,97.0,04-07
690,1491,107.0,04-17
691,1492,108.0,04-17
692,1493,100.0,04-10
693,1494,106.0,04-16
694,1495,94.0,04-04
695,1496,97.0,04-06
696,1497,108.0,04-18
697,1498,97.0,04-07
698,1499,111.0,04-21
699,1500,97.0,04-07
700,1501,103.0,04-13
701,1502,115.0,04-25
702,1503,108.0,04-18
703,1504,114.0,04-23
704,1505,106.0,04-16
705,1506,106.0,04-16
706,1507,108.0,04-18
707,1508,111.0,04-20
708,1509,102.0,04-12
709,1510,110.0,04-20
710,1511,111.0,04-21
711,1512,109.0,04-18
712,1513,110.0,04-20
713,1514,105.0,04-15
714,1515,111.0,04-21
715,1516,104.0,04-13
716,1517,106.0,04-16
717,1518,115.0,04-25
718,1519,111.0,04-21
719,1520,105.0,04-14
720,1521,107.0,04-17
721,1522,103.0,04-13
722,1523,109.0,04-19
723,1524,109.0,04-18
724,1525,104.0,04-14
725,1526,113.0,04-23
726,1527,105.0,04-15
727,1528,106.0,04-15
728,1529,107.0,04-17
729,1530,107.0,04-17
730,1531,103.0,04-13
731,1532,108.0,04-17
732,1533,111.0,04-21
733,1534,108.0,04-18
734,1535,95.0,04-05
735,1536,108.0,04-17
736,1537,108.0,04-18
737,1538,112.0,04-22
738,1539,120.0,04-30
739,1540,122.0,05-01
740,1541,109.0,04-19
741,1542,102.0,04-12
742,1543,119.0,04-29
743,1544,107.0,04-16
744,1545,97.0,04-07
745,1546,112.0,04-22
746,1547,104.0,04-14
747,1548,118.0,04-27
748,1549,117.0,04-27
749,1550,111.0,04-21
750,1551,109.0,04-19
751,1552,104.0,04-13
752,1553,119.0,04-29
754,1555,101.0,04-11
755,1556,120.0,04-29
756,1557,93.0,04-03
757,1558,111.0,04-21
758,1559,96.0,04-06
759,1560,100.0,04-09
760,1561,102.0,04-12
761,1562,99.0,04-09
762,1563,99.0,04-09
763,1564,109.0,04-18
764,1565,114.0,04-24
765,1566,97.0,04-07
766,1567,108.0,04-18
767,1568,106.0,04-15
769,1570,112.0,04-22
770,1571,108.0,04-18
771,1572,107.0,04-16
773,1574,98.0,04-08
775,1576,109.0,04-18
776,1577,100.0,04-10
778,1579,102.0,04-12
779,1580,97.0,04-06
780,1581,105.0,04-15
782,1583,108.0,04-18
783,1584,106.0,04-15
784,1585,105.0,04-15
785,1586,106.0,04-16
786,1587,105.0,04-15
787,1588,106.0,04-15
788,1589,105.0,04-15
789,1590,102.0,04-12
790,1591,94.0,04-04
791,1592,98.0,04-07
792,1593,113.0,04-23
793,1594,93.0,04-03
794,1595,111.0,04-21
795,1596,104.0,04-13
796,1597,114.0,04-24
797,1598,110.0,04-20
798,1599,103.0,04-13
799,1600,101.0,04-10
800,1601,93.0,04-03
801,1602,107.0,04-17
802,1603,99.0,04-09
803,1604,95.0,04-04
804,1605,105.0,04-15
805,1606,106.0,04-16
806,1607,110.0,04-20
808,1609,108.0,04-18
809,1610,110.0,04-20
811,1612,87.0,03-27
812,1613,106.0,04-16
813,1614,103.0,04-13
814,1615,110.0,04-20
815,1616,122.0,05-01
816,1617,107.0,04-17
817,1618,102.0,04-12
818,1619,93.0,04-03
820,1621,109.0,04-19
821,1622,106.0,04-16
822,1623,113.0,04-23
823,1624,112.0,04-21
824,1625,95.0,04-05
825,1626,100.0,04-10
827,1628,104.0,04-13
828,1629,112.0,04-22
831,1632,104.0,04-13
832,1633,98.0,04-08
833,1634,96.0,04-06
834,1635,97.0,04-07
836,1637,105.0,04-15
837,1638,105.0,04-15
838,1639,108.0,04-18
839,1640,103.0,04-12
840,1641,117.0,04-27
841,1642,114.0,04-24
842,1643,114.0,04-24
843,1644,105.0,04-14
844,1645,99.0,04-09
845,1646,87.0,03-28
846,1647,112.0,04-22
848,1649,104.0,04-14
849,1650,102.0,04-12
850,1651,107.0,04-17
851,1652,107.0,04-16
852,1653,112.0,04-22
853,1654,104.0,04-14
854,1655,104.0,04-14
855,1656,103.0,04-12
857,1658,108.0,04-18
859,1660,111.0,04-20
860,1661,93.0,04-03
861,1662,110.0,04-20
862,1663,105.0,04-15
863,1664,105.0,04-14
864,1665,112.0,04-22
865,1666,108.0,04-18
866,1667,112.0,04-22
867,1668,110.0,04-19
868,1669,104.0,04-14
869,1670,102.0,04-12
870,1671,116.0,04-26
871,1672,112.0,04-21
872,1673,105.0,04-15
873,1674,115.0,04-25
874,1675,111.0,04-21
875,1676,103.0,04-12
876,1677,96.0,04-06
877,1678,109.0,04-19
878,1679,114.0,04-24
879,1680,109.0,04-18
880,1681,110.0,04-20
881,1682,104.0,04-14
882,1683,108.0,04-18
883,1684,118.0,04-27
884,1685,106.0,04-16
885,1686,104.0,04-14
886,1687,104.0,04-14
887,1688,114.0,04-23
888,1689,97.0,04-07
889,1690,93.0,04-03
890,1691,103.0,04-13
891,1692,109.0,04-18
892,1693,107.0,04-17
893,1694,109.0,04-19
894,1695,120.0,04-30
895,1696,114.0,04-23
896,1697,111.0,04-21
897,1698,101.0,04-11
898,1699,97.0,04-07
899,1700,116.0,04-26
900,1701,112.0,04-22
901,1702,116.0,04-26
902,1703,103.0,04-13
903,1704,113.0,04-22
904,1705,109.0,04-19
905,1706,115.0,04-25
906,1707,111.0,04-21
907,1708,103.0,04-12
908,1709,106.0,04-16
912,1713,104.0,04-14
913,1714,108.0,04-18
914,1715,107.0,04-17
915,1716,110.0,04-19
916,1717,98.0,04-08
917,1718,102.0,04-12
918,1719,102.0,04-12
919,1720,114.0,04-23
920,1721,95.0,04-05
921,1722,100.0,04-10
922,1723,104.0,04-14
923,1724,99.0,04-08
924,1725,106.0,04-16
925,1726,116.0,04-26
926,1727,112.0,04-22
927,1728,104.0,04-13
928,1729,105.0,04-15
930,1731,104.0,04-14
931,1732,108.0,04-17
932,1733,107.0,04-17
933,1734,102.0,04-12
934,1735,101.0,04-11
935,1736,106.0,04-15
936,1737,93.0,04-03
937,1738,101.0,04-11
938,1739,110.0,04-20
939,1740,115.0,04-24
940,1741,109.0,04-19
941,1742,109.0,04-19
942,1743,108.0,04-18
943,1744,98.0,04-07
944,1745,105.0,04-15
945,1746,110.0,04-20
946,1747,101.0,04-11
947,1748,96.0,04-05
948,1749,100.0,04-10
949,1750,110.0,04-20
950,1751,103.0,04-13
951,1752,110.0,04-19
952,1753,96.0,04-06
953,1754,115.0,04-25
954,1755,120.0,04-30
955,1756,109.0,04-18
956,1757,112.0,04-22
957,1758,101.0,04-11
958,1759,109.0,04-19
959,1760,103.0,04-12
960,1761,89.0,03-30
961,1762,106.0,04-16
962,1763,112.0,04-22
963,1764,98.0,04-07
964,1765,106.0,04-16
965,1766,113.0,04-23
966,1767,101.0,04-11
967,1768,117.0,04-26
968,1769,105.0,04-15
969,1770,105.0,04-15
970,1771,104.0,04-14
971,1772,106.0,04-15
972,1773,100.0,04-10
973,1774,110.0,04-20
974,1775,99.0,04-09
975,1776,108.0,04-17
976,1777,104.0,04-14
977,1778,111.0,04-21
978,1779,96.0,04-06
979,1780,109.0,04-18
980,1781,91.0,04-01
981,1782,109.0,04-19
982,1783,103.0,04-13
983,1784,105.0,04-14
984,1785,108.0,04-18
985,1786,106.0,04-16
986,1787,105.0,04-15
987,1788,109.0,04-18
988,1789,106.0,04-16
989,1790,119.0,04-29
990,1791,99.0,04-09
991,1792,101.0,04-10
992,1793,106.0,04-16
993,1794,104.0,04-14
994,1795,113.0,04-23
995,1796,103.0,04-12
996,1797,97.0,04-07
997,1798,110.0,04-20
998,1799,103.0,04-13
999,1800,103.0,04-13
1000,1801,105.0,04-15
1001,1802,96.0,04-06
1002,1803,110.0,04-20
1003,1804,104.0,04-13
1004,1805,93.0,04-03
1005,1806,114.0,04-24
1006,1807,116.0,04-26
1007,1808,98.0,04-07
1008,1809,107.0,04-17
1009,1810,100.0,04-10
1010,1811,110.0,04-20
1011,1812,120.0,04-29
1012,1813,107.0,04-17
1013,1814,113.0,04-23
1014,1815,111.0,04-21
1015,1816,103.0,04-12
1016,1817,110.0,04-20
1017,1818,106.0,04-16
1018,1819,106.0,04-16
1019,1820,95.0,04-04
1020,1821,109.0,04-19
1021,1822,102.0,04-12
1022,1823,106.0,04-16
1023,1824,108.0,04-17
1024,1825,114.0,04-24
1025,1826,109.0,04-19
1026,1827,100.0,04-10
1027,1828,113.0,04-22
1028,1829,112.0,04-22
1029,1830,105.0,04-15
1030,1831,114.0,04-24
1031,1832,113.0,04-22
1032,1833,107.0,04-17
1033,1834,111.0,04-21
1034,1835,112.0,04-22
1035,1836,112.0,04-21
1036,1837,111.0,04-21
1037,1838,109.0,04-19
1038,1839,120.0,04-30
1039,1840,105.0,04-14
1040,1841,107.0,04-17
1041,1842,96.0,04-06
1042,1843,106.0,04-16
1043,1844,106.0,04-15
1044,1845,102.0,04-12
1045,1846,98.0,04-08
1046,1847,107.0,04-17
1047,1848,102.0,04-11
1048,1849,100.0,04-10
1049,1850,109.0,04-19
1050,1851,102.0,04-12
1051,1852,113.0,04-22
1052,1853,102.0,04-12
1053,1854,102.0,04-12
1054,1855,101.0,04-11
1055,1856,111.0,04-20
1056,1857,108.0,04-18
1057,1858,104.0,04-14
1058,1859,110.0,04-20
1059,1860,113.0,04-22
1060,1861,100.0,04-10
1061,1862,117.0,04-27
1062,1863,118.0,04-28
1063,1864,105.0,04-14
1064,1865,97.0,04-07
1065,1866,102.0,04-12
1066,1867,101.0,04-11
1067,1868,104.0,04-13
1068,1869,105.0,04-15
1069,1870,99.0,04-09
1070,1871,104.0,04-14
1072,1873,104.0,04-14
1073,1874,107.0,04-17
1074,1875,103.0,04-13
1075,1876,111.0,04-20
1076,1877,104.0,04-14
1077,1878,101.0,04-11
1078,1879,102.0,04-12
1079,1880,110.0,04-19
1080,1881,112.0,04-22
1081,1882,97.0,04-07
1082,1883,107.0,04-17
1083,1884,109.0,04-18
1084,1885,113.0,04-23
1085,1886,108.0,04-18
1086,1887,109.0,04-19
1087,1888,107.0,04-16
1088,1889,109.0,04-19
1089,1890,98.0,04-08
1090,1891,99.0,04-09
1091,1892,115.0,04-24
1092,1893,109.0,04-19
1093,1894,98.0,04-08
1095,1896,106.0,04-15
1096,1897,106.0,04-16
1097,1898,108.0,04-18
1098,1899,99.0,04-09
1099,1900,102.0,04-12
1100,1901,102.0,04-12
1101,1902,98.0,04-08
1102,1903,99.0,04-09
1103,1904,108.0,04-17
1104,1905,105.0,04-15
1105,1906,105.0,04-15
1106,1907,103.0,04-13
1107,1908,102.0,04-11
1108,1909,108.0,04-18
1109,1910,104.0,04-14
1110,1911,98.0,04-08
1111,1912,105.0,04-14
1112,1913,103.0,04-13
1113,1914,102.0,04-12
1114,1915,102.0,04-12
1115,1916,112.0,04-21
1116,1917,103.0,04-13
1117,1918,104.0,04-14
1119,1920,104.0,04-13
1121,1922,101.0,04-11
1122,1923,97.0,04-07
1123,1924,111.0,04-20
1124,1925,108.0,04-18
1125,1926,108.0,04-18
1126,1927,107.0,04-17
1127,1928,107.0,04-16
1128,1929,103.0,04-13
1129,1930,95.0,04-05
1130,1931,105.0,04-15
1131,1932,105.0,04-14
1132,1933,106.0,04-16
1133,1934,104.0,04-14
1134,1935,102.0,04-12
1135,1936,111.0,04-20
1136,1937,100.0,04-10
1137,1938,98.0,04-08
1138,1939,104.0,04-14
1139,1940,110.0,04-19
1140,1941,100.0,04-10
1141,1942,96.0,04-06
1142,1943,101.0,04-11
1143,1944,100.0,04-09
1145,1946,97.0,04-07
1146,1947,107.0,04-17
1147,1948,102.0,04-11
1148,1949,107.0,04-17
1149,1950,99.0,04-09
1150,1951,98.0,04-08
1151,1952,105.0,04-14
1152,1953,101.0,04-11
1153,1954,98.0,04-08
1154,1955,97.0,04-07
1155,1956,99.0,04-08
1156,1957,103.0,04-13
1157,1958,99.0,04-09
1158,1959,92.0,04-02
1159,1960,95.0,04-04
1160,1961,99.0,04-09
1161,1962,102.0,04-12
1162,1963,101.0,04-11
1163,1964,99.0,04-08
1164,1965,110.0,04-20
1165,1966,97.0,04-07
1166,1967,97.0,04-07
1167,1968,99.0,04-08
1168,1969,101.0,04-11
1169,1970,107.0,04-17
1170,1971,98.0,04-08
1171,1972,99.0,04-08
1172,1973,97.0,04-07
1173,1974,99.0,04-09
1174,1975,100.0,04-10
1175,1976,99.0,04-08
1176,1977,93.0,04-03
1177,1978,104.0,04-14
1178,1979,97.0,04-07
1179,1980,102.0,04-11
1180,1981,99.0,04-09
1181,1982,93.0,04-03
1182,1983,99.0,04-09
1183,1984,109.0,04-18
1184,1985,99.0,04-09
1185,1986,102.0,04-12
1186,1987,95.0,04-05
1187,1988,106.0,04-15
1188,1989,93.0,04-03
1189,1990,88.0,03-29
1190,1991,97.0,04-07
1191,1992,94.0,04-03
1192,1993,97.0,04-07
1193,1994,99.0,04-09
1194,1995,99.0,04-09
1195,1996,103.0,04-12
1196,1997,97.0,04-07
1197,1998,91.0,04-01
1198,1999,94.0,04-04
1199,2000,100.0,04-09
1200,2001,96.0,04-06
1201,2002,91.0,04-01
1202,2003,98.0,04-08
1203,2004,92.0,04-01
1204,2005,99.0,04-09
1205,2006,98.0,04-08
1206,2007,97.0,04-07
1207,2008,95.0,04-04
1208,2009,95.0,04-05
1209,2010,95.0,04-05
1210,2011,99.0,04-09
1211,2012,101.0,04-10
1212,2013,93.0,04-03
1213,2014,94.0,04-04
1214,2015,93.0,04-03
