,key,year,value
340,Djibouti,1850,997.0
341,Djibouti,1900,1168.0
342,Djibouti,1950,4021.0
343,Djibouti,2000,2524.0
344,Djibouti,2023,5945.0
345,Djibouti,2050,12858.0
346,Dominica,1800,751.0
347,Dominica,1850,921.0
348,Dominica,1900,1291.0
349,Dominica,1950,1696.0
350,Dominica,2000,9612.0
351,Dominica,2023,12408.0
352,Dominica,2050,22551.0
353,Dominican Republic,1800,755.0
354,Dominican Republic,1850,891.0
355,Dominican Republic,1900,1168.0
356,Dominican Republic,1950,1903.0
357,Dominican Republic,2000,9322.0
358,Dominican Republic,2023,20615.0
359,Dominican Republic,2050,42440.0
360,Ecuador,1800,599.0
361,Ecuador,1850,748.0
362,Ecuador,1900,1276.0
363,Ecuador,1950,3452.0
364,Ecuador,2000,8176.0
365,Ecuador,2023,10916.0
366,Ecuador,2050,18274.0
367,Egypt,1800,1120.0
368,Egypt,1850,1271.0
369,Egypt,1900,1757.0
370,Egypt,1950,1687.0
371,Egypt,2000,7745.0
372,Egypt,2023,12972.0
373,Egypt,2050,26027.0
374,Egypt,1700,748.9791879502409
375,Egypt,1750,748.882704067858
376,El Salvador,1800,1103.0
377,El Salvador,1850,1313.0
378,El Salvador,1900,1716.0
379,El Salvador,1950,2761.0
380,El Salvador,2000,6577.0
381,El Salvador,2023,9200.0
382,El Salvador,2050,15542.0
383,Equatorial Guinea,1800,403.0
384,Equatorial Guinea,1850,430.0
385,Equatorial Guinea,1900,573.0
386,Equatorial Guinea,1950,926.0
387,Equatorial Guinea,2000,11725.0
388,Equatorial Guinea,2023,15413.0
389,Equatorial Guinea,2050,14679.0
390,Eritrea,1800,602.0
391,Eritrea,1850,652.0
392,Eritrea,1900,740.0
393,Eritrea,1950,919.0
394,Eritrea,2000,2813.0
395,Eritrea,2023,1659.0
396,Eritrea,2050,2887.0
397,Estonia,1800,1062.0
398,Estonia,1850,1320.0
399,Estonia,1900,2291.0
400,Estonia,1950,5612.0
401,Estonia,2000,17765.0
402,Estonia,2023,39115.0
403,Estonia,2050,77074.0
404,Ethiopia,1800,592.0
405,Ethiopia,1850,600.0
406,Ethiopia,1900,610.0
407,Ethiopia,1950,723.0
408,Ethiopia,2000,728.0
409,Ethiopia,2023,2554.0
410,Ethiopia,2050,5714.0
411,Fiji,1800,889.0
412,Fiji,1850,987.0
413,Fiji,1900,1169.0
414,Fiji,1950,3430.0
415,Fiji,2000,9576.0
416,Fiji,2023,12538.0
417,Fiji,2050,24420.0
418,Finland,1800,1410.0
419,Finland,1850,1766.0
420,Finland,1900,3091.0
421,Finland,1950,7880.0
422,Finland,2000,39894.0
423,Finland,2023,50491.0
424,Finland,2050,84266.0
425,Finland,1700,970.5577052247037
426,Finland,1750,989.2105450663531
427,France,1800,2080.0
428,France,1850,2960.0
429,France,1900,5329.0
430,France,1950,9609.0
431,France,2000,39732.0
432,France,2023,46746.0
433,France,2050,76936.0
434,France,1700,1393.7544257451743
435,France,1750,1391.0349023234385
436,Gabon,1800,442.0
437,Gabon,1850,445.0
438,Gabon,1900,671.0
439,Gabon,1950,2561.0
440,Gabon,2000,16567.0
441,Gabon,2023,14953.0
