,key,year,value
110,Bolivia,2100,80.0
111,Bosnia and Herzegovina,1800,89.0
112,Bosnia and Herzegovina,1900,90.0
113,Bosnia and Herzegovina,2000,124.0
114,Bosnia and Herzegovina,2023,136.0
115,Bosnia and Herzegovina,2100,152.0
116,Botswana,1800,150.0
117,Botswana,1900,158.0
118,Botswana,2000,146.0
119,Botswana,2023,144.0
120,Botswana,2100,135.0
121,Brazil,1700,35.0
122,Brazil,1800,42.0
123,Brazil,1900,17.0
124,Brazil,2000,5.0
125,Brazil,2023,7.0
126,Brazil,2100,12.0
127,Brunei,1800,195.0
128,Brunei,1900,189.0
129,Brunei,2000,170.0
130,Brunei,2023,170.0
131,Brunei,2100,174.0
132,Bulgaria,1700,36.0
133,Bulgaria,1800,48.0
134,Bulgaria,1900,55.0
135,Bulgaria,2000,91.0
136,Bulgaria,2023,110.0
137,Bulgaria,2100,138.0
138,Burkina Faso,1800,63.0
139,Burkina Faso,1900,78.0
140,Burkina Faso,2000,67.0
141,Burkina Faso,2023,58.0
142,Burkina Faso,2100,29.0
143,Burundi,1800,85.0
144,Burundi,1900,93.0
145,Burundi,2000,97.0
146,Burundi,2023,78.0
147,Burundi,2100,48.0
148,Cambodia,1800,52.0
149,Cambodia,1900,65.0
150,Cambodia,2000,64.0
151,Cambodia,2023,71.0
152,Cambodia,2100,76.0
153,Cameroon,1800,60.0
154,Cameroon,1900,61.0
155,Cameroon,2000,60.0
156,Cameroon,2023,52.0
157,Cameroon,2100,27.0
158,Canada,1700,51.0
159,Canada,1800,104.0
160,Canada,1900,34.0
161,Canada,2000,35.0
162,Canada,2023,38.0
163,Canada,2100,44.0
164,Cape Verde,1800,163.0
165,Cape Verde,1900,159.0
166,Cape Verde,2000,167.0
167,Cape Verde,2023,168.0
168,Cape Verde,2100,169.0
169,Chad,1800,67.0
170,Chad,1900,89.0
171,Chad,2000,87.0
172,Chad,2023,70.0
173,Chad,2100,43.0
174,Chile,1800,94.0
175,Chile,1900,63.0
176,Chile,2000,61.0
177,Chile,2023,65.0
178,Chile,2100,81.0
179,China,1700,2.0
180,China,1800,1.0
181,China,1900,1.0
182,China,2000,1.0
183,China,2023,1.0
184,China,2100,2.0
185,Colombia,1800,72.0
186,Colombia,1900,53.0
187,Colombia,2000,29.0
188,Colombia,2023,28.0
189,Colombia,2100,52.0
190,Comoros,1800,162.0
191,Comoros,1900,166.0
192,Comoros,2000,164.0
193,Comoros,2023,160.0
194,Comoros,2100,145.0
195,"Congo, Dem. Rep.",1800,25.0
196,"Congo, Dem. Rep.",1900,26.0
197,"Congo, Dem. Rep.",2000,25.0
198,"Congo, Dem. Rep.",2023,16.0
199,"Congo, Dem. Rep.",2100,6.0
200,"Congo, Rep.",1800,120.0
201,"Congo, Rep.",1900,125.0
202,"Congo, Rep.",2000,131.0
203,"Congo, Rep.",2023,115.0
204,"Congo, Rep.",2100,77.0
205,Costa Rica,1700,57.0
206,Costa Rica,1800,165.0
207,Costa Rica,1900,141.0
208,Costa Rica,2000,120.0
209,Costa Rica,2023,123.0
210,Costa Rica,2100,131.0
211,Cote d'Ivoire,1800,73.0
212,Cote d'Ivoire,1900,100.0
213,Cote d'Ivoire,2000,55.0
214,Cote d'Ivoire,2023,53.0
215,Cote d'Ivoire,2100,26.0
216,Croatia,1800,71.0
217,Croatia,1900,75.0
218,Croatia,2000,116.0
219,Croatia,2023,130.0
220,Croatia,2100,146.0
221,Cuba,1800,128.0
222,Cuba,1900,92.0
223,Cuba,2000,70.0
224,Cuba,2023,84.0
225,Cuba,2100,118.0
226,Cyprus,1700,52.0
227,Cyprus,1800,139.0
228,Cyprus,1900,151.0
229,Cyprus,2000,154.0
230,Cyprus,2023,157.0
231,Cyprus,2100,155.0
232,Denmark,1700,45.0
233,Denmark,1800,78.0
234,Denmark,1900,72.0
235,Denmark,2000,105.0
236,Denmark,2023,116.0
237,Denmark,2100,116.0
238,Djibouti,1800,177.0
239,Djibouti,1900,177.0
240,Djibouti,2000,158.0
241,Djibouti,2023,159.0
242,Djibouti,2100,154.0
243,Dominica,1800,181.0
244,Dominica,1900,183.0
245,Dominica,2000,187.0
246,Dominica,2023,188.0
247,Dominica,2100,190.0
248,Ecuador,1800,105.0
249,Ecuador,1900,101.0
250,Ecuador,2000,63.0
251,Ecuador,2023,68.0
252,Ecuador,2100,71.0
253,Egypt,1700,17.0
254,Egypt,1800,31.0
255,Egypt,1900,24.0
256,Egypt,2000,15.0
257,Egypt,2023,14.0
258,Egypt,2100,10.0
259,El Salvador,1800,129.0
260,El Salvador,1900,117.0
261,El Salvador,2000,101.0
262,El Salvador,2023,112.0
263,El Salvador,2100,132.0
264,Equatorial Guinea,1800,156.0
265,Equatorial Guinea,1900,160.0
266,Equatorial Guinea,2000,161.0
267,Equatorial Guinea,2023,152.0
268,Equatorial Guinea,2100,133.0
269,Eritrea,1800,134.0
270,Eritrea,1900,126.0
271,Eritrea,2000,139.0
272,Eritrea,2023,133.0
273,Eritrea,2100,103.0
274,Estonia,1800,119.0
275,Estonia,1900,115.0
276,Estonia,2000,147.0
277,Estonia,2023,155.0
278,Estonia,2100,163.0
279,Ethiopia,1700,21.0
280,Ethiopia,1800,12.0
281,Ethiopia,1900,18.0
282,Ethiopia,2000,16.0
283,Ethiopia,2023,12.0
284,Ethiopia,2100,8.0
285,Fiji,1700,53.0
286,Fiji,1800,146.0
287,Fiji,1900,161.0
288,Fiji,2000,156.0
289,Fiji,2023,161.0
290,Fiji,2100,159.0
291,Finland,1700,49.0
292,Finland,1800,90.0
293,Finland,1900,71.0
294,Finland,2000,108.0
295,Finland,2023,117.0
296,Finland,2100,130.0
297,France,1700,5.0
298,France,1800,4.0
299,France,1900,8.0
300,France,2000,20.0
301,France,2023,22.0
302,France,2100,41.0
303,Gabon,1800,142.0
304,Gabon,1900,137.0
305,Gabon,2000,150.0
306,Gabon,2023,145.0
307,Gabon,2100,123.0
308,Gambia,1800,151.0
309,Gambia,1900,157.0
310,Gambia,2000,148.0
311,Gambia,2023,143.0
312,Gambia,2100,108.0
313,Georgia,1800,75.0
314,Georgia,1900,79.0
315,Georgia,2000,117.0
316,Georgia,2023,132.0
317,Georgia,2100,141.0
318,Germany,1700,7.0
319,Germany,1800,8.0
320,Germany,1900,5.0
321,Germany,2000,12.0
322,Germany,2023,19.0
323,Germany,2100,38.0
324,Ghana,1800,54.0
325,Ghana,1900,69.0
326,Ghana,2000,50.0
327,Ghana,2023,47.0
328,Ghana,2100,33.0
329,Greece,1700,29.0
330,Greece,1800,49.0
331,Greece,1900,41.0
332,Greece,2000,71.0
333,Greece,2023,91.0
334,Greece,2100,119.0
335,Grenada,1800,171.0
336,Grenada,1900,170.0
337,Grenada,2000,182.0
338,Grenada,2023,182.0
339,Grenada,2100,185.0
340,Guatemala,1800,111.0
341,Guatemala,1900,104.0
342,Guatemala,2000,66.0
343,Guatemala,2023,67.0
344,Guatemala,2100,65.0
345,Guinea,1800,82.0
346,Guinea,1900,97.0
347,Guinea,2000,88.0
348,Guinea,2023,75.0
349,Guinea,2100,51.0
350,Guinea-Bissau,1800,132.0
351,Guinea-Bissau,1900,143.0
352,Guinea-Bissau,2000,151.0
353,Guinea-Bissau,2023,147.0
354,Guinea-Bissau,2100,126.0
355,Guyana,1800,140.0
356,Guyana,1900,144.0
357,Guyana,2000,157.0
358,Guyana,2023,162.0
359,Guyana,2100,170.0
360,Haiti,1800,106.0
361,Haiti,1900,95.0
362,Haiti,2000,85.0
363,Haiti,2023,82.0
364,Haiti,2100,88.0
365,Holy See,1800,197.0
366,Holy See,1900,197.0
367,Holy See,2000,197.0
368,Holy See,2023,197.0
369,Holy See,2100,197.0
370,Honduras,1800,147.0
371,Honduras,1900,128.0
372,Honduras,2000,96.0
373,Honduras,2023,87.0
374,Honduras,2100,89.0
375,"Hong Kong, China",1800,179.0
376,"Hong Kong, China",1900,142.0
377,"Hong Kong, China",2000,95.0
378,"Hong Kong, China",2023,104.0
379,"Hong Kong, China",2100,112.0
380,Hungary,1700,30.0
381,Hungary,1800,34.0
382,Hungary,1900,30.0
383,Hungary,2000,77.0
384,Hungary,2023,95.0
385,Hungary,2100,117.0
386,Iceland,1800,159.0
387,Iceland,1900,167.0
388,Iceland,2000,172.0
389,Iceland,2023,174.0
390,Iceland,2100,176.0
391,India,1700,1.0
392,India,1800,2.0
393,India,1900,2.0
394,India,2000,2.0
395,India,2023,2.0
396,India,2100,1.0
397,Indonesia,1700,9.0
398,Indonesia,1800,9.0
399,Indonesia,1900,9.0
400,Indonesia,2000,4.0
401,Indonesia,2023,4.0
402,Indonesia,2100,7.0
403,Iran,1700,15.0
404,Iran,1800,19.0
405,Iran,1900,23.0
406,Iran,2000,17.0
407,Iran,2023,17.0
408,Iran,2100,24.0
409,Iraq,1700,38.0
410,Iraq,1800,79.0
411,Iraq,1900,76.0
412,Iraq,2000,43.0
413,Iraq,2023,35.0
414,Iraq,2100,22.0
415,Ireland,1700,33.0
416,Ireland,1800,24.0
417,Ireland,1900,49.0
418,Ireland,2000,123.0
419,Ireland,2023,125.0
420,Ireland,2100,127.0
421,Israel,1800,133.0
422,Israel,1900,139.0
423,Israel,2000,100.0
424,Israel,2023,99.0
425,Israel,2100,79.0
426,Italy,1700,8.0
427,Italy,1800,7.0
428,Italy,1900,10.0
429,Italy,2000,22.0
430,Italy,2023,25.0
431,Italy,2100,58.0
432,Jamaica,1800,122.0
433,Jamaica,1900,123.0
434,Jamaica,2000,135.0
435,Jamaica,2023,138.0
436,Jamaica,2100,150.0
437,Japan,1700,3.0
438,Japan,1800,5.0
439,Japan,1900,6.0
440,Japan,2000,9.0
441,Japan,2023,11.0
442,Japan,2100,36.0
443,Jordan,1800,136.0
444,Jordan,1900,148.0
445,Jordan,2000,109.0
446,Jordan,2023,89.0
447,Jordan,2100,90.0
448,Kazakhstan,1800,53.0
449,Kazakhstan,1900,51.0
450,Kazakhstan,2000,62.0
451,Kazakhstan,2023,64.0
452,Kazakhstan,2100,68.0
453,Kenya,1800,40.0
454,Kenya,1900,52.0
455,Kenya,2000,33.0
456,Kenya,2023,26.0
457,Kenya,2100,20.0
458,Kiribati,1800,183.0
459,Kiribati,1900,184.0
460,Kiribati,2000,184.0
461,Kiribati,2023,180.0
462,Kiribati,2100,178.0
463,Kuwait,1800,154.0
464,Kuwait,1900,164.0
465,Kuwait,2000,141.0
466,Kuwait,2023,129.0
467,Kuwait,2100,121.0
468,Latvia,1800,101.0
469,Latvia,1900,81.0
470,Latvia,2000,138.0
471,Latvia,2023,150.0
472,Latvia,2100,157.0
473,Lebanon,1800,123.0
474,Lebanon,1900,131.0
475,Lebanon,2000,122.0
476,Lebanon,2023,111.0
477,Lebanon,2100,125.0
478,Lesotho,1800,127.0
479,Lesotho,1900,146.0
480,Lesotho,2000,143.0
481,Lesotho,2023,146.0
482,Lesotho,2100,140.0
483,Liberia,1800,121.0
484,Liberia,1900,132.0
485,Liberia,2000,134.0
486,Liberia,2023,121.0
487,Liberia,2100,86.0
488,Libya,1700,46.0
489,Libya,1800,130.0
490,Libya,1900,130.0
491,Libya,2000,104.0
492,Libya,2023,107.0
493,Libya,2100,110.0
494,Liechtenstein,1800,190.0
495,Liechtenstein,1900,191.0
496,Liechtenstein,2000,191.0
497,Liechtenstein,2023,192.0
498,Liechtenstein,2100,191.0
499,Lithuania,1800,93.0
500,Lithuania,1900,73.0
501,Lithuania,2000,126.0
502,Lithuania,2023,142.0
503,Lithuania,2100,153.0
504,Luxembourg,1800,148.0
505,Luxembourg,1900,152.0
506,Luxembourg,2000,166.0
507,Luxembourg,2023,165.0
508,Luxembourg,2100,160.0
509,"Macedonia, FYR",1800,116.0
510,"Macedonia, FYR",1900,120.0
511,"Macedonia, FYR",2000,142.0
512,"Macedonia, FYR",2023,148.0
513,"Macedonia, FYR",2100,156.0
514,Madagascar,1700,39.0
515,Madagascar,1800,65.0
516,Madagascar,1900,68.0
517,Madagascar,2000,59.0
518,Madagascar,2023,51.0
519,Madagascar,2100,23.0
520,Malawi,1800,97.0
521,Malawi,1900,84.0
522,Malawi,2000,69.0
523,Malawi,2023,61.0
524,Malawi,2100,40.0
525,Malaysia,1800,126.0
526,Malaysia,1900,83.0
527,Malaysia,2000,44.0
528,Malaysia,2023,46.0
529,Malaysia,2100,57.0
530,Maldives,1800,167.0
531,Maldives,1900,169.0
532,Maldives,2000,173.0
533,Maldives,2023,169.0
534,Maldives,2100,171.0
535,Mali,1800,68.0
536,Mali,1900,77.0
537,Mali,2000,72.0
538,Mali,2023,59.0
539,Mali,2100,31.0
540,Malta,1800,145.0
541,Malta,1900,153.0
542,Malta,2000,169.0
543,Malta,2023,171.0
544,Malta,2100,175.0
545,Marshall Islands,1800,189.0
546,Marshall Islands,1900,179.0
547,Marshall Islands,2000,189.0
548,Marshall Islands,2023,189.0
549,Marshall Islands,2100,188.0
550,Mauritania,1800,117.0
551,Mauritania,1900,138.0
552,Mauritania,2000,136.0
553,Mauritania,2023,126.0
554,Mauritania,2100,82.0
555,Mauritius,1800,160.0
556,Mauritius,1900,136.0
557,Mauritius,2000,152.0
558,Mauritius,2023,156.0
559,Mauritius,2100,164.0
560,Mexico,1700,18.0
561,Mexico,1800,26.0
562,Mexico,1900,20.0
563,Mexico,2000,11.0
564,Mexico,2023,10.0
565,Mexico,2100,17.0
566,"Micronesia, Fed. Sts.",1800,185.0
567,"Micronesia, Fed. Sts.",1900,185.0
568,"Micronesia, Fed. Sts.",2000,181.0
569,"Micronesia, Fed. Sts.",2023,181.0
570,"Micronesia, Fed. Sts.",2100,182.0
571,Moldova,1800,98.0
572,Moldova,1900,99.0
573,Moldova,2000,118.0
574,Moldova,2023,131.0
575,Moldova,2100,149.0
576,Monaco,1800,188.0
577,Monaco,1900,186.0
578,Monaco,2000,192.0
579,Monaco,2023,191.0
580,Monaco,2100,187.0
581,Mongolia,1800,100.0
582,Mongolia,1900,124.0
583,Mongolia,2000,137.0
584,Mongolia,2023,135.0
585,Mongolia,2100,128.0
586,Montenegro,1800,149.0
587,Montenegro,1900,134.0
588,Montenegro,2000,160.0
589,Montenegro,2023,166.0
590,Montenegro,2100,173.0
591,Morocco,1700,28.0
592,Morocco,1800,43.0
593,Morocco,1900,46.0
594,Morocco,2000,36.0
595,Morocco,2023,39.0
596,Morocco,2100,53.0
597,Mozambique,1700,31.0
598,Mozambique,1800,55.0
599,Mozambique,1900,50.0
600,Mozambique,2000,53.0
601,Mozambique,2023,44.0
602,Mozambique,2100,21.0
603,Myanmar,1800,20.0
604,Myanmar,1900,25.0
605,Myanmar,2000,26.0
606,Myanmar,2023,27.0
607,Myanmar,2100,46.0
608,Namibia,1800,131.0
609,Namibia,1900,155.0
610,Namibia,2000,145.0
611,Namibia,2023,141.0
612,Namibia,2100,129.0
613,Nauru,1800,196.0
614,Nauru,1900,196.0
615,Nauru,2000,195.0
616,Nauru,2023,196.0
617,Nauru,2100,196.0
618,Nepal,1800,28.0
619,Nepal,1900,38.0
620,Nepal,2000,41.0
621,Nepal,2023,49.0
622,Nepal,2100,73.0
623,Netherlands,1700,26.0
624,Netherlands,1800,56.0
625,Netherlands,1900,40.0
626,Netherlands,2000,58.0
627,Netherlands,2023,73.0
628,Netherlands,2100,85.0
629,New Zealand,1700,54.0
630,New Zealand,1800,137.0
631,New Zealand,1900,119.0
632,New Zealand,2000,121.0
633,New Zealand,2023,127.0
634,New Zealand,2100,122.0
635,Nicaragua,1800,138.0
636,Nicaragua,1900,127.0
637,Nicaragua,2000,110.0
638,Nicaragua,2023,108.0
639,Nicaragua,2100,109.0
640,Niger,1800,88.0
641,Niger,1900,105.0
642,Niger,2000,68.0
643,Niger,2023,54.0
644,Niger,2100,13.0
645,Nigeria,1700,20.0
646,Nigeria,1800,11.0
647,Nigeria,1900,14.0
648,Nigeria,2000,10.0
649,Nigeria,2023,6.0
650,Nigeria,2100,3.0
651,Norway,1700,47.0
652,Norway,1800,84.0
653,Norway,1900,80.0
654,Norway,2000,115.0
655,Norway,2023,118.0
656,Norway,2100,111.0
657,Oman,1800,124.0
658,Oman,1900,135.0
659,Oman,2000,140.0
660,Oman,2023,122.0
661,Oman,2100,114.0
662,Pakistan,1700,10.0
663,Pakistan,1800,10.0
664,Pakistan,1900,16.0
665,Pakistan,2000,7.0
666,Pakistan,2023,5.0
667,Pakistan,2100,5.0
668,Palau,1800,192.0
669,Palau,1900,193.0
670,Palau,2000,194.0
671,Palau,2023,194.0
672,Palau,2100,195.0
673,Panama,1800,157.0
674,Panama,1900,150.0
675,Panama,2000,133.0
676,Panama,2023,128.0
677,Panama,2100,120.0
678,Papua New Guinea,1800,95.0
679,Papua New Guinea,1900,110.0
680,Papua New Guinea,2000,102.0
681,Papua New Guinea,2023,96.0
682,Papua New Guinea,2100,78.0
683,Paraguay,1800,125.0
684,Paraguay,1900,133.0
685,Paraguay,2000,107.0
686,Paraguay,2023,106.0
687,Paraguay,2100,104.0
688,Peru,1700,34.0
689,Peru,1800,69.0
690,Peru,1900,58.0
691,Peru,2000,38.0
692,Peru,2023,45.0
693,Peru,2100,59.0
694,Philippines,1800,44.0
695,Philippines,1900,32.0
696,Philippines,2000,14.0
697,Philippines,2023,13.0
698,Philippines,2100,15.0
699,Poland,1700,14.0
700,Poland,1800,18.0
701,Poland,1900,12.0
702,Poland,2000,30.0
703,Poland,2023,40.0
704,Poland,2100,74.0
705,Portugal,1700,25.0
706,Portugal,1800,38.0
707,Portugal,1900,35.0
708,Portugal,2000,74.0
709,Portugal,2023,94.0
710,Portugal,2100,115.0
711,Qatar,1800,186.0
712,Qatar,1900,190.0
713,Qatar,2000,162.0
714,Qatar,2023,137.0
715,Qatar,2100,136.0
716,Romania,1700,23.0
717,Romania,1800,23.0
718,Romania,1900,22.0
719,Romania,2000,46.0
720,Romania,2023,66.0
721,Romania,2100,96.0
722,Russia,1700,4.0
723,Russia,1800,3.0
724,Russia,1900,4.0
725,Russia,2000,6.0
726,Russia,2023,9.0
727,Russia,2100,19.0
728,Rwanda,1800,83.0
729,Rwanda,1900,98.0
730,Rwanda,2000,92.0
731,Rwanda,2023,76.0
732,Rwanda,2100,62.0
733,Samoa,1700,56.0
734,Samoa,1800,166.0
735,Samoa,1900,182.0
736,Samoa,2000,177.0
737,Samoa,2023,178.0
738,Samoa,2100,177.0
739,San Marino,1800,191.0
740,San Marino,1900,192.0
741,San Marino,2000,193.0
742,San Marino,2023,193.0
743,San Marino,2100,193.0
744,Sao Tome and Principe,1800,178.0
745,Sao Tome and Principe,1900,178.0
746,Sao Tome and Principe,2000,179.0
747,Sao Tome and Principe,2023,177.0
748,Sao Tome and Principe,2100,165.0
749,Saudi Arabia,1800,57.0
750,Saudi Arabia,1900,82.0
751,Saudi Arabia,2000,49.0
752,Saudi Arabia,2023,41.0
753,Saudi Arabia,2100,56.0
754,Senegal,1800,77.0
755,Senegal,1900,103.0
756,Senegal,2000,79.0
757,Senegal,2023,69.0
758,Senegal,2100,42.0
759,Serbia,1800,50.0
760,Serbia,1900,74.0
761,Serbia,2000,81.0
762,Serbia,2023,102.0
763,Serbia,2100,134.0
764,Seychelles,1800,187.0
765,Seychelles,1900,188.0
766,Seychelles,2000,185.0
767,Seychelles,2023,186.0
768,Seychelles,2100,184.0
769,Sierra Leone,1800,92.0
770,Sierra Leone,1900,107.0
771,Sierra Leone,2000,113.0
772,Sierra Leone,2023,103.0
773,Sierra Leone,2100,83.0
774,Singapore,1800,170.0
775,Singapore,1900,154.0
776,Singapore,2000,119.0
777,Singapore,2023,114.0
778,Singapore,2100,124.0
779,Slovak Republic,1800,51.0
780,Slovak Republic,1900,66.0
781,Slovak Republic,2000,103.0
782,Slovak Republic,2023,120.0
783,Slovak Republic,2100,137.0
784,Slovenia,1800,109.0
785,Slovenia,1900,113.0
786,Slovenia,2000,144.0
787,Slovenia,2023,149.0
788,Slovenia,2100,151.0
789,Solomon Islands,1800,161.0
790,Solomon Islands,1900,162.0
791,Solomon Islands,2000,168.0
792,Solomon Islands,2023,164.0
793,Solomon Islands,2100,142.0
794,Somalia,1700,42.0
795,Somalia,1800,81.0
796,Somalia,1900,96.0
797,Somalia,2000,83.0
798,Somalia,2023,72.0
799,Somalia,2100,35.0
800,South Africa,1700,40.0
801,South Africa,1800,66.0
802,South Africa,1900,36.0
803,South Africa,2000,27.0
804,South Africa,2023,24.0
805,South Africa,2100,32.0
806,South Sudan,1700,43.0
807,South Sudan,1800,76.0
808,South Sudan,1900,86.0
809,South Sudan,2000,99.0
810,South Sudan,2023,81.0
811,South Sudan,2100,64.0
812,Spain,1700,11.0
813,Spain,1800,13.0
814,Spain,1900,15.0
815,Spain,2000,28.0
816,Spain,2023,32.0
817,Spain,2100,63.0
818,Sri Lanka,1800,61.0
819,Sri Lanka,1900,54.0
820,Sri Lanka,2000,52.0
821,Sri Lanka,2023,60.0
822,Sri Lanka,2100,87.0
823,Sudan,1700,19.0
824,Sudan,1800,30.0
825,Sudan,1900,44.0
826,Sudan,2000,37.0
827,Sudan,2023,31.0
828,Sudan,2100,16.0
829,Suriname,1800,155.0
830,Suriname,1900,165.0
831,Suriname,2000,165.0
832,Suriname,2023,167.0
833,Suriname,2100,168.0
834,Swaziland,1800,152.0
835,Swaziland,1900,163.0
836,Swaziland,2000,153.0
837,Swaziland,2023,158.0
838,Swaziland,2100,147.0
839,Sweden,1700,32.0
840,Sweden,1800,45.0
841,Sweden,1900,39.0
842,Sweden,2000,82.0
843,Sweden,2023,90.0
844,Sweden,2100,91.0
845,Switzerland,1700,37.0
846,Switzerland,1800,62.0
847,Switzerland,1900,60.0
848,Switzerland,2000,93.0
849,Switzerland,2023,101.0
850,Switzerland,2100,98.0
851,Syria,1800,70.0
852,Syria,1900,91.0
853,Syria,2000,56.0
854,Syria,2023,62.0
855,Syria,2100,60.0
856,Taiwan,1800,58.0
857,Taiwan,1900,67.0
858,Taiwan,2000,47.0
859,Taiwan,2023,57.0
860,Taiwan,2100,84.0
861,Tajikistan,1800,110.0
862,Tajikistan,1900,112.0
863,Tajikistan,2000,98.0
864,Tajikistan,2023,93.0
865,Tajikistan,2100,70.0
866,Tanzania,1800,36.0
867,Tanzania,1900,42.0
868,Tanzania,2000,32.0
869,Tanzania,2023,23.0
870,Tanzania,2100,9.0
871,Thailand,1800,37.0
872,Thailand,1900,29.0
873,Thailand,2000,19.0
874,Thailand,2023,20.0
875,Thailand,2100,50.0
876,Timor-Leste,1800,144.0
877,Timor-Leste,1900,140.0
878,Timor-Leste,2000,155.0
879,Timor-Leste,2023,154.0
880,Timor-Leste,2100,143.0
881,Togo,1800,112.0
882,Togo,1900,122.0
883,Togo,2000,111.0
884,Togo,2023,100.0
885,Togo,2100,69.0
886,Tonga,1700,58.0
887,Tonga,1800,182.0
888,Tonga,1900,187.0
889,Tonga,2000,183.0
890,Tonga,2023,184.0
891,Tonga,2100,180.0
892,Trinidad and Tobago,1800,180.0
893,Trinidad and Tobago,1900,147.0
894,Trinidad and Tobago,2000,149.0
895,Trinidad and Tobago,2023,153.0
896,Trinidad and Tobago,2100,161.0
897,Tunisia,1700,44.0
898,Tunisia,1800,91.0
899,Tunisia,1900,85.0
900,Tunisia,2000,80.0
901,Tunisia,2023,80.0
902,Tunisia,2100,92.0
903,Turkey,1700,12.0
904,Turkey,1800,16.0
905,Turkey,1900,19.0
906,Turkey,2000,18.0
907,Turkey,2023,18.0
908,Turkey,2100,28.0
909,Turkmenistan,1800,118.0
910,Turkmenistan,1900,121.0
911,Turkmenistan,2000,114.0
912,Turkmenistan,2023,113.0
913,Turkmenistan,2100,107.0
914,Tuvalu,1800,194.0
915,Tuvalu,1900,195.0
916,Tuvalu,2000,196.0
917,Tuvalu,2023,195.0
918,Tuvalu,2100,194.0
919,Uganda,1800,46.0
920,Uganda,1900,59.0
921,Uganda,2000,42.0
922,Uganda,2023,30.0
923,Uganda,2100,18.0
924,Ukraine,1700,16.0
925,Ukraine,1800,14.0
926,Ukraine,1900,13.0
927,Ukraine,2000,23.0
928,Ukraine,2023,36.0
929,Ukraine,2100,72.0
930,United Arab Emirates,1800,168.0
931,United Arab Emirates,1900,176.0
932,United Arab Emirates,2000,129.0
933,United Arab Emirates,2023,92.0
934,United Arab Emirates,2100,93.0
935,United Kingdom,1700,13.0
936,United Kingdom,1800,15.0
937,United Kingdom,1900,7.0
938,United Kingdom,2000,21.0
939,United Kingdom,2023,21.0
940,United Kingdom,2100,34.0
941,United States,1700,41.0
942,United States,1800,21.0
943,United States,1900,3.0
944,United States,2000,3.0
945,United States,2023,3.0
946,United States,2100,4.0
