date,GPRD_MA30,GPRD_MA7,GPRD
2020-09-21,81.06798,77.16446,52.91642
2020-09-22,83.38194,74.08561,94.38795
2020-09-23,83.07954,71.18498,62.16615
2020-09-24,82.37572,66.15497,64.86752
2020-09-25,80.69839,61.72863,55.35139
2020-09-26,77.36373,61.28539,42.05408
2020-09-27,77.29533,61.97224,62.06216
2020-09-28,79.27092,69.32812,104.40757
2020-09-29,82.49674,70.8671,105.16089
2020-09-30,83.04108,76.98065,104.96095
2020-10-01,82.02876,78.57055,75.99683
2020-10-02,81.78607,85.22395,101.92516
2020-10-03,80.12543,85.56213,44.42141
2020-10-04,79.44891,87.35431,74.60738
2020-10-05,79.77581,81.99902,66.92056
2020-10-06,81.68287,79.21987,85.70679
2020-10-07,79.47375,76.11864,83.25236
2020-10-08,80.97517,81.49709,113.64591
2020-10-09,82.11669,78.58892,81.56802
2020-10-10,79.14477,80.25576,56.08929
2020-10-11,75.64305,75.43983,40.8959
2020-10-12,76.04547,75.55384,67.71859
2020-10-13,75.7905,74.46542,78.08782
2020-10-14,75.13667,69.38565,47.69404
2020-10-15,74.87106,68.57504,107.97157
2020-10-16,76.23885,74.56596,123.50452
2020-10-17,74.44311,73.15397,46.20535
2020-10-18,73.20109,74.32243,49.07508
2020-10-19,74.86978,78.25084,95.21753
2020-10-20,76.25038,81.19147,98.67223
2020-10-21,76.88691,84.66552,72.01234
2020-10-22,77.12773,83.75708,101.6125
2020-10-23,77.24638,75.50294,65.72556
2020-10-24,77.3116,78.44849,66.82413
2020-10-25,77.03278,78.15015,46.98677
2020-10-26,78.62877,77.39536,89.93397
2020-10-27,80.90846,81.93543,130.45274
2020-10-28,80.1546,83.3325,81.79179
2020-10-29,79.63737,81.62274,89.64423
2020-10-30,78.81731,83.7132,80.35879
2020-10-31,76.73431,76.09646,13.5069
2020-11-01,74.99902,76.50786,49.86661
2020-11-02,75.40582,71.74945,56.62509
2020-11-03,78.33998,76.34657,162.63252
2020-11-04,80.42816,83.17143,129.56587
2020-11-05,79.89282,80.31463,69.64662
2020-11-06,79.21526,77.82413,62.9253
2020-11-07,76.83298,81.91995,42.17765
2020-11-08,75.60956,81.20551,44.86548
2020-11-09,77.25324,88.17333,105.39988
2020-11-10,77.84304,73.31006,58.58963
2020-11-11,78.85006,68.79057,97.92937
2020-11-12,78.00914,66.39249,52.86012
2020-11-13,78.72574,67.28773,69.19202
2020-11-14,76.25341,66.09117,33.80171
2020-11-15,74.35607,69.19386,66.58427
2020-11-16,75.16908,64.22183,70.5957
2020-11-17,75.06048,62.39717,45.81698
2020-11-18,75.54461,64.08462,109.74151
2020-11-19,73.89027,63.53918,49.04205
2020-11-20,74.62838,67.10542,94.15567
2020-11-21,72.81871,69.03694,47.3224
2020-11-22,72.25566,66.50117,48.83392
2020-11-23,71.25336,61.66683,36.75526
2020-11-24,73.1636,70.02065,104.29373
2020-11-25,70.94449,57.68055,23.36084
2020-11-26,68.90015,60.54921,69.1226
2020-11-27,68.51953,57.15171,70.37321
2020-11-28,68.55976,63.37008,90.85101
2020-11-29,69.25504,70.85343,101.21735
2020-11-30,70.36489,72.28873,46.80237
2020-12-01,73.02463,75.91228,129.65858
2020-12-02,74.21286,85.75674,92.27209
2020-12-03,71.05137,85.56607,67.78788
2020-12-04,68.02145,81.03677,38.66811
2020-12-05,67.31106,74.96307,48.33513
2020-12-06,67.34725,69.64787,64.01097
2020-12-07,67.77608,70.82506,55.04267
2020-12-08,68.91307,63.58457,78.97512
2020-12-09,67.49101,59.36541,62.73803
2020-12-10,68.71882,63.3134,95.42376
2020-12-11,66.88295,63.9113,42.8534
2020-12-12,66.81969,64.28664,50.96258
2020-12-13,65.45103,59.16111,28.13221
2020-12-14,65.31759,55.55476,29.79821
2020-12-15,66.08241,57.06244,89.52886
2020-12-16,65.47958,55.60143,52.51098
2020-12-17,67.0565,55.27295,93.1244
2020-12-18,66.06481,60.57832,79.99098
2020-12-19,66.63613,62.75248,66.18169
2020-12-20,63.79206,59.99552,8.83351
2020-12-21,65.25206,68.75612,91.12241
2020-12-22,65.71371,64.92103,62.68323
2020-12-23,66.77531,67.21996,68.60347
2020-12-24,65.13212,61.77332,54.99793
2020-12-25,65.96147,57.23765,48.24128
2020-12-26,65.37884,55.16077,51.64359
2020-12-27,63.98222,57.96667,28.47479
2020-12-28,62.33409,50.86448,41.4071
2020-12-29,61.26057,51.76857,69.01183
2020-12-30,61.67226,50.4185,59.153
2020-12-31,60.04345,54.1037,80.79433
2021-01-01,59.14346,56.5367,65.27227
2021-01-02,58.19837,54.79266,39.43533
2021-01-03,57.54403,53.44452,19.03774
2021-01-04,59.24377,61.71884,99.32736
2021-01-05,61.1718,69.26743,121.85195
2021-01-06,62.8894,76.04136,106.57054
2021-01-07,62.06476,72.24731,54.236
2021-01-08,62.56481,74.02835,77.73952
2021-01-09,62.2037,80.4791,84.59059
2021-01-10,63.13576,87.87585,70.81499
2021-01-11,64.24176,85.70662,84.14276
2021-01-12,68.96653,92.56709,169.87527
2021-01-13,70.18995,86.84283,66.50073
2021-01-14,69.27601,87.96779,62.11065
2021-01-15,69.45797,85.14356,57.96994
2021-01-16,68.75423,83.34667,72.01234
2021-01-17,68.46531,83.41927,71.32323
2021-01-18,69.40879,84.89688,94.48599
2021-01-19,71.33661,70.15298,66.66803
2021-01-20,71.21542,73.15099,87.48679
2021-01-21,70.70715,71.05452,47.43534
2021-01-22,71.54416,76.16074,93.71348
2021-01-23,71.59177,73.9342,56.42651
2021-01-24,71.11915,68.61122,34.06239
2021-01-25,74.07919,75.1768,140.44511
2021-01-26,74.80517,72.83192,50.25387
2021-01-27,75.7197,70.16854,68.84309
2021-01-28,77.17884,79.50436,112.78604
2021-01-29,77.31431,75.14771,63.21694
2021-01-30,76.68507,75.93208,61.91715
2021-01-31,75.30561,74.47871,23.88871
2021-02-01,75.99265,62.99319,60.04654
2021-02-02,81.76949,83.29159,192.34264
2021-02-03,80.78931,83.44576,69.92228
2021-02-04,79.33374,78.50272,78.18482
2021-02-05,79.32956,84.67816,106.44498
2021-02-06,79.62386,84.84212,63.06491
2021-02-07,78.64842,88.35468,48.4766
2021-02-08,78.25552,90.17713,72.80369
2021-02-09,77.93712,71.45144,61.26281
2021-02-10,77.62994,72.16642,74.92713
2021-02-11,74.08273,70.06275,63.45915
2021-02-12,74.3102,65.33134,73.32507
2021-02-13,73.46056,61.55368,36.62135
2021-02-14,72.37112,58.24085,25.28678
2021-02-15,72.01207,56.589,61.24075
2021-02-16,72.69333,60.94587,91.76087
2021-02-17,73.02274,65.15179,104.36857
2021-02-18,71.9229,60.89661,33.67286
2021-02-19,71.84521,62.58674,85.15598
2021-02-20,71.05598,60.74914,23.75817
