,"U.S. Home Price and Related data, for Figure 3.1 in Robert J. Shiller, Irrational Exuberance, 3rd. Edition, Princeton University Press, 2015, as updated by author",Unnamed: 1
0,See the book for description of data.,
1,"Monthly data from January 1953 for prices, all other data are annual.",
2,,Real
3,,Home
4,,Price
5,Date,Index
386,1979.4583333333094,121.47921708254175
387,1979.5416666666426,121.49916445735774
388,1979.624999999976,121.55866682987812
389,1979.7083333333092,121.258983138431
390,1979.7916666666424,121.3357475032108
391,1979.8749999999757,121.0680901324772
392,1979.958333333309,120.53902118758833
393,1980.0416666666422,119.4618092045352
394,1980.1249999999754,118.49056818180233
395,1980.2083333333087,117.70916060392211
396,1980.291666666642,117.48171232220365
397,1980.3749999999752,117.14364682710014
398,1980.4583333333085,116.5699755505989
399,1980.5416666666417,117.37981268708705
400,1980.624999999975,117.22018349372713
401,1980.7083333333082,116.80884855230636
402,1980.7916666666415,116.18377552639136
403,1980.8749999999748,115.69804832810486
404,1980.958333333308,115.07926049407496
405,1981.0416666666413,114.5050380632267
406,1981.1249999999745,113.78784131807497
407,1981.2083333333078,113.68853932246515
408,1981.291666666641,113.93158660085865
409,1981.3749999999743,113.8321760612441
410,1981.4583333333076,113.56153416778267
411,1981.5416666666408,112.90810266721637
412,1981.624999999974,112.6290516483938
413,1981.7083333333073,111.74805828352963
414,1981.7916666666406,111.65309772419393
415,1981.8749999999739,111.30018434712801
416,1981.958333333307,111.03147069322729
417,1982.0416666666404,110.7508523790274
418,1982.1249999999736,110.57605992498316
419,1982.2083333333069,110.64552208569827
420,1982.2916666666401,110.33473098178911
421,1982.3749999999734,109.44559691457003
422,1982.4583333333067,108.0850130472839
423,1982.54166666664,107.50220120334717
424,1982.6249999999732,107.2339530458377
425,1982.7083333333064,107.05204037396213
426,1982.7916666666397,106.72499748076267
427,1982.874999999973,106.94935379020578
428,1982.9583333333062,107.56525081793609
429,1983.0416666666395,107.70190255168139
430,1983.1249999999727,108.14922543455278
431,1983.208333333306,108.59727909475413
432,1983.2916666666392,108.37968279781649
433,1983.3749999999725,108.26556383649816
434,1983.4583333333057,108.47030401531822
435,1983.541666666639,108.65284741876327
436,1983.6249999999723,108.80801765798392
437,1983.7083333333055,108.55461486243607
438,1983.7916666666388,108.43343709149488
439,1983.874999999972,108.3671467614365
440,1983.9583333333053,108.54321447810074
441,1984.0416666666385,108.21907328847199
442,1984.1249999999718,108.03753004539502
443,1984.208333333305,108.3191100508576
444,1984.2916666666383,108.39981368186854
445,1984.3749999999716,108.76819982418536
446,1984.4583333333048,109.07874313960872
447,1984.541666666638,109.25980560000077
448,1984.6249999999714,109.36372118132397
449,1984.7083333333046,109.16288205251128
450,1984.7916666666379,109.05304783361561
451,1984.8749999999711,109.06727205585341
452,1984.9583333333044,109.302987738651
453,1985.0416666666376,109.4689633214099
454,1985.124999999971,109.44514177851904
455,1985.2083333333042,109.65912231037976
456,1985.2916666666374,109.8908189771222
457,1985.3749999999707,110.32070044450879
458,1985.458333333304,110.80457610637659
459,1985.5416666666372,111.38899462334369
460,1985.6249999999704,111.94945508678497
461,1985.7083333333037,112.36049190767397
462,1985.791666666637,112.58283840128405
463,1985.8749999999702,112.88741344410226
464,1985.9583333333035,113.17661286361461
465,1986.0416666666367,113.54232138962283
466,1986.12499999997,114.52740271478558
467,1986.2083333333032,115.92102191754886
468,1986.2916666666365,117.20633946290032
469,1986.3749999999698,117.99556612911513
470,1986.458333333303,118.5136532013063
471,1986.5416666666363,119.69001586560722
472,1986.6249999999695,120.50558247148922
473,1986.7083333333028,120.85005424683544
474,1986.791666666636,121.41946063538727
475,1986.8749999999693,121.91418538340302
476,1986.9583333333026,122.70234852418143
477,1987.0416666666358,122.67461367714364
478,1987.124999999969,123.00184783274987
479,1987.2083333333023,123.09647725206642
480,1987.2916666666356,123.40182261899585
481,1987.3749999999688,124.05322591899487
482,1987.458333333302,124.87724890190648
483,1987.5416666666354,125.60851045931344
484,1987.6249999999686,125.8493835305662
485,1987.7083333333019,125.8514425891399
486,1987.7916666666351,126.04361077030914
487,1987.8749999999684,126.28668267767752
488,1987.9583333333017,126.750228914877
489,1988.041666666635,126.85987903448093
490,1988.1249999999682,127.14604305464516
491,1988.2083333333014,127.34787967533896
492,1988.2916666666347,127.54139585677416
493,1988.374999999968,128.23444005618515
494,1988.4583333333012,128.88605827202463
495,1988.5416666666345,129.45814476733602
496,1988.6249999999677,129.8114508700157
497,1988.708333333301,129.6393833755791
498,1988.7916666666342,129.65122621650667
499,1988.8749999999675,129.97388897300243
500,1988.9583333333007,130.13639070813807
501,1989.041666666634,130.08530131469288
502,1989.1249999999673,130.16628716522413
503,1989.2083333333005,130.19457530774818
504,1989.2916666666338,130.14630496357836
505,1989.374999999967,130.15189445559497
506,1989.4583333333003,130.52694368121814
507,1989.5416666666335,130.80902188176722
508,1989.6249999999668,130.9957469658582
509,1989.7083333333,130.82819275664275
510,1989.7916666666333,130.3139517188
511,1989.8749999999666,130.05611991355923
512,1989.9583333332998,129.80742405662036
513,1990.041666666633,128.5298855254818
514,1990.1249999999663,128.02770150415517
515,1990.2083333332996,127.66886013970002
516,1990.2916666666329,127.8857683146021
517,1990.3749999999661,128.01610336741302
518,1990.4583333332994,127.66558107272182
519,1990.5416666666326,127.26139244162049
520,1990.624999999966,125.96762760679199
521,1990.7083333332992,124.51870824670621
522,1990.7916666666324,123.26604594997056
523,1990.8749999999657,122.1388903482549
524,1990.958333333299,121.48481759994151
525,1991.0416666666322,120.06489207173182
526,1991.1249999999654,119.44547473795048
527,1991.2083333332987,119.09417015507917
528,1991.291666666632,119.19337472657966
529,1991.3749999999652,119.55974890958777
530,1991.4583333332985,119.97116786426011
531,1991.5416666666317,120.19717990433732
532,1991.624999999965,119.96582591207006
533,1991.7083333332982,119.4193600465415
534,1991.7916666666315,118.80014509942784
535,1991.8749999999648,118.06244399172198
536,1991.958333333298,117.66494721173274
537,1992.0416666666313,117.28227318822908
538,1992.1249999999645,116.78970522983646
539,1992.2083333332978,116.4485916421388
540,1992.291666666631,116.69117986777998
541,1992.3749999999643,117.01271983107677
542,1992.4583333332976,116.90828397813937
543,1992.5416666666308,116.82618104964538
544,1992.624999999964,116.52641497005035
545,1992.7083333332973,116.04208513152713
546,1992.7916666666306,115.58764062617803
547,1992.8749999999638,115.39771780152397
548,1992.958333333297,115.30713891687103
549,1993.0416666666304,114.63607928672938
550,1993.1249999999636,114.13535093711036
551,1993.2083333332969,113.81989715160525
552,1993.2916666666301,113.9153315014361
553,1993.3749999999634,114.30488038978837
554,1993.4583333332967,114.86523981722125
555,1993.54166666663,115.41202663163041
556,1993.6249999999632,115.45672644756827
557,1993.7083333332964,115.31976652433622
558,1993.7916666666297,114.80962781089224
559,1993.874999999963,114.72941563171402
560,1993.9583333332962,114.64723123656235
561,1994.0416666666295,114.45796179516795
562,1994.1249999999627,114.07660430887593
563,1994.208333333296,113.89989082106204
564,1994.2916666666292,114.26068062182996
565,1994.3749999999625,114.92015307625836
566,1994.4583333332957,115.2446705384602
567,1994.541666666629,115.45455169911092
568,1994.6249999999623,115.3529572265111
569,1994.7083333332955,115.07419048564304
570,1994.7916666666288,114.94426126863343
571,1994.874999999962,114.59773354938794
572,1994.9583333332953,114.46909250143725
573,1995.0416666666285,113.94237174486817
574,1995.1249999999618,113.44678121246484
575,1995.208333333295,113.19790539561473
576,1995.2916666666283,113.23803126544973
577,1995.3749999999616,113.46751798224184
578,1995.4583333332948,113.77186926884939
579,1995.541666666628,114.25313300314647
580,1995.6249999999613,114.29429828744944
581,1995.7083333332946,114.18920305687847
582,1995.7916666666279,113.80381378583516
583,1995.8749999999611,113.74417172100327
584,1995.9583333332944,113.65517877527311
585,1996.0416666666276,112.87488498602113
586,1996.124999999961,112.47324062219624
587,1996.2083333332941,112.26089772151883
588,1996.2916666666274,112.45695062812723
589,1996.3749999999607,112.89463888872234
590,1996.458333333294,113.43570071105233
591,1996.5416666666272,113.72593781052139
592,1996.6249999999604,113.81918669597373
593,1996.7083333332937,113.53583349197005
594,1996.791666666627,113.0771985296533
595,1996.8749999999602,112.76482031777083
596,1996.9583333332935,112.67442821696936
597,1997.0416666666267,112.3727797611056
598,1997.12499999996,112.10653839818133
599,1997.2083333332932,112.24886861479115
600,1997.2916666666265,112.6616964844343
601,1997.3749999999598,113.46312914851535
602,1997.458333333293,114.03436386954492
603,1997.5416666666263,114.48152379522988
604,1997.6249999999595,114.67911821237313
605,1997.7083333332928,114.60693473600625
606,1997.791666666626,114.45169093393604
607,1997.8749999999593,114.81801375376727
608,1997.9583333332926,115.24824147479367
609,1998.0416666666258,115.45270296968482
610,1998.124999999959,115.51763490360301
611,1998.2083333332923,115.96753071065501
612,1998.2916666666256,116.64883127735577
613,1998.3749999999588,117.5063698042555
614,1998.458333333292,118.43861851207146
615,1998.5416666666254,119.1640493362761
616,1998.6249999999586,119.73449235955438
617,1998.7083333332919,120.03934423543812
618,1998.7916666666251,120.06882947476355
619,1998.8749999999584,120.32585794908664
620,1998.9583333332916,120.7217328895287
621,1999.041666666625,120.77945657473155
622,1999.1249999999582,120.97991179959736
623,1999.2083333332914,121.43159041287493
624,1999.2916666666247,121.61954297268865
