,Date,Base rate
4604,1983-08-10,9.5625
4658,1983-10-03,9.0625
4814,1984-03-07,8.8125
4821,1984-03-14,8.5625
4878,1984-05-10,9.0625
4928,1984-06-29,8.875
4935,1984-07-06,10.0
4940,1984-07-11,12.0
4968,1984-08-08,11.5
4969,1984-08-09,11.0
4976,1984-08-16,10.75
4977,1984-08-17,10.5
5057,1984-11-05,10.0
5071,1984-11-19,9.75
5075,1984-11-23,9.5
5127,1985-01-14,11.875
5141,1985-01-28,13.875
5192,1985-03-20,13.375
5200,1985-03-28,12.875
5222,1985-04-19,12.375
5305,1985-07-11,11.875
5320,1985-07-26,11.375
5493,1986-01-15,12.375
5556,1986-03-19,11.375
5579,1986-04-11,10.875
5586,1986-04-18,10.375
5621,1986-05-23,9.875
5766,1986-10-15,10.875
5911,1987-03-09,10.375
5920,1987-03-18,9.875
5961,1987-04-28,9.375
5971,1987-05-08,8.875
6061,1987-08-06,9.875
6139,1987-10-23,9.375
6151,1987-11-04,8.875
6180,1987-12-03,8.375
6240,1988-02-01,8.875
6285,1988-03-17,8.375
6307,1988-04-08,7.875
6346,1988-05-17,7.375
6363,1988-06-03,7.875
6370,1988-06-10,8.375
6384,1988-06-24,8.875
6397,1988-07-07,9.875
6411,1988-07-21,10.375
6429,1988-08-08,10.875
6446,1988-08-25,11.875
6538,1988-11-25,12.875
6719,1989-05-25,13.75
6817,1989-08-31,13.8438
6821,1989-09-04,13.875
6825,1989-09-08,13.75
6853,1989-10-06,14.875
7220,1990-10-08,13.875
7348,1991-02-13,13.375
7362,1991-02-27,12.875
7385,1991-03-22,12.375
7406,1991-04-12,11.875
7448,1991-05-24,11.375
7497,1991-07-12,10.875
7551,1991-09-04,10.375
7795,1992-05-05,9.875
7935,1992-09-22,8.875
7959,1992-10-16,7.875
7987,1992-11-13,6.875
8061,1993-01-26,5.875
8362,1993-11-23,5.375
8439,1994-02-08,5.125
8656,1994-09-13,5.625
8741,1994-12-07,6.125
8798,1995-02-02,6.625
9112,1995-12-13,6.375
9148,1996-01-18,6.125
9198,1996-03-08,5.9375
9288,1996-06-06,5.6875
9434,1996-10-30,5.9375
9622,1997-05-06,6.25
9653,1997-06-06,6.5
9687,1997-07-10,6.75
9715,1997-08-07,7.0
9806,1997-11-06,7.25
10016,1998-06-04,7.5
10142,1998-10-08,7.25
10170,1998-11-05,6.75
10205,1998-12-10,6.25
10233,1999-01-07,6.0
10261,1999-02-04,5.5
10324,1999-04-08,5.25
10387,1999-06-10,5.0
10477,1999-09-08,5.25
10534,1999-11-04,5.5
10604,2000-01-13,5.75
10632,2000-02-10,6.0
10996,2001-02-08,5.75
11052,2001-04-05,5.5
11087,2001-05-10,5.25
11171,2001-08-02,5.0
11218,2001-09-18,4.75
11234,2001-10-04,4.5
11269,2001-11-08,4.0
11724,2003-02-06,3.75
11878,2003-07-10,3.5
11997,2003-11-06,3.75
12088,2004-02-05,4.0
12179,2004-05-06,4.25
12214,2004-06-10,4.5
12270,2004-08-05,4.75
12634,2005-08-04,4.5
12998,2006-08-03,4.75
13096,2006-11-09,5.0
13159,2007-01-11,5.25
13278,2007-05-10,5.5
13334,2007-07-05,5.75
13488,2007-12-06,5.5
13551,2008-02-07,5.25
13614,2008-04-10,5.0
13795,2008-10-08,4.5
13824,2008-11-06,3.0
13852,2008-12-04,2.0
13887,2009-01-08,1.5
13915,2009-02-05,1.0
13943,2009-03-05,0.5
16652,2016-08-04,0.25
17106,2017-11-01,0.5
17380,2018-08-02,0.75
17967,2020-03-11,0.25
17975,2020-03-19,0.1
18612,2021-12-16,0.25
18661,2022-02-03,0.5
18703,2022-03-17,0.75
18752,2022-05-05,1.0
18794,2022-06-16,1.25
18843,2022-08-04,1.75
18892,2022-09-22,2.25
18934,2022-11-03,3.0
18976,2022-12-15,3.5
19025,2023-02-02,4.0
19046,2023-02-23,4.25
19123,2023-05-11,4.5
19165,2023-06-22,5.0
