,code,continent,country,internal_conf_icrg_g_21_20 (in %),log_totaldeathspermil2021_2020,internal_conf_icrg_21minus20,general_internalconf_g
147,PER,South America,Peru,17.04999923706055,8.712093353271484,0.619999885559082,1
148,PHL,Asia,Philippines,10.38000011444092,6.139453411102295,0.4600000381469727,1
150,PNG,Oceania,Papua New Guinea,-5.670000076293945,4.169761180877686,-0.3400001525878906,1
151,POL,Europe,Poland,10.77000045776367,7.85079288482666,0.2899999618530273,1
153,PRT,Europe,Portugal,2.779999971389771,7.530587196350098,0.07999992370605469,1
154,PRY,South America,Paraguay,-4.309999942779541,7.741798400878906,-0.1999998092651367,1
157,QAT,Asia,Qatar,-1.350000023841858,5.35128927230835,-0.03999996185302734,1
159,ROU,Europe,Romania,5.809999942779541,8.029937744140625,0.2100000381469727,1
160,RUS,Europe,Russian Federation,-2.440000057220459,7.637398242950439,-0.130000114440918,1
162,SAU,Asia,Saudi Arabia,-4.0,5.526169776916504,-0.1700000762939453,1
163,SDN,Africa,Sudan,13.39000034332275,4.306359767913818,0.7100000381469727,1
164,SEN,Africa,Senegal,4.5,4.699661731719971,0.1999998092651367,1
165,SGP,Asia,Singapore,-11.10999965667725,5.022761344909668,-0.380000114440918,1
167,SLE,Africa,Sierra Leone,-3.75,2.715356826782227,-0.119999885559082,1
168,SLV,North America,El Salvador,14.10000038146973,6.374411582946777,0.4600000381469727,1
170,SOM,Africa,Somalia,5.0,4.400357723236084,0.3299999237060547,0
171,SRB,Europe,Serbia,-2.859999895095825,7.523070812225342,-0.130000114440918,1
174,SUR,South America,Suriname,-6.800000190734863,7.605457305908203,-0.2899999618530273,0
175,SVK,Europe,Slovak Republic,11.67000007629395,8.023781776428223,0.2899999618530273,1
176,SVN,Europe,Slovenia,12.11999988555908,7.896801948547363,0.3299999237060547,1
177,SWE,Europe,Sweden,1.389999985694885,7.317790031433105,0.03999996185302734,1
181,SYR,Asia,Syrian Arab Republic,7.840000152587891,5.06588077545166,0.5,0
184,TGO,Africa,Togo,-1.019999980926514,3.375879526138306,-0.03999996185302734,1
185,THA,Asia,Thailand,5.110000133514404,5.737185001373291,0.2899999618530273,1
190,TTO,North America,Trinidad and Tobago,-2.380000114440918,7.62283992767334,-0.07999992370605469,1
191,TUN,Africa,Tunisia,8.270000457763672,7.66959810256958,0.4600000381469727,1
192,TUR,Asia,Turkey,5.599999904632568,6.875717639923096,0.2899999618530273,1
193,TZA,Africa,Tanzania,-7.869999885559082,2.483238458633423,-0.2899999618530273,1
194,UGA,Africa,Uganda,3.049999952316284,4.247065544128418,0.1700000762939453,1
195,UKR,Europe,Ukraine,8.260000228881836,7.76159143447876,0.380000114440918,1
196,URY,South America,Uruguay,2.039999961853027,7.478943824768066,0.03999996185302734,1
197,USA,North America,United States,-2.670000076293945,7.81797981262207,-0.09000015258789062,1
200,VEN,South America,"Venezuela, RB",4.849999904632568,5.223647594451904,0.2100000381469727,0
202,VNM,Asia,Vietnam,1.669999957084656,5.799032211303711,0.03999996185302734,1
205,YEM,Asia,"Yemen, Rep.",5.480000019073486,4.175463676452637,0.3400001525878906,0
207,ZAF,Africa,South Africa,10.97999954223633,7.325161933898926,0.369999885559082,1
209,ZMB,Africa,Zambia,0.0,5.284978866577148,0.0,1
210,ZWE,Africa,Zimbabwe,-7.690000057220459,5.803808689117432,-0.3299999237060547,0
