,weekx,week3,looknew,m_looknew,min_looknew,max_looknew
38,2020-09-23,39,4.145514011383057,5.1817522048950195,4.914305686950684,6.618128776550293
39,2020-10-07,41,5.920418739318848,6.5628581047058105,5.906083583831787,7.275190830230713
40,2020-10-14,18/10/20,5.276649475097656,6.184814929962158,5.10599422454834,6.738248348236084
41,2020-10-21,43,4.525004863739014,5.701864719390869,5.039492607116699,6.603504180908203
42,2020-10-28,44,4.42488431930542,5.495584487915039,5.184934139251709,6.6775126457214355
43,2020-11-04,45,4.376833915710449,5.338852405548096,4.760850429534912,6.72983455657959
44,2020-11-11,46,4.748347282409668,5.572624683380127,5.149260520935059,6.4980573654174805
45,2020-11-18,47,3.9304370880126953,5.629472732543945,5.151620388031006,7.180179119110107
46,2020-11-25,29/11/20,4.908426284790039,6.001132488250732,5.144665241241455,6.334160804748535
47,2020-12-02,49,4.504318714141846,6.112896919250488,5.095031261444092,6.270951747894287
48,2020-12-09,50,5.258183002471924,5.532121658325195,4.648415565490723,6.157124996185303
49,2020-12-16,51,4.694446563720703,5.031054496765137,4.550937652587891,6.634559631347656
50,2020-12-23,27/12/20,3.392575979232788,5.2915239334106445,3.9517250061035156,5.9578752517700195
51,2021-01-01,3/1/21,4.293151378631592,5.78057336807251,4.0264973640441895,7.038651943206787
52,2021-01-08,54,5.014948844909668,6.187642574310303,5.740975379943848,6.679516792297363
53,2021-01-15,55,4.41547966003418,6.244230270385742,5.234304428100586,7.303278923034668
54,2021-01-22,56,4.441887855529785,5.9980998039245605,5.785892009735107,7.140300273895264
55,2021-01-29,31/1/21,4.051828384399414,5.995999813079834,5.666402816772461,7.255370140075684
56,2021-02-05,7/2/21,4.049778461456299,6.186352729797363,5.500463485717773,6.337332725524902
57,2021-02-12,59,5.5109076499938965,5.95461368560791,5.847036361694336,7.408490180969238
58,2021-02-19,60,4.075611591339111,6.236264705657959,5.910351276397705,6.886567115783691
59,2021-02-26,61,4.1928019523620605,5.641491889953613,5.396514415740967,5.910261631011963
60,2021-03-05,7/3/21,4.260872840881348,5.202106475830078,4.909146785736084,6.839993476867676
61,2021-03-12,63,4.850931644439697,6.621895790100098,4.804501533508301,6.881343364715576
62,2021-03-19,64,5.0725417137146,5.728529453277588,5.134232044219971,6.703396320343018
63,2021-03-26,65,4.311025142669678,5.931099891662598,5.371888160705566,6.389071941375732
64,2021-04-02,66,4.962520599365234,5.8550825119018555,4.153244495391846,6.109434127807617
65,2021-04-09,67,4.834109306335449,4.999955177307129,4.490418434143066,7.406187057495117
66,2021-04-16,18/4/21,4.955950736999512,5.263858795166016,5.124302864074707,6.100313186645508
67,2021-04-23,69,4.218886375427246,5.746740818023682,5.393110752105713,6.286177635192871
68,2021-04-30,70,4.0635786056518555,5.912998199462891,5.399046897888184,5.950016498565674
69,2021-05-07,71,4.756272792816162,5.763863563537598,5.1011528968811035,6.357052803039551
70,2021-05-14,72,5.459322929382324,6.225754737854004,5.645063877105713,6.2681660652160645
71,2021-05-21,73,4.9063801765441895,5.600539684295654,5.135584354400635,6.2371721267700195
72,2021-05-28,74,4.813493251800537,5.6537909507751465,5.176583290100098,5.850435256958008
73,2021-06-04,75,4.801875591278076,5.975894927978516,4.176097869873047,6.3993072509765625
74,2021-06-11,76,4.731487274169922,5.4763922691345215,4.536386013031006,5.937163352966309
75,2021-06-18,77,4.692784309387207,5.944931983947754,4.735474109649658,6.825665473937988
76,2021-06-25,30/6/21,5.391007900238037,5.182319641113281,4.470385551452637,5.809515953063965
77,2021-07-02,79,4.661790370941162,5.870208740234375,5.650698184967041,6.249624729156494
78,2021-07-09,80,4.934708595275879,5.704955577850342,5.029637336730957,6.258208274841309
79,2021-07-16,81,5.109655857086182,5.770575046539307,4.798743724822998,7.257070541381836
80,2021-07-23,82,5.736523628234863,5.8598151206970215,5.323729515075684,6.26596212387085
81,2021-07-30,83,4.212277889251709,5.516026020050049,4.946831703186035,6.923513889312744
82,2021-08-06,84,5.165271282196045,6.275542736053467,5.532924652099609,7.109772205352783
83,2021-08-13,85,5.64247465133667,5.422966957092285,4.193531513214111,7.318694114685059
84,2021-08-20,86,5.175078868865967,5.639986515045166,4.585764408111572,6.780892372131348
85,2021-08-27,87,3.5526485443115234,5.254473686218262,4.621236801147461,5.639133453369141
86,2021-09-03,3/9/21,4.806599140167236,5.351053237915039,4.611477375030518,5.450552940368652
87,2021-09-10,89,4.592764854431152,6.236320972442627,4.850162982940674,7.378133296966553
88,2021-09-17,90,4.537539005279541,5.774730682373047,5.158061504364014,6.615852355957031
89,2021-09-24,91,4.749529838562012,5.1817522048950195,4.914305686950684,6.618128776550293
90,2021-10-01,92,4.577661037445068,5.554178714752197,4.51241397857666,6.15558385848999
91,2021-10-08,93,6.231372356414795,6.5628581047058105,5.906083583831787,7.275190830230713
92,2021-10-15,94,5.113823890686035,6.184814929962158,5.10599422454834,6.738248348236084
93,2021-10-22,95,5.281228542327881,5.701864719390869,5.039492607116699,6.603504180908203
94,2021-10-29,31/10/21,4.126517295837402,5.495584487915039,5.184934139251709,6.6775126457214355
95,2021-11-05,97,5.332668781280518,5.338852405548096,4.760850429534912,6.72983455657959
96,2021-11-12,98,5.222789764404297,5.572624683380127,5.149260520935059,6.4980573654174805
97,2021-11-19,99,4.127964973449707,5.629472732543945,5.151620388031006,7.180179119110107
98,2021-11-26,100,5.232766628265381,6.001132488250732,5.144665241241455,6.334160804748535
99,2021-12-03,5/12/21,4.4875712394714355,6.112896919250488,5.095031261444092,6.270951747894287
