,date,indicator,value
179,2014-07-31,Median 5 year,2.7
180,2014-06-30,Median 1 year,3.1
181,2014-06-30,Median 5 year,2.9
182,2014-05-31,Median 1 year,3.3
183,2014-05-31,Median 5 year,2.8
184,2014-04-30,Median 1 year,3.2
185,2014-04-30,Median 5 year,2.9
186,2014-03-31,Median 1 year,3.2
187,2014-03-31,Median 5 year,2.9
188,2014-02-28,Median 1 year,3.2
189,2014-02-28,Median 5 year,2.9
190,2014-01-31,Median 1 year,3.1
191,2014-01-31,Median 5 year,2.9
192,2013-12-31,Median 1 year,3.0
193,2013-12-31,Median 5 year,2.7
194,2013-11-30,Median 1 year,2.9
195,2013-11-30,Median 5 year,2.9
196,2013-10-31,Median 1 year,3.0
197,2013-10-31,Median 5 year,2.8
198,2013-09-30,Median 1 year,3.3
199,2013-09-30,Median 5 year,3.0
200,2013-08-31,Median 1 year,3.0
201,2013-08-31,Median 5 year,2.9
202,2013-07-31,Median 1 year,3.1
203,2013-07-31,Median 5 year,2.8
204,2013-06-30,Median 1 year,3.0
205,2013-06-30,Median 5 year,2.9
206,2013-05-31,Median 1 year,3.1
207,2013-05-31,Median 5 year,2.9
208,2013-04-30,Median 1 year,3.1
209,2013-04-30,Median 5 year,2.9
210,2013-03-31,Median 1 year,3.2
211,2013-03-31,Median 5 year,2.8
212,2013-02-28,Median 1 year,3.3
213,2013-02-28,Median 5 year,3.0
214,2013-01-31,Median 1 year,3.3
215,2013-01-31,Median 5 year,2.9
216,2012-12-31,Median 1 year,3.2
217,2012-12-31,Median 5 year,2.9
218,2012-11-30,Median 1 year,3.1
219,2012-11-30,Median 5 year,2.8
220,2012-10-31,Median 1 year,3.1
221,2012-10-31,Median 5 year,2.7
222,2012-09-30,Median 1 year,3.3
223,2012-09-30,Median 5 year,2.8
224,2012-08-31,Median 1 year,3.6
225,2012-08-31,Median 5 year,3.0
226,2012-07-31,Median 1 year,3.0
227,2012-07-31,Median 5 year,2.7
228,2012-06-30,Median 1 year,3.1
229,2012-06-30,Median 5 year,2.8
230,2012-05-31,Median 1 year,3.0
231,2012-05-31,Median 5 year,2.7
232,2012-04-30,Median 1 year,3.2
233,2012-04-30,Median 5 year,2.9
234,2012-03-31,Median 1 year,3.9
235,2012-03-31,Median 5 year,3.0
236,2012-02-29,Median 1 year,3.3
237,2012-02-29,Median 5 year,2.9
238,2012-01-31,Median 1 year,3.3
239,2012-01-31,Median 5 year,2.7
240,2011-12-31,Median 1 year,3.1
241,2011-12-31,Median 5 year,2.7
242,2011-11-30,Median 1 year,3.2
243,2011-11-30,Median 5 year,2.7
244,2011-10-31,Median 1 year,3.2
245,2011-10-31,Median 5 year,2.7
246,2011-09-30,Median 1 year,3.3
247,2011-09-30,Median 5 year,2.8
248,2011-08-31,Median 1 year,3.5
249,2011-08-31,Median 5 year,2.9
250,2011-07-31,Median 1 year,3.4
251,2011-07-31,Median 5 year,2.9
252,2011-06-30,Median 1 year,3.8
253,2011-06-30,Median 5 year,3.0
254,2011-05-31,Median 1 year,4.1
255,2011-05-31,Median 5 year,2.9
256,2011-04-30,Median 1 year,4.6
257,2011-04-30,Median 5 year,2.9
258,2011-03-31,Median 1 year,4.6
259,2011-03-31,Median 5 year,3.2
260,2011-02-28,Median 1 year,3.4
261,2011-02-28,Median 5 year,2.9
262,2011-01-31,Median 1 year,3.4
263,2011-01-31,Median 5 year,2.9
264,2010-12-31,Median 1 year,3.0
265,2010-12-31,Median 5 year,2.8
266,2010-11-30,Median 1 year,3.0
267,2010-11-30,Median 5 year,2.8
268,2010-10-31,Median 1 year,2.7
269,2010-10-31,Median 5 year,2.8
270,2010-09-30,Median 1 year,2.2
271,2010-09-30,Median 5 year,2.7
272,2010-08-31,Median 1 year,2.7
273,2010-08-31,Median 5 year,2.8
274,2010-07-31,Median 1 year,2.7
275,2010-07-31,Median 5 year,2.9
276,2010-06-30,Median 1 year,2.8
277,2010-06-30,Median 5 year,2.8
278,2010-05-31,Median 1 year,3.2
279,2010-05-31,Median 5 year,2.9
280,2010-04-30,Median 1 year,2.9
281,2010-04-30,Median 5 year,2.7
282,2010-03-31,Median 1 year,2.7
283,2010-03-31,Median 5 year,2.7
284,2010-02-28,Median 1 year,2.7
285,2010-02-28,Median 5 year,2.7
286,2010-01-31,Median 1 year,2.8
287,2010-01-31,Median 5 year,2.9
288,2009-12-31,Median 1 year,2.5
289,2009-12-31,Median 5 year,2.7
