,date,indicator,value
66,2019-03-31,SD 1 year,3.1
67,2019-03-31,SD 5 year,2.2
68,2019-02-28,SD 1 year,3.1
69,2019-02-28,SD 5 year,2.7
70,2019-01-31,SD 1 year,3.0
71,2019-01-31,SD 5 year,2.5
72,2018-12-31,SD 1 year,3.4
73,2018-12-31,SD 5 year,2.7
74,2018-11-30,SD 1 year,3.5
75,2018-11-30,SD 5 year,2.7
76,2018-10-31,SD 1 year,3.6
77,2018-10-31,SD 5 year,2.5
78,2018-09-30,SD 1 year,3.2
79,2018-09-30,SD 5 year,2.7
80,2018-08-31,SD 1 year,3.6
81,2018-08-31,SD 5 year,2.8
82,2018-07-31,SD 1 year,3.6
83,2018-07-31,SD 5 year,2.6
84,2018-06-30,SD 1 year,3.5
85,2018-06-30,SD 5 year,2.9
86,2018-05-31,SD 1 year,2.9
87,2018-05-31,SD 5 year,2.5
88,2018-04-30,SD 1 year,3.1
89,2018-04-30,SD 5 year,2.5
90,2018-03-31,SD 1 year,3.0
91,2018-03-31,SD 5 year,2.5
92,2018-02-28,SD 1 year,3.1
93,2018-02-28,SD 5 year,2.6
94,2018-01-31,SD 1 year,3.1
95,2018-01-31,SD 5 year,2.4
96,2017-12-31,SD 1 year,3.1
97,2017-12-31,SD 5 year,2.6
98,2017-11-30,SD 1 year,3.1
99,2017-11-30,SD 5 year,2.7
100,2017-10-31,SD 1 year,3.1
101,2017-10-31,SD 5 year,2.4
102,2017-09-30,SD 1 year,3.3
103,2017-09-30,SD 5 year,2.9
104,2017-08-31,SD 1 year,3.3
105,2017-08-31,SD 5 year,2.5
106,2017-07-31,SD 1 year,3.0
107,2017-07-31,SD 5 year,2.3
108,2017-06-30,SD 1 year,3.5
109,2017-06-30,SD 5 year,2.9
110,2017-05-31,SD 1 year,3.3
111,2017-05-31,SD 5 year,2.6
112,2017-04-30,SD 1 year,3.3
113,2017-04-30,SD 5 year,2.6
114,2017-03-31,SD 1 year,3.3
115,2017-03-31,SD 5 year,2.9
116,2017-02-28,SD 1 year,3.4
117,2017-02-28,SD 5 year,2.8
118,2017-01-31,SD 1 year,3.4
119,2017-01-31,SD 5 year,2.7
120,2016-12-31,SD 1 year,3.3
121,2016-12-31,SD 5 year,2.9
122,2016-11-30,SD 1 year,3.3
123,2016-11-30,SD 5 year,2.9
124,2016-10-31,SD 1 year,3.2
125,2016-10-31,SD 5 year,2.7
126,2016-09-30,SD 1 year,3.2
127,2016-09-30,SD 5 year,2.7
128,2016-08-31,SD 1 year,3.6
129,2016-08-31,SD 5 year,2.6
130,2016-07-31,SD 1 year,3.3
131,2016-07-31,SD 5 year,2.8
132,2016-06-30,SD 1 year,2.9
133,2016-06-30,SD 5 year,2.4
134,2016-05-31,SD 1 year,3.3
135,2016-05-31,SD 5 year,2.3
136,2016-04-30,SD 1 year,3.6
137,2016-04-30,SD 5 year,2.7
138,2016-03-31,SD 1 year,3.2
139,2016-03-31,SD 5 year,2.8
140,2016-02-29,SD 1 year,3.7
141,2016-02-29,SD 5 year,2.9
142,2016-01-31,SD 1 year,3.7
143,2016-01-31,SD 5 year,2.9
144,2015-12-31,SD 1 year,3.5
145,2015-12-31,SD 5 year,2.6
146,2015-11-30,SD 1 year,3.2
147,2015-11-30,SD 5 year,2.5
148,2015-10-31,SD 1 year,3.5
149,2015-10-31,SD 5 year,3.0
150,2015-09-30,SD 1 year,3.3
151,2015-09-30,SD 5 year,2.6
152,2015-08-31,SD 1 year,3.9
153,2015-08-31,SD 5 year,2.9
154,2015-07-31,SD 1 year,3.6
155,2015-07-31,SD 5 year,2.8
156,2015-06-30,SD 1 year,3.4
157,2015-06-30,SD 5 year,2.8
158,2015-05-31,SD 1 year,3.2
159,2015-05-31,SD 5 year,3.0
160,2015-04-30,SD 1 year,3.1
161,2015-04-30,SD 5 year,2.5
162,2015-03-31,SD 1 year,3.2
163,2015-03-31,SD 5 year,2.6
164,2015-02-28,SD 1 year,3.8
165,2015-02-28,SD 5 year,2.8
166,2015-01-31,SD 1 year,3.6
167,2015-01-31,SD 5 year,2.7
168,2014-12-31,SD 1 year,3.2
169,2014-12-31,SD 5 year,2.6
170,2014-11-30,SD 1 year,3.7
171,2014-11-30,SD 5 year,2.7
172,2014-10-31,SD 1 year,3.5
173,2014-10-31,SD 5 year,2.7
174,2014-09-30,SD 1 year,3.7
175,2014-09-30,SD 5 year,2.8
176,2014-08-31,SD 1 year,3.9
177,2014-08-31,SD 5 year,3.0
178,2014-07-31,SD 1 year,3.4
179,2014-07-31,SD 5 year,2.8
180,2014-06-30,SD 1 year,3.2
181,2014-06-30,SD 5 year,3.0
182,2014-05-31,SD 1 year,3.9
183,2014-05-31,SD 5 year,3.1
184,2014-04-30,SD 1 year,3.4
185,2014-04-30,SD 5 year,2.9
186,2014-03-31,SD 1 year,3.9
187,2014-03-31,SD 5 year,3.1
188,2014-02-28,SD 1 year,4.2
189,2014-02-28,SD 5 year,3.2
190,2014-01-31,SD 1 year,4.0
191,2014-01-31,SD 5 year,3.0
192,2013-12-31,SD 1 year,3.9
193,2013-12-31,SD 5 year,3.2
194,2013-11-30,SD 1 year,3.8
195,2013-11-30,SD 5 year,3.3
196,2013-10-31,SD 1 year,3.6
197,2013-10-31,SD 5 year,3.2
198,2013-09-30,SD 1 year,3.7
199,2013-09-30,SD 5 year,3.1
200,2013-08-31,SD 1 year,4.3
201,2013-08-31,SD 5 year,3.5
202,2013-07-31,SD 1 year,3.8
203,2013-07-31,SD 5 year,2.6
204,2013-06-30,SD 1 year,3.7
205,2013-06-30,SD 5 year,3.0
206,2013-05-31,SD 1 year,4.4
207,2013-05-31,SD 5 year,3.7
208,2013-04-30,SD 1 year,4.0
209,2013-04-30,SD 5 year,3.2
210,2013-03-31,SD 1 year,3.7
211,2013-03-31,SD 5 year,3.1
212,2013-02-28,SD 1 year,4.5
213,2013-02-28,SD 5 year,3.5
214,2013-01-31,SD 1 year,4.0
215,2013-01-31,SD 5 year,3.3
216,2012-12-31,SD 1 year,4.4
217,2012-12-31,SD 5 year,2.8
218,2012-11-30,SD 1 year,4.7
219,2012-11-30,SD 5 year,3.5
220,2012-10-31,SD 1 year,4.3
221,2012-10-31,SD 5 year,3.6
222,2012-09-30,SD 1 year,4.3
223,2012-09-30,SD 5 year,3.4
224,2012-08-31,SD 1 year,4.1
225,2012-08-31,SD 5 year,2.9
226,2012-07-31,SD 1 year,4.2
227,2012-07-31,SD 5 year,3.0
228,2012-06-30,SD 1 year,3.9
229,2012-06-30,SD 5 year,2.8
230,2012-05-31,SD 1 year,3.8
231,2012-05-31,SD 5 year,2.8
232,2012-04-30,SD 1 year,3.9
233,2012-04-30,SD 5 year,3.4
234,2012-03-31,SD 1 year,4.3
235,2012-03-31,SD 5 year,3.0
236,2012-02-29,SD 1 year,3.7
237,2012-02-29,SD 5 year,2.8
238,2012-01-31,SD 1 year,3.7
239,2012-01-31,SD 5 year,2.6
240,2011-12-31,SD 1 year,3.9
241,2011-12-31,SD 5 year,2.9
242,2011-11-30,SD 1 year,3.8
243,2011-11-30,SD 5 year,2.6
244,2011-10-31,SD 1 year,4.0
245,2011-10-31,SD 5 year,3.0
246,2011-09-30,SD 1 year,4.2
247,2011-09-30,SD 5 year,3.1
248,2011-08-31,SD 1 year,4.2
249,2011-08-31,SD 5 year,3.4
250,2011-07-31,SD 1 year,4.2
251,2011-07-31,SD 5 year,2.8
252,2011-06-30,SD 1 year,4.6
253,2011-06-30,SD 5 year,3.3
254,2011-05-31,SD 1 year,4.2
255,2011-05-31,SD 5 year,3.1
256,2011-04-30,SD 1 year,4.5
257,2011-04-30,SD 5 year,3.3
258,2011-03-31,SD 1 year,4.1
259,2011-03-31,SD 5 year,3.2
260,2011-02-28,SD 1 year,4.5
261,2011-02-28,SD 5 year,3.0
262,2011-01-31,SD 1 year,4.5
263,2011-01-31,SD 5 year,3.0
264,2010-12-31,SD 1 year,4.6
265,2010-12-31,SD 5 year,3.1
266,2010-11-30,SD 1 year,4.1
267,2010-11-30,SD 5 year,2.8
268,2010-10-31,SD 1 year,4.2
269,2010-10-31,SD 5 year,3.1
270,2010-09-30,SD 1 year,4.3
271,2010-09-30,SD 5 year,2.7
272,2010-08-31,SD 1 year,4.2
273,2010-08-31,SD 5 year,2.8
274,2010-07-31,SD 1 year,3.9
275,2010-07-31,SD 5 year,3.1
276,2010-06-30,SD 1 year,4.0
277,2010-06-30,SD 5 year,2.7
278,2010-05-31,SD 1 year,4.1
279,2010-05-31,SD 5 year,3.0
280,2010-04-30,SD 1 year,4.5
281,2010-04-30,SD 5 year,2.9
282,2010-03-31,SD 1 year,4.5
283,2010-03-31,SD 5 year,3.1
284,2010-02-28,SD 1 year,4.5
285,2010-02-28,SD 5 year,3.7
286,2010-01-31,SD 1 year,4.4
287,2010-01-31,SD 5 year,3.3
288,2009-12-31,SD 1 year,4.5
289,2009-12-31,SD 5 year,3.3
290,2009-11-30,SD 1 year,4.6
291,2009-11-30,SD 5 year,2.9
292,2009-10-31,SD 1 year,4.5
293,2009-10-31,SD 5 year,3.2
294,2009-09-30,SD 1 year,4.9
295,2009-09-30,SD 5 year,3.6
296,2009-08-31,SD 1 year,4.8
297,2009-08-31,SD 5 year,3.3
298,2009-07-31,SD 1 year,5.2
299,2009-07-31,SD 5 year,3.7
300,2009-06-30,SD 1 year,5.3
301,2009-06-30,SD 5 year,3.2
302,2009-05-31,SD 1 year,5.2
303,2009-05-31,SD 5 year,3.3
304,2009-04-30,SD 1 year,5.5
305,2009-04-30,SD 5 year,3.5
306,2009-03-31,SD 1 year,5.7
307,2009-03-31,SD 5 year,3.5
308,2009-02-28,SD 1 year,6.5
309,2009-02-28,SD 5 year,4.1
310,2009-01-31,SD 1 year,5.8
311,2009-01-31,SD 5 year,3.8
312,2008-12-31,SD 1 year,5.8
313,2008-12-31,SD 5 year,3.5
314,2008-11-30,SD 1 year,6.1
315,2008-11-30,SD 5 year,3.7
316,2008-10-31,SD 1 year,5.2
317,2008-10-31,SD 5 year,3.3
318,2008-09-30,SD 1 year,4.9
319,2008-09-30,SD 5 year,3.4
320,2008-08-31,SD 1 year,4.9
321,2008-08-31,SD 5 year,3.5
322,2008-07-31,SD 1 year,5.3
323,2008-07-31,SD 5 year,3.8
324,2008-06-30,SD 1 year,5.7
325,2008-06-30,SD 5 year,4.0
326,2008-05-31,SD 1 year,5.4
327,2008-05-31,SD 5 year,3.7
328,2008-04-30,SD 1 year,5.1
329,2008-04-30,SD 5 year,3.5
330,2008-03-31,SD 1 year,4.4
331,2008-03-31,SD 5 year,3.2
332,2008-02-29,SD 1 year,4.3
333,2008-02-29,SD 5 year,3.1
334,2008-01-31,SD 1 year,3.5
335,2008-01-31,SD 5 year,2.8
336,2007-12-31,SD 1 year,4.6
337,2007-12-31,SD 5 year,2.9
338,2007-11-30,SD 1 year,4.1
339,2007-11-30,SD 5 year,3.3
340,2007-10-31,SD 1 year,3.6
341,2007-10-31,SD 5 year,2.5
342,2007-09-30,SD 1 year,4.6
343,2007-09-30,SD 5 year,2.9
344,2007-08-31,SD 1 year,3.9
345,2007-08-31,SD 5 year,2.6
346,2007-07-31,SD 1 year,3.8
347,2007-07-31,SD 5 year,3.1
348,2007-06-30,SD 1 year,3.7
349,2007-06-30,SD 5 year,2.9
350,2007-05-31,SD 1 year,4.1
351,2007-05-31,SD 5 year,3.1
352,2007-04-30,SD 1 year,3.5
353,2007-04-30,SD 5 year,2.9
354,2007-03-31,SD 1 year,3.4
355,2007-03-31,SD 5 year,2.7
356,2007-02-28,SD 1 year,3.2
357,2007-02-28,SD 5 year,2.5
358,2007-01-31,SD 1 year,3.4
359,2007-01-31,SD 5 year,2.9
360,2006-12-31,SD 1 year,3.6
361,2006-12-31,SD 5 year,3.1
362,2006-11-30,SD 1 year,3.4
363,2006-11-30,SD 5 year,2.7
364,2006-10-31,SD 1 year,3.4
365,2006-10-31,SD 5 year,2.9
366,2006-09-30,SD 1 year,3.9
367,2006-09-30,SD 5 year,2.5
368,2006-08-31,SD 1 year,4.1
369,2006-08-31,SD 5 year,3.1
370,2006-07-31,SD 1 year,3.5
371,2006-07-31,SD 5 year,2.5
372,2006-06-30,SD 1 year,4.3
373,2006-06-30,SD 5 year,3.2
374,2006-05-31,SD 1 year,4.0
375,2006-05-31,SD 5 year,3.4
376,2006-04-30,SD 1 year,4.0
377,2006-04-30,SD 5 year,3.3
378,2006-03-31,SD 1 year,3.4
379,2006-03-31,SD 5 year,2.9
380,2006-02-28,SD 1 year,3.2
381,2006-02-28,SD 5 year,2.8
382,2006-01-31,SD 1 year,3.9
383,2006-01-31,SD 5 year,3.5
384,2005-12-31,SD 1 year,4.7
385,2005-12-31,SD 5 year,3.1
386,2005-11-30,SD 1 year,4.5
387,2005-11-30,SD 5 year,3.1
388,2005-10-31,SD 1 year,5.6
389,2005-10-31,SD 5 year,3.4
390,2005-09-30,SD 1 year,5.2
391,2005-09-30,SD 5 year,3.3
392,2005-08-31,SD 1 year,3.4
393,2005-08-31,SD 5 year,3.2
394,2005-07-31,SD 1 year,3.2
395,2005-07-31,SD 5 year,2.6
396,2005-06-30,SD 1 year,3.4
397,2005-06-30,SD 5 year,2.7
398,2005-05-31,SD 1 year,3.2
399,2005-05-31,SD 5 year,2.7
400,2005-04-30,SD 1 year,3.0
401,2005-04-30,SD 5 year,2.6
402,2005-03-31,SD 1 year,3.3
403,2005-03-31,SD 5 year,2.7
404,2005-02-28,SD 1 year,3.0
405,2005-02-28,SD 5 year,2.8
406,2005-01-31,SD 1 year,3.3
407,2005-01-31,SD 5 year,2.8
408,2004-12-31,SD 1 year,3.2
409,2004-12-31,SD 5 year,2.6
410,2004-11-30,SD 1 year,3.2
411,2004-11-30,SD 5 year,3.0
412,2004-10-31,SD 1 year,3.4
413,2004-10-31,SD 5 year,2.6
414,2004-09-30,SD 1 year,3.1
415,2004-09-30,SD 5 year,2.9
416,2004-08-31,SD 1 year,3.4
417,2004-08-31,SD 5 year,3.1
418,2004-07-31,SD 1 year,3.2
419,2004-07-31,SD 5 year,2.7
420,2004-06-30,SD 1 year,3.5
421,2004-06-30,SD 5 year,2.7
422,2004-05-31,SD 1 year,3.5
423,2004-05-31,SD 5 year,2.8
424,2004-04-30,SD 1 year,3.5
425,2004-04-30,SD 5 year,2.9
426,2004-03-31,SD 1 year,3.5
427,2004-03-31,SD 5 year,2.8
428,2004-02-29,SD 1 year,3.6
429,2004-02-29,SD 5 year,3.0
430,2004-01-31,SD 1 year,3.5
431,2004-01-31,SD 5 year,2.8
432,2003-12-31,SD 1 year,3.2
433,2003-12-31,SD 5 year,3.0
434,2003-11-30,SD 1 year,3.5
435,2003-11-30,SD 5 year,2.4
436,2003-10-31,SD 1 year,3.6
437,2003-10-31,SD 5 year,2.9
438,2003-09-30,SD 1 year,3.8
439,2003-09-30,SD 5 year,2.9
440,2003-08-31,SD 1 year,3.5
441,2003-08-31,SD 5 year,3.1
442,2003-07-31,SD 1 year,3.5
443,2003-07-31,SD 5 year,3.0
444,2003-06-30,SD 1 year,3.6
445,2003-06-30,SD 5 year,2.9
446,2003-05-31,SD 1 year,3.6
447,2003-05-31,SD 5 year,2.9
448,2003-04-30,SD 1 year,4.6
449,2003-04-30,SD 5 year,3.3
450,2003-03-31,SD 1 year,3.9
451,2003-03-31,SD 5 year,3.0
452,2003-02-28,SD 1 year,4.0
453,2003-02-28,SD 5 year,2.9
454,2003-01-31,SD 1 year,3.6
455,2003-01-31,SD 5 year,2.7
456,2002-12-31,SD 1 year,3.8
457,2002-12-31,SD 5 year,2.9
458,2002-11-30,SD 1 year,3.6
459,2002-11-30,SD 5 year,2.8
460,2002-10-31,SD 1 year,3.9
461,2002-10-31,SD 5 year,2.8
462,2002-09-30,SD 1 year,3.6
463,2002-09-30,SD 5 year,2.9
464,2002-08-31,SD 1 year,3.5
465,2002-08-31,SD 5 year,3.1
466,2002-07-31,SD 1 year,3.5
467,2002-07-31,SD 5 year,2.8
468,2002-06-30,SD 1 year,3.4
469,2002-06-30,SD 5 year,2.9
470,2002-05-31,SD 1 year,3.5
471,2002-05-31,SD 5 year,2.8
472,2002-04-30,SD 1 year,3.4
473,2002-04-30,SD 5 year,2.9
474,2002-03-31,SD 1 year,3.9
475,2002-03-31,SD 5 year,3.0
476,2002-02-28,SD 1 year,3.7
477,2002-02-28,SD 5 year,2.7
478,2002-01-31,SD 1 year,4.0
479,2002-01-31,SD 5 year,2.4
480,2001-12-31,SD 1 year,5.0
481,2001-12-31,SD 5 year,3.2
482,2001-11-30,SD 1 year,4.7
483,2001-11-30,SD 5 year,2.9
484,2001-10-31,SD 1 year,5.4
485,2001-10-31,SD 5 year,2.7
486,2001-09-30,SD 1 year,4.9
487,2001-09-30,SD 5 year,3.3
488,2001-08-31,SD 1 year,4.3
489,2001-08-31,SD 5 year,3.4
490,2001-07-31,SD 1 year,4.1
491,2001-07-31,SD 5 year,3.3
492,2001-06-30,SD 1 year,4.5
493,2001-06-30,SD 5 year,3.1
494,2001-05-31,SD 1 year,4.5
495,2001-05-31,SD 5 year,3.0
496,2001-04-30,SD 1 year,4.8
497,2001-04-30,SD 5 year,3.0
498,2001-03-31,SD 1 year,4.2
499,2001-03-31,SD 5 year,3.2
500,2001-02-28,SD 1 year,4.4
501,2001-02-28,SD 5 year,3.0
502,2001-01-31,SD 1 year,4.0
503,2001-01-31,SD 5 year,3.0
504,2000-12-31,SD 1 year,4.1
505,2000-12-31,SD 5 year,3.4
506,2000-11-30,SD 1 year,4.5
507,2000-11-30,SD 5 year,3.5
508,2000-10-31,SD 1 year,4.0
509,2000-10-31,SD 5 year,3.2
510,2000-09-30,SD 1 year,4.1
511,2000-09-30,SD 5 year,3.0
512,2000-08-31,SD 1 year,4.3
513,2000-08-31,SD 5 year,3.3
514,2000-07-31,SD 1 year,3.7
515,2000-07-31,SD 5 year,3.0
516,2000-06-30,SD 1 year,3.5
517,2000-06-30,SD 5 year,3.3
518,2000-05-31,SD 1 year,3.2
519,2000-05-31,SD 5 year,2.7
520,2000-04-30,SD 1 year,2.9
521,2000-04-30,SD 5 year,2.8
522,2000-03-31,SD 1 year,3.0
523,2000-03-31,SD 5 year,3.3
524,2000-02-29,SD 1 year,3.4
525,2000-02-29,SD 5 year,2.6
526,2000-01-31,SD 1 year,3.5
527,2000-01-31,SD 5 year,2.7
528,1999-12-31,SD 1 year,3.5
529,1999-12-31,SD 5 year,2.7
530,1999-11-30,SD 1 year,3.3
531,1999-11-30,SD 5 year,2.7
532,1999-10-31,SD 1 year,3.0
533,1999-10-31,SD 5 year,2.6
534,1999-09-30,SD 1 year,3.3
535,1999-09-30,SD 5 year,2.9
536,1999-08-31,SD 1 year,2.8
537,1999-08-31,SD 5 year,3.0
538,1999-07-31,SD 1 year,3.1
539,1999-07-31,SD 5 year,2.9
540,1999-06-30,SD 1 year,3.3
541,1999-06-30,SD 5 year,3.1
542,1999-05-31,SD 1 year,3.1
543,1999-05-31,SD 5 year,3.0
544,1999-04-30,SD 1 year,2.7
545,1999-04-30,SD 5 year,2.2
546,1999-03-31,SD 1 year,3.4
547,1999-03-31,SD 5 year,3.1
548,1999-02-28,SD 1 year,3.1
549,1999-02-28,SD 5 year,2.8
550,1999-01-31,SD 1 year,3.2
551,1999-01-31,SD 5 year,2.9
552,1998-12-31,SD 1 year,3.3
553,1998-12-31,SD 5 year,2.6
554,1998-11-30,SD 1 year,3.4
555,1998-11-30,SD 5 year,2.8
556,1998-10-31,SD 1 year,3.0
557,1998-10-31,SD 5 year,2.6
558,1998-09-30,SD 1 year,3.3
559,1998-09-30,SD 5 year,2.8
560,1998-08-31,SD 1 year,3.0
561,1998-08-31,SD 5 year,2.6
562,1998-07-31,SD 1 year,3.1
563,1998-07-31,SD 5 year,2.3
564,1998-06-30,SD 1 year,3.3
565,1998-06-30,SD 5 year,2.7
566,1998-05-31,SD 1 year,3.1
567,1998-05-31,SD 5 year,2.8
568,1998-04-30,SD 1 year,2.9
569,1998-04-30,SD 5 year,2.6
570,1998-03-31,SD 1 year,3.3
571,1998-03-31,SD 5 year,3.0
572,1998-02-28,SD 1 year,3.1
573,1998-02-28,SD 5 year,2.8
574,1998-01-31,SD 1 year,3.9
575,1998-01-31,SD 5 year,3.1
576,1997-12-31,SD 1 year,4.1
577,1997-12-31,SD 5 year,3.8
578,1997-11-30,SD 1 year,3.6
579,1997-11-30,SD 5 year,3.7
580,1997-10-31,SD 1 year,3.3
581,1997-10-31,SD 5 year,3.8
582,1997-09-30,SD 1 year,3.7
583,1997-09-30,SD 5 year,3.1
584,1997-08-31,SD 1 year,4.0
585,1997-08-31,SD 5 year,3.8
586,1997-07-31,SD 1 year,3.6
587,1997-07-31,SD 5 year,3.4
588,1997-06-30,SD 1 year,4.1
589,1997-06-30,SD 5 year,4.0
590,1997-05-31,SD 1 year,4.1
591,1997-05-31,SD 5 year,4.2
592,1997-04-30,SD 1 year,4.2
593,1997-04-30,SD 5 year,4.0
594,1997-03-31,SD 1 year,4.4
595,1997-03-31,SD 5 year,3.5
596,1997-02-28,SD 1 year,4.1
597,1997-02-28,SD 5 year,3.6
598,1997-01-31,SD 1 year,5.5
599,1997-01-31,SD 5 year,3.6
600,1996-12-31,SD 1 year,5.0
601,1996-12-31,SD 5 year,5.2
602,1996-11-30,SD 1 year,4.8
603,1996-11-30,SD 5 year,4.2
604,1996-10-31,SD 1 year,5.8
605,1996-10-31,SD 5 year,6.0
606,1996-09-30,SD 1 year,5.7
607,1996-09-30,SD 5 year,5.0
608,1996-08-31,SD 1 year,5.8
609,1996-08-31,SD 5 year,5.7
610,1996-07-31,SD 1 year,6.2
611,1996-07-31,SD 5 year,4.6
612,1996-06-30,SD 1 year,7.0
613,1996-06-30,SD 5 year,4.7
614,1996-05-31,SD 1 year,6.9
615,1996-05-31,SD 5 year,6.3
616,1996-04-30,SD 1 year,6.5
617,1996-04-30,SD 5 year,5.6
618,1996-03-31,SD 1 year,6.1
619,1996-03-31,SD 5 year,5.1
620,1996-02-29,SD 1 year,5.1
621,1996-02-29,SD 5 year,4.8
622,1996-01-31,SD 1 year,6.2
623,1996-01-31,SD 5 year,5.4
624,1995-12-31,SD 1 year,3.9
625,1995-12-31,SD 5 year,3.8
626,1995-11-30,SD 1 year,5.3
627,1995-11-30,SD 5 year,4.2
628,1995-10-31,SD 1 year,4.1
629,1995-10-31,SD 5 year,3.4
630,1995-09-30,SD 1 year,5.4
631,1995-09-30,SD 5 year,6.0
632,1995-08-31,SD 1 year,5.5
633,1995-08-31,SD 5 year,5.5
634,1995-07-31,SD 1 year,5.0
635,1995-07-31,SD 5 year,5.4
636,1995-06-30,SD 1 year,5.5
637,1995-06-30,SD 5 year,4.9
638,1995-05-31,SD 1 year,5.2
639,1995-05-31,SD 5 year,4.6
640,1995-04-30,SD 1 year,5.4
641,1995-04-30,SD 5 year,4.7
642,1995-03-31,SD 1 year,6.3
643,1995-03-31,SD 5 year,5.9
644,1995-02-28,SD 1 year,5.4
645,1995-02-28,SD 5 year,4.9
646,1995-01-31,SD 1 year,4.5
647,1995-01-31,SD 5 year,4.0
648,1994-12-31,SD 1 year,5.7
649,1994-12-31,SD 5 year,5.6
650,1994-11-30,SD 1 year,6.0
651,1994-11-30,SD 5 year,4.6
652,1994-10-31,SD 1 year,5.8
653,1994-10-31,SD 5 year,5.7
654,1994-09-30,SD 1 year,5.8
655,1994-09-30,SD 5 year,7.0
656,1994-08-31,SD 1 year,6.0
657,1994-08-31,SD 5 year,7.3
658,1994-07-31,SD 1 year,6.7
659,1994-07-31,SD 5 year,6.5
660,1994-06-30,SD 1 year,6.5
661,1994-06-30,SD 5 year,6.0
662,1994-05-31,SD 1 year,5.7
663,1994-05-31,SD 5 year,6.6
664,1994-04-30,SD 1 year,7.5
665,1994-04-30,SD 5 year,7.0
666,1994-03-31,SD 1 year,6.4
667,1994-03-31,SD 5 year,7.9
668,1994-02-28,SD 1 year,5.9
669,1994-02-28,SD 5 year,6.3
670,1994-01-31,SD 1 year,4.8
671,1994-01-31,SD 5 year,7.0
672,1993-12-31,SD 1 year,5.5
673,1993-12-31,SD 5 year,6.4
674,1993-11-30,SD 1 year,4.9
675,1993-11-30,SD 5 year,5.9
676,1993-10-31,SD 1 year,5.3
677,1993-10-31,SD 5 year,5.5
678,1993-09-30,SD 1 year,7.8
679,1993-09-30,SD 5 year,5.9
680,1993-08-31,SD 1 year,8.1
681,1993-08-31,SD 5 year,5.5
682,1993-07-31,SD 1 year,6.6
683,1993-07-31,SD 5 year,6.7
684,1993-06-30,SD 1 year,6.4
685,1993-06-30,SD 5 year,6.2
686,1993-05-31,SD 1 year,6.9
687,1993-05-31,SD 5 year,8.1
688,1993-04-30,SD 1 year,7.0
689,1993-04-30,SD 5 year,6.7
690,1993-03-31,SD 1 year,7.8
691,1993-03-31,SD 5 year,6.1
692,1993-02-28,SD 1 year,7.3
693,1993-02-28,SD 5 year,8.5
694,1993-01-31,SD 1 year,4.3
695,1993-01-31,SD 5 year,6.7
696,1992-12-31,SD 1 year,5.0
697,1992-12-31,SD 5 year,8.1
698,1992-11-30,SD 1 year,7.7
