,date,durables,value
95,1992-08-01,Non-durables,3.42307
96,1992-09-01,Durables,0.42676
97,1992-09-01,Services,1.80446
98,1992-09-01,Non-durables,3.22997
99,1992-10-01,Durables,0.44086
100,1992-10-01,Services,1.96281
101,1992-10-01,Non-durables,3.43262
102,1992-11-01,Durables,0.48632
103,1992-11-01,Services,1.54803
104,1992-11-01,Non-durables,3.56001
105,1992-12-01,Durables,0.59604
106,1992-12-01,Services,1.563
107,1992-12-01,Non-durables,3.40549
108,1993-01-01,Durables,0.64495
109,1993-01-01,Services,1.83273
110,1993-01-01,Non-durables,3.46243
111,1993-02-01,Durables,0.35162
112,1993-02-01,Services,2.00024
113,1993-02-01,Non-durables,3.28467
114,1993-03-01,Durables,0.3868
115,1993-03-01,Services,1.61962
116,1993-03-01,Non-durables,3.36751
117,1993-04-01,Durables,0.71714
118,1993-04-01,Services,1.57778
119,1993-04-01,Non-durables,3.3105
120,1993-05-01,Durables,0.51867
121,1993-05-01,Services,1.40038
122,1993-05-01,Non-durables,3.71091
123,1993-06-01,Durables,0.91485
124,1993-06-01,Services,0.5749
125,1993-06-01,Non-durables,3.72945
126,1993-07-01,Durables,0.94394
127,1993-07-01,Services,0.28151
128,1993-07-01,Non-durables,3.56155
129,1993-08-01,Durables,1.00029
130,1993-08-01,Services,0.18278
131,1993-08-01,Non-durables,3.65041
132,1993-09-01,Durables,1.42537
133,1993-09-01,Services,-0.33366
134,1993-09-01,Non-durables,3.6749
135,1993-10-01,Durables,1.59581
136,1993-10-01,Services,0.26099
137,1993-10-01,Non-durables,3.3372
138,1993-11-01,Durables,1.59375
139,1993-11-01,Services,0.35736
140,1993-11-01,Non-durables,3.28328
141,1993-12-01,Durables,1.70857
142,1993-12-01,Services,0.05115
143,1993-12-01,Non-durables,3.13938
144,1994-01-01,Durables,1.61093
145,1994-01-01,Services,-0.1896
146,1994-01-01,Non-durables,2.90636
147,1994-02-01,Durables,1.90155
148,1994-02-01,Services,-0.49813
149,1994-02-01,Non-durables,3.10361
150,1994-03-01,Durables,2.24444
151,1994-03-01,Services,-0.38756
152,1994-03-01,Non-durables,3.10354
153,1994-04-01,Durables,1.74029
154,1994-04-01,Services,-0.24786
155,1994-04-01,Non-durables,2.90679
156,1994-05-01,Durables,2.08387
157,1994-05-01,Services,-0.25096
158,1994-05-01,Non-durables,2.56803
159,1994-06-01,Durables,2.14277
160,1994-06-01,Services,0.45699
161,1994-06-01,Non-durables,2.61645
162,1994-07-01,Durables,2.36166
163,1994-07-01,Services,1.0444
164,1994-07-01,Non-durables,2.59364
165,1994-08-01,Durables,2.28668
166,1994-08-01,Services,1.39327
167,1994-08-01,Non-durables,2.56863
168,1994-09-01,Durables,1.98444
169,1994-09-01,Services,1.88445
170,1994-09-01,Non-durables,2.44734
171,1994-10-01,Durables,1.65234
172,1994-10-01,Services,1.07286
173,1994-10-01,Non-durables,2.59461
174,1994-11-01,Durables,1.67639
175,1994-11-01,Services,1.01116
176,1994-11-01,Non-durables,2.61687
177,1994-12-01,Durables,1.80892
178,1994-12-01,Services,1.12919
179,1994-12-01,Non-durables,2.61386
180,1995-01-01,Durables,2.04929
181,1995-01-01,Services,1.32976
182,1995-01-01,Non-durables,2.75946
183,1995-02-01,Durables,1.85662
184,1995-02-01,Services,1.36315
185,1995-02-01,Non-durables,2.6969
186,1995-03-01,Durables,1.74802
187,1995-03-01,Services,1.28785
188,1995-03-01,Non-durables,2.59987
189,1995-04-01,Durables,1.75979
190,1995-04-01,Services,1.4984
191,1995-04-01,Non-durables,2.75078
192,1995-05-01,Durables,1.09107
193,1995-05-01,Services,1.65871
194,1995-05-01,Non-durables,2.84055
195,1995-06-01,Durables,0.66061
196,1995-06-01,Services,1.29716
197,1995-06-01,Non-durables,2.82824
198,1995-07-01,Durables,0.19591
199,1995-07-01,Services,0.88574
200,1995-07-01,Non-durables,2.77401
201,1995-08-01,Durables,0.22019
202,1995-08-01,Services,0.54281
203,1995-08-01,Non-durables,2.8821
204,1995-09-01,Durables,-0.00215
205,1995-09-01,Services,0.55458
206,1995-09-01,Non-durables,2.8536
207,1995-10-01,Durables,-0.0688
208,1995-10-01,Services,0.87091
209,1995-10-01,Non-durables,2.88915
210,1995-11-01,Durables,-0.50357
211,1995-11-01,Services,0.54737
212,1995-11-01,Non-durables,2.78758
213,1995-12-01,Durables,-0.1905
214,1995-12-01,Services,0.72555
215,1995-12-01,Non-durables,2.85877
216,1996-01-01,Durables,-0.4767
217,1996-01-01,Services,1.3614
218,1996-01-01,Non-durables,2.70901
219,1996-02-01,Durables,-0.57452
220,1996-02-01,Services,1.57689
221,1996-02-01,Non-durables,2.61507
222,1996-03-01,Durables,-0.68021
223,1996-03-01,Services,2.28389
224,1996-03-01,Non-durables,2.55908
225,1996-04-01,Durables,-1.08218
226,1996-04-01,Services,2.57719
227,1996-04-01,Non-durables,2.59269
228,1996-05-01,Durables,-1.18929
229,1996-05-01,Services,2.5475
230,1996-05-01,Non-durables,2.66072
231,1996-06-01,Durables,-1.10286
232,1996-06-01,Services,2.14463
233,1996-06-01,Non-durables,2.63371
234,1996-07-01,Durables,-1.03423
235,1996-07-01,Services,2.12309
236,1996-07-01,Non-durables,2.76906
237,1996-08-01,Durables,-1.14789
238,1996-08-01,Services,1.84889
239,1996-08-01,Non-durables,2.70065
240,1996-09-01,Durables,-1.0095
241,1996-09-01,Services,2.18391
242,1996-09-01,Non-durables,2.89048
243,1996-10-01,Durables,-1.00623
244,1996-10-01,Services,2.41307
245,1996-10-01,Non-durables,2.87433
246,1996-11-01,Durables,-1.06471
247,1996-11-01,Services,2.99565
248,1996-11-01,Non-durables,2.96455
249,1996-12-01,Durables,-1.74716
250,1996-12-01,Services,3.10567
251,1996-12-01,Non-durables,2.9438
252,1997-01-01,Durables,-1.85283
253,1997-01-01,Services,2.64073
254,1997-01-01,Non-durables,2.99067
255,1997-02-01,Durables,-1.62371
256,1997-02-01,Services,2.48971
257,1997-02-01,Non-durables,3.08324
258,1997-03-01,Durables,-1.70465
259,1997-03-01,Services,1.58515
260,1997-03-01,Non-durables,3.12361
261,1997-04-01,Durables,-2.09375
262,1997-04-01,Services,1.09928
263,1997-04-01,Non-durables,3.06522
264,1997-05-01,Durables,-1.94601
265,1997-05-01,Services,0.70234
266,1997-05-01,Non-durables,2.8242
267,1997-06-01,Durables,-2.0465
268,1997-06-01,Services,0.81256
269,1997-06-01,Non-durables,3.00898
270,1997-07-01,Durables,-2.25725
271,1997-07-01,Services,0.69298
272,1997-07-01,Non-durables,2.8517
273,1997-08-01,Durables,-2.48677
274,1997-08-01,Services,1.14293
275,1997-08-01,Non-durables,2.70809
276,1997-09-01,Durables,-2.54876
277,1997-09-01,Services,1.03606
278,1997-09-01,Non-durables,2.69799
279,1997-10-01,Durables,-2.54512
280,1997-10-01,Services,0.62112
281,1997-10-01,Non-durables,2.57367
282,1997-11-01,Durables,-2.69224
283,1997-11-01,Services,0.12209
284,1997-11-01,Non-durables,2.51425
285,1997-12-01,Durables,-2.42087
286,1997-12-01,Services,-0.33643
287,1997-12-01,Non-durables,2.41164
288,1998-01-01,Durables,-2.57456
289,1998-01-01,Services,-0.63927
290,1998-01-01,Non-durables,2.42681
291,1998-02-01,Durables,-3.00331
292,1998-02-01,Services,-1.10316
293,1998-02-01,Non-durables,2.27151
294,1998-03-01,Durables,-3.10801
295,1998-03-01,Services,-1.43146
296,1998-03-01,Non-durables,2.26248
297,1998-04-01,Durables,-2.32011
298,1998-04-01,Services,-1.54515
299,1998-04-01,Non-durables,2.17694
300,1998-05-01,Durables,-2.772
301,1998-05-01,Services,-0.81368
302,1998-05-01,Non-durables,2.29895
303,1998-06-01,Durables,-2.95363
304,1998-06-01,Services,-0.49656
305,1998-06-01,Non-durables,1.88163
306,1998-07-01,Durables,-2.67144
307,1998-07-01,Services,-0.25628
308,1998-07-01,Non-durables,2.0317
309,1998-08-01,Durables,-2.7395
310,1998-08-01,Services,-0.37476
311,1998-08-01,Non-durables,2.18426
312,1998-09-01,Durables,-2.91123
313,1998-09-01,Services,-0.83639
314,1998-09-01,Non-durables,1.91395
315,1998-10-01,Durables,-3.03235
316,1998-10-01,Services,-0.6001
317,1998-10-01,Non-durables,1.99763
318,1998-11-01,Durables,-2.83169
319,1998-11-01,Services,-0.56378
320,1998-11-01,Non-durables,1.94047
321,1998-12-01,Durables,-3.00406
322,1998-12-01,Services,-0.14939
323,1998-12-01,Non-durables,2.02385
324,1999-01-01,Durables,-2.92905
325,1999-01-01,Services,0.45339
326,1999-01-01,Non-durables,1.93562
327,1999-02-01,Durables,-2.99023
328,1999-02-01,Services,0.52305
329,1999-02-01,Non-durables,1.91872
330,1999-03-01,Durables,-3.25816
331,1999-03-01,Services,1.14261
332,1999-03-01,Non-durables,1.85287
333,1999-04-01,Durables,-3.18502
334,1999-04-01,Services,2.73774
335,1999-04-01,Non-durables,1.84252
336,1999-05-01,Durables,-2.70242
337,1999-05-01,Services,2.16737
338,1999-05-01,Non-durables,1.82701
339,1999-06-01,Durables,-2.55936
340,1999-06-01,Services,2.19432
341,1999-06-01,Non-durables,1.97116
342,1999-07-01,Durables,-2.68239
343,1999-07-01,Services,2.51599
344,1999-07-01,Non-durables,1.91776
345,1999-08-01,Durables,-2.50905
346,1999-08-01,Services,2.8018
347,1999-08-01,Non-durables,1.84863
348,1999-09-01,Durables,-2.36544
349,1999-09-01,Services,3.83016
350,1999-09-01,Non-durables,2.12228
351,1999-10-01,Durables,-2.40039
352,1999-10-01,Services,3.69292
353,1999-10-01,Non-durables,2.10035
354,1999-11-01,Durables,-2.3847
355,1999-11-01,Services,3.68607
356,1999-11-01,Non-durables,2.23558
357,1999-12-01,Durables,-2.33247
358,1999-12-01,Services,4.06692
359,1999-12-01,Non-durables,2.2967
360,2000-01-01,Durables,-2.25341
361,2000-01-01,Services,3.87724
362,2000-01-01,Non-durables,2.55561
363,2000-02-01,Durables,-2.15419
364,2000-02-01,Services,4.96471
365,2000-02-01,Non-durables,2.75258
366,2000-03-01,Durables,-1.59794
367,2000-03-01,Services,6.29959
368,2000-03-01,Non-durables,2.73587
369,2000-04-01,Durables,-1.87034
370,2000-04-01,Services,4.1867
371,2000-04-01,Non-durables,2.6207
372,2000-05-01,Durables,-1.61396
373,2000-05-01,Services,4.13091
374,2000-05-01,Non-durables,2.61262
375,2000-06-01,Durables,-1.67658
376,2000-06-01,Services,5.03185
377,2000-06-01,Non-durables,2.80604
378,2000-07-01,Durables,-1.79951
379,2000-07-01,Services,4.75077
380,2000-07-01,Non-durables,2.9038
381,2000-08-01,Durables,-2.04668
382,2000-08-01,Services,3.7643
383,2000-08-01,Non-durables,3.00349
384,2000-09-01,Durables,-1.76414
385,2000-09-01,Services,3.95176
386,2000-09-01,Non-durables,2.98852
387,2000-10-01,Durables,-1.76818
388,2000-10-01,Services,3.58503
389,2000-10-01,Non-durables,3.06326
390,2000-11-01,Durables,-1.52183
391,2000-11-01,Services,3.88479
392,2000-11-01,Non-durables,2.98466
393,2000-12-01,Durables,-1.27111
394,2000-12-01,Services,3.19468
395,2000-12-01,Non-durables,3.04986
396,2001-01-01,Durables,-1.29929
397,2001-01-01,Services,3.19733
398,2001-01-01,Non-durables,3.39681
399,2001-02-01,Durables,-1.35521
400,2001-02-01,Services,2.62376
401,2001-02-01,Non-durables,3.35203
402,2001-03-01,Durables,-1.86039
403,2001-03-01,Services,0.99379
404,2001-03-01,Non-durables,3.37241
405,2001-04-01,Durables,-1.84816
406,2001-04-01,Services,1.74179
407,2001-04-01,Non-durables,3.51628
408,2001-05-01,Durables,-2.24322
409,2001-05-01,Services,2.6873
410,2001-05-01,Non-durables,3.54961
411,2001-06-01,Durables,-1.89984
412,2001-06-01,Services,1.7829
413,2001-06-01,Non-durables,3.53864
414,2001-07-01,Durables,-1.65735
415,2001-07-01,Services,0.71914
416,2001-07-01,Non-durables,3.40573
417,2001-08-01,Durables,-1.72415
418,2001-08-01,Services,0.8512
419,2001-08-01,Non-durables,3.35576
420,2001-09-01,Durables,-2.75439
421,2001-09-01,Services,0.99019
422,2001-09-01,Non-durables,2.29794
423,2001-10-01,Durables,-2.14466
424,2001-10-01,Services,0.06841
425,2001-10-01,Non-durables,2.8347
426,2001-11-01,Durables,-2.34161
427,2001-11-01,Services,-1.01792
428,2001-11-01,Non-durables,2.93486
429,2001-12-01,Durables,-2.39332
430,2001-12-01,Services,-1.76021
431,2001-12-01,Non-durables,2.79555
432,2002-01-01,Durables,-2.59194
433,2002-01-01,Services,-1.74294
434,2002-01-01,Non-durables,2.20406
435,2002-02-01,Durables,-2.86254
436,2002-02-01,Services,-1.60927
437,2002-02-01,Non-durables,2.23473
438,2002-03-01,Durables,-2.6839
439,2002-03-01,Services,-0.67341
440,2002-03-01,Non-durables,2.27724
441,2002-04-01,Durables,-2.62306
442,2002-04-01,Services,0.14945
443,2002-04-01,Non-durables,2.36133
444,2002-05-01,Durables,-2.29146
445,2002-05-01,Services,-0.99329
446,2002-05-01,Non-durables,2.38407
447,2002-06-01,Durables,-2.61376
448,2002-06-01,Services,-0.9427
449,2002-06-01,Non-durables,2.34726
450,2002-07-01,Durables,-2.80962
451,2002-07-01,Services,0.01468
452,2002-07-01,Non-durables,2.45124
453,2002-08-01,Durables,-2.51895
454,2002-08-01,Services,0.67253
455,2002-08-01,Non-durables,2.49244
456,2002-09-01,Durables,-1.71701
457,2002-09-01,Services,-0.40014
458,2002-09-01,Non-durables,3.54043
459,2002-10-01,Durables,-2.3077
460,2002-10-01,Services,1.00808
461,2002-10-01,Non-durables,2.8916
462,2002-11-01,Durables,-2.49926
463,2002-11-01,Services,1.99724
464,2002-11-01,Non-durables,2.85118
465,2002-12-01,Durables,-2.75287
466,2002-12-01,Services,2.71081
467,2002-12-01,Non-durables,2.97935
468,2003-01-01,Durables,-3.08508
469,2003-01-01,Services,3.50963
470,2003-01-01,Non-durables,3.1103
471,2003-02-01,Durables,-2.79636
472,2003-02-01,Services,4.28969
473,2003-02-01,Non-durables,3.17898
474,2003-03-01,Durables,-2.88298
475,2003-03-01,Services,3.56917
476,2003-03-01,Non-durables,3.41515
477,2003-04-01,Durables,-3.08327
478,2003-04-01,Services,1.20445
479,2003-04-01,Non-durables,3.33416
480,2003-05-01,Durables,-3.64467
481,2003-05-01,Services,0.36518
482,2003-05-01,Non-durables,3.45632
483,2003-06-01,Durables,-3.75099
484,2003-06-01,Services,0.63222
485,2003-06-01,Non-durables,3.36273
486,2003-07-01,Durables,-3.76284
487,2003-07-01,Services,1.0862
488,2003-07-01,Non-durables,3.32629
489,2003-08-01,Durables,-4.01665
490,2003-08-01,Services,1.84976
491,2003-08-01,Non-durables,3.33989
492,2003-09-01,Durables,-4.18796
493,2003-09-01,Services,2.59675
494,2003-09-01,Non-durables,3.33037
495,2003-10-01,Durables,-4.36725
496,2003-10-01,Services,1.72265
497,2003-10-01,Non-durables,3.3984
498,2003-11-01,Durables,-4.25514
499,2003-11-01,Services,1.74454
500,2003-11-01,Non-durables,3.41029
501,2003-12-01,Durables,-4.0641
502,2003-12-01,Services,2.30737
503,2003-12-01,Non-durables,3.37086
504,2004-01-01,Durables,-3.37244
505,2004-01-01,Services,1.98444
506,2004-01-01,Non-durables,3.47004
507,2004-02-01,Durables,-3.01635
508,2004-02-01,Services,1.25751
509,2004-02-01,Non-durables,3.3153
510,2004-03-01,Durables,-2.80909
511,2004-03-01,Services,1.59554
512,2004-03-01,Non-durables,2.9919
513,2004-04-01,Durables,-2.50746
514,2004-04-01,Services,2.60404
515,2004-04-01,Non-durables,3.1431
516,2004-05-01,Durables,-2.03456
517,2004-05-01,Services,4.86872
518,2004-05-01,Non-durables,2.98043
519,2004-06-01,Durables,-1.70231
520,2004-06-01,Services,5.08706
521,2004-06-01,Non-durables,3.11363
522,2004-07-01,Durables,-1.88315
523,2004-07-01,Services,4.28096
524,2004-07-01,Non-durables,3.09998
525,2004-08-01,Durables,-1.95676
526,2004-08-01,Services,3.15281
527,2004-08-01,Non-durables,3.03668
528,2004-09-01,Durables,-1.67345
529,2004-09-01,Services,2.62049
530,2004-09-01,Non-durables,2.97337
531,2004-10-01,Durables,-1.08372
532,2004-10-01,Services,4.60422
533,2004-10-01,Non-durables,2.8362
534,2004-11-01,Durables,-0.78046
535,2004-11-01,Services,5.27297
536,2004-11-01,Non-durables,2.95389
537,2004-12-01,Durables,-0.52723
538,2004-12-01,Services,4.29265
539,2004-12-01,Non-durables,2.96606
540,2005-01-01,Durables,-0.77598
541,2005-01-01,Services,2.95095
542,2005-01-01,Non-durables,3.0672
543,2005-02-01,Durables,-0.96771
544,2005-02-01,Services,3.16574
545,2005-02-01,Non-durables,3.13744
546,2005-03-01,Durables,-1.03362
547,2005-03-01,Services,3.32928
548,2005-03-01,Non-durables,3.32456
549,2005-04-01,Durables,-1.11843
550,2005-04-01,Services,4.06226
551,2005-04-01,Non-durables,3.24475
552,2005-05-01,Durables,-0.76343
553,2005-05-01,Services,2.55455
554,2005-05-01,Non-durables,3.2564
555,2005-06-01,Durables,-1.06633
556,2005-06-01,Services,1.97171
557,2005-06-01,Non-durables,3.16364
558,2005-07-01,Durables,-1.07519
559,2005-07-01,Services,3.43051
560,2005-07-01,Non-durables,3.19302
561,2005-08-01,Durables,-0.89993
562,2005-08-01,Services,4.96783
563,2005-08-01,Non-durables,3.19379
564,2005-09-01,Durables,-0.84742
565,2005-09-01,Services,7.86288
566,2005-09-01,Non-durables,3.41605
567,2005-10-01,Durables,-1.17518
568,2005-10-01,Services,5.66005
569,2005-10-01,Non-durables,3.79146
570,2005-11-01,Durables,-1.30187
571,2005-11-01,Services,2.876
572,2005-11-01,Non-durables,3.83154
573,2005-12-01,Durables,-1.44342
574,2005-12-01,Services,3.13799
575,2005-12-01,Non-durables,3.6832
576,2006-01-01,Durables,-1.38008
577,2006-01-01,Services,4.84279
578,2006-01-01,Non-durables,3.64682
579,2006-02-01,Durables,-1.4653
580,2006-02-01,Services,3.92506
581,2006-02-01,Non-durables,3.62746
582,2006-03-01,Durables,-1.68277
583,2006-03-01,Services,3.74393
584,2006-03-01,Non-durables,3.56411
585,2006-04-01,Durables,-1.61456
586,2006-04-01,Services,4.30687
587,2006-04-01,Non-durables,3.6452
588,2006-05-01,Durables,-1.93699
589,2006-05-01,Services,5.19004
590,2006-05-01,Non-durables,3.74984
591,2006-06-01,Durables,-1.93172
592,2006-06-01,Services,5.49833
593,2006-06-01,Non-durables,3.93621
594,2006-07-01,Durables,-1.58618
595,2006-07-01,Services,5.17948
596,2006-07-01,Non-durables,3.82796
597,2006-08-01,Durables,-1.25256
598,2006-08-01,Services,4.40449
599,2006-08-01,Non-durables,3.87545
600,2006-09-01,Durables,-1.82465
601,2006-09-01,Services,-0.34791
602,2006-09-01,Non-durables,3.71933
603,2006-10-01,Durables,-1.79134
604,2006-10-01,Services,-1.14267
605,2006-10-01,Non-durables,3.35914
606,2006-11-01,Durables,-1.94856
607,2006-11-01,Services,0.4864
608,2006-11-01,Non-durables,3.18489
609,2006-12-01,Durables,-2.12335
610,2006-12-01,Services,1.78907
611,2006-12-01,Non-durables,3.32838
612,2007-01-01,Durables,-2.20853
613,2007-01-01,Services,0.79393
614,2007-01-01,Non-durables,3.45378
615,2007-02-01,Durables,-1.99238
616,2007-02-01,Services,1.66261
617,2007-02-01,Non-durables,3.50163
618,2007-03-01,Durables,-1.95956
619,2007-03-01,Services,2.51183
620,2007-03-01,Non-durables,3.46905
621,2007-04-01,Durables,-2.20371
622,2007-04-01,Services,1.88307
623,2007-04-01,Non-durables,3.37375
624,2007-05-01,Durables,-2.17837
625,2007-05-01,Services,2.36566
626,2007-05-01,Non-durables,3.23391
627,2007-06-01,Durables,-1.81574
628,2007-06-01,Services,2.2076
629,2007-06-01,Non-durables,3.16107
630,2007-07-01,Durables,-2.13722
631,2007-07-01,Services,1.49525
632,2007-07-01,Non-durables,3.17442
633,2007-08-01,Durables,-2.57405
634,2007-08-01,Services,0.57906
635,2007-08-01,Non-durables,3.19027
636,2007-09-01,Durables,-2.20551
637,2007-09-01,Services,3.03632
638,2007-09-01,Non-durables,3.27743
639,2007-10-01,Durables,-2.15201
640,2007-10-01,Services,5.11189
641,2007-10-01,Non-durables,3.41241
642,2007-11-01,Durables,-2.04848
643,2007-11-01,Services,7.24752
644,2007-11-01,Non-durables,3.45918
645,2007-12-01,Durables,-2.07143
646,2007-12-01,Services,6.55052
647,2007-12-01,Non-durables,3.49185
648,2008-01-01,Durables,-1.83461
649,2008-01-01,Services,6.99311
650,2008-01-01,Non-durables,3.16529
651,2008-02-01,Durables,-1.98242
652,2008-02-01,Services,6.80444
653,2008-02-01,Non-durables,3.07571
654,2008-03-01,Durables,-1.74579
655,2008-03-01,Services,6.08724
656,2008-03-01,Non-durables,3.13493
657,2008-04-01,Durables,-1.9113
658,2008-04-01,Services,6.0553
659,2008-04-01,Non-durables,3.08959
660,2008-05-01,Durables,-2.05338
661,2008-05-01,Services,6.19641
662,2008-05-01,Non-durables,3.27646
663,2008-06-01,Durables,-2.11509
664,2008-06-01,Services,8.36035
665,2008-06-01,Non-durables,3.36324
666,2008-07-01,Durables,-1.7673
667,2008-07-01,Services,9.30936
668,2008-07-01,Non-durables,3.46327
669,2008-08-01,Durables,-1.53725
670,2008-08-01,Services,8.94612
671,2008-08-01,Non-durables,3.30471
672,2008-09-01,Durables,-1.68631
673,2008-09-01,Services,8.52795
674,2008-09-01,Non-durables,2.98521
675,2008-10-01,Durables,-1.7766
676,2008-10-01,Services,5.57443
677,2008-10-01,Non-durables,2.47404
678,2008-11-01,Durables,-2.00461
679,2008-11-01,Services,-1.22665
680,2008-11-01,Non-durables,2.14234
681,2008-12-01,Durables,-2.08252
682,2008-12-01,Services,-4.01103
683,2008-12-01,Non-durables,1.88073
684,2009-01-01,Durables,-2.22399
685,2009-01-01,Services,-4.13816
686,2009-01-01,Non-durables,1.59203
687,2009-02-01,Durables,-2.06557
688,2009-02-01,Services,-3.54456
689,2009-02-01,Non-durables,1.33472
690,2009-03-01,Durables,-2.32726
691,2009-03-01,Services,-4.02712
692,2009-03-01,Non-durables,0.94713
693,2009-04-01,Durables,-1.88745
694,2009-04-01,Services,-4.01934
695,2009-04-01,Non-durables,0.80866
696,2009-05-01,Durables,-1.78926
697,2009-05-01,Services,-4.53545
698,2009-05-01,Non-durables,0.48643
699,2009-06-01,Durables,-1.78747
700,2009-06-01,Services,-4.3886
701,2009-06-01,Non-durables,0.26154
702,2009-07-01,Durables,-2.31649
703,2009-07-01,Services,-5.60287
704,2009-07-01,Non-durables,0.10005
705,2009-08-01,Durables,-2.49818
706,2009-08-01,Services,-4.26977
707,2009-08-01,Non-durables,0.20944
708,2009-09-01,Durables,-1.96623
709,2009-09-01,Services,-4.35203
710,2009-09-01,Non-durables,0.26989
711,2009-10-01,Durables,-1.54994
712,2009-10-01,Services,-1.91641
713,2009-10-01,Non-durables,0.90696
714,2009-11-01,Durables,-1.13032
715,2009-11-01,Services,3.68494
716,2009-11-01,Non-durables,1.1483
717,2009-12-01,Durables,-0.9827
718,2009-12-01,Services,6.27144
719,2009-12-01,Non-durables,1.25802
720,2010-01-01,Durables,-1.03789
721,2010-01-01,Services,6.33084
722,2010-01-01,Non-durables,1.55109
723,2010-02-01,Durables,-1.39335
724,2010-02-01,Services,5.07474
725,2010-02-01,Non-durables,1.71814
726,2010-03-01,Durables,-1.24694
727,2010-03-01,Services,5.17843
728,2010-03-01,Non-durables,2.03979
729,2010-04-01,Durables,-1.667
730,2010-04-01,Services,4.63332
731,2010-04-01,Non-durables,2.14091
732,2010-05-01,Durables,-1.79884
733,2010-05-01,Services,3.90859
734,2010-05-01,Non-durables,2.28177
735,2010-06-01,Durables,-2.07725
736,2010-06-01,Services,1.2482
737,2010-06-01,Non-durables,2.22636
738,2010-07-01,Durables,-2.01638
739,2010-07-01,Services,1.73107
740,2010-07-01,Non-durables,2.17227
741,2010-08-01,Durables,-1.54409
742,2010-08-01,Services,1.12938
743,2010-08-01,Non-durables,2.0603
744,2010-09-01,Durables,-1.90712
745,2010-09-01,Services,1.21115
746,2010-09-01,Non-durables,1.9986
747,2010-10-01,Durables,-2.38414
748,2010-10-01,Services,1.85622
749,2010-10-01,Non-durables,1.77125
