,Month,Region,Index,Date
155,January 2015,North Lanarkshire,102.8,28 January 2015
156,January 2015,Scottish Borders,102.2,28 January 2015
157,January 2015,Dumfries and Galloway,103.2,28 January 2015
158,January 2015,East Ayrshire and North Ayrshire mainland,102.0,28 January 2015
159,January 2015,South Ayrshire,103.5,28 January 2015
160,January 2015,South Lanarkshire,102.0,28 January 2015
161,February 2015,Aberdeen City and Aberdeenshire,100.6,28 February 2015
162,February 2015,Caithness and Sutherland and Ross and Cromarty,101.7,28 February 2015
163,February 2015,"Inverness and Nairn and Moray, Badenoch and Strathspey",102.9,28 February 2015
164,February 2015,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",102.4,28 February 2015
165,February 2015,Na h-Eileanan Siar,99.3,28 February 2015
166,February 2015,Orkney Islands,99.5,28 February 2015
167,February 2015,Shetland Islands,99.6,28 February 2015
168,February 2015,Angus and Dundee City,103.0,28 February 2015
169,February 2015,Clackmannanshire and Fife,103.2,28 February 2015
170,February 2015,East Lothian and Midlothian,102.5,28 February 2015
171,February 2015,City of Edinburgh,102.8,28 February 2015
172,February 2015,Falkirk,102.8,28 February 2015
173,February 2015,Perth and Kinross and Stirling,102.2,28 February 2015
174,February 2015,West Lothian,102.2,28 February 2015
175,February 2015,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",101.4,28 February 2015
176,February 2015,Glasgow City,101.8,28 February 2015
177,February 2015,"Inverclyde, East Renfrewshire and Renfrewshire",102.6,28 February 2015
178,February 2015,North Lanarkshire,102.5,28 February 2015
179,February 2015,Scottish Borders,101.7,28 February 2015
180,February 2015,Dumfries and Galloway,102.4,28 February 2015
181,February 2015,East Ayrshire and North Ayrshire mainland,101.4,28 February 2015
182,February 2015,South Ayrshire,102.9,28 February 2015
183,February 2015,South Lanarkshire,102.1,28 February 2015
184,March 2015,Aberdeen City and Aberdeenshire,103.0,28 March 2015
185,March 2015,Caithness and Sutherland and Ross and Cromarty,99.8,28 March 2015
186,March 2015,"Inverness and Nairn and Moray, Badenoch and Strathspey",100.9,28 March 2015
187,March 2015,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",101.7,28 March 2015
188,March 2015,Na h-Eileanan Siar,98.9,28 March 2015
189,March 2015,Orkney Islands,100.2,28 March 2015
190,March 2015,Shetland Islands,99.2,28 March 2015
191,March 2015,Angus and Dundee City,101.6,28 March 2015
192,March 2015,Clackmannanshire and Fife,101.5,28 March 2015
193,March 2015,East Lothian and Midlothian,101.4,28 March 2015
194,March 2015,City of Edinburgh,101.7,28 March 2015
195,March 2015,Falkirk,101.4,28 March 2015
196,March 2015,Perth and Kinross and Stirling,101.6,28 March 2015
197,March 2015,West Lothian,101.5,28 March 2015
198,March 2015,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",101.9,28 March 2015
199,March 2015,Glasgow City,101.6,28 March 2015
200,March 2015,"Inverclyde, East Renfrewshire and Renfrewshire",102.6,28 March 2015
201,March 2015,North Lanarkshire,101.8,28 March 2015
202,March 2015,Scottish Borders,102.4,28 March 2015
203,March 2015,Dumfries and Galloway,103.0,28 March 2015
204,March 2015,East Ayrshire and North Ayrshire mainland,101.4,28 March 2015
205,March 2015,South Ayrshire,102.4,28 March 2015
206,March 2015,South Lanarkshire,102.5,28 March 2015
207,April 2015,Aberdeen City and Aberdeenshire,99.6,28 April 2015
208,April 2015,Caithness and Sutherland and Ross and Cromarty,102.3,28 April 2015
209,April 2015,"Inverness and Nairn and Moray, Badenoch and Strathspey",103.2,28 April 2015
210,April 2015,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",102.1,28 April 2015
211,April 2015,Na h-Eileanan Siar,101.8,28 April 2015
212,April 2015,Orkney Islands,103.4,28 April 2015
213,April 2015,Shetland Islands,98.7,28 April 2015
214,April 2015,Angus and Dundee City,101.0,28 April 2015
215,April 2015,Clackmannanshire and Fife,101.9,28 April 2015
216,April 2015,East Lothian and Midlothian,100.1,28 April 2015
217,April 2015,City of Edinburgh,103.1,28 April 2015
218,April 2015,Falkirk,102.4,28 April 2015
219,April 2015,Perth and Kinross and Stirling,102.6,28 April 2015
220,April 2015,West Lothian,102.5,28 April 2015
221,April 2015,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",102.0,28 April 2015
222,April 2015,Glasgow City,102.6,28 April 2015
223,April 2015,"Inverclyde, East Renfrewshire and Renfrewshire",102.7,28 April 2015
224,April 2015,North Lanarkshire,103.6,28 April 2015
225,April 2015,Scottish Borders,100.9,28 April 2015
226,April 2015,Dumfries and Galloway,103.0,28 April 2015
227,April 2015,East Ayrshire and North Ayrshire mainland,101.2,28 April 2015
228,April 2015,South Ayrshire,101.7,28 April 2015
229,April 2015,South Lanarkshire,101.1,28 April 2015
230,May 2015,Aberdeen City and Aberdeenshire,99.6,28 May 2015
231,May 2015,Caithness and Sutherland and Ross and Cromarty,102.0,28 May 2015
232,May 2015,"Inverness and Nairn and Moray, Badenoch and Strathspey",102.9,28 May 2015
233,May 2015,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",102.3,28 May 2015
234,May 2015,Na h-Eileanan Siar,100.3,28 May 2015
235,May 2015,Orkney Islands,102.4,28 May 2015
236,May 2015,Shetland Islands,98.7,28 May 2015
237,May 2015,Angus and Dundee City,101.5,28 May 2015
238,May 2015,Clackmannanshire and Fife,102.0,28 May 2015
239,May 2015,East Lothian and Midlothian,100.3,28 May 2015
240,May 2015,City of Edinburgh,102.6,28 May 2015
241,May 2015,Falkirk,102.8,28 May 2015
242,May 2015,Perth and Kinross and Stirling,103.1,28 May 2015
243,May 2015,West Lothian,103.4,28 May 2015
244,May 2015,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",101.3,28 May 2015
245,May 2015,Glasgow City,102.2,28 May 2015
246,May 2015,"Inverclyde, East Renfrewshire and Renfrewshire",101.7,28 May 2015
247,May 2015,North Lanarkshire,103.2,28 May 2015
248,May 2015,Scottish Borders,101.8,28 May 2015
249,May 2015,Dumfries and Galloway,102.2,28 May 2015
250,May 2015,East Ayrshire and North Ayrshire mainland,101.1,28 May 2015
251,May 2015,South Ayrshire,101.4,28 May 2015
252,May 2015,South Lanarkshire,101.8,28 May 2015
253,June 2015,Aberdeen City and Aberdeenshire,99.0,28 June 2015
254,June 2015,Caithness and Sutherland and Ross and Cromarty,101.6,28 June 2015
255,June 2015,"Inverness and Nairn and Moray, Badenoch and Strathspey",102.7,28 June 2015
256,June 2015,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",102.0,28 June 2015
257,June 2015,Na h-Eileanan Siar,98.8,28 June 2015
258,June 2015,Orkney Islands,102.7,28 June 2015
259,June 2015,Shetland Islands,98.7,28 June 2015
260,June 2015,Angus and Dundee City,101.4,28 June 2015
261,June 2015,Clackmannanshire and Fife,102.2,28 June 2015
262,June 2015,East Lothian and Midlothian,100.8,28 June 2015
263,June 2015,City of Edinburgh,101.9,28 June 2015
264,June 2015,Falkirk,102.8,28 June 2015
265,June 2015,Perth and Kinross and Stirling,102.9,28 June 2015
266,June 2015,West Lothian,103.5,28 June 2015
267,June 2015,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",102.1,28 June 2015
268,June 2015,Glasgow City,103.1,28 June 2015
