,sc,uk,sc2,uk2,sc3,uk3,year,sc4,uk4,sc5,uk5
50,90.99689607724493,89.6,99.50235702592443,95.88014981273409,100.34795443376518,98.44836811128947,2010-09-01,87.82144019535201,84.3,101.38255439451164,98.25174825174825
51,90.36027340968509,89.5,98.80622937004743,95.77314071696095,100.34795443376518,98.44836811128947,2010-12-01,87.36294847603921,84.4,100.85326380705071,98.36829836829838
52,90.92939693719174,89.5,99.4285487552905,95.77314071696095,100.34795443376518,98.44836811128947,2011-03-01,88.07009088553849,84.6,101.66960095247049,98.6013986013986
53,91.20353114683132,89.4,99.72830623248427,95.66613162118782,100.34795443376518,98.44836811128947,2011-06-01,88.49297504473861,84.7,102.15778557091122,98.71794871794873
54,91.47896221127539,89.4,100.02948178123133,95.66613162118782,100.34795443376518,98.44836811128947,2011-09-01,88.81758061799519,84.8,102.53251572922156,98.83449883449883
55,91.88020360487522,89.2,100.46822712443138,95.45211342964154,100.34795443376518,98.44836811128947,2011-12-01,89.26476063792056,84.8,103.0487478997869,98.83449883449883
56,92.75563628977609,89.8,101.425486320297,96.09416800428036,100.34795443376518,98.44836811128947,2012-03-01,90.17343423356057,85.5,104.09773605156293,99.65034965034965
57,92.55109889774323,89.6,101.20183086077527,95.88014981273409,100.34795443376518,98.44836811128947,2012-06-01,90.03262345504038,85.4,103.9351817096972,99.53379953379954
58,92.7417919091033,90.6,101.41034790824239,96.95024077046548,100.34795443376518,98.44836811128947,2012-09-01,90.2779773683328,86.5,104.21842241270711,100.81585081585082
59,93.41219594584803,90.3,102.14341447085535,96.62921348314609,100.34795443376518,98.44836811128947,2012-12-01,90.9908538175706,86.4,105.0413790304835,100.69930069930071
60,93.32152001274663,90.4,102.04426307714786,96.73622257891923,100.34795443376518,98.44836811128947,2013-03-01,90.96275241005398,86.6,105.0089382908443,100.93240093240092
61,94.1225957323053,90.9,102.92021517758725,97.27126805778494,100.34795443376518,98.44836811128947,2013-06-01,91.8043214491413,87.2,105.9804598087358,101.63170163170163
62,94.72686435797817,91.4,103.58096466601185,97.80631353665063,100.34795443376518,98.44836811128947,2013-09-01,92.4799838502356,87.8,106.76045590056596,102.33100233100234
63,95.1447005659703,91.8,104.03785593745367,98.2343499197432,100.34795443376518,98.44836811128947,2013-12-01,92.97456686254142,88.4,107.33141088645732,103.03030303030305
64,95.88333749177818,92.5,104.84553310307786,98.98341359015518,100.34795443376518,98.44836811128947,2014-03-01,93.78368683708992,89.2,108.26547265598509,103.96270396270397
65,96.70472223120663,93.1,105.74369250324989,99.62546816479401,100.34795443376518,98.44836811128947,2014-06-01,94.67516348213664,90.0,109.29460835743616,104.8951048951049
66,97.42628482697648,93.6,106.53269940475889,100.16051364365973,100.34795443376518,98.44836811128947,2014-09-01,95.49484324302567,90.7,110.24086052273385,105.71095571095572
67,97.51005101558101,94.1,106.62429520158865,100.69555912252541,100.34795443376518,98.44836811128947,2014-12-01,95.6903069013522,91.3,110.46650707246428,106.41025641025641
68,97.99761384894923,94.3,107.15743043157705,100.90957731407171,100.34795443376518,98.44836811128947,2015-03-01,96.28269568929535,91.7,111.15037069827993,106.87645687645688
69,97.65695183498792,94.7,106.78492681002965,101.33761369716427,100.34795443376518,98.44836811128947,2015-06-01,96.06152400220473,92.2,110.8950463657808,107.45920745920748
70,97.23659728552259,94.9,106.32528180826095,101.55163188871057,100.34795443376518,98.44836811128947,2015-09-01,95.78893653468872,92.6,110.58036678763644,107.92540792540792
71,97.298497421001,95.4,106.39296773652708,102.08667736757626,100.34795443376518,98.44836811128947,2015-12-01,95.99090451820847,93.3,110.81352204026716,108.74125874125875
72,97.33122400932591,95.5,106.42875327225549,102.1936864633494,100.34795443376518,98.44836811128947,2016-03-01,96.16422813530572,93.7,111.01360975232389,109.20745920745922
73,97.14543899155743,95.9,106.2256029675201,102.62172284644197,100.34795443376518,98.44836811128947,2016-06-01,96.1214383003219,94.2,110.96421244384057,109.79020979020979
74,97.79702225636953,96.2,106.93808958456268,102.9427501337614,100.34795443376518,98.44836811128947,2016-09-01,96.8561801194627,94.7,111.81241081407076,110.37296037296038
75,97.37491995204562,96.7,106.47653346565231,103.47779561262709,100.34795443376518,98.44836811128947,2016-12-01,96.5277768546991,95.3,111.43329653651881,111.07226107226107
76,98.31645761985995,97.3,107.50607646343424,104.11985018726593,100.34795443376518,98.44836811128947,2017-03-01,97.55162832134327,96.0,112.61524796862989,111.8881118881119
77,98.83260640464322,97.7,108.07046956777052,104.5478865703585,100.34795443376518,98.44836811128947,2017-06-01,98.15474198574337,96.5,113.3114925730352,112.47086247086247
78,99.53555844521134,98.0,108.83912638935416,104.86891385767791,100.34795443376518,98.44836811128947,2017-09-01,98.91334401410131,97.0,114.18723557192824,113.05361305361305
79,99.6582369282996,98.5,108.97327160473912,105.40395933654364,100.34795443376518,98.44836811128947,2017-12-01,99.09580147733885,97.6,114.39786755029499,113.75291375291374
80,99.46498598613795,98.5,108.76195753721048,105.40395933654364,100.34795443376518,98.44836811128947,2018-03-01,98.96406963278707,97.8,114.24579408320028,113.98601398601397
81,99.9405524584304,98.8,109.28197510874868,105.72498662386305,100.34795443376518,98.44836811128947,2018-06-01,99.49795848291024,98.2,114.86212439238028,114.45221445221445
82,99.47222754741902,99.2,108.76987596571823,106.15302300695562,100.34795443376518,98.44836811128947,2018-09-01,99.14667752095873,98.7,114.45659971465257,115.03496503496504
83,99.10999480610032,99.3,108.3737854054141,106.26003210272874,100.34795443376518,98.44836811128947,2018-12-01,98.90018155509101,99.0,114.17204060685356,115.3846153846154
84,99.51858069020534,99.8,108.82056172711918,106.79507758159446,100.34795443376518,98.44836811128947,2019-03-01,99.42292598683383,99.6,114.77550561115896,116.08391608391608
85,99.97227325917058,99.8,109.316660846136,106.79507758159446,100.34795443376518,98.44836811128947,2019-06-01,99.9917303689458,99.7,115.43214300040043,116.2004662004662
86,100.20288052380855,100.3,109.56882292383261,107.33012306046015,100.34795443376518,98.44836811128947,2019-09-01,100.23476516122666,100.3,115.7127064709307,116.89976689976692
87,100.3062655268155,100.1,109.68187130156618,107.11610486891388,100.34795443376518,98.44836811128947,2019-12-01,100.35057848299377,100.3,115.84640332636309,116.89976689976692
88,97.23273671682185,97.4,106.32106039300675,104.22685928303908,100.34795443376518,98.44836811128947,2020-03-01,97.28770746799239,97.7,112.31057327630904,113.86946386946389
89,75.69454057022025,76.9,82.7696935325996,82.28999464954524,100.34795443376518,98.44836811128947,2020-06-01,75.74668866200098,77.2,87.44325720914206,89.97668997668998
90,88.32305492036767,89.5,96.5785924922818,95.77314071696095,100.34795443376518,98.44836811128947,2020-09-01,88.44009306265377,90.0,102.09673771729733,104.8951048951049
91,89.72902111112334,90.5,98.11597405044171,96.84323167469236,100.34795443376518,98.44836811128947,2020-12-01,89.90500668847008,91.1,103.78785875815272,106.17715617715618
92,88.7613522088183,89.5,97.0578573371166,95.77314071696095,100.34795443376518,98.44836811128947,2021-03-01,88.9919086481484,90.1,102.73376295268066,105.01165501165501
93,94.98208420261206,95.3,103.86003985643708,101.97966827180312,100.34795443376518,98.44836811128947,2021-06-01,95.28922520674664,96.0,110.00349158752643,111.8881118881119
94,96.96527305173046,96.8,106.02859695477262,103.58480470840021,100.34795443376518,98.44836811128947,2021-09-01,97.23854790029579,97.7,112.25382264075894,113.86946386946389
95,99.16483488325551,98.2,108.43375137317406,105.08293204922421,100.34795443376518,98.44836811128947,2021-12-01,99.40311587040135,99.1,114.75263647803715,115.50116550116549
96,99.873033434638,98.3,109.2081450958466,105.18994114499733,100.34795443376518,98.44836811128947,2022-03-01,100.07152911991435,99.6,115.52426402680001,116.08391608391608
97,99.91664007889513,98.3,109.25582764407208,105.18994114499733,100.34795443376518,98.44836811128947,2022-06-01,100.07371730092719,99.7,115.52679009993278,116.2004662004662
98,99.79000109845981,98.1,109.11735174447684,104.97592295345103,100.34795443376518,98.44836811128947,2022-09-01,99.96110170633148,99.5,115.39678475477591,115.96736596736596
99,99.85503873017036,98.1,109.18846843009533,104.97592295345103,100.34795443376518,98.44836811128947,2022-12-01,100.04048259421933,99.5,115.4884233929749,115.96736596736596
