,Year,Fuel,EJ
287,1972,Oil,93.0166818686545
288,1973,Oil,100.561196994071
289,1974,Oil,97.5158065658224
290,1975,Oil,95.5057741557632
291,1976,Oil,102.200245996673
292,1977,Oil,105.540664077996
293,1978,Oil,109.986137464897
294,1979,Oil,111.459471118205
295,1980,Oil,105.009597285687
296,1981,Oil,100.257225085896
297,1982,Oil,96.6490158799386
298,1983,Oil,96.0088792583289
299,1984,Oil,98.6157129067089
300,1985,Oil,115.54638182213
301,1986,Oil,119.394464637941
302,1987,Oil,121.68888056765
303,1988,Oil,125.77867204727
304,1989,Oil,127.898401270371
305,1990,Oil,129.599371575247
306,1991,Oil,129.909708410317
307,1992,Oil,132.14473958783
308,1993,Oil,131.49357040496199
309,1994,Oil,134.514567953181
310,1995,Oil,136.547127891501
311,1996,Oil,139.486209104304
312,1997,Oil,143.105859958504
313,1998,Oil,143.463456388603
314,1999,Oil,146.214662295484
315,2000,Oil,147.639377769498
316,2001,Oil,148.730838625398
317,2002,Oil,149.951727357475
318,2003,Oil,153.23836365125
319,2004,Oil,159.028234835195
320,2005,Oil,160.231561403297
321,2006,Oil,161.893217439619
322,2007,Oil,163.961938187335
323,2008,Oil,161.942939803083
324,2009,Oil,158.564182755656
325,2010,Oil,163.837171550733
326,2011,Oil,165.616279027073
327,2012,Oil,167.914431981184
328,2013,Oil,169.790803191439
329,2014,Oil,170.844121792872
330,2015,Oil,174.678247454764
331,2016,Oil,177.717948911502
332,2017,Oil,180.123372545326
333,2018,Oil,181.567359084106
334,2019,Oil,181.979282515284
335,2020,Oil,164.950457093365
