,index,Year,Fuel,Share
55,55,2019,Gas,0.24168402237415654
56,56,2019,Coal,0.271085536253986
57,57,2019,Renewables,0.049562746086908964
58,58,2019,Nuclear,0.04287104492132954
59,59,2019,Hydro,0.06481214273097169
60,60,2020,Oil,0.3121144534062179
61,61,2020,Gas,0.2472362366997592
62,62,2020,Coal,0.2720365472601489
63,63,2020,Renewables,0.056970307874569914
64,64,2020,Nuclear,0.04308277599686232
65,65,2020,Hydro,0.06855967876244187
66,66,2021,Oil,0.2952121380604604
67,67,2021,Gas,0.25291600221229843
68,68,2021,Coal,0.27299089456357917
69,69,2021,Renewables,0.0654849909573624
70,70,2021,Nuclear,0.04329555276765232
71,71,2021,Hydro,0.07252390299021907
72,72,2022,Oil,0.27922515444935875
73,73,2022,Gas,0.2587262491490336
74,74,2022,Coal,0.27394858986853626
75,75,2022,Renewables,0.07527226375759181
76,76,2022,Nuclear,0.04350938039816852
77,77,2022,Hydro,0.0767173446532551
78,78,2023,Oil,0.26410393349510713
79,79,2023,Gas,0.2646699750636529
80,80,2023,Coal,0.27490964492033987
81,81,2023,Renewables,0.08652232532003515
82,82,2023,Nuclear,0.04372426407838612
83,83,2023,Hydro,0.0811532574500311
84,84,2024,Oil,0.24980159049473546
85,85,2024,Gas,0.2707502463727357
86,86,2024,Coal,0.2758740715055142
87,87,2024,Renewables,0.09945380150774276
88,88,2024,Nuclear,0.04394020902391252
89,89,2024,Hydro,0.08584566142790231
90,90,2025,Oil,0.2362737797498785
91,91,2025,Gas,0.2769701999377418
92,92,2025,Coal,0.27684188145193234
93,93,2025,Renewables,0.11431799362483289
94,94,2025,Nuclear,0.044157220476113895
95,95,2025,Hydro,0.09080938729454796
96,96,2026,Oil,0.22347855706895753
97,97,2026,Gas,0.2833330446833438
98,98,2026,Coal,0.2778130866289616
99,99,2026,Renewables,0.13140376203105625
100,100,2026,Nuclear,0.044375303702242457
101,101,2026,Hydro,0.09606012329157626
102,102,2027,Oil,0.211376249715449
103,103,2027,Gas,0.2898420632529375
104,104,2027,Coal,0.2787876989476088
105,105,2027,Renewables,0.15104313965289556
106,106,2027,Nuclear,0.044594463995564236
107,107,2027,Hydro,0.10161446477843197
108,108,2028,Oil,0.1999293333990035
109,109,2028,Gas,0.29650061370218417
110,110,2028,Coal,0.27976573036066654
111,111,2028,Renewables,0.17361778448026624
112,112,2028,Nuclear,0.044814706675487606
113,113,2028,Hydro,0.10748996668332049
114,114,2029,Oil,0.1891023159280154
115,115,2029,Gas,0.3033121312314591
116,116,2029,Coal,0.28074719286285965
117,117,2029,Renewables,0.199566396442146
118,118,2029,Nuclear,0.04503603708769238
119,119,2029,Hydro,0.11370519898692365
120,120,2030,Oil,0.17886162716289622
121,121,2030,Gas,0.3102801299580992
122,122,2030,Coal,0.28173209849099234
123,123,2030,Renewables,0.2293932427955304
124,124,2030,Nuclear,0.04525846060425956
125,125,2030,Hydro,0.12027980541426765
126,126,WEO 2020 SDS - 2030,Oil,0.29623262072058604
127,127,WEO 2020 SDS - 2030,Gas,0.247570638361489
128,128,WEO 2020 SDS - 2030,Coal,0.16766332785169683
129,129,WEO 2020 SDS - 2030,Renewables,0.18612647630438034
130,130,WEO 2020 SDS - 2030,Nuclear,0.06690088204514875
131,131,WEO 2020 SDS - 2030,Hydro,0.03550605471669906
