,year,gdp,gva,lngdp,lngva
86,1786,19570.7210957045,16661.329332852194,9.881789906706919,9.720845704425518
87,1787,19236.455335943156,16376.755663806234,9.864562473147922,9.70361827086652
88,1788,19193.324270167497,16340.03648070353,9.862317803294099,9.701373601012698
89,1789,19624.634927924068,16707.228311730574,9.884540940078809,9.723596737797408
90,1790,21112.656697184244,17974.040128773882,9.957627983098423,9.796683780817022
91,1791,21209.70159517947,18056.658290754964,9.962213978397028,9.801269776115625
92,1792,22061.540144248705,18781.862157033378,10.00159110651954,9.840646904238138
93,1793,21705.708851599535,18478.928896436068,9.985330585647759,9.824386383366358
94,1794,21004.829032745103,17882.24217101712,9.952507644210447,9.791563441929046
95,1795,23279.992752411024,19819.179079684785,10.055349590522775,9.894405388241374
96,1796,23700.520643723685,20177.191114936155,10.073252294971535,9.912308092690132
97,1797,23527.99638062105,20030.314382525336,10.065946326400983,9.905002124119582
98,1798,23754.434475943253,20223.090093814535,10.07552450681031,9.91458030452891
99,1799,24379.83492969028,20755.51824880375,10.101511632285938,9.940567430004537
100,1800,25565.93923852086,21765.295784128124,10.149016246073373,9.988072043791972
101,1801,25792.377333843062,21958.07149541732,10.157834275078491,9.996890072797088
102,1802,26083.51202782875,22205.92598136058,10.169058670617995,10.008114468336593
103,1803,25533.590939189122,21737.756396801095,10.147750156011865,9.986805953730462
104,1804,25512.025406301294,21719.39680524974,10.1469052045463,9.985961002264897
105,1805,27053.961007781043,23032.10760117143,10.20558870637439,10.044644504092988
106,1806,26946.1333433419,22940.30964341467,10.20159509084292,10.040650888561519
107,1807,28714.50704014385,24445.796150625556,10.2651577458219,10.104213543540498
108,1808,27366.66123465456,23298.32167866604,10.2170808082823,10.0561366060009
109,1809,28229.282550167703,24032.70534072013,10.248115106477814,10.08717090419641
110,1810,30040.78731274531,25574.911031033724,10.310311314347718,10.149367112066317
111,1811,29728.08708587179,25308.69695353911,10.299847571031764,10.138903368750363
112,1812,28498.851711265557,24262.200235112035,10.257619074612258,10.096674872330855
113,1813,30051.570079189216,25584.0908268094,10.310670187489915,10.149725985208514
114,1814,29383.03855966653,25014.94348871748,10.288172867105311,10.12722866482391
115,1815,32520.8235948456,27686.264059439236,10.389635889135814,10.228691686854413
116,1816,30817.14649670713,26235.856326882407,10.33582651849778,10.17488231621638
117,1817,31334.719286015017,26676.486524114862,10.352482004138196,10.191537801856795
118,1818,31302.370986683272,26648.947136787832,10.351449124032598,10.190504921751195
119,1819,30784.798197375385,26208.316939555374,10.334776282098078,10.173832079816677
120,1820,33286.400012363505,28338.029559512237,10.412904184510127,10.251959982228724
121,1821,33857.886633890965,28824.558735623075,10.429927238910267,10.268983036628866
122,1822,34515.63538696974,29384.526277939323,10.449167699977831,10.288223497696428
123,1823,35539.998199141606,30256.60687662856,10.47841405103733,10.317469848755929
124,1824,37491.678925490094,31918.14991202594,10.531874292015829,10.370930089734427
125,1825,38343.517474559325,32643.353778304358,10.554340756641762,10.393396554360361
126,1826,36284.00908377169,30890.012785150215,10.499132402086795,10.338188199805394
127,1827,39087.52835918942,33276.75968682601,10.573558727296742,10.412614525015341
128,1828,39206.13879007247,33377.73744035845,10.576588615305337,10.415644413023935
129,1829,39540.40454983382,33662.31110940441,10.585078328079293,10.424134125797892
130,1830,41319.56101307968,35176.977412390974,10.629091299098718,10.468147096817317
131,1831,41815.56826949974,35599.248018072074,10.641023995810565,10.480079793529162
132,1832,43120.283009213366,36710.003306928884,10.671748768854785,10.510804566573384
133,1833,43443.7660025308,36985.397180199165,10.679222645199316,10.518278442917913
134,1834,44500.4771140344,37885.01716621543,10.703255189760549,10.542310987479148
135,1835,47843.134711647836,40730.75385667504,10.775682911386877,10.614738709105476
136,1836,49438.98414534715,42089.363631475106,10.808494544698533,10.647550342417132
137,1837,48986.107954702755,41703.81220889671,10.79929202576737,10.638347823485969
138,1838,50916.223148163415,43346.99565274273,10.837936877653426,10.676992675372023
139,1839,50592.74015484599,43071.60177947244,10.831563369781334,10.670619167499932
140,1840,53083.5592033902,45192.13460365363,10.879622539766169,10.718678337484766
141,1841,52059.19639121834,44320.0540049644,10.86013674222539,10.699192539943988
142,1842,51552.40636835437,43888.603603507625,10.850354168634071,10.689409966352668
143,1843,54118.704782005974,46073.39499811854,10.8989351496629,10.7379909473815
144,1844,58884.687550216106,50130.864730967405,10.983336362160122,10.822392159878719
145,1845,61580.37916119469,52425.81367488644,11.02809857867283,10.86715437639143
146,1846,61580.37916119469,52425.81367488644,11.02809857867283,10.86715437639143
147,1847,60857.93380945243,51810.76735791614,11.016297472980673,10.85535327069927
148,1848,63413.44945666013,53986.378956751396,11.057431254467923,10.896487052186522
149,1849,65041.64718969119,55372.528118878494,11.08278306969576,10.921838867414358
150,1850,64459.377801719806,54876.81914699198,11.073790502851852,10.912846300570449
151,1851,67359.94197513277,57346.18421064886,11.117805787501538,10.956861585220135
152,1852,70357.55104654095,59898.16743628682,11.161345392198863,11.00040118991746
153,1853,72805.2390293095,61981.98107736531,11.195543196283761,11.034598994002359
154,1854,76331.20365646947,64983.7742960114,11.242837093782157,11.081892891500756
155,1855,74605.96102544318,63515.00697190322,11.219975689506779,11.059031487225377
156,1856,79598.3818889755,67765.25241604127,11.28474904359791,11.12380484131651
157,1857,80536.48256959605,68563.89464852509,11.296465560365034,11.135521358083633
158,1858,79091.59186611153,67333.8020145845,11.27836185058505,11.117417648303649
159,1859,82401.90116439323,70151.99931771708,11.319363788014813,11.158419585733412
160,1860,84148.70932830735,71639.12623337662,11.340340861750969,11.179396659469568
161,1861,83943.83676587297,71464.71011363878,11.337903244276067,11.176959041994666
162,1862,80590.39640181561,68609.79362740349,11.297134770053397,11.136190567771996
163,1863,88397.11930720958,75255.96576899302,11.38959466107225,11.228650458790849
164,1864,91038.89708596858,77505.01573403367,11.419042134677467,11.258097932396065
165,1865,93497.36783518105,79598.00917088785,11.445688563385128,11.284744361103726
166,1866,96721.41500191143,82342.768107815,11.479590115060809,11.318645912779408
167,1867,97411.51205432194,82930.27503745828,11.486699676222516,11.325755473941117
168,1868,102447.06398362994,87217.23966469905,11.537101495214717,11.376157292933316
169,1869,103643.95105890442,88236.1969957991,11.548716756864327,11.387772554582925
170,1870,108539.32702444152,92403.82427795607,11.594867847344272,11.433923645062873
171,1871,114097.06364918702,97135.3454006225,11.644804800630212,11.48386059834881
172,1872,114206.03887712321,97228.12032459636,11.645759454640661,11.484815252359262
173,1873,115077.8407006127,97970.31971638717,11.65336405402588,11.492419851744481
174,1874,119872.75072980489,102052.41637123663,11.694186048546136,11.533241846264735
175,1875,120962.50300916674,102980.16561097515,11.703235884066054,11.542291681784654
176,1876,121725.32960472004,103629.59007879211,11.709522388828875,11.548578186547475
177,1877,122379.18097233717,104186.23962263521,11.714879544498118,11.553935342216716
178,1878,123359.95802376285,105021.21393839987,11.722861848522802,11.561917646241401
179,1879,120635.57732535819,102701.84083905359,11.700529522468312,11.53958532018691
180,1880,130116.42215580639,110773.25922477867,11.776184883712222,11.615240681430821
181,1881,132731.82762627487,112999.8574001511,11.796086038029516,11.635141835748115
182,1882,135020.30741293478,114948.13080360199,11.813180471388817,11.652236269107416
183,1883,139379.31653038223,118659.12776255605,11.844954391338517,11.684010189057116
184,1884,138180.5890230842,117638.60359884368,11.836316724756847,11.675372522475445
185,1885,136981.86151578615,116618.07943513131,11.827603798349921,11.666659596068522
186,1886,137962.63856721183,117453.05375089597,11.834738192463796,11.673793990182395
187,1887,143629.3504198935,122277.34979753624,11.874991304822126,11.714047102540727
188,1888,148206.30999321333,126173.896604438,11.906360568489772,11.74541636620837
189,1889,153001.22002240553,130255.99325928748,11.938201174345432,11.77725697206403
190,1890,154308.92275763975,131369.2923469737,11.94671186401334,11.785767661731938
191,1891,157796.13005159772,134338.08991413694,11.969059162705337,11.808114960423936
192,1892,154526.87321351212,131554.8421949214,11.948123296851747,11.787179094570346
193,1893,153437.12093415027,130627.09295518289,11.941046126477662,11.780101924196261
194,1894,161065.38688968332,137121.3376333525,11.989565691267822,11.828621488986421
195,1895,166296.19783062028,141574.53398409736,12.021525801604076,11.860581599322677
196,1896,173597.53810234476,147790.4538903454,12.064494899669723,11.903550697388322
197,1897,175123.19129345135,149089.30282597934,12.073244955497188,11.912300753215787
198,1898,183514.2838445377,156232.9719719659,12.120047784561947,11.959103582280546
199,1899,190379.72320451745,162077.79218231852,12.15677589989373,11.99583169761233
200,1900,189180.99569721942,161057.26801860615,12.15045948497997,11.98951528269857
201,1901,193866.93049847544,165046.58974948176,12.17492727742551,12.01398307514411
202,1902,196591.3111968801,167365.96284882803,12.188882290382244,12.027938088100843
203,1903,194738.73232196493,165788.78914127254,12.179414104919102,12.018469902637701
204,1904,197245.16256449724,167922.61239267112,12.192202714019546,12.031258511738145
205,1905,203238.8001009875,173025.23321123296,12.22213692183759,12.061192719556189
206,1906,208251.66058605205,177292.87971403013,12.246502533999948,12.085558331718547
207,1907,212065.79356381856,180540.00205311493,12.264651852505626,12.103707650224223
208,1908,204110.60192447694,173767.43260302377,12.226417292203763,12.065473089922362
209,1909,209668.33854922242,178498.9537256902,12.253282220985326,12.092338018703925
210,1910,215226.07517396793,183230.47484835662,12.279444267094897,12.118500064813496
211,1911,222418.44021775623,189353.6198306308,12.31231575256952,12.151371550288118
212,1912,225469.74659996945,191951.31770189866,12.325941267505218,12.164997065223817
213,1913,235168.54188629004,200208.28593557142,12.368057735577755,12.207113533296353
214,1914,240577.4183496747,204813.07651208955,12.390797222547244,12.229853020265843
215,1915,255863.37357228354,217826.61509790167,12.452398884011506,12.291454681730103
216,1916,260801.91295189565,222030.9891025487,12.471516443945985,12.310572241664582
217,1917,262683.26128698594,223632.65539003324,12.478704255664818,12.317760053383417
218,1918,268327.30629225686,228437.65425248691,12.499962806457694,12.33901860417629
219,1919,241753.2610591061,205814.11794176736,12.395672902610727,12.234728700329326
220,1920,222939.7777082029,189797.45506692163,12.31465695885064,12.153712756569238
221,1921,201290.32561051974,170545.73231357554,12.212503550912725,12.046758764452944
222,1922,211977.33249843455,181211.50669216062,12.26423462576037,12.107420173290922
223,1923,218257.32623669377,186864.36711281072,12.29343004123327,12.138138323115326
224,1924,228558.71947401375,196036.9330783939,12.339548434307641,12.186058354534623
225,1925,236601.5184721352,203236.3307839388,12.374132648393129,12.222124771932904
226,1926,229219.77144646208,196623.55066921606,12.342436522957714,12.18904626929319
227,1927,246847.8240450845,212675.5411089866,12.416527328760916,12.267523002140774
228,1928,249051.3306199123,214435.39388145314,12.42541430126938,12.27576377795632
229,1929,256157.63932373197,220781.5296367113,12.453548312556176,12.304928937878405
230,1930,254119.39574201623,218808.36137667304,12.445559497532594,12.29595156350123
231,1931,242330.63556668747,207929.27151051626,12.398058335323492,12.244953260041642
232,1932,242495.89855979953,208835.862332696,12.39874007606118,12.249303874709446
233,1933,250208.17157169685,215715.28680688338,12.430048536640276,12.281714700551637
234,1934,265136.9286161552,229100.83365200766,12.488001683277883,12.341917507247745
235,1935,274942.5328741389,237526.79541108987,12.524317383444382,12.378035718876358
236,1936,288053.39699436433,249205.81835564054,12.570901148162903,12.42603441375947
237,1937,298134.43957420153,257845.09560229446,12.605299803265451,12.46011427894644
238,1938,300448.12147777074,259551.61950286807,12.613030377380307,12.4667108808925
239,1939,313669.16092673753,271603.9445506692,12.656094081812755,12.51210019794365
240,1940,344793.69129618024,302268.04588910134,12.750701520899474,12.619069471869615
241,1941,374816.46837820904,330212.3747609943,12.834191767490525,12.707491286328608
242,1942,381537.16343143384,336931.8126195029,12.85196353893714,12.727635852421075
243,1943,388092.59549154656,342957.97514340346,12.868999238307554,12.745363197193909
244,1944,371015.41953663115,326319.3671128107,12.823998902819238,12.695631834521585
245,1945,354048.4189104571,308987.48374760995,12.77718895934606,12.641056049388341
246,1946,345344.5679398873,299921.57552581263,12.752297945248742,12.611276304549545
247,1947,340937.5547902317,295975.23900573613,12.739454615714134,12.598031077799526
248,1948,351900.0,306801.0,12.771102323309677,12.633954607922337
249,1949,363622.0,318106.0,12.803870145505648,12.670139939552435
250,1950,375806.0,328251.0,12.836828331773377,12.701533838618895
251,1951,389760.0,339556.0,12.873286444063615,12.735394160831996
252,1952,395673.0,346178.0,12.888343391535269,12.754708372622433
253,1953,417697.0,365943.0,12.942511568271302,12.81023286255021
254,1954,435905.0,382651.0,12.98517960868146,12.854878625588892
255,1955,452937.0,396800.0,13.023508321945965,12.891187654392855
256,1956,460617.0,404550.0,13.040322174067997,12.910530617235986
257,1957,469774.0,413514.0,13.060007006976464,12.932446650188336
258,1958,476145.0,418120.0,13.073477708674481,12.943523751646643
259,1959,495991.0,434185.0,13.114313060381148,12.98122598953756
260,1960,527484.0,463338.0,13.175873812118787,13.046212088330488
261,1961,541733.0,476600.0,13.202528539118525,13.074432843646779
262,1962,547685.0,482690.0,13.213455583140979,13.087129904632663
263,1963,574300.0,507924.0,13.260907186852387,13.138087109069268
264,1964,606431.0,536685.0,13.315346233375678,13.193166609199729
265,1965,619350.0,550011.0,13.336425819982345,13.217693557008657
266,1966,629058.0,557655.0,13.351978741288425,13.231495770579922
267,1967,646519.0,570409.0,13.379357865779989,13.254108926358867
268,1968,681901.0,602661.0,13.432639764998356,13.309110128567077
269,1969,695124.0,614825.0,13.45184552589865,13.329092953450283
270,1970,713952.0,630958.0,13.478571012171136,13.354994578293805
271,1971,738974.0,654938.0,13.513018016632117,13.392295853648632
272,1972,770910.0,683693.0,13.555326914214303,13.435264265440814
