,Total pay (real),Regular pay (real),CPIH,time
58,2.6,2.0,2.2,2005-11-01
59,2.3,1.5,2.1,2005-12-01
60,0.9,1.8,2.2,2006-01-01
61,3.3,2.0,2.2,2006-02-01
62,3.8,1.7,2.0,2006-03-01
63,2.0,1.5,2.2,2006-04-01
64,2.2,1.5,2.4,2006-05-01
65,2.9,1.5,2.6,2006-06-01
66,2.2,1.1,2.5,2006-07-01
67,1.2,0.7,2.6,2006-08-01
68,1.3,1.0,2.5,2006-09-01
69,1.9,1.5,2.5,2006-10-01
70,1.7,1.3,2.8,2006-11-01
71,2.7,1.2,2.9,2006-12-01
72,3.3,1.1,2.7,2007-01-01
73,3.9,1.1,2.7,2007-02-01
74,1.7,1.1,2.9,2007-03-01
75,1.5,1.2,2.7,2007-04-01
76,2.2,1.7,2.5,2007-05-01
77,1.9,1.7,2.5,2007-06-01
78,2.8,2.6,2.0,2007-07-01
79,3.2,2.9,2.0,2007-08-01
80,3.5,2.5,2.0,2007-09-01
81,2.1,1.6,2.3,2007-10-01
82,2.3,1.8,2.2,2007-11-01
83,0.7,1.6,2.3,2007-12-01
84,1.2,1.7,2.4,2008-01-01
85,1.2,1.6,2.6,2008-02-01
86,2.4,1.7,2.6,2008-03-01
87,1.7,1.5,3.0,2008-04-01
88,0.8,0.4,3.3,2008-05-01
89,-0.3,-0.2,3.7,2008-06-01
90,-0.8,-0.8,4.2,2008-07-01
91,-1.2,-1.1,4.4,2008-08-01
92,-2.1,-1.4,4.8,2008-09-01
93,-0.8,-0.5,4.2,2008-10-01
94,-1.5,-0.5,3.8,2008-11-01
95,-0.6,0.1,3.0,2008-12-01
96,-4.2,-0.2,2.9,2009-01-01
97,-8.7,-0.5,3.1,2009-02-01
98,-3.6,-0.8,2.8,2009-03-01
99,-0.9,-0.3,2.3,2009-04-01
100,-1.3,0.2,2.1,2009-05-01
101,-0.6,0.3,1.7,2009-06-01
102,-1.1,-0.2,1.6,2009-07-01
103,-0.8,-0.2,1.4,2009-08-01
104,-0.1,0.5,1.0,2009-09-01
105,-0.9,-0.2,1.2,2009-10-01
106,-0.6,-0.5,1.5,2009-11-01
107,-1.1,-0.7,2.1,2009-12-01
108,0.1,-0.7,2.6,2010-01-01
109,6.6,-0.6,2.1,2010-02-01
110,-0.1,-0.3,2.4,2010-03-01
111,-1.2,-1.2,2.7,2010-04-01
112,-0.9,-1.3,2.5,2010-05-01
113,-1.4,-1.0,2.4,2010-06-01
114,-0.9,-0.1,2.3,2010-07-01
115,-0.8,-0.1,2.4,2010-08-01
116,-0.8,-0.2,2.4,2010-09-01
117,-0.7,-0.3,2.5,2010-10-01
118,-0.8,-0.2,2.6,2010-11-01
119,-0.8,-1.2,3.1,2010-12-01
120,1.1,-1.1,3.4,2011-01-01
121,-1.9,-1.5,3.7,2011-02-01
122,-1.0,-1.8,3.5,2011-03-01
123,-1.6,-1.7,3.8,2011-04-01
124,-1.6,-1.5,3.8,2011-05-01
125,-0.7,-1.6,3.6,2011-06-01
126,-1.0,-2.2,3.8,2011-07-01
127,-1.9,-2.2,3.9,2011-08-01
128,-2.5,-2.7,4.5,2011-09-01
129,-2.1,-2.4,4.3,2011-10-01
130,-2.1,-2.3,4.1,2011-11-01
131,-1.8,-1.6,3.7,2011-12-01
132,-2.8,-2.2,3.2,2012-01-01
133,-2.1,-1.4,3.1,2012-02-01
134,-2.2,-1.1,3.1,2012-03-01
135,-0.8,-1.1,2.8,2012-04-01
136,-1.0,-0.8,2.5,2012-05-01
137,-1.1,-0.3,2.3,2012-06-01
138,-0.9,-0.5,2.4,2012-07-01
139,-0.1,-0.2,2.3,2012-08-01
140,-0.3,-0.5,2.1,2012-09-01
141,-1.0,-1.1,2.4,2012-10-01
142,-0.9,-1.0,2.4,2012-11-01
143,-1.4,-1.2,2.4,2012-12-01
144,-1.2,-1.4,2.4,2013-01-01
145,-1.3,-1.7,2.5,2013-02-01
146,-3.2,-1.8,2.5,2013-03-01
147,1.5,-1.0,2.2,2013-04-01
148,-0.8,-1.4,2.4,2013-05-01
149,-1.4,-1.7,2.6,2013-06-01
150,-1.6,-1.4,2.5,2013-07-01
151,-1.8,-1.9,2.4,2013-08-01
152,-1.3,-1.7,2.4,2013-09-01
153,-1.1,-1.1,2.0,2013-10-01
154,-1.1,-1.3,1.9,2013-11-01
155,-0.6,-0.7,1.9,2013-12-01
156,-0.2,-0.1,1.8,2014-01-01
157,0.4,-0.6,1.6,2014-02-01
158,0.0,-0.8,1.5,2014-03-01
159,-3.3,-1.2,1.7,2014-04-01
160,-1.2,-0.9,1.5,2014-05-01
161,-1.0,-1.1,1.8,2014-06-01
162,-1.2,-1.0,1.6,2014-07-01
163,-0.7,-0.5,1.5,2014-08-01
164,0.1,0.4,1.3,2014-09-01
165,0.6,0.4,1.3,2014-10-01
166,0.7,0.5,1.1,2014-11-01
167,1.5,0.7,0.7,2014-12-01
168,0.9,1.0,0.5,2015-01-01
169,1.0,1.8,0.4,2015-02-01
170,3.7,2.5,0.3,2015-03-01
171,2.2,2.5,0.3,2015-04-01
172,2.1,2.3,0.4,2015-05-01
173,2.1,2.4,0.3,2015-06-01
174,3.1,2.5,0.5,2015-07-01
175,2.8,2.1,0.4,2015-08-01
176,1.8,1.6,0.2,2015-09-01
177,1.6,1.4,0.2,2015-10-01
178,1.6,1.7,0.4,2015-11-01
179,1.2,1.5,0.5,2015-12-01
180,2.0,1.6,0.6,2016-01-01
181,1.0,1.8,0.6,2016-02-01
182,1.1,1.4,0.8,2016-03-01
183,2.2,1.7,0.7,2016-04-01
184,1.7,1.3,0.7,2016-05-01
185,1.8,1.4,0.8,2016-06-01
186,1.7,1.3,0.9,2016-07-01
187,1.3,1.4,1.0,2016-08-01
188,1.2,1.3,1.3,2016-09-01
189,1.4,1.3,1.3,2016-10-01
190,1.3,1.2,1.5,2016-11-01
191,0.1,0.5,1.8,2016-12-01
192,-0.2,0.1,1.9,2017-01-01
193,0.4,-0.6,2.3,2017-02-01
194,0.2,-0.5,2.3,2017-03-01
195,-1.2,-0.7,2.6,2017-04-01
196,-0.6,-0.3,2.7,2017-05-01
197,0.5,-0.3,2.6,2017-06-01
198,-1.0,-0.5,2.6,2017-07-01
199,-0.3,-0.4,2.7,2017-08-01
200,0.1,-0.4,2.8,2017-09-01
201,-0.5,-0.3,2.8,2017-10-01
202,-0.6,-0.5,2.8,2017-11-01
203,0.3,0.0,2.7,2017-12-01
204,-0.2,0.0,2.7,2018-01-01
205,0.0,0.4,2.5,2018-02-01
206,0.4,0.7,2.3,2018-03-01
207,0.6,0.4,2.2,2018-04-01
208,0.4,0.3,2.3,2018-05-01
209,-0.1,0.4,2.3,2018-06-01
210,1.0,0.8,2.3,2018-07-01
211,1.0,0.9,2.4,2018-08-01
212,0.6,0.9,2.2,2018-09-01
213,1.9,1.3,2.2,2018-10-01
214,1.0,1.3,2.2,2018-11-01
215,1.0,1.3,2.0,2018-12-01
216,1.7,1.8,1.8,2019-01-01
217,1.4,1.4,1.8,2019-02-01
218,1.0,1.3,1.8,2019-03-01
219,1.9,1.9,2.0,2019-04-01
220,2.2,1.9,1.9,2019-05-01
221,2.1,2.1,1.9,2019-06-01
222,2.1,1.8,2.0,2019-07-01
223,1.6,1.8,1.7,2019-08-01
224,2.2,1.9,1.7,2019-09-01
225,0.9,1.6,1.5,2019-10-01
226,1.7,1.7,1.5,2019-11-01
227,1.0,1.8,1.4,2019-12-01
228,1.1,0.9,1.8,2020-01-01
229,0.7,1.2,1.7,2020-02-01
230,-0.3,0.9,1.5,2020-03-01
231,-1.5,-0.9,0.9,2020-04-01
232,-1.7,-0.8,0.7,2020-05-01
233,-2.2,-0.9,0.8,2020-06-01
234,-1.2,-0.1,1.1,2020-07-01
235,1.5,1.5,0.5,2020-08-01
236,1.7,2.1,0.7,2020-09-01
237,2.9,2.8,0.9,2020-10-01
238,4.2,3.5,0.6,2020-11-01
239,4.2,3.6,0.8,2020-12-01
240,3.3,3.3,0.9,2021-01-01
241,3.2,3.7,0.7,2021-02-01
242,3.1,3.9,1.0,2021-03-01
243,7.2,5.8,1.6,2021-04-01
244,7.0,5.1,2.1,2021-05-01
245,6.2,4.6,2.4,2021-06-01
246,5.2,3.8,2.1,2021-07-01
247,2.5,1.8,3.0,2021-08-01
248,1.7,1.1,2.9,2021-09-01
249,0.6,0.0,3.8,2021-10-01
250,-1.0,-1.0,4.6,2021-11-01
251,1.1,-1.1,4.8,2021-12-01
252,0.3,-0.6,4.9,2022-01-01
253,0.3,-1.2,5.5,2022-02-01
254,3.4,-1.8,6.2,2022-03-01
255,-2.8,-3.5,7.8,2022-04-01
256,-3.2,-2.6,7.9,2022-05-01
257,-1.8,-2.8,8.2,2022-06-01
258,-2.8,-3.1,8.8,2022-07-01
259,-2.5,-2.7,8.6,2022-08-01
260,-2.8,-2.6,8.8,2022-09-01
261,-2.6,-2.8,9.6,2022-10-01
262,-2.1,-2.3,9.3,2022-11-01
263,-4.0,-2.4,9.2,2022-12-01
264,-2.7,-2.4,8.8,2023-01-01
265,-2.1,-2.0,9.2,2023-02-01
266,-3.0,-1.6,8.9,2023-03-01
267,-0.1,-0.1,7.8,2023-04-01
268,0.2,-0.1,7.9,2023-05-01
269,1.8,0.6,7.3,2023-06-01
270,1.7,1.3,6.4,2023-07-01
271,0.8,1.5,6.3,2023-08-01
272,1.9,1.1,6.3,2023-09-01
273,1.2,1.5,4.7,2023-10-01
