Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Primary education, pupils",SE.PRM.ENRL,Colombia,COL,5084972,4924346,4742456,4708466,4542644,4479218,4448238,4351705,4303833,..,..
"Primary education, pupils",SE.PRM.ENRL,Comoros,COM,..,116564,..,120186,120381,..,..,121517,124240,..,..
"Primary education, pupils",SE.PRM.ENRL,"Congo, Dem. Rep.",COD,10572422,11082501,12004804,12600876,13534625,13763196,..,..,16807014,..,..
"Primary education, pupils",SE.PRM.ENRL,"Congo, Rep.",COG,705093,727020,734493,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Costa Rica,CRI,520609,506961,494720,480125,475731,473447,475756,472421,483770,497065,..
"Primary education, pupils",SE.PRM.ENRL,Cote d'Ivoire,CIV,..,2757613,2920791,3021417,3176874,3370558,3617219,3772136,3900222,4003884,..
"Primary education, pupils",SE.PRM.ENRL,Croatia,HRV,167452,162186,159945,160275,160819,162355,162519,162955,161740,..,..
"Primary education, pupils",SE.PRM.ENRL,Cuba,CUB,852744,828293,803194,772023,763364,745733,735405,733770,741269,750567,..
"Primary education, pupils",SE.PRM.ENRL,Curacao,CUW,..,..,..,20812,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Cyprus,CYP,54806,54371,54272,54069,53129,53773,54541,55862,57079,..,..
"Primary education, pupils",SE.PRM.ENRL,Czech Republic,CZE,463357,468273,477413,491828,510613,534932,557455,575980,583522,..,..
"Primary education, pupils",SE.PRM.ENRL,Denmark,DNK,403344,470807,470711,469568,467484,468536,471787,472523,468362,..,..
"Primary education, pupils",SE.PRM.ENRL,Djibouti,DJI,..,60992,63612,63368,64319,62940,61755,61846,62979,68701,69134
"Primary education, pupils",SE.PRM.ENRL,Dominica,DMA,8138,8138,8144,7851,7695,7535,7323,..,..,6144,..
"Primary education, pupils",SE.PRM.ENRL,Dominican Republic,DOM,1317802,1310199,1283515,1291154,1267930,1307128,1287118,1253342,1226414,1300211,..
"Primary education, pupils",SE.PRM.ENRL,Ecuador,ECU,2114197,2128039,2089088,2068184,2093835,1998135,1951188,1929416,1932261,..,..
"Primary education, pupils",SE.PRM.ENRL,"Egypt, Arab Rep.",EGY,10542138,10266010,10945595,11102706,11128030,..,11764161,12161376,12643289,13265036,..
"Primary education, pupils",SE.PRM.ENRL,El Salvador,SLV,939726,900681,858864,817275,777043,741394,711182,678137,662740,..,..
"Primary education, pupils",SE.PRM.ENRL,Equatorial Guinea,GNQ,85061,86821,92029,..,..,93396,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Eritrea,ERI,286021,311737,334245,396398,361604,361684,..,347009,349753,..,..
"Primary education, pupils",SE.PRM.ENRL,Estonia,EST,72955,73054,74249,75644,77215,79594,82824,85617,88107,..,..
"Primary education, pupils",SE.PRM.ENRL,Eswatini,SWZ,241237,239721,239422,239019,240437,241404,239028,237451,237074,..,..
"Primary education, pupils",SE.PRM.ENRL,Ethiopia,ETH,13635289,14297969,14532477,..,15733276,16198047,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Fiji,FJI,..,101384,102778,105037,..,108727,110127,..,..,121666,..
"Primary education, pupils",SE.PRM.ENRL,Finland,FIN,347060,345615,347245,348432,351766,355231,359635,363990,368852,..,..
"Primary education, pupils",SE.PRM.ENRL,France,FRA,4159086,4171826,4155596,4171003,4188552,4255988,4284172,4309942,4302412,..,..
"Primary education, pupils",SE.PRM.ENRL,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Gabon,GAB,..,317946,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,"Gambia, The",GMB,229013,228495,244033,255957,274903,293503,308729,329828,350323,374678,..
"Primary education, pupils",SE.PRM.ENRL,Georgia,GEO,289137,285539,287245,287343,285329,288541,291447,301094,305368,316542,..
"Primary education, pupils",SE.PRM.ENRL,Germany,DEU,3067521,2989678,2936751,2890468,2862690,2879394,2895195,2954775,2987112,..,..
"Primary education, pupils",SE.PRM.ENRL,Ghana,GHA,..,3860381,4062026,4105913,4117152,4342315,4358176,4393061,4401194,4549875,..
"Primary education, pupils",SE.PRM.ENRL,Gibraltar,GIB,..,..,..,..,..,..,2796,2834,..,2889,..
"Primary education, pupils",SE.PRM.ENRL,Greece,GRC,642639,637020,636713,633534,628753,643762,646577,649246,643187,..,..
"Primary education, pupils",SE.PRM.ENRL,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Grenada,GRD,13663,..,..,12948,13061,13445,13196,13464,13195,..,..
"Primary education, pupils",SE.PRM.ENRL,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Guatemala,GTM,2653483,2644683,2556314,2499076,2417429,2381916,2350849,2348863,2362116,2365800,..
"Primary education, pupils",SE.PRM.ENRL,Guinea,GIN,1453355,1536722,1599839,1666156,1729630,..,1776560,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Guinea-Bissau,GNB,278890,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Guyana,GUY,99241,98662,94488,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Honduras,HND,1274904,1259405,1216739,1179022,1150042,1154139,1145093,1123945,..,1103956,..
"Primary education, pupils",SE.PRM.ENRL,"Hong Kong SAR, China",HKG,348549,334415,326208,320654,324171,332531,340932,352469,365732,376310,..
"Primary education, pupils",SE.PRM.ENRL,Hungary,HUN,387969,387262,384834,385466,393020,395549,394433,390970,373837,..,..
"Primary education, pupils",SE.PRM.ENRL,Iceland,ISL,29568,29432,29387,29578,29892,30422,31194,31981,32421,..,..
"Primary education, pupils",SE.PRM.ENRL,India,IND,138413840,137746816,139869904,141154752,137808912,138518032,145802544,143227424,..,120064160,..
"Primary education, pupils",SE.PRM.ENRL,Indonesia,IDN,30341820,30662440,30784378,30109356,29838440,29699772,29450356,29351816,29425748,..,..
"Primary education, pupils",SE.PRM.ENRL,"Iran, Islamic Rep.",IRN,5629585,5678434,5746859,7857540,7441078,7670175,8006278,8171667,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Ireland,IRL,506400,511466,518223,527768,536471,544856,553585,559151,564304,..,..
"Primary education, pupils",SE.PRM.ENRL,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Israel,ISR,807424,821481,842079,848721,861699,883706,896526,917118,936214,..,..
"Primary education, pupils",SE.PRM.ENRL,Italy,ITA,2822146,2827564,2818734,2860957,2862666,2856247,2831821,2902379,2870763,..,..
"Primary education, pupils",SE.PRM.ENRL,Jamaica,JAM,294285,289612,283628,278331,266201,259449,253196,246972,248836,232694,..
"Primary education, pupils",SE.PRM.ENRL,Japan,JPN,7098862,7029265,6923951,6801716,6714539,6638174,6581949,6531731,6504523,..,..
"Primary education, pupils",SE.PRM.ENRL,Jordan,JOR,819601,834958,849390,883453,979792,..,1049674,1106611,1133982,1147202,..
"Primary education, pupils",SE.PRM.ENRL,Kazakhstan,KAZ,957919,985599,1008459,1056916,1122282,1196027,1273774,1356500,1406967,1461448,..
"Primary education, pupils",SE.PRM.ENRL,Kenya,KEN,..,..,8053125,..,8158000,8168710,8290450,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Kiribati,KIR,..,..,..,..,16192,15915,16880,16695,..,..,..
"Primary education, pupils",SE.PRM.ENRL,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,1507780,..,..
"Primary education, pupils",SE.PRM.ENRL,"Korea, Rep.",KOR,3306211,3139724,2959090,2790890,2736224,2721766,2680126,2681815,2719358,..,..
"Primary education, pupils",SE.PRM.ENRL,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Kuwait,KWT,213733,223688,230280,239231,252585,264185,271285,275334,279956,276318,..
"Primary education, pupils",SE.PRM.ENRL,Kyrgyz Republic,KGZ,390711,390963,405318,419064,434642,451212,469852,501011,528627,551210,..
"Primary education, pupils",SE.PRM.ENRL,Lao PDR,LAO,916341,900123,883938,878283,870893,850466,827987,808705,786246,770659,..
"Primary education, pupils",SE.PRM.ENRL,Latvia,LVA,113691,113668,113410,114089,114660,117303,120308,121506,121674,..,..
"Primary education, pupils",SE.PRM.ENRL,Lebanon,LBN,461719,456985,456206,471626,480923,491455,486613,502505,509280,516514,..
"Primary education, pupils",SE.PRM.ENRL,Lesotho,LSO,388681,385437,381690,369469,366048,361637,360756,367931,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Liberia,LBR,..,674534,..,..,683977,684404,655049,635478,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Liechtenstein,LIE,2067,2014,1980,..,1929,1977,1998,2005,1999,..,..
"Primary education, pupils",SE.PRM.ENRL,Lithuania,LTU,122458,115581,111389,109028,108115,108038,110193,113881,116626,..,..
"Primary education, pupils",SE.PRM.ENRL,Luxembourg,LUX,35187,35099,35397,35250,35435,35920,36626,37452,38173,..,..
"Primary education, pupils",SE.PRM.ENRL,"Macao SAR, China",MAC,25326,23785,22646,22231,22862,24252,26436,28438,30169,32530,..
"Primary education, pupils",SE.PRM.ENRL,Madagascar,MDG,4241916,4305069,4402722,4483030,4610722,4763524,4733726,..,4860888,4648600,..
"Primary education, pupils",SE.PRM.ENRL,Malawi,MWI,3417404,3564199,3687625,3951611,4096614,4204502,4280527,4433977,4441839,4593328,..
"Primary education, pupils",SE.PRM.ENRL,Malaysia,MYS,3233645,3237724,3241803,3245882,3178364,3107870,3101007,3084630,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Maldives,MDV,42146,40201,38849,38183,39570,42137,43781,45326,47236,49373,..
"Primary education, pupils",SE.PRM.ENRL,Mali,MLI,2018551,2114844,2113857,2068714,2181617,2227082,2356420,2538502,2477081,..,..
"Primary education, pupils",SE.PRM.ENRL,Malta,MLT,24985,24075,23567,23655,24072,24624,25177,25796,26532,..,..
"Primary education, pupils",SE.PRM.ENRL,Marshall Islands,MHL,..,8546,..,..,..,8236,7941,..,..,7234,..
"Primary education, pupils",SE.PRM.ENRL,Mauritania,MRT,531383,535976,553584,568953,592249,632761,601364,616647,655261,677458,..
"Primary education, pupils",SE.PRM.ENRL,Mauritius,MUS,117432,116068,113634,109097,105447,101633,97300,92989,89642,85730,..
"Primary education, pupils",SE.PRM.ENRL,Mexico,MEX,14906476,14934663,14956982,14837204,14627368,14397928,14297027,14182288,14061377,..,..
"Primary education, pupils",SE.PRM.ENRL,"Micronesia, Fed. Sts.",FSM,..,..,..,..,14307,13758,13819,..,..,13819,..
"Primary education, pupils",SE.PRM.ENRL,Moldova,MDA,141197,138436,138095,138282,138420,138536,137845,139335,140141,139612,..
"Primary education, pupils",SE.PRM.ENRL,Monaco,MCO,1820,1760,1766,1753,1752,1959,2001,2018,1981,1989,1971
"Primary education, pupils",SE.PRM.ENRL,Mongolia,MNG,273966,265639,256584,245387,239289,251204,274397,290550,311063,..,..
"Primary education, pupils",SE.PRM.ENRL,Montenegro,MNE,35264,38898,38362,..,..,37585,37869,38740,39288,39085,..
"Primary education, pupils",SE.PRM.ENRL,Morocco,MAR,3945201,4001313,4016934,4021052,4030142,4039392,4101743,4210676,4322623,4432229,..
"Primary education, pupils",SE.PRM.ENRL,Mozambique,MOZ,5277868,5253670,5359019,5567807,5705343,5901996,6042936,6138518,6563376,6940864,..
"Primary education, pupils",SE.PRM.ENRL,Myanmar,MMR,5125942,..,..,..,5177276,..,5321524,5388349,5299765,..,..
"Primary education, pupils",SE.PRM.ENRL,Namibia,NAM,406535,..,415454,425242,..,..,..,476360,490719,..,..
"Primary education, pupils",SE.PRM.ENRL,Nauru,NRU,..,..,1304,..,1578,..,1808,..,..,1856,..
"Primary education, pupils",SE.PRM.ENRL,Nepal,NPL,4900665,4951956,4782885,4576693,4401780,4335355,4264942,4135253,..,3970016,..
"Primary education, pupils",SE.PRM.ENRL,Netherlands,NLD,1294015,1291665,1277199,..,..,1208038,1192268,1181893,1175018,..,..
"Primary education, pupils",SE.PRM.ENRL,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,New Zealand,NZL,348492,347349,347594,353285,360206,368306,377073,384251,388279,..,..
"Primary education, pupils",SE.PRM.ENRL,Nicaragua,NIC,923745,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Niger,NER,1726452,1910166,2050656,2166268,2277021,2444979,2611352,2768305,..,2666748,..
"Primary education, pupils",SE.PRM.ENRL,Nigeria,NGA,21558460,23668904,24822374,26167544,25801196,..,25591180,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,North Macedonia,MKD,110759,..,107278,109945,108254,108827,..,109121,109818,..,..
"Primary education, pupils",SE.PRM.ENRL,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Norway,NOR,424052,423333,423351,424993,425917,430864,438387,444638,447355,..,..
"Primary education, pupils",SE.PRM.ENRL,Oman,OMN,..,295581,299471,320324,337038,350544,368141,384001,278745,290045,..
"Primary education, pupils",SE.PRM.ENRL,Pakistan,PAK,18756348,18050718,18119160,18150234,19431564,19846822,21550582,21686452,22931304,23557724,..
"Primary education, pupils",SE.PRM.ENRL,Palau,PLW,..,..,..,1654,1639,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Panama,PAN,439746,439698,437277,435973,426637,417556,408961,418852,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Papua New Guinea,PNG,..,..,1132119,..,..,..,1275085,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Paraguay,PRY,839291,820437,838198,..,..,..,727363,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Peru,PER,3762681,3671207,3478689,3545103,3495614,3513439,3576943,3544359,3592865,3715130,..
"Primary education, pupils",SE.PRM.ENRL,Philippines,PHL,..,..,..,..,14460377,14453060,14293635,14039867,13418841,..,..
"Primary education, pupils",SE.PRM.ENRL,Poland,POL,2234937,2191659,2187172,2160861,2152655,..,..,2296529,2277483,..,..
"Primary education, pupils",SE.PRM.ENRL,Portugal,PRT,733515,720740,703525,693045,674038,656727,638883,629804,621660,..,..
"Primary education, pupils",SE.PRM.ENRL,Puerto Rico,PRI,299746,269885,268460,263734,258958,250579,227548,..,208544,..,..
"Primary education, pupils",SE.PRM.ENRL,Qatar,QAT,88723,94985,101424,106801,117454,130464,139194,146418,153908,159109,..
"Primary education, pupils",SE.PRM.ENRL,Romania,ROU,842238,825962,807047,..,..,947205,939147,928245,947931,..,..
"Primary education, pupils",SE.PRM.ENRL,Russian Federation,RUS,..,5318323,5514819,5651730,5725528,5982572,6198783,6573633,6927980,..,..
"Primary education, pupils",SE.PRM.ENRL,Rwanda,RWA,2299326,2341146,2394674,2402164,2399439,2450705,2546263,2540374,2503705,2512465,..
"Primary education, pupils",SE.PRM.ENRL,Samoa,WSM,30871,29860,29869,..,31352,31998,32629,32950,33123,33841,..
"Primary education, pupils",SE.PRM.ENRL,San Marino,SMR,1577,1563,1574,..,..,..,..,..,1698,1653,..
"Primary education, pupils",SE.PRM.ENRL,Sao Tome and Principe,STP,34116,35250,33893,34733,34493,35558,36394,37172,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Saudi Arabia,SAU,3321066,3347680,3436259,3635779,3737083,3494490,3357365,3230001,3298788,3390589,..
"Primary education, pupils",SE.PRM.ENRL,Senegal,SEN,1695007,1797147,1839982,1845649,1926736.125,1977388,..,..,..,2171967,..
"Primary education, pupils",SE.PRM.ENRL,Serbia,SRB,283161,288690,289403,288196,284754,279220,272523,268952,266759,264194,..
"Primary education, pupils",SE.PRM.ENRL,Seychelles,SYC,8670,8695,8701,8682,8812,8974,9007,9037,9258,9383,..
"Primary education, pupils",SE.PRM.ENRL,Sierra Leone,SLE,..,1194503,1252343,1299812,..,1360243,1412524,1486939,1369738,1770368,..
"Primary education, pupils",SE.PRM.ENRL,Singapore,SGP,..,..,..,..,..,..,236943,234653,233553,..,..
"Primary education, pupils",SE.PRM.ENRL,Sint Maarten (Dutch part),SXM,..,..,3585,..,3677,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Slovak Republic,SVK,212421,209213,209325,211407,213766,216266,219866,225427,229456,..,..
"Primary education, pupils",SE.PRM.ENRL,Slovenia,SVN,106883,106946,107965,109218,111648,115560,119563,123998,129123,..,..
"Primary education, pupils",SE.PRM.ENRL,Solomon Islands,SLB,95379,98066,97547,100517,101981,104236,107203,108396,105428,..,..
"Primary education, pupils",SE.PRM.ENRL,Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,South Africa,ZAF,7024368,6957432,7004482,7063849,7195183,7555842,7569924,7582154,7568387,..,..
"Primary education, pupils",SE.PRM.ENRL,South Sudan,SSD,..,1450738,..,..,..,1273852,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Spain,ESP,2720989,2772909,2816584,2934648,2960626,3010404,3027751,3042396,3043396,..,..
"Primary education, pupils",SE.PRM.ENRL,Sri Lanka,LKA,1720806,1735475,1752137,1767322,1777822,1778176,1770517,1746843,1725424,..,..
"Primary education, pupils",SE.PRM.ENRL,St. Kitts and Nevis,KNA,6255,5993,5812,5589,5533,5466,5452,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,St. Lucia,LCA,19483,18894,18172,17748,17286,16822,16445,16054,15874,15693,..
"Primary education, pupils",SE.PRM.ENRL,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,St. Vincent and the Grenadines,VCT,14435,13363,13811,13609,13427,13362,13179,13026,13198,..,..
"Primary education, pupils",SE.PRM.ENRL,Sudan,SDN,4024296,3981129,4142967,4291916,4387973,4518417,4762222,4899664,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Suriname,SUR,70981,69857,70193,70254,70492,71921,71653,68612,67690,68147,..
"Primary education, pupils",SE.PRM.ENRL,Sweden,SWE,576110,578486,602295,733412,757164,791893,826685,861086,893495,..,..
"Primary education, pupils",SE.PRM.ENRL,Switzerland,CHE,492508,487436,483466,483707,483900,490469,498338,507686,514664,..,..
"Primary education, pupils",SE.PRM.ENRL,Syrian Arab Republic,SYR,2429450,2507400,2552874,1547316,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Tajikistan,TJK,682090,668678,662513,664930,662427,683162,718497,771040,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Tanzania,TZA,8419305,8247172,8294957,8231913,8222667,8298282,8638572,9315656,10111671,10605430,..
"Primary education, pupils",SE.PRM.ENRL,Thailand,THA,5146535,5044242,5005432,4954620,5182351,5081079,5063489,4952685,4900785,4899076,..
"Primary education, pupils",SE.PRM.ENRL,Timor-Leste,TLS,230175,241871,245038,246531,245847,243559,236190,222835,212849,206512,..
"Primary education, pupils",SE.PRM.ENRL,Togo,TGO,1286653,1299802,1368074,1412356,1413208,1498312,1498314.5,1524191,1548876,1584376,..
"Primary education, pupils",SE.PRM.ENRL,Tonga,TON,16848,17033,17222,17251,17093,16982,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Trinidad and Tobago,TTO,131350,..,..,..,..,..,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Tunisia,TUN,1030109,1027970,1046671,1063291,1089220,1114883,1139314,1170470,1201736,..,..
"Primary education, pupils",SE.PRM.ENRL,Turkey,TUR,6635156,6580999,6429549,5593910,5574916,5434150,5360703,4972430,5104599,..,..
"Primary education, pupils",SE.PRM.ENRL,Turkmenistan,TKM,..,..,..,..,..,..,..,..,..,557184,..
"Primary education, pupils",SE.PRM.ENRL,Turks and Caicos Islands,TCA,..,..,..,..,2647,2577,..,..,3680,..,..
"Primary education, pupils",SE.PRM.ENRL,Tuvalu,TUV,..,..,..,..,1421,1488,1324,..,1324,1688,..
"Primary education, pupils",SE.PRM.ENRL,Uganda,UGA,8374648,8098177,8328643,8459336,..,8264317,8655924,8840589,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Ukraine,UKR,1540282,1563396,1584382,1638497,1685030,1536578,1599250,1644263,1676550,1724664,..
"Primary education, pupils",SE.PRM.ENRL,United Arab Emirates,ARE,326588,334956,364017,376649,409776,460975,467723,486086,..,..,..
"Primary education, pupils",SE.PRM.ENRL,United Kingdom,GBR,4421903,4419840,4523583,4622158,4509479,4621192,4721647,4820283,4892502,..,..
"Primary education, pupils",SE.PRM.ENRL,United States,USA,..,..,..,..,24538372,24785698,25019052,25123678,24957956,..,..
"Primary education, pupils",SE.PRM.ENRL,Uruguay,URY,341885,339783,332212,327137,321779,316864,309806,304309,296791,..,..
"Primary education, pupils",SE.PRM.ENRL,Uzbekistan,UZB,1970922,1948128,1955692,1981330,2033877,2134601,2260515,2391489,2485178,2505930,..
"Primary education, pupils",SE.PRM.ENRL,Vanuatu,VUT,41834,..,..,44181,..,45931,..,..,..,..,..
"Primary education, pupils",SE.PRM.ENRL,"Venezuela, RB",VEN,3457754,3466230,3486365,3519519,3493044,3476473,3383277,3285299,..,..,..
"Primary education, pupils",SE.PRM.ENRL,Vietnam,VNM,6922624,7048493,7100950,7202767,7434848,7543632,7790009,7801560,8041842,8506562,..
