Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Population ages 0-14, total",SP.POP.0014.TO,"Congo, Dem. Rep.",COD,29790152,30883280,31987779,33102007,34219746,35334812,36515648,37674170,38810574,39924875,41014814
"Population ages 0-14, total",SP.POP.0014.TO,"Congo, Rep.",COG,1779358,1839176,1894289,1945992,1996470,2047076,2095786,2143643,2190230,2234913,2277331
"Population ages 0-14, total",SP.POP.0014.TO,Costa Rica,CRI,1112649,1104571,1095757,1087059,1079599,1073771,1070535,1068070,1066118,1063957,1061003
"Population ages 0-14, total",SP.POP.0014.TO,Cote d'Ivoire,CIV,8956696,9131421,9314150,9502696,9693489,9885344,10096345,10304486,10513274,10727584,10949219
"Population ages 0-14, total",SP.POP.0014.TO,Croatia,HRV,663326,660206,650045,635970,622675,611245,602421,595501,593225,591991,588526
"Population ages 0-14, total",SP.POP.0014.TO,Cuba,CUB,1991584,1965817,1944748,1926368,1908240,1888391,1878620,1860352,1838054,1818157,1803279
"Population ages 0-14, total",SP.POP.0014.TO,Curacao,CUW,30796,30730,30761,30991,31200,31237,31272,30881,30089,29117,28178
"Population ages 0-14, total",SP.POP.0014.TO,Cyprus,CYP,198453,198146,197453,196773,196347,196155,197443,198619,199651,200247,200146
"Population ages 0-14, total",SP.POP.0014.TO,Czech Republic,CZE,1491710,1509172,1526840,1545218,1567597,1593951,1606738,1629994,1656845,1677933,1685670
"Population ages 0-14, total",SP.POP.0014.TO,Denmark,DNK,995794,992145,982348,970533,961230,957278,950693,950743,953532,953621,949454
"Population ages 0-14, total",SP.POP.0014.TO,Djibouti,DJI,273600,273647,274695,276437,278137,279299,281825,283060,283593,284327,285654
"Population ages 0-14, total",SP.POP.0014.TO,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Dominican Republic,DOM,2967710,2963577,2961567,2961447,2962491,2964046,2966847,2970019,2973171,2975625,2976593
"Population ages 0-14, total",SP.POP.0014.TO,Ecuador,ECU,4659040,4669193,4676228,4682804,4693421,4711021,4734092,4760596,4788505,4813714,4832774
"Population ages 0-14, total",SP.POP.0014.TO,"Egypt, Arab Rep.",EGY,26943890,27520562,28266115,29119814,29983715,30795829,31777147,32574004,33265918,33966135,34712880
"Population ages 0-14, total",SP.POP.0014.TO,El Salvador,SLV,1956622,1924124,1887763,1851048,1819163,1794547,1770286,1753260,1742080,1733323,1724719
"Population ages 0-14, total",SP.POP.0014.TO,Equatorial Guinea,GNQ,363324,378544,393292,408213,423409,438541,455063,470540,485844,501128,516007
"Population ages 0-14, total",SP.POP.0014.TO,Eritrea,ERI,1251794,1291398,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Estonia,EST,201494,203654,205397,207042,209082,212181,212246,213705,216237,218451,219600
"Population ages 0-14, total",SP.POP.0014.TO,Eswatini,SWZ,427940,428983,429177,429184,429899,431664,430511,431301,433062,434355,434399
"Population ages 0-14, total",SP.POP.0014.TO,Ethiopia,ETH,39378224,40027759,40670322,41302714,41921504,42527396,43224175,43890819,44544971,45208570,45890745
"Population ages 0-14, total",SP.POP.0014.TO,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Fiji,FJI,249350,250746,251999,253674,256117,259266,259499,260178,260741,260701,260070
"Population ages 0-14, total",SP.POP.0014.TO,Finland,FIN,886165,888376,891049,894254,897097,898350,897595,895149,890492,884359,877455
"Population ages 0-14, total",SP.POP.0014.TO,France,FRA,12015680,12080462,12138463,12188809,12218166,12213213,12174167,12118737,12049134,11971760,11897078
"Population ages 0-14, total",SP.POP.0014.TO,French Polynesia,PYF,67890,67112,66176,65275,64690,64511,63495,63193,63204,63018,62426
"Population ages 0-14, total",SP.POP.0014.TO,Gabon,GAB,607969,625219,644378,665157,686592,707651,734656,760308,784680,807755,829393
"Population ages 0-14, total",SP.POP.0014.TO,"Gambia, The",GMB,809545,832478,855752,879473,903669,928286,955363,982436,1009368,1035971,1062124
"Population ages 0-14, total",SP.POP.0014.TO,Georgia,GEO,679901,679725,680739,685890,695082,706549,717565,728046,737679,745201,750986
"Population ages 0-14, total",SP.POP.0014.TO,Germany,DEU,11095807,10844585,10798616,10750923,10731881,10796469,10964972,11117936,11292622,11466404,11616711
"Population ages 0-14, total",SP.POP.0014.TO,Ghana,GHA,9735034,9922520,10104932,10283492,10460258,10636089,10829606,11013747,11191260,11365594,11537744
"Population ages 0-14, total",SP.POP.0014.TO,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Greece,GRC,1674313,1671338,1652358,1624733,1598531,1575504,1546920,1527681,1510250,1489935,1463307
"Population ages 0-14, total",SP.POP.0014.TO,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Grenada,GRD,25461,25433,25313,25224,25275,25473,25617,25905,26259,26564,26753
"Population ages 0-14, total",SP.POP.0014.TO,Guam,GUM,43847,43203,42637,42148,41708,41327,41062,40796,40553,40375,40272
"Population ages 0-14, total",SP.POP.0014.TO,Guatemala,GTM,5613469,5616824,5625926,5637286,5643141,5640337,5644136,5638784,5629137,5622012,5620978
"Population ages 0-14, total",SP.POP.0014.TO,Guinea,GIN,4706227,4792527,4876340,4960593,5050070,5148302,5240546,5339679,5443689,5549105,5653530
"Population ages 0-14, total",SP.POP.0014.TO,Guinea-Bissau,GNB,656938,673429,690193,707224,724359,741396,759288,776707,793564,809737,825127
"Population ages 0-14, total",SP.POP.0014.TO,Guyana,GUY,241441,237080,233378,230288,227578,225106,223398,221521,219793,218629,218128
"Population ages 0-14, total",SP.POP.0014.TO,Haiti,HTI,3608360,3625809,3641560,3655390,3667105,3676553,3685870,3692760,3697596,3700889,3702847
"Population ages 0-14, total",SP.POP.0014.TO,Honduras,HND,3125792,3126647,3118414,3103704,3087487,3073075,3059403,3049824,3043164,3036833,3029639
"Population ages 0-14, total",SP.POP.0014.TO,"Hong Kong SAR, China",HKG,837899,823533,811579,798293,798744,814260,821526,848214,886736,925415,948126
"Population ages 0-14, total",SP.POP.0014.TO,Hungary,HUN,1485993,1467689,1448884,1436939,1428024,1422182,1410375,1406752,1408854,1410290,1404810
"Population ages 0-14, total",SP.POP.0014.TO,Iceland,ISL,66144,66176,66220,66482,66858,67198,67572,68644,69953,70840,71175
"Population ages 0-14, total",SP.POP.0014.TO,India,IND,380285233,380043059,378832737,376920173,374758022,372623066,369969885,367850970,365934400,363716695,361017585
"Population ages 0-14, total",SP.POP.0014.TO,Indonesia,IDN,69716216,69917357,70249118,70600834,70843582,70928717,71228822,71230548,71069736,70944816,70941104
"Population ages 0-14, total",SP.POP.0014.TO,"Iran, Islamic Rep.",IRN,17735659,17771744,17899328,18112415,18398378,18744296,19121494,19561678,20021875,20442137,20783801
"Population ages 0-14, total",SP.POP.0014.TO,Iraq,IRQ,12434038,12678202,13000840,13363996,13706095,13983683,14315215,14560894,14753341,14945946,15169413
"Population ages 0-14, total",SP.POP.0014.TO,Ireland,IRL,947864,965520,980882,995438,1011187,1028445,1034539,1038553,1041918,1043631,1040514
"Population ages 0-14, total",SP.POP.0014.TO,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Israel,ISR,2078457,2129027,2179403,2230054,2281902,2334787,2386758,2434901,2480544,2524760,2564922
"Population ages 0-14, total",SP.POP.0014.TO,Italy,ITA,8345544,8351741,8346070,8397465,8413319,8329425,8248168,8157364,8053687,7864324,7734454
"Population ages 0-14, total",SP.POP.0014.TO,Jamaica,JAM,759217,747936,737185,727318,718653,711162,706330,701419,697030,693766,691673
"Population ages 0-14, total",SP.POP.0014.TO,Japan,JPN,17103469,17009491,16901251,16779297,16649583,16514831,16400528,16246827,16065209,15875329,15664768
"Population ages 0-14, total",SP.POP.0014.TO,Jordan,JOR,2721450,2859831,3001705,3137427,3252332,3333810,3388133,3413910,3412673,3390356,3352124
"Population ages 0-14, total",SP.POP.0014.TO,Kazakhstan,KAZ,3926224,4041472,4173722,4328826,4502569,4683614,4859112,5035220,5201579,5346980,5465826
"Population ages 0-14, total",SP.POP.0014.TO,Kenya,KEN,18258696,18652467,18998206,19303072,19582398,19842337,20063033,20264239,20445078,20605512,20750132
"Population ages 0-14, total",SP.POP.0014.TO,Kiribati,KIR,37159,37918,38177,38189,38339,38831,39286,40120,41170,42149,42901
"Population ages 0-14, total",SP.POP.0014.TO,"Korea, Dem. People's Rep.",PRK,5557452,5473905,5413212,5366919,5320538,5268135,5239059,5201115,5161560,5131507,5115366
"Population ages 0-14, total",SP.POP.0014.TO,"Korea, Rep.",KOR,7979006,7798029,7589308,7378906,7197695,7030737,6913344,6792869,6695095,6591071,6494739
"Population ages 0-14, total",SP.POP.0014.TO,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Kuwait,KWT,694627,726963,754778,777761,797208,813312,842698,868917,891131,907460,916557
"Population ages 0-14, total",SP.POP.0014.TO,Kyrgyz Republic,KGZ,1628755,1657427,1701751,1757694,1816630,1876418,1940501,1994623,2045452,2098374,2152081
"Population ages 0-14, total",SP.POP.0014.TO,Lao PDR,LAO,2276694,2272200,2266212,2261111,2260455,2265852,2273213,2286361,2302325,2315949,2324339
"Population ages 0-14, total",SP.POP.0014.TO,Latvia,LVA,295529,292190,291825,292942,295175,298494,298410,302530,308266,312101,312464
"Population ages 0-14, total",SP.POP.0014.TO,Lebanon,LBN,1278705,1347549,1450276,1575428,1696109,1785890,1812412,1813138,1790022,1753157,1711056
"Population ages 0-14, total",SP.POP.0014.TO,Lesotho,LSO,696201,694303,693406,692539,690688,687764,689435,689816,689768,690009,690620
"Population ages 0-14, total",SP.POP.0014.TO,Liberia,LBR,1674617,1726181,1771704,1811718,1848087,1882426,1917424,1950422,1981803,2012124,2041896
"Population ages 0-14, total",SP.POP.0014.TO,Libya,LBY,1782016,1796911,1808945,1820273,1834278,1852834,1864855,1878099,1891319,1902314,1909172
"Population ages 0-14, total",SP.POP.0014.TO,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Lithuania,LTU,457326,443436,435412,430133,426539,423963,419963,416553,416938,422905,432562
"Population ages 0-14, total",SP.POP.0014.TO,Luxembourg,LUX,89447,90199,91075,91822,92555,93289,94516,95802,96535,97385,98367
"Population ages 0-14, total",SP.POP.0014.TO,"Macao SAR, China",MAC,69792,70276,70975,72094,73771,75957,79233,82681,86244,89787,93209
"Population ages 0-14, total",SP.POP.0014.TO,Madagascar,MDG,9205664,9394525,9571659,9741909,9913560,10091890,10280038,10476830,10680397,10886657,11093725
"Population ages 0-14, total",SP.POP.0014.TO,Malawi,MWI,6739318,6919657,7086752,7244310,7398071,7550126,7687916,7827344,7965286,8097673,8224361
"Population ages 0-14, total",SP.POP.0014.TO,Malaysia,MYS,7887279,7821333,7760404,7701444,7644974,7594863,7584104,7572052,7565196,7570496,7589218
"Population ages 0-14, total",SP.POP.0014.TO,Maldives,MDV,92499,92398,92616,93354,94695,96522,98648,101240,103904,105712,105945
"Population ages 0-14, total",SP.POP.0014.TO,Mali,MLI,7146761,7403473,7649043,7887289,8123734,8361553,8597278,8834653,9070230,9299168,9519370
"Population ages 0-14, total",SP.POP.0014.TO,Malta,MLT,62140,61565,61265,61391,62117,63321,64696,66595,69190,72226,75504
"Population ages 0-14, total",SP.POP.0014.TO,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Mauritania,MRT,1441243,1479631,1518994,1559047,1599217,1639053,1682461,1724277,1764988,1805252,1845222
"Population ages 0-14, total",SP.POP.0014.TO,Mauritius,MUS,274399,266857,261006,255986,250825,244949,238818,232150,225144,218458,212451
"Population ages 0-14, total",SP.POP.0014.TO,Mexico,MEX,33666194,33640734,33657460,33693379,33707136,33676708,33676044,33614045,33512294,33405803,33310119
"Population ages 0-14, total",SP.POP.0014.TO,"Micronesia, Fed. Sts.",FSM,36727,36317,36013,35821,35734,35713,35633,35644,35715,35800,35878
"Population ages 0-14, total",SP.POP.0014.TO,Moldova,MDA,472613,465051,459296,455109,452345,447627,442335,435757,429525,423182,415928
"Population ages 0-14, total",SP.POP.0014.TO,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Mongolia,MNG,734968,754821,778094,804761,834253,865404,899589,932573,964048,993296,1019318
"Population ages 0-14, total",SP.POP.0014.TO,Montenegro,MNE,119200,118573,117709,116747,115850,115090,114088,113585,113305,112899,112189
"Population ages 0-14, total",SP.POP.0014.TO,Morocco,MAR,9222311,9252518,9326197,9428550,9530738,9614555,9709991,9767980,9802211,9836259,9880215
"Population ages 0-14, total",SP.POP.0014.TO,Mozambique,MOZ,10761492,11064298,11369818,11676403,11980877,12282519,12582984,12880439,13176103,13472806,13772016
"Population ages 0-14, total",SP.POP.0014.TO,Myanmar,MMR,15203592,15101897,15010665,14915700,14799104,14654402,14497163,14331441,14163446,14005548,13866659
"Population ages 0-14, total",SP.POP.0014.TO,Namibia,NAM,792764,805151,816128,826967,839469,854319,869456,886148,903674,920627,936105
"Population ages 0-14, total",SP.POP.0014.TO,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Nepal,NPL,9802825,9685238,9513467,9316024,9138047,9010436,8812264,8659118,8545104,8459704,8394231
"Population ages 0-14, total",SP.POP.0014.TO,Netherlands,NLD,2911390,2893619,2881196,2870446,2857290,2838388,2823015,2801503,2775697,2754972,2738548
"Population ages 0-14, total",SP.POP.0014.TO,New Caledonia,NCL,64516,65205,65329,65116,64845,63851,62979,62224,61548,60863,60125
"Population ages 0-14, total",SP.POP.0014.TO,New Zealand,NZL,891784,898625,899461,899814,907988,920536,933857,949058,963136,974280,987914
"Population ages 0-14, total",SP.POP.0014.TO,Nicaragua,NIC,1940488,1938456,1938233,1939775,1942674,1946404,1948200,1950467,1952690,1954150,1954287
"Population ages 0-14, total",SP.POP.0014.TO,Niger,NER,8237963,8587612,8941699,9300985,9665262,10033891,10427104,10821259,11217897,11618568,12023910
"Population ages 0-14, total",SP.POP.0014.TO,Nigeria,NGA,69797224,71835968,73893957,75949286,77969441,79936872,82019706,84009267,85923643,87796035,89645181
"Population ages 0-14, total",SP.POP.0014.TO,North Macedonia,MKD,370776,363137,358221,355302,352896,350150,349112,346886,344042,341554,339803
"Population ages 0-14, total",SP.POP.0014.TO,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Norway,NOR,919745,925157,927962,928871,930202,931994,931839,932445,932190,931228,928341
"Population ages 0-14, total",SP.POP.0014.TO,Oman,OMN,781315,794076,817811,851519,891328,931720,980508,1028394,1074390,1115313,1148320
"Population ages 0-14, total",SP.POP.0014.TO,Pakistan,PAK,67634096,68420526,69195738,69978774,70796910,71667396,72692791,73762256,74852524,75915625,76913746
"Population ages 0-14, total",SP.POP.0014.TO,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Panama,PAN,1061142,1071155,1080164,1088481,1096644,1104893,1114303,1122768,1130357,1137159,1143188
"Population ages 0-14, total",SP.POP.0014.TO,Papua New Guinea,PNG,2800091,2845759,2884839,2918916,2951101,2983399,3016186,3049374,3082435,3114291,3144523
"Population ages 0-14, total",SP.POP.0014.TO,Paraguay,PRY,2057810,2056179,2050083,2042131,2036643,2035712,2035075,2039815,2047902,2055579,2060838
"Population ages 0-14, total",SP.POP.0014.TO,Peru,PER,8735918,8690334,8626741,8567472,8540847,8556701,8380965,8289502,8250224,8210353,8141454
"Population ages 0-14, total",SP.POP.0014.TO,Philippines,PHL,31940606,32141053,32362322,32601743,32816515,32964141,33091183,33095824,33022514,32949493,32921093
"Population ages 0-14, total",SP.POP.0014.TO,Poland,POL,5789081,5770297,5721689,5664289,5631897,5638815,5613942,5650381,5716064,5765204,5775241
"Population ages 0-14, total",SP.POP.0014.TO,Portugal,PRT,1582496,1562478,1537124,1509809,1483367,1459117,1432847,1407750,1383987,1363144,1345284
"Population ages 0-14, total",SP.POP.0014.TO,Puerto Rico,PRI,767709,745539,722821,700399,674153,645753,613426,579531,537636,519320,503134
"Population ages 0-14, total",SP.POP.0014.TO,Qatar,QAT,239228,266389,287679,307576,327246,344674,358312,368131,376661,385046,392954
"Population ages 0-14, total",SP.POP.0014.TO,Romania,ROU,3194045,3188448,3161989,3125334,3094916,3076601,3038876,3026356,3025195,3016932,2993321
"Population ages 0-14, total",SP.POP.0014.TO,Russian Federation,RUS,21323542,21682819,22257211,22959934,23672449,24318966,24958104,25480514,25881880,26216848,26460768
"Population ages 0-14, total",SP.POP.0014.TO,Rwanda,RWA,4170277,4263473,4349391,4432014,4519025,4614870,4705320,4808694,4917783,5021232,5112785
"Population ages 0-14, total",SP.POP.0014.TO,Samoa,WSM,71233,71520,72038,72859,73948,75130,75197,75293,75158,74627,73806
"Population ages 0-14, total",SP.POP.0014.TO,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Sao Tome and Principe,STP,78293,80093,81850,83521,85059,86438,87651,88747,89731,90636,91517
"Population ages 0-14, total",SP.POP.0014.TO,Saudi Arabia,SAU,8145123,8115642,8116770,8138434,8165914,8190406,8281087,8361048,8440130,8521206,8597713
"Population ages 0-14, total",SP.POP.0014.TO,Senegal,SEN,5515877,5675425,5837147,6001548,6168785,6337797,6503815,6666764,6826147,6981340,7131501
"Population ages 0-14, total",SP.POP.0014.TO,Serbia,SRB,1263978,1234454,1210214,1187455,1166504,1146913,1127724,1111113,1095548,1079355,1061594
"Population ages 0-14, total",SP.POP.0014.TO,Seychelles,SYC,20478,19954,20156,20596,21044,21678,22079,22503,22870,23175,23401
"Population ages 0-14, total",SP.POP.0014.TO,Sierra Leone,SLE,2761156,2816102,2867021,2915048,2961240,3006029,3051495,3096956,3141124,3181875,3218205
"Population ages 0-14, total",SP.POP.0014.TO,Singapore,SGP,710431,712953,717954,714145,706292,699188,689093,685394,692333,703336,699421
"Population ages 0-14, total",SP.POP.0014.TO,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,Slovak Republic,SVK,826781,824050,822165,821399,823188,827553,828796,834255,841316,846906,849040
"Population ages 0-14, total",SP.POP.0014.TO,Slovenia,SVN,286608,291282,294654,297110,299692,302719,305192,307937,311536,315464,317884
"Population ages 0-14, total",SP.POP.0014.TO,Solomon Islands,SLB,215112,220045,225608,231623,237768,243847,250423,256662,262720,268807,274958
"Population ages 0-14, total",SP.POP.0014.TO,Somalia,SOM,5802084,5957044,6097782,6230560,6365301,6507984,6659213,6820869,6990319,7162343,7334706
"Population ages 0-14, total",SP.POP.0014.TO,South Africa,ZAF,15196945,15401412,15600147,15800774,16009828,16223293,16420143,16618491,16805770,16963349,17081570
"Population ages 0-14, total",SP.POP.0014.TO,South Sudan,SSD,4137881,4267676,4374354,4456695,4515828,4552591,4579382,4588726,4590145,4598305,4626119
"Population ages 0-14, total",SP.POP.0014.TO,Spain,ESP,6890323,6985679,7004343,6964215,6928257,6923218,6863553,6850761,6863827,6870593,6818373
"Population ages 0-14, total",SP.POP.0014.TO,Sri Lanka,LKA,5142080,5151474,5137324,5156922,5179668,5194827,5214828,5233856,5243490,5223227,5191482
"Population ages 0-14, total",SP.POP.0014.TO,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,St. Lucia,LCA,40417,39350,38298,37262,36290,35405,34797,34216,33702,33289,32966
"Population ages 0-14, total",SP.POP.0014.TO,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..
"Population ages 0-14, total",SP.POP.0014.TO,St. Vincent and the Grenadines,VCT,27967,27645,27221,26739,26282,25886,25569,25197,24843,24545,24300
"Population ages 0-14, total",SP.POP.0014.TO,Sudan,SDN,14852433,15114435,15376209,15636569,15893353,16146247,16412406,16674160,16933296,17191958,17451732
"Population ages 0-14, total",SP.POP.0014.TO,Suriname,SUR,155580,155496,155595,155797,155970,156029,156366,156506,156497,156456,156429
"Population ages 0-14, total",SP.POP.0014.TO,Sweden,SWE,1548134,1560399,1583061,1616841,1656135,1694701,1725459,1759611,1788984,1811704,1824647
"Population ages 0-14, total",SP.POP.0014.TO,Switzerland,CHE,1178302,1183517,1189009,1197905,1210765,1225242,1241980,1256999,1269568,1281205,1291961
"Population ages 0-14, total",SP.POP.0014.TO,Syrian Arab Republic,SYR,7987525,7762587,7363764,6856189,6354806,5949144,5652593,5441469,5324400,5301647,5385767
"Population ages 0-14, total",SP.POP.0014.TO,Tajikistan,TJK,2685571,2741199,2799013,2863857,2940549,3029876,3130093,3237073,3347681,3455404,3554685
