Default Dataset,,Dataset 1,,Dataset 2,
X,Y,X,Y,X,Y
5.111223797,-1.33937334,6.588235251,1.562530434,5.46068038,-2.39571343
5.190862874,-1.148846604,6.671426352,1.686601474,5.533055781,-2.199395154
5.271881104,-0.887901618,6.752627531,1.769582887,5.602491937,-1.967905449
5.348607071,-0.68762682,6.833842783,1.838874794,5.673299204,-1.940572878
5.413666525,-0.43467027,6.915058036,1.908166702,5.726281215,-2.08239489
5.474377424,-0.187625885,6.996174777,2.073285148,5.795452798,-2.158338398
5.535088323,0.0594185,7.077291518,2.238403595,5.844381786,-2.311154233
5.600143757,0.316286338,7.162817128,2.350764897,5.9175501,-2.321345895
5.676908927,0.478426085,7.239750169,2.349608399,6.004802667,-2.194494736
5.758053815,0.61616552,7.321035786,2.350452779,6.0859757,-2.084134312
5.839198702,0.753904956,7.400843739,2.376705448,6.173262042,-1.990137966
5.92603893,1.281858628,7.481420077,2.50270499,6.246329031,-1.901765188
5.889910738,0.843414479,7.561228968,2.622177678,6.331577603,-1.80231415
5.962414807,1.47936748,7.639679346,2.745286828,6.406361497,-1.689673297
6.000721498,1.77546188,7.726957245,2.847496878,6.475793632,-1.454272305
6.041031246,2.099869035,7.808158424,2.930478291,6.548169033,-1.257954029
6.085706303,2.413891326,7.895526389,2.945075504,6.617593126,-1.014730462
6.123702584,2.729539147,7.970757804,2.904788039,6.694323114,-0.818366951
6.132078831,2.488688287,8.052099714,2.850874396,6.775425782,-0.639558999
6.186778551,2.935148012,8.255595217,2.579195234,6.856486232,-0.41968253
6.263506528,3.133467166,8.336824542,2.634797636,6.93321555,-0.222667139
6.344566977,3.353343635,8.407944766,2.640099637,7.00267449,-0.013341395
6.425627427,3.573220104,8.560071493,2.917754544,7.079402468,0.184977759
6.502327258,3.798918269,8.643320293,2.985698611,7.153651587,0.441289211
6.571771456,4.022585399,8.702145411,3.090351029,7.207602758,0.674573726
6.648412314,4.305649112,8.891835306,3.069505405,7.243231828,0.939610434
6.628320769,4.081842759,8.96633774,3.079405757,7.299884075,1.181136798
6.688722062,4.630056267,9.047623357,3.080250137,7.344382884,1.38420589
6.729027119,4.95902659,9.128908974,3.081094516,7.389533742,1.611923127
6.769332176,5.287996914,9.204055951,3.122944084,7.463918901,1.735902692
6.809637233,5.616967238,9.291409844,3.151230804,7.545134153,1.8051946
