prod,prodname,rst4submarket,NPM,pricepercal,npacks
3,"Fresh vegetables","Herb Selection",-8,.3650426,188
3,"Fresh vegetables","Herb Selection",-5,4.3599464,59
3,"Fresh vegetables","Kale",-10,1.2106927,14338
3,"Fresh vegetables","Kale",-9,1.6636219,7164
3,"Fresh vegetables","Kale",-8,1.3724162,9876
3,"Fresh vegetables","Kalettes",-11,1.325395,111
3,"Fresh vegetables","Kalettes",-10,1.8925156,553
3,"Fresh vegetables","Kalettes",-9,1.4583333,48
3,"Fresh vegetables","Leafy Salads",-10,3.5625741,3917
3,"Fresh vegetables","Leafy Salads",-9,4.1565054,1287
3,"Fresh vegetables","Leafy Salads",-8,4.4845966,21628
3,"Fresh vegetables","Leafy Salads",-7,3.1147786,65949
3,"Fresh vegetables","Leafy Salads",-6,3.6777083,100066
3,"Fresh vegetables","Leafy Salads",-5,3.0128435,14452
3,"Fresh vegetables","Leafy Salads",-4,.62238507,637
3,"Fresh vegetables","Leafy Salads",-3,.74938275,578
3,"Fresh vegetables","Leafy Salads",-2,.39968614,871
3,"Fresh vegetables","Leeks",-8,1.7691469,31580
3,"Fresh vegetables","Leeks",-7,1.4357211,18959
3,"Fresh vegetables","Leeks",-6,2.1032815,5712
3,"Fresh vegetables","Lemongrass",-9,4.8122883,234
3,"Fresh vegetables","Lemongrass",-8,3.2786658,28
3,"Fresh vegetables","Lemongrass",-6,2.1216486,968
3,"Fresh vegetables","Lemongrass",-5,2.0202021,159
3,"Fresh vegetables","Lettuce",-10,1.082272,4449
3,"Fresh vegetables","Lettuce",-9,.08594167,24
3,"Fresh vegetables","Lettuce",-8,2.1933124,634
3,"Fresh vegetables","Lettuce",-7,1.9179999,16125
3,"Fresh vegetables","Lettuce",-6,1.6957885,138897
3,"Fresh vegetables","Lettuce",-5,1.8518394,51350
3,"Fresh vegetables","Lettuce",-4,2.0832566,1795
3,"Fresh vegetables","Lettuce",10,.05471279,864
3,"Fresh vegetables","Marrow",-9,.1656869,23
3,"Fresh vegetables","Marrow",-5,.6465517,99
3,"Fresh vegetables","Mint",-10,4.9251012,503
3,"Fresh vegetables","Mint",-9,2.0835493,1926
3,"Fresh vegetables","Mint",-8,4.5399039,5166
3,"Fresh vegetables","Mint",-7,4.0933189,1717
3,"Fresh vegetables","Mixed",1,.80862677,25
3,"Fresh vegetables","Mixed",3,.55677484,254
3,"Fresh vegetables","Mixed",4,.49769222,362
3,"Fresh vegetables","Mixed",5,.54742714,763
3,"Fresh vegetables","Mixed",6,.56073638,624
3,"Fresh vegetables","Mixed",7,.55372797,1301
3,"Fresh vegetables","Mixed",8,.6104167,1562
3,"Fresh vegetables","Mixed",10,.60314966,78
3,"Fresh vegetables","Mixed Pack",-13,.27852816,2886
3,"Fresh vegetables","Mixed Pack",-11,3.7543742,47
3,"Fresh vegetables","Mixed Pack",-9,1.3634099,7240
3,"Fresh vegetables","Mixed Pack",-8,1.4623727,8174
3,"Fresh vegetables","Mixed Pack",-7,1.1470135,5948
3,"Fresh vegetables","Mixed Pack",-6,.45336029,5104
3,"Fresh vegetables","Mixed Tray Salads",-12,.71712127,60
3,"Fresh vegetables","Mixed Tray Salads",-11,.75111157,214
3,"Fresh vegetables","Mixed Tray Salads",-10,.74298527,269
3,"Fresh vegetables","Mixed Tray Salads",-9,1.259802,329
3,"Fresh vegetables","Mixed Tray Salads",-8,.93136263,1052
