,months,baseline,liquidate,x50,debt,developing
58,5.8,0.541079296726835,0.398398844142035,0.0,0.467918860514229,developed
59,5.9,0.54423346385448,0.400801985783282,0.0,0.471149205613408,developed
60,6.0,0.54773760351919,0.405015469888872,0.0,0.474966932861085,developed
61,6.1,0.550798447942217,0.407449509494438,0.0006921951227307,0.477829021092585,developed
62,6.2,0.554483227369735,0.409666169063601,0.0020869014138016,0.481356201764438,developed
63,6.3,0.5580672048046,0.412392762277312,0.0034266587041338,0.484667041162086,developed
64,6.4,0.561403763357564,0.415458899086635,0.0043558365660296,0.487931245322632,developed
65,6.5,0.564428018902658,0.418028195231147,0.0069814324124231,0.490370072960517,developed
66,6.6,0.567788386430921,0.421244300041546,0.0087530934782317,0.493151819225315,developed
67,6.7,0.572049282142721,0.425824824299858,0.0110391329340958,0.497557877328835,developed
68,6.8,0.575147882377203,0.42854023843074,0.0128999777185125,0.500534357805161,developed
69,6.9,0.578402261704274,0.43105008845938,0.0152111371116463,0.503501742546067,developed
70,7.0,0.581304531054575,0.433275720758202,0.0177938056445612,0.505973738712628,developed
71,7.1,0.584525390816792,0.435370983699187,0.0199374381423006,0.508872132528484,developed
72,7.2,0.587205842520239,0.437853074432655,0.0228774568778824,0.512155488877235,developed
73,7.3,0.589474782471486,0.440355813184462,0.0260144964770931,0.514886237294053,developed
74,7.4,0.593752026968016,0.443396040121831,0.0287767452560283,0.518844092381212,developed
75,7.5,0.596562010510412,0.445899556274326,0.0323091033641051,0.52190035519366,developed
76,7.6,0.598881946989481,0.447875212941699,0.0361120770483355,0.524076873979813,developed
77,7.7,0.60221345865648,0.450748402734851,0.0390524670712945,0.527821059256634,developed
78,7.8,0.604564579962265,0.452557987654142,0.0418610807307871,0.530295350806965,developed
79,7.9,0.607227478100509,0.454848475880573,0.0455589479327424,0.532676065704215,developed
80,8.0,0.610631662665952,0.45735903572931,0.0491766361769782,0.535641063220124,developed
81,8.1,0.612965501153435,0.459625312063744,0.0522784959841599,0.538470522240887,developed
82,8.2,0.615737990197834,0.462183125951404,0.0553058845514436,0.540977681228648,developed
83,8.3,0.617708055838567,0.464279656554964,0.059016481679071,0.543485646200082,developed
84,8.4,0.620070926250389,0.466963445726602,0.0621985078420423,0.546302192596259,developed
85,8.5,0.622001341616147,0.468568671638996,0.0662734903106285,0.548221926313091,developed
86,8.6,0.62509254094982,0.470392606001372,0.0699491126669057,0.551006920414907,developed
87,8.7,0.627160719383746,0.472154773615561,0.0731200281518226,0.553291329126442,developed
88,8.8,0.628934340557124,0.475327464890065,0.0777817013754394,0.555161111829115,developed
89,8.9,0.630870414793317,0.4779789282566,0.0813052444831184,0.55757482673923,developed
90,9.0,0.633470008506173,0.480248039972002,0.0853830800629639,0.561289846394797,developed
91,9.1,0.636105347052775,0.482628775643642,0.0886685297977083,0.563534406900222,developed
92,9.2,0.638605787274677,0.484437449903645,0.0936574024738104,0.565989796452071,developed
93,9.3,0.640722774376344,0.486287473910971,0.0977271524192412,0.568857182227249,developed
94,9.4,0.643312726858044,0.488156065697315,0.101927188137065,0.571383242689052,developed
95,9.5,0.645340286908222,0.490362262267013,0.105560167474764,0.573521582928909,developed
96,9.6,0.648174656350497,0.492393924916272,0.109773233264009,0.576513732111344,developed
97,9.7,0.649794495917077,0.494065543841388,0.113686922471579,0.578530669640542,developed
98,9.8,0.651770952513606,0.496000304570412,0.118435717298424,0.580171693859815,developed
99,9.9,0.653435882997511,0.497384573270412,0.122302942203322,0.581745843061925,developed
100,10.0,0.656833421956139,0.500064769446564,0.127021804438121,0.584801674826555,developed
101,10.1,0.658158630252377,0.501424925464112,0.129971065140277,0.586252861680271,developed
102,10.2,0.660192365577253,0.503655013562459,0.134822109260433,0.587655366896465,developed
103,10.3,0.662015956416184,0.505015957269438,0.138433931261147,0.589538339290394,developed
104,10.4,0.6633545886405,0.506515360141539,0.143033743092929,0.591162210016967,developed
105,10.5,0.664912995179171,0.508449608395842,0.147428368058453,0.59267072032428,developed
106,10.6,0.666890211332936,0.510375515907823,0.151023672727529,0.594670372561125,developed
