"","Months","Baseline","Liquidating.illiquid.financial.assets","X50..income.support","Debt.relief"
"81",8,0.78785116499,0.718529641650306,0.118087199765958,0.779892120790008
"82",8.1,0.789744656005156,0.720682950496445,0.124819549642053,0.782542498586792
"83",8.2,0.791009943080668,0.722406389515721,0.130884273449393,0.783796329008824
"84",8.3,0.792437100373211,0.723936775911652,0.137129093421434,0.78526457747662
"85",8.4,0.794368935329655,0.725495475777608,0.144090799688831,0.787284036521793
"86",8.5,0.795962118083544,0.72762529948374,0.150895319787927,0.788835188270479
"87",8.6,0.797469046442723,0.72973963785826,0.157143405074423,0.790571384650738
"88",8.7,0.798420158872783,0.731300583152001,0.163383684621091,0.79159510682084
"89",8.8,0.799485752844468,0.733192906469191,0.16908272656836,0.792805462242274
"90",8.9,0.801227147349063,0.735122523875451,0.175196764352916,0.794453306278157
