,weekx,week3,ur,mean_ur,min_ur,max_ur,excess1_ur
34,2020-08-26,35,5.58612585067749,4.753355026245117,3.7868239879608154,5.684645652770996,0.832770824432373
35,2020-09-02,36,5.272610664367676,5.156139850616455,4.09948205947876,5.570303440093994,0.1164708137512207
36,2020-09-09,37,5.012110710144043,4.620718002319336,3.651339292526245,6.163529872894287,0.39139270782470703
37,2020-09-16,38,5.068747520446777,4.977199554443359,4.506231784820557,5.343624591827393,0.09154796600341797
38,2020-09-23,39,5.219392776489258,4.609985828399658,3.6907103061676025,5.51697301864624,0.6094069480895996
39,2020-10-07,41,5.541265964508057,5.223761558532715,4.087651252746582,6.195253372192383,0.3175044059753418
40,2020-10-14,2020w42,5.706419944763184,4.222047328948975,3.830190658569336,5.830140590667725,1.484372615814209
41,2020-10-21,43,6.196493625640869,4.5956315994262695,3.4006621837615967,4.955416679382324,1.6008620262145996
42,2020-10-28,44,5.764315128326416,4.184782028198242,3.7516896724700928,4.7839741706848145,1.5795331001281738
43,2020-11-04,45,4.538300037384033,4.407951831817627,3.592160224914551,5.104680061340332,0.13034820556640625
44,2020-11-11,46,4.745895862579346,3.7669260501861572,3.1476776599884033,4.489153861999512,0.9789698123931885
45,2020-11-18,47,4.5682477951049805,4.269129276275635,3.36537766456604,5.359137535095215,0.2991185188293457
46,2020-11-25,48,5.672182083129883,4.020683765411377,3.3465304374694824,4.860405445098877,1.6514983177185059
47,2020-12-02,49,4.826463222503662,4.072545528411865,3.6260087490081787,5.113271236419678,0.7539176940917969
48,2020-12-09,50,5.179758548736572,3.4649882316589355,2.953517198562622,5.479518890380859,1.7147703170776367
49,2020-12-16,51,4.517858982086182,3.7042160034179688,2.9407384395599365,5.553927421569824,0.8136429786682129
50,2020-12-23,2020w52,4.439000606536865,3.945662021636963,2.711690664291382,4.840022087097168,0.49333858489990234
51,2021-01-01,2021w1,5.6162614822387695,4.795413017272949,3.700068473815918,6.253259658813477,0.8208484649658203
52,2021-01-08,54,5.522568225860596,5.071738243103027,4.183588981628418,5.696091175079346,0.45082998275756836
53,2021-01-15,55,4.6161627769470215,4.728774070739746,3.878408193588257,6.164079666137695,-0.11261129379272461
54,2021-01-22,56,5.580646514892578,4.857152938842773,3.9959375858306885,5.9155473709106445,0.7234935760498047
55,2021-01-29,2020w5,5.170313358306885,4.786316871643066,4.088565826416016,6.830139636993408,0.38399648666381836
