,date,furloughed,lockdown
442,2021-05-17,2669900,0
443,2021-05-18,2657900,0
444,2021-05-19,2655100,0
445,2021-05-20,2652700,0
446,2021-05-21,2647300,0
447,2021-05-22,2633500,0
448,2021-05-23,2626600,0
449,2021-05-24,2586700,0
450,2021-05-25,2582600,0
451,2021-05-26,2578600,0
452,2021-05-27,2577300,0
453,2021-05-28,2573100,0
454,2021-05-29,2536600,0
455,2021-05-30,2524700,0
456,2021-05-31,2447400,0
457,2021-06-01,2016100,0
458,2021-06-02,2016000,0
459,2021-06-03,2015900,0
460,2021-06-04,2016300,0
461,2021-06-05,2015300,0
462,2021-06-06,2015400,0
463,2021-06-07,2011400,0
464,2021-06-08,2007600,0
465,2021-06-09,2007000,0
466,2021-06-10,2007000,0
467,2021-06-11,2007100,0
468,2021-06-12,2003900,0
469,2021-06-13,2001900,0
470,2021-06-14,1998200,0
471,2021-06-15,1994700,0
472,2021-06-16,1992600,0
473,2021-06-17,1991200,0
474,2021-06-18,1990100,0
475,2021-06-19,1986600,0
476,2021-06-20,1984700,0
477,2021-06-21,1976100,0
478,2021-06-22,1973500,0
479,2021-06-23,1972000,0
480,2021-06-24,1969800,0
481,2021-06-25,1967300,0
482,2021-06-26,1954000,0
483,2021-06-27,1947000,0
484,2021-06-28,1917700,0
485,2021-06-29,1907100,0
486,2021-06-30,1901200,0
487,2021-07-01,1680100,0
488,2021-07-02,1681200,0
489,2021-07-03,1680600,0
490,2021-07-04,1680900,0
491,2021-07-05,1681600,0
492,2021-07-06,1681300,0
493,2021-07-07,1681500,0
494,2021-07-08,1681200,0
495,2021-07-09,1680600,0
496,2021-07-10,1679100,0
497,2021-07-11,1678000,0
498,2021-07-12,1676900,0
499,2021-07-13,1675800,0
500,2021-07-14,1675400,0
501,2021-07-15,1673300,0
502,2021-07-16,1670100,0
503,2021-07-17,1666600,0
504,2021-07-18,1665000,0
505,2021-07-19,1658800,0
506,2021-07-20,1657100,0
507,2021-07-21,1655100,0
508,2021-07-22,1653400,0
509,2021-07-23,1652200,0
510,2021-07-24,1647100,0
511,2021-07-25,1643900,0
512,2021-07-26,1623200,0
513,2021-07-27,1620900,0
514,2021-07-28,1619300,0
515,2021-07-29,1611700,0
516,2021-07-30,1606400,0
517,2021-07-31,1563600,0
