,Quarter Ending,duration,value,order
158,30-Jun-2010,> 12-15 weeks,0.0,> 12-15 weeks
159,30-Jun-2010,> 15-18 weeks,0.0,> 15-18 weeks
160,30-Jun-2010,>18-26 weeks,0.0,>18-26 weeks
161,30-Jun-2010,>26-39 weeks,0.0,>26-39 weeks
162,30-Jun-2010,>39-52 weeks,0.0,>39-52 weeks
163,30-Jun-2010,>52-65 weeks,0.0,>52-65 weeks
164,30-Jun-2010,>65-78 weeks,0.0,>65-78 weeks
165,30-Jun-2010,>78-91 weeks,0.0,>78-91 weeks
166,30-Jun-2010,>91-104 weeks,0.0,>91-104 weeks
167,30-Jun-2010,>104 weeks,0.0,>104 weeks
168,30-Jun-2010,>18 weeks,0.0,>18 weeks
169,30-Jun-2010,>18-52 weeks,0.0,>18-52 weeks
170,30-Jun-2010,> 13 - 26 weeks,13951.0,> 13 - 26 weeks
171,30-Jun-2010,>52 weeks,0.0,2
172,30-Jun-2010,> 26 weeks,1295.0,> 26 weeks
173,30-Jun-2010,Total Waiting,110220.0,Total Waiting
174,30-Jun-2010,<9 weeks,110220.0,0
175,30-Jun-2010,>9-52 weeks,0.0,1
176,30-Jun-2011,0 - 6 weeks,56827.0,0 - 6 weeks
177,30-Jun-2011,> 6 - 9 weeks,16286.0,> 6 - 9 weeks
178,30-Jun-2011,> 9 - 13 weeks,0.0,> 9 - 13 weeks
179,30-Jun-2011,> 9 - 12 weeks,9728.0,> 9 - 12 weeks
180,30-Jun-2011,> 12-15 weeks,7926.0,> 12-15 weeks
181,30-Jun-2011,> 15-18 weeks,6748.0,> 15-18 weeks
182,30-Jun-2011,>18-26 weeks,0.0,>18-26 weeks
183,30-Jun-2011,>26-39 weeks,0.0,>26-39 weeks
184,30-Jun-2011,>39-52 weeks,0.0,>39-52 weeks
185,30-Jun-2011,>52-65 weeks,0.0,>52-65 weeks
186,30-Jun-2011,>65-78 weeks,0.0,>65-78 weeks
187,30-Jun-2011,>78-91 weeks,0.0,>78-91 weeks
188,30-Jun-2011,>91-104 weeks,0.0,>91-104 weeks
189,30-Jun-2011,>104 weeks,0.0,>104 weeks
190,30-Jun-2011,>18 weeks,20199.0,>18 weeks
191,30-Jun-2011,>18-52 weeks,0.0,>18-52 weeks
192,30-Jun-2011,> 13 - 26 weeks,0.0,> 13 - 26 weeks
193,30-Jun-2011,>52 weeks,0.0,2
194,30-Jun-2011,> 26 weeks,0.0,> 26 weeks
195,30-Jun-2011,Total Waiting,117714.0,Total Waiting
196,30-Jun-2011,<9 weeks,106808.0,0
197,30-Jun-2011,>9-52 weeks,10906.0,1
198,30-Jun-2012,0 - 6 weeks,56192.0,0 - 6 weeks
199,30-Jun-2012,> 6 - 9 weeks,18491.0,> 6 - 9 weeks
200,30-Jun-2012,> 9 - 13 weeks,0.0,> 9 - 13 weeks
201,30-Jun-2012,> 9 - 12 weeks,9976.0,> 9 - 12 weeks
202,30-Jun-2012,> 12-15 weeks,7992.0,> 12-15 weeks
203,30-Jun-2012,> 15-18 weeks,6005.0,> 15-18 weeks
204,30-Jun-2012,>18-26 weeks,0.0,>18-26 weeks
205,30-Jun-2012,>26-39 weeks,0.0,>26-39 weeks
206,30-Jun-2012,>39-52 weeks,0.0,>39-52 weeks
207,30-Jun-2012,>52-65 weeks,0.0,>52-65 weeks
208,30-Jun-2012,>65-78 weeks,0.0,>65-78 weeks
209,30-Jun-2012,>78-91 weeks,0.0,>78-91 weeks
210,30-Jun-2012,>91-104 weeks,0.0,>91-104 weeks
211,30-Jun-2012,>104 weeks,0.0,>104 weeks
212,30-Jun-2012,>18 weeks,9230.0,>18 weeks
213,30-Jun-2012,>18-52 weeks,0.0,>18-52 weeks
214,30-Jun-2012,> 13 - 26 weeks,0.0,> 13 - 26 weeks
215,30-Jun-2012,>52 weeks,0.0,2
216,30-Jun-2012,> 26 weeks,0.0,> 26 weeks
217,30-Jun-2012,Total Waiting,107886.0,Total Waiting
218,30-Jun-2012,<9 weeks,95923.0,0
219,30-Jun-2012,>9-52 weeks,11963.0,1
220,30-Jun-2013,0 - 6 weeks,62020.0,0 - 6 weeks
221,30-Jun-2013,> 6 - 9 weeks,19292.0,> 6 - 9 weeks
222,30-Jun-2013,> 9 - 13 weeks,0.0,> 9 - 13 weeks
223,30-Jun-2013,> 9 - 12 weeks,12921.0,> 9 - 12 weeks
224,30-Jun-2013,> 12-15 weeks,7296.0,> 12-15 weeks
225,30-Jun-2013,> 15-18 weeks,6856.0,> 15-18 weeks
226,30-Jun-2013,>18-26 weeks,0.0,>18-26 weeks
227,30-Jun-2013,>26-39 weeks,0.0,>26-39 weeks
228,30-Jun-2013,>39-52 weeks,0.0,>39-52 weeks
229,30-Jun-2013,>52-65 weeks,0.0,>52-65 weeks
230,30-Jun-2013,>65-78 weeks,0.0,>65-78 weeks
231,30-Jun-2013,>78-91 weeks,0.0,>78-91 weeks
232,30-Jun-2013,>91-104 weeks,0.0,>91-104 weeks
233,30-Jun-2013,>104 weeks,0.0,>104 weeks
234,30-Jun-2013,>18 weeks,5359.0,>18 weeks
235,30-Jun-2013,>18-52 weeks,0.0,>18-52 weeks
236,30-Jun-2013,> 13 - 26 weeks,0.0,> 13 - 26 weeks
237,30-Jun-2013,>52 weeks,0.0,2
238,30-Jun-2013,> 26 weeks,0.0,> 26 weeks
239,30-Jun-2013,Total Waiting,113744.0,Total Waiting
240,30-Jun-2013,<9 weeks,100383.0,0
241,30-Jun-2013,>9-52 weeks,13361.0,1
242,30-Jun-2014,0 - 6 weeks,67823.0,0 - 6 weeks
243,30-Jun-2014,> 6 - 9 weeks,21657.0,> 6 - 9 weeks
244,30-Jun-2014,> 9 - 13 weeks,0.0,> 9 - 13 weeks
245,30-Jun-2014,> 9 - 12 weeks,15035.0,> 9 - 12 weeks
246,30-Jun-2014,> 12-15 weeks,12500.0,> 12-15 weeks
247,30-Jun-2014,> 15-18 weeks,7700.0,> 15-18 weeks
248,30-Jun-2014,>18-26 weeks,0.0,>18-26 weeks
249,30-Jun-2014,>26-39 weeks,0.0,>26-39 weeks
250,30-Jun-2014,>39-52 weeks,0.0,>39-52 weeks
251,30-Jun-2014,>52-65 weeks,0.0,>52-65 weeks
252,30-Jun-2014,>65-78 weeks,0.0,>65-78 weeks
253,30-Jun-2014,>78-91 weeks,0.0,>78-91 weeks
254,30-Jun-2014,>91-104 weeks,0.0,>91-104 weeks
255,30-Jun-2014,>104 weeks,0.0,>104 weeks
256,30-Jun-2014,>18 weeks,20852.0,>18 weeks
257,30-Jun-2014,>18-52 weeks,0.0,>18-52 weeks
258,30-Jun-2014,> 13 - 26 weeks,0.0,> 13 - 26 weeks
259,30-Jun-2014,>52 weeks,0.0,2
260,30-Jun-2014,> 26 weeks,0.0,> 26 weeks
261,30-Jun-2014,Total Waiting,145567.0,Total Waiting
262,30-Jun-2014,<9 weeks,125732.0,0
263,30-Jun-2014,>9-52 weeks,19835.0,1
264,30-Jun-2015,0 - 6 weeks,63028.0,0 - 6 weeks
265,30-Jun-2015,> 6 - 9 weeks,20192.0,> 6 - 9 weeks
266,30-Jun-2015,> 9 - 13 weeks,0.0,> 9 - 13 weeks
267,30-Jun-2015,> 9 - 12 weeks,15931.0,> 9 - 12 weeks
268,30-Jun-2015,> 12-15 weeks,13651.0,> 12-15 weeks
269,30-Jun-2015,> 15-18 weeks,13645.0,> 15-18 weeks
270,30-Jun-2015,>18-26 weeks,0.0,>18-26 weeks
271,30-Jun-2015,>26-39 weeks,0.0,>26-39 weeks
272,30-Jun-2015,>39-52 weeks,0.0,>39-52 weeks
273,30-Jun-2015,>52-65 weeks,0.0,>52-65 weeks
274,30-Jun-2015,>65-78 weeks,0.0,>65-78 weeks
275,30-Jun-2015,>78-91 weeks,0.0,>78-91 weeks
276,30-Jun-2015,>91-104 weeks,0.0,>91-104 weeks
277,30-Jun-2015,>104 weeks,0.0,>104 weeks
278,30-Jun-2015,>18 weeks,85997.0,>18 weeks
279,30-Jun-2015,>18-52 weeks,0.0,>18-52 weeks
280,30-Jun-2015,> 13 - 26 weeks,0.0,> 13 - 26 weeks
281,30-Jun-2015,>52 weeks,0.0,2
282,30-Jun-2015,> 26 weeks,0.0,> 26 weeks
283,30-Jun-2015,Total Waiting,212444.0,Total Waiting
284,30-Jun-2015,<9 weeks,196507.0,0
285,30-Jun-2015,>9-52 weeks,15937.0,1
286,30-Jun-21,0 - 6 weeks,49641.0,0 - 6 weeks
287,30-Jun-21,> 6 - 9 weeks,14879.0,> 6 - 9 weeks
288,30-Jun-21,> 9 - 13 weeks,0.0,> 9 - 13 weeks
289,30-Jun-21,> 9 - 12 weeks,12553.0,> 9 - 12 weeks
290,30-Jun-21,> 12-15 weeks,8902.0,> 12-15 weeks
291,30-Jun-21,> 15-18 weeks,9891.0,> 15-18 weeks
292,30-Jun-21,>18-26 weeks,19709.0,>18-26 weeks
293,30-Jun-21,>26-39 weeks,30245.0,>26-39 weeks
294,30-Jun-21,>39-52 weeks,24984.0,>39-52 weeks
295,30-Jun-21,>52-65 weeks,13124.0,>52-65 weeks
296,30-Jun-21,>65-78 weeks,31735.0,>65-78 weeks
