,date,region,dose,value
684,2021-11-16,Northern Ireland,3rd,15.2
685,2021-11-15,Northern Ireland,2nd,78.6
686,2021-11-15,Northern Ireland,3rd,14.3
687,2021-11-14,Northern Ireland,2nd,78.6
688,2021-11-14,Northern Ireland,3rd,13.4
689,2021-11-13,Northern Ireland,2nd,78.5
690,2021-11-13,Northern Ireland,3rd,13.1
691,2021-11-12,Northern Ireland,2nd,78.5
692,2021-11-12,Northern Ireland,3rd,12.7
693,2021-11-11,Northern Ireland,2nd,78.5
694,2021-11-11,Northern Ireland,3rd,12.1
695,2021-11-10,Northern Ireland,2nd,78.4
696,2021-11-10,Northern Ireland,3rd,11.3
697,2021-11-09,Northern Ireland,2nd,78.3
698,2021-11-09,Northern Ireland,3rd,10.4
699,2021-11-08,Northern Ireland,2nd,78.3
700,2021-11-08,Northern Ireland,3rd,9.6
701,2021-11-07,Northern Ireland,2nd,78.2
702,2021-11-07,Northern Ireland,3rd,8.9
703,2021-11-06,Northern Ireland,2nd,78.2
704,2021-11-06,Northern Ireland,3rd,8.7
705,2021-11-05,Northern Ireland,2nd,78.1
706,2021-11-05,Northern Ireland,3rd,8.3
707,2021-11-04,Northern Ireland,2nd,78.1
708,2021-11-04,Northern Ireland,3rd,7.9
709,2021-11-03,Northern Ireland,2nd,78.0
710,2021-11-03,Northern Ireland,3rd,7.3
711,2021-11-02,Northern Ireland,2nd,78.0
712,2021-11-02,Northern Ireland,3rd,6.7
713,2021-11-01,Northern Ireland,2nd,77.9
714,2021-11-01,Northern Ireland,3rd,6.1
715,2021-10-31,Northern Ireland,2nd,77.9
716,2021-10-31,Northern Ireland,3rd,5.6
717,2021-10-30,Northern Ireland,2nd,77.8
718,2021-10-30,Northern Ireland,3rd,5.5
719,2021-10-29,Northern Ireland,2nd,77.8
720,2021-10-29,Northern Ireland,3rd,5.3
721,2021-10-28,Northern Ireland,2nd,77.8
722,2021-10-28,Northern Ireland,3rd,5.1
723,2021-10-27,Northern Ireland,2nd,77.7
724,2021-10-27,Northern Ireland,3rd,4.8
725,2021-10-26,Northern Ireland,2nd,77.7
726,2021-10-26,Northern Ireland,3rd,4.3
727,2021-10-25,Northern Ireland,2nd,77.6
728,2021-10-25,Northern Ireland,3rd,4.0
729,2021-10-24,Northern Ireland,2nd,77.6
730,2021-10-24,Northern Ireland,3rd,3.6
731,2021-10-23,Northern Ireland,2nd,77.5
732,2021-10-23,Northern Ireland,3rd,3.5
733,2021-10-22,Northern Ireland,2nd,77.5
734,2021-10-22,Northern Ireland,3rd,3.3
735,2021-10-21,Northern Ireland,2nd,77.4
736,2021-10-21,Northern Ireland,3rd,3.1
737,2021-10-20,Northern Ireland,2nd,77.3
738,2021-10-20,Northern Ireland,3rd,2.8
739,2021-10-19,Northern Ireland,2nd,77.2
740,2021-10-19,Northern Ireland,3rd,2.6
741,2021-10-18,Northern Ireland,2nd,76.7
742,2021-10-18,Northern Ireland,3rd,2.2
743,2021-10-17,Northern Ireland,2nd,76.7
744,2021-10-17,Northern Ireland,3rd,2.1
745,2021-10-16,Northern Ireland,2nd,76.6
746,2021-10-16,Northern Ireland,3rd,2.0
747,2021-10-15,Northern Ireland,2nd,76.6
748,2021-10-15,Northern Ireland,3rd,1.9
749,2021-10-14,Northern Ireland,2nd,76.5
750,2021-10-14,Northern Ireland,3rd,1.8
751,2021-10-13,Northern Ireland,2nd,76.5
752,2021-10-13,Northern Ireland,3rd,1.6
753,2021-10-12,Northern Ireland,2nd,76.4
754,2021-10-12,Northern Ireland,3rd,1.5
755,2021-10-11,Northern Ireland,2nd,76.3
756,2021-10-11,Northern Ireland,3rd,1.3
757,2021-10-10,Northern Ireland,2nd,76.3
758,2021-10-10,Northern Ireland,3rd,1.1
759,2021-10-09,Northern Ireland,2nd,76.3
760,2021-10-09,Northern Ireland,3rd,1.0
761,2021-10-08,Northern Ireland,2nd,76.2
762,2021-10-08,Northern Ireland,3rd,1.0
763,2021-10-07,Northern Ireland,2nd,76.1
764,2021-10-07,Northern Ireland,3rd,0.9
765,2021-10-06,Northern Ireland,2nd,76.1
766,2021-10-06,Northern Ireland,3rd,0.8
767,2021-10-05,Northern Ireland,2nd,76.0
768,2021-10-05,Northern Ireland,3rd,0.7
769,2021-10-04,Northern Ireland,2nd,75.9
770,2021-10-04,Northern Ireland,3rd,0.6
771,2021-10-03,Northern Ireland,2nd,75.8
772,2021-10-03,Northern Ireland,3rd,0.5
773,2021-10-02,Northern Ireland,2nd,75.8
774,2021-10-02,Northern Ireland,3rd,0.4
775,2021-10-01,Northern Ireland,2nd,75.7
776,2021-10-01,Northern Ireland,3rd,0.3
777,2021-09-30,Northern Ireland,2nd,75.6
778,2021-09-30,Northern Ireland,3rd,0.3
779,2021-09-29,Northern Ireland,2nd,75.6
780,2021-09-28,Northern Ireland,2nd,75.5
781,2021-09-27,Northern Ireland,2nd,75.5
782,2021-09-26,Northern Ireland,2nd,75.4
783,2021-09-25,Northern Ireland,2nd,75.4
784,2021-09-24,Northern Ireland,2nd,75.3
785,2021-09-23,Northern Ireland,2nd,75.3
786,2021-09-22,Northern Ireland,2nd,75.3
787,2021-09-21,Northern Ireland,2nd,75.2
788,2021-09-20,Northern Ireland,2nd,75.2
789,2021-09-19,Northern Ireland,2nd,75.2
790,2021-09-18,Northern Ireland,2nd,75.1
791,2021-09-17,Northern Ireland,2nd,75.1
792,2021-09-16,Northern Ireland,2nd,75.1
793,2021-09-15,Northern Ireland,2nd,75.0
794,2021-09-14,Northern Ireland,2nd,75.0
795,2021-09-13,Northern Ireland,2nd,74.9
796,2021-09-12,Northern Ireland,2nd,74.8
797,2021-09-11,Northern Ireland,2nd,74.8
798,2021-09-10,Northern Ireland,2nd,74.6
799,2021-09-09,Northern Ireland,2nd,74.4
800,2021-09-08,Northern Ireland,2nd,74.2
801,2021-09-07,Northern Ireland,2nd,73.9
802,2021-09-06,Northern Ireland,2nd,73.7
803,2021-09-05,Northern Ireland,2nd,73.5
804,2021-09-04,Northern Ireland,2nd,73.3
805,2021-09-03,Northern Ireland,2nd,73.2
806,2021-09-02,Northern Ireland,2nd,73.1
807,2021-09-01,Northern Ireland,2nd,72.9
808,2021-08-31,Northern Ireland,2nd,72.8
809,2021-08-30,Northern Ireland,2nd,72.7
810,2021-08-29,Northern Ireland,2nd,72.6
811,2021-08-28,Northern Ireland,2nd,72.5
812,2021-08-27,Northern Ireland,2nd,72.4
813,2021-08-26,Northern Ireland,2nd,72.3
814,2021-08-25,Northern Ireland,2nd,72.2
815,2021-08-24,Northern Ireland,2nd,72.0
816,2021-08-23,Northern Ireland,2nd,71.8
817,2021-08-22,Northern Ireland,2nd,71.7
818,2021-08-21,Northern Ireland,2nd,71.6
819,2021-08-20,Northern Ireland,2nd,71.4
820,2021-08-19,Northern Ireland,2nd,71.1
821,2021-08-18,Northern Ireland,2nd,70.9
822,2021-08-17,Northern Ireland,2nd,70.7
823,2021-08-16,Northern Ireland,2nd,70.3
824,2021-08-15,Northern Ireland,2nd,70.1
825,2021-08-14,Northern Ireland,2nd,69.9
826,2021-08-13,Northern Ireland,2nd,69.7
827,2021-08-12,Northern Ireland,2nd,69.4
828,2021-08-11,Northern Ireland,2nd,69.1
829,2021-08-10,Northern Ireland,2nd,68.9
830,2021-08-09,Northern Ireland,2nd,68.5
831,2021-08-08,Northern Ireland,2nd,68.2
832,2021-08-07,Northern Ireland,2nd,67.9
833,2021-08-06,Northern Ireland,2nd,67.6
834,2021-08-05,Northern Ireland,2nd,67.2
835,2021-08-04,Northern Ireland,2nd,66.9
836,2021-08-03,Northern Ireland,2nd,66.5
837,2021-08-02,Northern Ireland,2nd,66.1
838,2021-08-01,Northern Ireland,2nd,65.6
839,2021-07-31,Northern Ireland,2nd,65.3
840,2021-07-30,Northern Ireland,2nd,65.1
841,2021-07-29,Northern Ireland,2nd,64.9
842,2021-07-28,Northern Ireland,2nd,64.5
843,2021-07-27,Northern Ireland,2nd,64.0
844,2021-07-26,Northern Ireland,2nd,63.6
845,2021-07-25,Northern Ireland,2nd,63.3
846,2021-07-24,Northern Ireland,2nd,63.1
847,2021-07-23,Northern Ireland,2nd,63.0
848,2021-07-22,Northern Ireland,2nd,62.8
849,2021-07-21,Northern Ireland,2nd,62.7
850,2021-07-20,Northern Ireland,2nd,62.3
851,2021-07-19,Northern Ireland,2nd,61.9
852,2021-07-18,Northern Ireland,2nd,61.5
853,2021-07-17,Northern Ireland,2nd,61.2
854,2021-07-16,Northern Ireland,2nd,61.0
855,2021-07-15,Northern Ireland,2nd,60.3
856,2021-07-14,Northern Ireland,2nd,59.9
857,2021-07-13,Northern Ireland,2nd,59.5
858,2021-07-12,Northern Ireland,2nd,59.1
859,2021-07-11,Northern Ireland,2nd,59.0
860,2021-07-10,Northern Ireland,2nd,58.7
861,2021-07-09,Northern Ireland,2nd,58.4
862,2021-07-08,Northern Ireland,2nd,58.0
863,2021-07-07,Northern Ireland,2nd,57.6
864,2021-07-06,Northern Ireland,2nd,57.1
865,2021-07-05,Northern Ireland,2nd,56.6
866,2021-07-04,Northern Ireland,2nd,56.1
867,2021-07-03,Northern Ireland,2nd,55.7
868,2021-07-02,Northern Ireland,2nd,55.3
869,2021-07-01,Northern Ireland,2nd,54.9
870,2021-06-30,Northern Ireland,2nd,54.5
871,2021-06-29,Northern Ireland,2nd,54.0
872,2021-06-28,Northern Ireland,2nd,53.6
873,2021-06-27,Northern Ireland,2nd,53.2
874,2021-06-26,Northern Ireland,2nd,52.9
875,2021-06-25,Northern Ireland,2nd,52.7
876,2021-06-24,Northern Ireland,2nd,52.3
877,2021-06-23,Northern Ireland,2nd,52.0
878,2021-06-22,Northern Ireland,2nd,51.6
879,2021-06-21,Northern Ireland,2nd,51.1
880,2021-06-20,Northern Ireland,2nd,50.7
881,2021-06-19,Northern Ireland,2nd,50.3
882,2021-06-18,Northern Ireland,2nd,49.9
883,2021-06-17,Northern Ireland,2nd,49.4
884,2021-06-16,Northern Ireland,2nd,49.0
885,2021-06-15,Northern Ireland,2nd,48.4
886,2021-06-14,Northern Ireland,2nd,47.7
887,2021-06-13,Northern Ireland,2nd,47.0
888,2021-06-12,Northern Ireland,2nd,47.0
889,2021-06-11,Northern Ireland,2nd,46.9
890,2021-06-10,Northern Ireland,2nd,46.5
891,2021-06-09,Northern Ireland,2nd,46.1
892,2021-06-08,Northern Ireland,2nd,45.6
893,2021-06-07,Northern Ireland,2nd,45.0
894,2021-06-06,Northern Ireland,2nd,44.4
895,2021-06-05,Northern Ireland,2nd,44.0
896,2021-06-04,Northern Ireland,2nd,43.8
897,2021-06-03,Northern Ireland,2nd,43.3
898,2021-06-02,Northern Ireland,2nd,42.8
899,2021-06-01,Northern Ireland,2nd,42.3
900,2021-05-31,Northern Ireland,2nd,41.7
901,2021-05-30,Northern Ireland,2nd,41.4
902,2021-05-29,Northern Ireland,2nd,41.2
903,2021-05-28,Northern Ireland,2nd,41.0
904,2021-05-27,Northern Ireland,2nd,40.6
905,2021-05-26,Northern Ireland,2nd,40.0
906,2021-05-25,Northern Ireland,2nd,39.4
907,2021-05-24,Northern Ireland,2nd,38.8
908,2021-05-23,Northern Ireland,2nd,38.3
909,2021-05-22,Northern Ireland,2nd,37.9
910,2021-05-21,Northern Ireland,2nd,37.7
911,2021-05-20,Northern Ireland,2nd,37.1
912,2021-05-19,Northern Ireland,2nd,36.5
913,2021-05-18,Northern Ireland,2nd,36.0
914,2021-05-17,Northern Ireland,2nd,35.5
915,2021-05-16,Northern Ireland,2nd,35.0
916,2021-05-15,Northern Ireland,2nd,34.6
917,2021-05-14,Northern Ireland,2nd,34.2
918,2021-05-13,Northern Ireland,2nd,33.6
919,2021-05-12,Northern Ireland,2nd,32.9
920,2021-05-11,Northern Ireland,2nd,32.2
921,2021-05-10,Northern Ireland,2nd,31.5
922,2021-05-09,Northern Ireland,2nd,30.9
923,2021-05-08,Northern Ireland,2nd,30.5
924,2021-05-07,Northern Ireland,2nd,30.2
925,2021-05-06,Northern Ireland,2nd,29.6
926,2021-05-05,Northern Ireland,2nd,28.8
927,2021-05-04,Northern Ireland,2nd,27.9
928,2021-05-03,Northern Ireland,2nd,27.3
929,2021-05-02,Northern Ireland,2nd,27.0
930,2021-05-01,Northern Ireland,2nd,26.7
931,2021-04-30,Northern Ireland,2nd,26.4
932,2021-04-29,Northern Ireland,2nd,26.1
933,2021-04-28,Northern Ireland,2nd,23.6
934,2021-04-27,Northern Ireland,2nd,23.0
935,2021-04-26,Northern Ireland,2nd,22.3
936,2021-04-25,Northern Ireland,2nd,21.7
937,2021-04-24,Northern Ireland,2nd,21.4
938,2021-04-23,Northern Ireland,2nd,21.2
939,2021-04-22,Northern Ireland,2nd,20.5
940,2021-04-21,Northern Ireland,2nd,19.5
941,2021-04-20,Northern Ireland,2nd,18.7
942,2021-04-19,Northern Ireland,2nd,17.7
943,2021-04-18,Northern Ireland,2nd,17.1
944,2021-04-17,Northern Ireland,2nd,16.8
945,2021-04-16,Northern Ireland,2nd,16.5
946,2021-04-15,Northern Ireland,2nd,15.7
947,2021-04-14,Northern Ireland,2nd,14.8
948,2021-04-13,Northern Ireland,2nd,14.0
949,2021-04-12,Northern Ireland,2nd,13.2
950,2021-04-11,Northern Ireland,2nd,12.5
951,2021-04-10,Northern Ireland,2nd,12.2
952,2021-04-09,Northern Ireland,2nd,11.9
953,2021-04-08,Northern Ireland,2nd,11.4
954,2021-04-07,Northern Ireland,2nd,10.9
955,2021-04-06,Northern Ireland,2nd,10.5
956,2021-04-05,Northern Ireland,2nd,10.3
957,2021-04-04,Northern Ireland,2nd,10.3
958,2021-04-03,Northern Ireland,2nd,10.2
959,2021-04-02,Northern Ireland,2nd,10.0
960,2021-04-01,Northern Ireland,2nd,9.6
961,2021-03-31,Northern Ireland,2nd,9.1
962,2021-03-30,Northern Ireland,2nd,8.7
963,2021-03-29,Northern Ireland,2nd,8.3
964,2021-03-28,Northern Ireland,2nd,7.8
965,2021-03-27,Northern Ireland,2nd,7.7
966,2021-03-26,Northern Ireland,2nd,7.5
967,2021-03-25,Northern Ireland,2nd,7.1
968,2021-03-24,Northern Ireland,2nd,6.6
969,2021-03-23,Northern Ireland,2nd,6.0
970,2021-03-22,Northern Ireland,2nd,5.5
971,2021-03-21,Northern Ireland,2nd,5.5
972,2021-03-20,Northern Ireland,2nd,4.9
973,2021-03-19,Northern Ireland,2nd,4.7
974,2021-03-18,Northern Ireland,2nd,4.4
975,2021-03-17,Northern Ireland,2nd,4.2
976,2021-03-16,Northern Ireland,2nd,4.0
977,2021-03-15,Northern Ireland,2nd,3.6
978,2021-03-14,Northern Ireland,2nd,3.4
979,2021-03-13,Northern Ireland,2nd,3.3
980,2021-03-12,Northern Ireland,2nd,3.1
981,2021-03-11,Northern Ireland,2nd,3.1
982,2021-03-10,Northern Ireland,2nd,3.1
983,2021-03-09,Northern Ireland,2nd,2.9
984,2021-03-08,Northern Ireland,2nd,2.8
985,2021-03-07,Northern Ireland,2nd,2.7
986,2021-03-06,Northern Ireland,2nd,2.6
987,2021-03-05,Northern Ireland,2nd,2.6
988,2021-03-04,Northern Ireland,2nd,2.6
989,2021-03-03,Northern Ireland,2nd,2.5
990,2021-03-02,Northern Ireland,2nd,2.4
991,2021-03-01,Northern Ireland,2nd,2.2
992,2021-02-28,Northern Ireland,2nd,2.1
993,2021-02-27,Northern Ireland,2nd,2.0
994,2021-02-26,Northern Ireland,2nd,2.0
995,2021-02-25,Northern Ireland,2nd,2.0
996,2021-02-24,Northern Ireland,2nd,2.0
997,2021-02-23,Northern Ireland,2nd,2.0
998,2021-02-22,Northern Ireland,2nd,1.9
999,2021-02-21,Northern Ireland,2nd,1.9
1000,2021-02-20,Northern Ireland,2nd,1.9
1001,2021-02-19,Northern Ireland,2nd,1.9
1002,2021-02-18,Northern Ireland,2nd,1.9
1003,2021-02-17,Northern Ireland,2nd,1.9
1004,2021-02-16,Northern Ireland,2nd,1.8
1005,2021-02-15,Northern Ireland,2nd,1.8
1006,2021-02-14,Northern Ireland,2nd,1.8
1007,2021-02-13,Northern Ireland,2nd,1.8
1008,2021-02-12,Northern Ireland,2nd,1.8
1009,2021-02-11,Northern Ireland,2nd,1.8
1010,2021-02-10,Northern Ireland,2nd,1.8
1011,2021-02-09,Northern Ireland,2nd,1.7
1012,2021-02-08,Northern Ireland,2nd,1.7
1013,2021-02-07,Northern Ireland,2nd,1.7
1014,2021-02-06,Northern Ireland,2nd,1.7
1015,2021-02-05,Northern Ireland,2nd,1.7
1016,2021-02-04,Northern Ireland,2nd,1.6
1017,2021-02-03,Northern Ireland,2nd,1.6
1018,2021-02-02,Northern Ireland,2nd,1.6
1019,2021-02-01,Northern Ireland,2nd,1.6
1020,2021-01-31,Northern Ireland,2nd,1.5
1021,2021-01-30,Northern Ireland,2nd,1.5
1022,2021-01-29,Northern Ireland,2nd,1.5
1023,2021-01-28,Northern Ireland,2nd,1.5
1024,2021-01-27,Northern Ireland,2nd,1.5
1025,2021-01-26,Northern Ireland,2nd,1.4
1026,2021-01-25,Northern Ireland,2nd,1.4
1027,2021-01-24,Northern Ireland,2nd,1.4
1028,2021-01-23,Northern Ireland,2nd,1.4
1029,2021-01-22,Northern Ireland,2nd,1.4
1030,2021-01-21,Northern Ireland,2nd,1.4
1031,2021-01-20,Northern Ireland,2nd,1.4
1032,2021-01-19,Northern Ireland,2nd,1.4
1033,2021-01-18,Northern Ireland,2nd,1.4
1034,2021-01-17,Northern Ireland,2nd,1.3
1035,2021-01-16,Northern Ireland,2nd,1.3
1036,2021-01-15,Northern Ireland,2nd,1.2
1037,2021-01-14,Northern Ireland,2nd,1.2
1038,2021-01-13,Northern Ireland,2nd,1.2
1039,2021-01-12,Northern Ireland,2nd,1.1
1040,2021-01-11,Northern Ireland,2nd,1.0
1041,2021-01-10,Northern Ireland,2nd,0.9
1042,2022-02-05,Scotland,2nd,86.5
1043,2022-02-05,Scotland,3rd,69.4
1044,2022-02-04,Scotland,2nd,86.4
1045,2022-02-04,Scotland,3rd,69.3
1046,2022-02-03,Scotland,2nd,86.4
1047,2022-02-03,Scotland,3rd,69.2
1048,2022-02-02,Scotland,2nd,86.4
1049,2022-02-02,Scotland,3rd,69.1
1050,2022-02-01,Scotland,2nd,86.4
1051,2022-02-01,Scotland,3rd,69.0
1052,2022-01-31,Scotland,2nd,86.3
1053,2022-01-31,Scotland,3rd,69.0
1054,2022-01-30,Scotland,2nd,86.3
1055,2022-01-30,Scotland,3rd,68.9
1056,2022-01-29,Scotland,2nd,86.2
1057,2022-01-29,Scotland,3rd,68.8
1058,2022-01-28,Scotland,2nd,86.2
1059,2022-01-28,Scotland,3rd,68.7
1060,2022-01-27,Scotland,2nd,86.1
1061,2022-01-27,Scotland,3rd,68.6
1062,2022-01-26,Scotland,2nd,86.1
1063,2022-01-26,Scotland,3rd,68.5
1064,2022-01-25,Scotland,2nd,86.0
1065,2022-01-25,Scotland,3rd,68.4
1066,2022-01-24,Scotland,2nd,86.0
1067,2022-01-24,Scotland,3rd,68.2
1068,2022-01-23,Scotland,2nd,85.9
1069,2022-01-23,Scotland,3rd,68.1
1070,2022-01-22,Scotland,2nd,85.8
1071,2022-01-22,Scotland,3rd,68.0
1072,2022-01-21,Scotland,2nd,85.8
1073,2022-01-21,Scotland,3rd,67.9
1074,2022-01-20,Scotland,2nd,85.7
1075,2022-01-20,Scotland,3rd,67.7
1076,2022-01-19,Scotland,2nd,85.6
1077,2022-01-19,Scotland,3rd,67.5
1078,2022-01-18,Scotland,2nd,85.6
1079,2022-01-18,Scotland,3rd,67.4
1080,2022-01-17,Scotland,2nd,85.5
1081,2022-01-17,Scotland,3rd,67.2
1082,2022-01-16,Scotland,2nd,85.5
1083,2022-01-16,Scotland,3rd,67.0
1084,2022-01-15,Scotland,2nd,85.2
1085,2022-01-15,Scotland,3rd,66.8
1086,2022-01-14,Scotland,2nd,85.0
1087,2022-01-14,Scotland,3rd,66.6
1088,2022-01-13,Scotland,2nd,84.9
1089,2022-01-13,Scotland,3rd,66.3
1090,2022-01-12,Scotland,2nd,84.8
1091,2022-01-12,Scotland,3rd,66.0
1092,2022-01-11,Scotland,2nd,84.8
1093,2022-01-11,Scotland,3rd,65.8
1094,2022-01-10,Scotland,2nd,84.7
1095,2022-01-10,Scotland,3rd,65.4
1096,2022-01-09,Scotland,2nd,84.6
1097,2022-01-09,Scotland,3rd,65.1
1098,2022-01-08,Scotland,2nd,84.6
1099,2022-01-08,Scotland,3rd,64.8
1100,2022-01-07,Scotland,2nd,84.5
1101,2022-01-07,Scotland,3rd,64.4
1102,2022-01-06,Scotland,2nd,84.4
1103,2022-01-06,Scotland,3rd,64.0
1104,2022-01-05,Scotland,2nd,84.3
1105,2022-01-05,Scotland,3rd,63.6
1106,2022-01-04,Scotland,2nd,84.2
1107,2022-01-04,Scotland,3rd,63.1
1108,2022-01-03,Scotland,2nd,84.1
1109,2022-01-03,Scotland,3rd,62.8
1110,2022-01-02,Scotland,2nd,84.0
1111,2022-01-02,Scotland,3rd,62.6
1112,2022-01-01,Scotland,2nd,84.0
1113,2022-01-01,Scotland,3rd,62.6
1114,2021-12-31,Scotland,2nd,84.0
1115,2021-12-31,Scotland,3rd,62.6
1116,2021-12-30,Scotland,2nd,83.9
1117,2021-12-30,Scotland,3rd,62.3
1118,2021-12-29,Scotland,2nd,83.9
1119,2021-12-29,Scotland,3rd,61.6
1120,2021-12-28,Scotland,2nd,83.8
1121,2021-12-28,Scotland,3rd,60.7
1122,2021-12-27,Scotland,2nd,83.8
1123,2021-12-27,Scotland,3rd,60.1
1124,2021-12-26,Scotland,2nd,83.8
1125,2021-12-26,Scotland,3rd,59.4
1126,2021-12-25,Scotland,2nd,83.8
1127,2021-12-25,Scotland,3rd,59.4
1128,2021-12-24,Scotland,2nd,83.8
1129,2021-12-24,Scotland,3rd,59.4
1130,2021-12-23,Scotland,2nd,83.8
1131,2021-12-23,Scotland,3rd,59.4
1132,2021-12-22,Scotland,2nd,83.7
1133,2021-12-22,Scotland,3rd,58.2
1134,2021-12-21,Scotland,2nd,83.6
1135,2021-12-21,Scotland,3rd,56.6
1136,2021-12-20,Scotland,2nd,83.6
1137,2021-12-20,Scotland,3rd,55.0
1138,2021-12-19,Scotland,2nd,83.5
1139,2021-12-19,Scotland,3rd,53.5
1140,2021-12-18,Scotland,2nd,83.5
1141,2021-12-18,Scotland,3rd,52.3
1142,2021-12-17,Scotland,2nd,83.4
1143,2021-12-17,Scotland,3rd,50.9
1144,2021-12-16,Scotland,2nd,83.3
1145,2021-12-16,Scotland,3rd,49.7
1146,2021-12-15,Scotland,2nd,83.3
1147,2021-12-15,Scotland,3rd,48.4
1148,2021-12-14,Scotland,2nd,83.2
1149,2021-12-14,Scotland,3rd,47.1
1150,2021-12-13,Scotland,2nd,83.2
1151,2021-12-13,Scotland,3rd,46.0
1152,2021-12-12,Scotland,2nd,83.1
1153,2021-12-12,Scotland,3rd,45.0
1154,2021-12-11,Scotland,2nd,83.1
1155,2021-12-11,Scotland,3rd,44.2
1156,2021-12-10,Scotland,2nd,83.0
1157,2021-12-10,Scotland,3rd,43.4
1158,2021-12-09,Scotland,2nd,83.0
1159,2021-12-09,Scotland,3rd,42.6
1160,2021-12-08,Scotland,2nd,82.9
1161,2021-12-08,Scotland,3rd,41.8
1162,2021-12-07,Scotland,2nd,82.9
1163,2021-12-07,Scotland,3rd,41.0
1164,2021-12-06,Scotland,2nd,82.8
1165,2021-12-06,Scotland,3rd,40.2
1166,2021-12-05,Scotland,2nd,82.8
1167,2021-12-05,Scotland,3rd,39.5
1168,2021-12-04,Scotland,2nd,82.7
1169,2021-12-04,Scotland,3rd,38.9
1170,2021-12-03,Scotland,2nd,82.7
1171,2021-12-03,Scotland,3rd,38.1
1172,2021-12-02,Scotland,2nd,82.7
1173,2021-12-02,Scotland,3rd,37.4
1174,2021-12-01,Scotland,2nd,82.6
1175,2021-12-01,Scotland,3rd,36.7
1176,2021-11-30,Scotland,2nd,82.6
1177,2021-11-30,Scotland,3rd,36.0
1178,2021-11-29,Scotland,2nd,82.6
1179,2021-11-29,Scotland,3rd,35.3
1180,2021-11-28,Scotland,2nd,82.5
1181,2021-11-28,Scotland,3rd,34.7
1182,2021-11-27,Scotland,2nd,82.5
1183,2021-11-27,Scotland,3rd,34.1
1184,2021-11-26,Scotland,2nd,82.5
1185,2021-11-26,Scotland,3rd,33.4
1186,2021-11-25,Scotland,2nd,82.5
1187,2021-11-25,Scotland,3rd,32.8
1188,2021-11-24,Scotland,2nd,82.4
1189,2021-11-24,Scotland,3rd,32.1
1190,2021-11-23,Scotland,2nd,82.4
1191,2021-11-23,Scotland,3rd,31.4
1192,2021-11-22,Scotland,2nd,82.4
1193,2021-11-22,Scotland,3rd,30.7
1194,2021-11-21,Scotland,2nd,82.4
1195,2021-11-21,Scotland,3rd,30.1
1196,2021-11-20,Scotland,2nd,82.3
1197,2021-11-20,Scotland,3rd,29.4
1198,2021-11-19,Scotland,2nd,82.3
1199,2021-11-19,Scotland,3rd,28.8
1200,2021-11-18,Scotland,2nd,82.3
1201,2021-11-18,Scotland,3rd,28.1
1202,2021-11-17,Scotland,2nd,82.2
1203,2021-11-17,Scotland,3rd,27.3
1204,2021-11-16,Scotland,2nd,82.2
1205,2021-11-16,Scotland,3rd,26.6
1206,2021-11-15,Scotland,2nd,82.2
1207,2021-11-15,Scotland,3rd,25.9
1208,2021-11-14,Scotland,2nd,82.1
1209,2021-11-14,Scotland,3rd,25.3
1210,2021-11-13,Scotland,2nd,82.1
1211,2021-11-13,Scotland,3rd,24.7
1212,2021-11-12,Scotland,2nd,82.0
1213,2021-11-12,Scotland,3rd,24.1
1214,2021-11-11,Scotland,2nd,82.0
1215,2021-11-11,Scotland,3rd,23.4
1216,2021-11-10,Scotland,2nd,82.0
1217,2021-11-10,Scotland,3rd,22.7
1218,2021-11-09,Scotland,2nd,82.0
1219,2021-11-09,Scotland,3rd,22.0
1220,2021-11-08,Scotland,2nd,81.9
1221,2021-11-08,Scotland,3rd,21.3
1222,2021-11-07,Scotland,2nd,81.9
1223,2021-11-07,Scotland,3rd,20.6
1224,2021-11-06,Scotland,2nd,81.8
1225,2021-11-06,Scotland,3rd,20.0
1226,2021-11-05,Scotland,2nd,81.8
1227,2021-11-05,Scotland,3rd,19.3
1228,2021-11-04,Scotland,2nd,81.8
1229,2021-11-04,Scotland,3rd,18.7
1230,2021-11-03,Scotland,2nd,81.8
1231,2021-11-03,Scotland,3rd,18.0
1232,2021-11-02,Scotland,2nd,81.8
1233,2021-11-02,Scotland,3rd,16.6
1234,2021-11-01,Scotland,2nd,81.7
1235,2021-11-01,Scotland,3rd,16.0
1236,2021-10-31,Scotland,2nd,81.7
1237,2021-10-31,Scotland,3rd,15.6
1238,2021-10-30,Scotland,2nd,81.7
1239,2021-10-30,Scotland,3rd,15.1
1240,2021-10-29,Scotland,2nd,81.6
1241,2021-10-29,Scotland,3rd,14.5
1242,2021-10-28,Scotland,2nd,81.6
1243,2021-10-28,Scotland,3rd,13.9
1244,2021-10-27,Scotland,2nd,81.5
1245,2021-10-27,Scotland,3rd,13.2
1246,2021-10-26,Scotland,2nd,81.5
1247,2021-10-26,Scotland,3rd,12.6
1248,2021-10-25,Scotland,2nd,81.5
1249,2021-10-25,Scotland,3rd,12.0
1250,2021-10-24,Scotland,2nd,81.4
1251,2021-10-24,Scotland,3rd,11.4
1252,2021-10-23,Scotland,2nd,81.4
1253,2021-10-23,Scotland,3rd,10.9
1254,2021-10-22,Scotland,2nd,81.3
1255,2021-10-22,Scotland,3rd,10.2
1256,2021-10-21,Scotland,2nd,81.3
1257,2021-10-21,Scotland,3rd,9.6
1258,2021-10-20,Scotland,2nd,81.2
