,country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count,source,date
10343,India,IND,Asia,1380004385,cases,126126,2021-01,18.748056,10466595,"Epidemic intelligence, national weekly data",2021-01-09
8053,France,FRA,Europe,67320216,cases,127528,2021-01,327.70245,2783256,"Epidemic intelligence, national weekly data",2021-01-09
580,America (total),,America,1021703563,cases,2412952,2021-02,500.41815,42257586,"Epidemic intelligence, national weekly data",2021-01-16
22486,United Kingdom,GBR,Europe,68059863,cases,323610,2021-02,1089.0118,3395959,"Epidemic intelligence, national weekly data",2021-01-16
10344,India,IND,Asia,1380004385,cases,105178,2021-02,16.761106,10571773,"Epidemic intelligence, national weekly data",2021-01-16
8556,Germany,DEU,Europe,83166711,cases,119635,2021-02,318.81265,2040659,"Epidemic intelligence, national weekly data",2021-01-16
8054,France,FRA,Europe,67320216,cases,127733,2021-02,379.17438,2910989,"Epidemic intelligence, national weekly data",2021-01-16
581,America (total),,America,1021703563,cases,2209843,2021-03,452.4595,44467429,"Epidemic intelligence, national weekly data",2021-01-23
8557,Germany,DEU,Europe,83166711,cases,101006,2021-03,265.29965,2141665,"Epidemic intelligence, national weekly data",2021-01-23
22487,United Kingdom,GBR,Europe,68059863,cases,251504,2021-03,845.01196,3647463,"Epidemic intelligence, national weekly data",2021-01-23
10345,India,IND,Asia,1380004385,cases,95963,2021-03,14.575389,10667736,"Epidemic intelligence, national weekly data",2021-01-23
8055,France,FRA,Europe,67320216,cases,142628,2021-03,401.60446,3053617,"Epidemic intelligence, national weekly data",2021-01-23
8056,France,FRA,Europe,67320216,cases,143497,2021-04,425.0209,3197114,"Epidemic intelligence, national weekly data",2021-01-30
8558,Germany,DEU,Europe,83166711,cases,80306,2021-04,218.0103,2221971,"Epidemic intelligence, national weekly data",2021-01-30
22488,United Kingdom,GBR,Europe,68059863,cases,169713,2021-04,618.89191,3817176,"Epidemic intelligence, national weekly data",2021-01-30
10346,India,IND,Asia,1380004385,cases,89874,2021-04,13.466407,10757610,"Epidemic intelligence, national weekly data",2021-01-30
582,America (total),,America,1021703563,cases,1803073,2021-04,392.76715,46270502,"Epidemic intelligence, national weekly data",2021-01-30
583,America (total),,America,1021703563,cases,1350429,2021-05,308.65137,47620931,"Epidemic intelligence, national weekly data",2021-02-06
10347,India,IND,Asia,1380004385,cases,80584,2021-05,12.35199,10838194,"Epidemic intelligence, national weekly data",2021-02-06
8559,Germany,DEU,Europe,83166711,cases,66574,2021-05,176.60913,2288545,"Epidemic intelligence, national weekly data",2021-02-06
8057,France,FRA,Europe,67320216,cases,139934,2021-05,421.01913,3337048,"Epidemic intelligence, national weekly data",2021-02-06
22489,United Kingdom,GBR,Europe,68059863,cases,142608,2021-05,458.8916,3959784,"Epidemic intelligence, national weekly data",2021-02-06
22490,United Kingdom,GBR,Europe,68059863,cases,78294,2021-06,324.57016,4038078,"Epidemic intelligence, national weekly data",2021-02-13
584,America (total),,America,1021703563,cases,1312905,2021-06,260.67581,48933836,"Epidemic intelligence, national weekly data",2021-02-13
8058,France,FRA,Europe,67320216,cases,128115,2021-06,398.17014,3465163,"Epidemic intelligence, national weekly data",2021-02-13
8560,Germany,DEU,Europe,83166711,cases,50442,2021-06,140.70053,2338987,"Epidemic intelligence, national weekly data",2021-02-13
10348,India,IND,Asia,1380004385,cases,78395,2021-06,11.520181,10916589,"Epidemic intelligence, national weekly data",2021-02-13
8059,France,FRA,Europe,67320216,cases,140018,2021-07,398.29492,3605181,"Epidemic intelligence, national weekly data",2021-02-20
8561,Germany,DEU,Europe,83166711,cases,51941,2021-07,123.10574,2390928,"Epidemic intelligence, national weekly data",2021-02-20
22491,United Kingdom,GBR,Europe,68059863,cases,77431,2021-07,228.80592,4115509,"Epidemic intelligence, national weekly data",2021-02-20
585,America (total),,America,1021703563,cases,1101447,2021-07,236.3065,50035283,"Epidemic intelligence, national weekly data",2021-02-20
10349,India,IND,Asia,1380004385,cases,89261,2021-07,12.148947,11005850,"Epidemic intelligence, national weekly data",2021-02-20
8562,Germany,DEU,Europe,83166711,cases,56140,2021-08,129.95705,2447068,"Epidemic intelligence, national weekly data",2021-02-27
586,America (total),,America,1021703563,cases,1083463,2021-08,213.8497,51118746,"Epidemic intelligence, national weekly data",2021-02-27
10350,India,IND,Asia,1380004385,cases,106391,2021-08,14.177636,11112241,"Epidemic intelligence, national weekly data",2021-02-27
8060,France,FRA,Europe,67320216,cases,150787,2021-08,431.97278,3755968,"Epidemic intelligence, national weekly data",2021-02-27
22492,United Kingdom,GBR,Europe,68059863,cases,61045,2021-08,203.46207,4176554,"Epidemic intelligence, national weekly data",2021-02-27
10351,India,IND,Asia,1380004385,cases,117157,2021-09,16.19908,11229398,"Epidemic intelligence, national weekly data",2021-03-06
587,America (total),,America,1021703563,cases,1116555,2021-09,215.3284,52235301,"Epidemic intelligence, national weekly data",2021-03-06
8563,Germany,DEU,Europe,83166711,cases,58125,2021-09,137.39272,2505193,"Epidemic intelligence, national weekly data",2021-03-06
8061,France,FRA,Europe,67320216,cases,148265,2021-09,444.22318,3904233,"Epidemic intelligence, national weekly data",2021-03-06
22493,United Kingdom,GBR,Europe,68059863,cases,41966,2021-09,151.35352,4218520,"Epidemic intelligence, national weekly data",2021-03-06
10352,India,IND,Asia,1380004385,cases,155941,2021-10,19.789648,11385339,"Epidemic intelligence, national weekly data",2021-03-13
8564,Germany,DEU,Europe,83166711,cases,70656,2021-10,154.84682,2575849,"Epidemic intelligence, national weekly data",2021-03-13
588,America (total),,America,1021703563,cases,1261953,2021-10,232.79825,53497254,"Epidemic intelligence, national weekly data",2021-03-13
22494,United Kingdom,GBR,Europe,68059863,cases,39918,2021-10,120.31173,4258438,"Epidemic intelligence, national weekly data",2021-03-13
8062,France,FRA,Europe,67320216,cases,167429,2021-10,468.94382,4071662,"Epidemic intelligence, national weekly data",2021-03-13
10353,India,IND,Asia,1380004385,cases,260742,2021-11,30.194324,11646081,"Epidemic intelligence, national weekly data",2021-03-20
589,America (total),,America,1021703563,cases,1162606,2021-11,237.30553,54659860,"Epidemic intelligence, national weekly data",2021-03-20
22495,United Kingdom,GBR,Europe,68059863,cases,38145,2021-11,114.69756,4296583,"Epidemic intelligence, national weekly data",2021-03-20
8063,France,FRA,Europe,67320216,cases,210941,2021-11,562.04517,4282603,"Epidemic intelligence, national weekly data",2021-03-20
8565,Germany,DEU,Europe,83166711,cases,91376,2021-11,194.82796,2667225,"Epidemic intelligence, national weekly data",2021-03-20
10354,India,IND,Asia,1380004385,cases,393563,2021-12,47.413254,12039644,"Epidemic intelligence, national weekly data",2021-03-27
8566,Germany,DEU,Europe,83166711,cases,115048,2021-12,248.20508,2782273,"Epidemic intelligence, national weekly data",2021-03-27
22496,United Kingdom,GBR,Europe,68059863,cases,36459,2021-12,109.61526,4333042,"Epidemic intelligence, national weekly data",2021-03-27
8064,France,FRA,Europe,67320216,cases,262986,2021-12,703.98914,4545589,"Epidemic intelligence, national weekly data",2021-03-27
590,America (total),,America,1021703563,cases,1424841,2021-12,253.24831,56084701,"Epidemic intelligence, national weekly data",2021-03-27
8567,Germany,DEU,Europe,83166711,cases,111610,2021-13,272.53452,2893883,"Epidemic intelligence, national weekly data",2021-04-03
22497,United Kingdom,GBR,Europe,68059863,cases,26346,2021-13,92.27906,4359388,"Epidemic intelligence, national weekly data",2021-04-03
8065,France,FRA,Europe,67320216,cases,276881,2021-13,801.9389,4822470,"Epidemic intelligence, national weekly data",2021-04-03
591,America (total),,America,1021703563,cases,1230269,2021-13,259.87088,57314970,"Epidemic intelligence, national weekly data",2021-04-03
10355,India,IND,Asia,1380004385,cases,549423,2021-13,68.3321,12589067,"Epidemic intelligence, national weekly data",2021-04-03
8066,France,FRA,Europe,67320216,cases,236210,2021-14,762.16479,5058680,"Epidemic intelligence, national weekly data",2021-04-10
10356,India,IND,Asia,1380004385,cases,938650,2021-14,107.83103,13527717,"Epidemic intelligence, national weekly data",2021-04-10
8568,Germany,DEU,Europe,83166711,cases,117630,2021-14,275.63913,3011513,"Epidemic intelligence, national weekly data",2021-04-10
22498,United Kingdom,GBR,Europe,68059863,cases,13955,2021-14,59.214046,4373343,"Epidemic intelligence, national weekly data",2021-04-10
592,America (total),,America,1021703563,cases,1631068,2021-14,280.05551,58946038,"Epidemic intelligence, national weekly data",2021-04-10
10357,India,IND,Asia,1380004385,cases,1534202,2021-15,179.1916,15061919,"Epidemic intelligence, national weekly data",2021-04-17
8067,France,FRA,Europe,67320216,cases,230846,2021-15,693.78265,5289526,"Epidemic intelligence, national weekly data",2021-04-17
593,America (total),,America,1021703563,cases,1434303,2021-15,300.02548,60380341,"Epidemic intelligence, national weekly data",2021-04-17
8569,Germany,DEU,Europe,83166711,cases,142186,2021-15,312.40384,3153699,"Epidemic intelligence, national weekly data",2021-04-17
22499,United Kingdom,GBR,Europe,68059863,cases,14477,2021-15,41.77499,4387820,"Epidemic intelligence, national weekly data",2021-04-17
