,country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count,source,date
8529,Germany,DEU,Europe,83166711,cases,2409,2020-28,6.2549067,198963,"Epidemic intelligence, national weekly data",2020-07-11
10318,India,IND,Asia,1380004385,cases,239789,2020-29,30.480337,1118043,"Epidemic intelligence, national weekly data",2020-07-18
8028,France,FRA,Europe,67320216,cases,3922,2020-29,11.458668,174674,"Epidemic intelligence, national weekly data",2020-07-18
22460,United Kingdom,GBR,Europe,68059863,cases,4310,2020-29,12.608018,295702,"Epidemic intelligence, national weekly data",2020-07-18
554,America (total),,America,1021703563,cases,930712,2020-29,176.52263,7761657,"Epidemic intelligence, national weekly data",2020-07-18
8530,Germany,DEU,Europe,83166711,cases,2860,2020-29,6.3354673,201823,"Epidemic intelligence, national weekly data",2020-07-18
8531,Germany,DEU,Europe,83166711,cases,3786,2020-30,7.991178,205609,"Epidemic intelligence, national weekly data",2020-07-25
555,America (total),,America,1021703563,cases,1032799,2020-30,192.1801,8794456,"Epidemic intelligence, national weekly data",2020-07-25
22461,United Kingdom,GBR,Europe,68059863,cases,4549,2020-30,13.016482,300251,"Epidemic intelligence, national weekly data",2020-07-25
10319,India,IND,Asia,1380004385,cases,317410,2020-30,40.37661,1435453,"Epidemic intelligence, national weekly data",2020-07-25
8029,France,FRA,Europe,67320216,cases,5854,2020-30,14.521641,180528,"Epidemic intelligence, national weekly data",2020-07-25
22462,United Kingdom,GBR,Europe,68059863,cases,4444,2020-31,13.213367,304695,"Epidemic intelligence, national weekly data",2020-08-01
556,America (total),,America,1021703563,cases,1017420,2020-31,200.66672,9811876,"Epidemic intelligence, national weekly data",2020-08-01
8030,France,FRA,Europe,67320216,cases,7391,2020-31,19.674625,187919,"Epidemic intelligence, national weekly data",2020-08-01
8532,Germany,DEU,Europe,83166711,cases,4793,2020-31,10.315425,210402,"Epidemic intelligence, national weekly data",2020-08-01
10320,India,IND,Asia,1380004385,cases,368242,2020-31,49.684769,1803695,"Epidemic intelligence, national weekly data",2020-08-01
557,America (total),,America,1021703563,cases,962191,2020-32,193.75591,10774067,"Epidemic intelligence, national weekly data",2020-08-08
10321,India,IND,Asia,1380004385,cases,411379,2020-32,56.494095,2215074,"Epidemic intelligence, national weekly data",2020-08-08
8533,Germany,DEU,Europe,83166711,cases,5925,2020-32,12.887368,216327,"Epidemic intelligence, national weekly data",2020-08-08
8031,France,FRA,Europe,67320216,cases,10002,2020-32,25.836222,197921,"Epidemic intelligence, national weekly data",2020-08-08
22463,United Kingdom,GBR,Europe,68059863,cases,6130,2020-32,15.536323,310825,"Epidemic intelligence, national weekly data",2020-08-08
8534,Germany,DEU,Europe,83166711,cases,7687,2020-33,16.367126,224014,"Epidemic intelligence, national weekly data",2020-08-15
22464,United Kingdom,GBR,Europe,68059863,cases,7659,2020-33,20.260105,318484,"Epidemic intelligence, national weekly data",2020-08-15
558,America (total),,America,1021703563,cases,969205,2020-33,189.03683,11743272,"Epidemic intelligence, national weekly data",2020-08-15
8032,France,FRA,Europe,67320216,cases,20615,2020-33,45.479652,218536,"Epidemic intelligence, national weekly data",2020-08-15
10322,India,IND,Asia,1380004385,cases,432589,2020-33,61.156906,2647663,"Epidemic intelligence, national weekly data",2020-08-15
10323,India,IND,Asia,1380004385,cases,458685,2020-34,64.584869,3106348,"Epidemic intelligence, national weekly data",2020-08-22
22465,United Kingdom,GBR,Europe,68059863,cases,7158,2020-34,21.77054,325642,"Epidemic intelligence, national weekly data",2020-08-22
8535,Germany,DEU,Europe,83166711,cases,9561,2020-34,20.739067,233575,"Epidemic intelligence, national weekly data",2020-08-22
559,America (total),,America,1021703563,cases,853870,2020-34,178.43483,12597142,"Epidemic intelligence, national weekly data",2020-08-22
8033,France,FRA,Europe,67320216,cases,24363,2020-34,66.812027,242899,"Epidemic intelligence, national weekly data",2020-08-22
10324,India,IND,Asia,1380004385,cases,514897,2020-35,70.549194,3621245,"Epidemic intelligence, national weekly data",2020-08-29
560,America (total),,America,1021703563,cases,845111,2020-35,166.28903,13442253,"Epidemic intelligence, national weekly data",2020-08-29
8034,France,FRA,Europe,67320216,cases,35044,2020-35,88.245407,277943,"Epidemic intelligence, national weekly data",2020-08-29
22466,United Kingdom,GBR,Europe,68059863,cases,8825,2020-35,23.483738,334467,"Epidemic intelligence, national weekly data",2020-08-29
8536,Germany,DEU,Europe,83166711,cases,8806,2020-35,22.084557,242381,"Epidemic intelligence, national weekly data",2020-08-29
8035,France,FRA,Europe,67320216,cases,46834,2020-36,121.62469,324777,"Epidemic intelligence, national weekly data",2020-09-05
8537,Germany,DEU,Europe,83166711,cases,8418,2020-36,20.710209,250799,"Epidemic intelligence, national weekly data",2020-09-05
22467,United Kingdom,GBR,Europe,68059863,cases,12685,2020-36,31.60453,347152,"Epidemic intelligence, national weekly data",2020-09-05
10325,India,IND,Asia,1380004385,cases,583368,2020-36,79.584167,4204613,"Epidemic intelligence, national weekly data",2020-09-05
561,America (total),,America,1021703563,cases,825679,2020-36,163.52982,14267932,"Epidemic intelligence, national weekly data",2020-09-05
10326,India,IND,Asia,1380004385,cases,641814,2020-37,88.781021,4846427,"Epidemic intelligence, national weekly data",2020-09-12
562,America (total),,America,1021703563,cases,711402,2020-37,150.44295,14979334,"Epidemic intelligence, national weekly data",2020-09-12
8538,Germany,DEU,Europe,83166711,cases,9556,2020-37,21.612013,260355,"Epidemic intelligence, national weekly data",2020-09-12
22468,United Kingdom,GBR,Europe,68059863,cases,21352,2020-37,50.010387,368504,"Epidemic intelligence, national weekly data",2020-09-12
8036,France,FRA,Europe,67320216,cases,56317,2020-37,153.22441,381094,"Epidemic intelligence, national weekly data",2020-09-12
563,America (total),,America,1021703563,cases,768081,2020-38,144.80551,15747415,"Epidemic intelligence, national weekly data",2020-09-19
10327,India,IND,Asia,1380004385,cases,641153,2020-38,92.96833,5487580,"Epidemic intelligence, national weekly data",2020-09-19
22469,United Kingdom,GBR,Europe,68059863,cases,25753,2020-38,69.211128,394257,"Epidemic intelligence, national weekly data",2020-09-19
8539,Germany,DEU,Europe,83166711,cases,11982,2020-38,25.897381,272337,"Epidemic intelligence, national weekly data",2020-09-19
8037,France,FRA,Europe,67320216,cases,72669,2020-38,191.60069,453763,"Epidemic intelligence, national weekly data",2020-09-19
22470,United Kingdom,GBR,Europe,68059863,cases,40712,2020-39,97.656677,434969,"Epidemic intelligence, national weekly data",2020-09-26
8540,Germany,DEU,Europe,83166711,cases,12995,2020-39,30.03245,285332,"Epidemic intelligence, national weekly data",2020-09-26
10328,India,IND,Asia,1380004385,cases,587122,2020-39,89.00515,6074702,"Epidemic intelligence, national weekly data",2020-09-26
564,America (total),,America,1021703563,cases,779918,2020-39,151.51157,16527333,"Epidemic intelligence, national weekly data",2020-09-26
8038,France,FRA,Europe,67320216,cases,84806,2020-39,233.91933,538569,"Epidemic intelligence, national weekly data",2020-09-26
565,America (total),,America,1021703563,cases,746368,2020-40,149.38638,17273701,"Epidemic intelligence, national weekly data",2020-10-03
22471,United Kingdom,GBR,Europe,68059863,cases,68009,2020-40,159.74319,502978,"Epidemic intelligence, national weekly data",2020-10-03
10329,India,IND,Asia,1380004385,cases,549113,2020-40,82.335609,6623815,"Epidemic intelligence, national weekly data",2020-10-03
8541,Germany,DEU,Europe,83166711,cases,15287,2020-40,34.006393,300619,"Epidemic intelligence, national weekly data",2020-10-03
8039,France,FRA,Europe,67320216,cases,80601,2020-40,245.70183,619170,"Epidemic intelligence, national weekly data",2020-10-03
566,America (total),,America,1021703563,cases,801172,2020-41,151.46663,18074873,"Epidemic intelligence, national weekly data",2020-10-10
8040,France,FRA,Europe,67320216,cases,115804,2020-41,291.74744,734974,"Epidemic intelligence, national weekly data",2020-10-10
8542,Germany,DEU,Europe,83166711,cases,24712,2020-41,48.094963,325331,"Epidemic intelligence, national weekly data",2020-10-10
10330,India,IND,Asia,1380004385,cases,496723,2020-41,75.784973,7120538,"Epidemic intelligence, national weekly data",2020-10-10
22472,United Kingdom,GBR,Europe,68059863,cases,100738,2020-41,247.93909,603716,"Epidemic intelligence, national weekly data",2020-10-10
22473,United Kingdom,GBR,Europe,68059863,cases,118693,2020-42,322.40881,722409,"Epidemic intelligence, national weekly data",2020-10-17
8041,France,FRA,Europe,67320216,cases,162060,2020-42,412.74973,897034,"Epidemic intelligence, national weekly data",2020-10-17
8543,Germany,DEU,Europe,83166711,cases,40968,2020-42,78.973907,366299,"Epidemic intelligence, national weekly data",2020-10-17
10331,India,IND,Asia,1380004385,cases,429735,2020-42,67.134422,7550273,"Epidemic intelligence, national weekly data",2020-10-17
567,America (total),,America,1021703563,cases,791921,2020-42,155.92517,18866794,"Epidemic intelligence, national weekly data",2020-10-17
8042,France,FRA,Europe,67320216,cases,241473,2020-43,599.42322,1138507,"Epidemic intelligence, national weekly data",2020-10-24
10332,India,IND,Asia,1380004385,cases,359686,2020-43,57.204239,7909959,"Epidemic intelligence, national weekly data",2020-10-24
22474,United Kingdom,GBR,Europe,68059863,cases,151391,2020-43,396.83301,873800,"Epidemic intelligence, national weekly data",2020-10-24
8544,Germany,DEU,Europe,83166711,cases,71567,2020-43,135.31255,437866,"Epidemic intelligence, national weekly data",2020-10-24
568,America (total),,America,1021703563,cases,935775,2020-43,169.09953,19802569,"Epidemic intelligence, national weekly data",2020-10-24
8545,Germany,DEU,Europe,83166711,cases,107161,2020-44,214.90329,545027,"Epidemic intelligence, national weekly data",2020-10-31
10333,India,IND,Asia,1380004385,cases,319354,2020-44,49.205639,8229313,"Epidemic intelligence, national weekly data",2020-10-31
22475,United Kingdom,GBR,Europe,68059863,cases,161114,2020-44,459.16196,1034914,"Epidemic intelligence, national weekly data",2020-10-31
569,America (total),,America,1021703563,cases,1004846,2020-44,189.93973,20807415,"Epidemic intelligence, national weekly data",2020-10-31
8043,France,FRA,Europe,67320216,cases,275408,2020-44,767.79462,1413915,"Epidemic intelligence, national weekly data",2020-10-31
8546,Germany,DEU,Europe,83166711,cases,126841,2020-45,281.36499,671868,"Epidemic intelligence, national weekly data",2020-11-07
22476,United Kingdom,GBR,Europe,68059863,cases,157099,2020-45,467.54871,1192013,"Epidemic intelligence, national weekly data",2020-11-07
570,America (total),,America,1021703563,cases,1147011,2020-45,210.61461,21954426,"Epidemic intelligence, national weekly data",2020-11-07
8044,France,FRA,Europe,67320216,cases,373409,2020-45,963.77734,1787324,"Epidemic intelligence, national weekly data",2020-11-07
10334,India,IND,Asia,1380004385,cases,324344,2020-45,46.644634,8553657,"Epidemic intelligence, national weekly data",2020-11-07
571,America (total),,America,1021703563,cases,1529429,2020-46,261.95856,23483855,"Epidemic intelligence, national weekly data",2020-11-14
8547,Germany,DEU,Europe,83166711,cases,129459,2020-46,308.17618,801327,"Epidemic intelligence, national weekly data",2020-11-14
10335,India,IND,Asia,1380004385,cases,291470,2020-46,44.624062,8845127,"Epidemic intelligence, national weekly data",2020-11-14
8045,France,FRA,Europe,67320216,cases,194503,2020-46,843.59802,1981827,"Epidemic intelligence, national weekly data",2020-11-14
22477,United Kingdom,GBR,Europe,68059863,cases,177305,2020-46,491.33804,1369318,"Epidemic intelligence, national weekly data",2020-11-14
572,America (total),,America,1021703563,cases,1668539,2020-47,313.00351,25152394,"Epidemic intelligence, national weekly data",2020-11-21
8548,Germany,DEU,Europe,83166711,cases,127806,2020-47,309.33652,929133,"Epidemic intelligence, national weekly data",2020-11-21
