Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,
2000.0530356888953,7593.425605536357,1999.3857054836722,5260.280809156258,1999.3857054836722,4491.715464466344,1999.3022892080194,3388.2752195901085,2011.3976491776862,3185.1543784934893
2000.3867007915067,7648.323130157065,1999.7193705862837,5342.627096087321,1999.7193705862837,4612.490018631903,1999.635954310631,3503.560021293597,2011.7313142802977,3283.969922810764
2000.7203658941182,7692.241149853631,2000.0530356888953,5441.442640404595,2000.0530356888953,4733.26457279746,1999.9696194132423,3629.8243279212256,2012.064979382909,3311.418685121118
2001.0540309967298,7752.62842693641,2000.3867007915067,5584.176204418436,2000.3867007915067,4865.01863188716,2000.3032845158539,3745.1091296247123,2012.3986444855207,3245.5416555762677
2001.3876960993412,7834.974713867473,2000.7203658941182,5732.399520894349,2000.7203658941182,4996.772690976859,2000.6369496184655,3865.883683790271,2012.7323095881322,3168.685121107277
2001.7213612019527,7900.851743412322,2001.0540309967298,5820.235560287481,2001.0123228589032,5137.676337503344,2000.9706147210768,3997.6377428799697,2013.0659746907436,3146.726111258993
2002.0550263045643,7966.728772957173,2001.3876960993412,5847.6843225978355,2001.262571685862,5313.348416289611,2001.3042798236884,4162.3303167420945,2013.3996397933552,3146.726111258993
2002.3886914071757,7999.667287729598,2001.7213612019527,5864.153579984049,2001.5128205128206,5496.340165025304,2001.6379449263,4332.5126430662895,2013.7333048959667,3146.726111258993
2002.7223565097872,8038.095554964093,2002.0550263045643,5941.01011445304,2001.7630693397791,5672.01224381157,2001.9716100289113,4497.205216928414,2014.066969998578,3174.1748735693473
2003.0560216123988,8071.034069736518,2002.3886914071757,6105.702688315165,2002.0550263045643,5831.215065211623,2002.3052751315229,4607.000266169831,2014.4006351011897,3190.6441309555594
2003.3896867150102,8098.482832046872,2002.7223565097872,6264.905509715218,2002.3886914071757,5990.417886611678,2002.6389402341342,4705.815810487105,2014.7343002038012,3190.6441309555594
2003.7233518176217,8120.441841895155,2003.0560216123988,6330.782539260068,2002.7223565097872,6127.661698163449,2002.9726053367458,4793.65184988024,2015.0679653064126,3207.1133883417715
2004.0570169202333,8131.4213468192975,2003.3896867150102,6264.905509715218,2003.0143134745722,6235.626829917508,2003.3062704393574,4837.569869576806,2015.4016304090242,3256.5211605004097
2004.3906820228447,8109.462336971013,2003.7233518176217,6199.028480170369,2003.556519266316,6385.680063880776,2003.6399355419687,4881.487889273372,2015.7352955116357,3300.439180196976
2004.7243471254562,8098.482832046872,2003.9736006445803,6220.987490018651,2003.8901843689275,6473.516103273909,2003.9736006445803,4936.385413894081,2015.9855443385943,3377.2957146659683
2005.0163040902412,8307.093425605563,2004.140433195886,6407.63907372906,2004.0987250580597,6550.372637742901,2004.3072657471919,5024.221453287213,2016.1940850277265,3563.9472983763753
2004.9745959524148,8120.441841895155,2004.3072657471919,6594.290657439467,2004.6409308498032,6709.575459142954,2004.6409308498032,5112.057492680346,2016.4026257168587,3739.619377162642
2005.0997203658942,8497.404844290686,2004.4740982984977,6780.942241149876,2004.9745959524148,6808.39100346023,2004.9745959524148,5194.403779611408,2016.6111664059908,3922.6111258983365
2005.183136641547,8687.716262975806,2004.6409308498032,6967.593824860283,2005.3082610550264,6879.757785467151,2005.3082610550264,5254.791056694188,2016.8614152329494,4127.561884482313
2005.2665529172,8878.02768166093,2004.807763401109,7154.24540857069,2005.6419261576377,6951.124567474071,2005.6419261576377,5315.178333776967,2017.1533721977346,4272.125365983511
2005.3499691928528,9068.33910034605,2005.0580122280678,7291.489220122461,2005.9755912602493,7027.981101943062,2005.9755912602493,5370.075858397675,2017.487037300346,4392.89992014907
2005.4333854685055,9273.289858930028,2005.3916773306792,7296.978972584533,2006.3092563628609,7121.306893798266,2006.3092563628609,5441.442640404595,2017.8207024029575,4513.674474314626
2005.5168017441586,9463.60127761515,2005.7253424332907,7296.978972584533,2006.6429214654722,7220.122438115541,2006.6429214654722,5507.319669949446,2018.154367505569,4519.164226776698
2005.6002180198113,9668.552036199126,2006.0590075359023,7296.978972584533,2007.3936679463482,7395.794516901808,2006.9765865680838,5573.196699494296,2018.4880326081804,4480.735959542202
2005.6836342954643,9858.86345488425,2006.3926726385137,7302.468725046603,2007.7273330489597,7450.692041522516,2007.3102516706954,5611.62496672879,2018.821697710792,4442.307692307706
2005.7879046400303,10074.793718392368,2006.7263377411252,7335.407239819027,2008.0609981515713,7505.589566143224,2007.6439167733067,5655.542986425358,2019.1553628134036,4491.715464466344
2005.85046684677,10276.084642001631,2007.0600028437368,7313.448229970745,2008.3946632541827,7549.50758583979,2007.9775818759183,5688.481501197783,2019.489027916015,4596.020761245689
2006.0590075359023,10431.62762842697,2007.3936679463482,7264.040457812107,2008.7283283567942,7593.425605536357,2008.3112469785299,5721.420015970207,2019.8226930186265,4689.346553100893
2006.3926726385137,10481.035400585608,2007.7273330489597,7214.632685653471,2009.0619934594056,7604.405110460499,2008.6449120811412,5754.358530742633,2020.156358121238,4727.774820335389
2006.7263377411252,10524.953420282174,2008.0609981515713,7203.653180729329,2009.6459073889757,7538.528080915648,2008.9785771837528,5781.807293052987,2020.4900232238494,4766.203087569886
2007.0600028437368,10513.973915358032,2008.3946632541827,7247.571200425895,2009.9795724915873,7533.038328453578,2009.3122422863644,5781.807293052987,2020.823688326461,4771.692840031956
2007.3936679463482,10431.62762842697,2008.7283283567942,7296.978972584533,2010.3132375941989,7631.853872770853,2009.6459073889757,5781.807293052987,2021.1573534290726,4700.326058025035
2007.7273330489597,10354.771093957977,2009.0619934594056,7406.77402182595,2010.6469026968102,7736.1591695501975,2009.9795724915873,5781.807293052987,2021.491018531684,4590.531008783619
2008.0609981515713,10266.935054564845,2009.3956585620172,7604.405110460499,2010.9805677994218,7818.50545648126,2010.3132375941989,5781.807293052987,2021.8246836342955,4480.735959542202
2008.3946632541827,10157.140005323428,2009.6876155268023,7780.077189246764,2011.3142329020334,7785.566941708836,2010.6469026968102,5781.807293052987,,
2008.7283283567942,10047.344956082012,2009.9795724915873,7933.7902581847475,2012.064979382909,7736.1591695501975,2010.9805677994218,5781.807293052987,,
2009.0619934594056,9948.529411764739,2010.3132375941989,8038.095554964093,2012.3986444855207,7763.607931860552,2011.3142329020334,5781.807293052987,,
2009.3956585620172,9855.203619909535,2010.6469026968102,8131.4213468192975,2012.7323095881322,7780.077189246764,2011.6478980046447,5787.297045515057,,
2009.7293236646287,9767.367580516402,2010.9805677994218,8164.359861591722,2013.0659746907436,7780.077189246764,2011.9815631072563,5820.235560287481,,
2010.06298876724,9674.041788661198,2011.272524764207,8006.986957679024,2013.3996397933552,7774.587436784694,2012.3152282098679,5853.174075059907,,
2010.3966538698517,9580.715996805993,2011.5227735911656,7853.273888741041,2013.7333048959667,7736.1591695501975,2012.6488933124792,5891.602342294404,,
2010.7303189724632,9481.900452488719,2011.7730224181241,7714.200159701915,2014.066969998578,7736.1591695501975,2012.9825584150908,5935.52036199097,,
2011.0222759372482,9608.164759116347,2012.064979382909,7587.935853074287,2014.4006351011897,7697.730902315703,2013.3162235177024,5973.948629225466,,
2010.9388596615954,9448.961937716293,2012.3986444855207,7533.038328453578,2014.7343002038012,7692.241149853631,2013.6498886203137,6017.866648922032,,
2011.1056922129012,9844.224114985393,2012.7323095881322,7461.671546446658,2015.0679653064126,7637.343625232923,2013.9835537229253,6061.7846686185985,,
2011.189108488554,10027.215863721085,2013.0659746907436,7406.77402182595,2015.4016304090242,7560.487090763932,2014.3172188255369,6116.682193239307,,
2011.272524764207,10232.166622305063,2013.3996397933552,7351.876497205241,2015.7352955116357,7472.651051370798,2014.6508839281482,6166.089965397943,,
2011.3559410398598,10415.158371040758,2013.7333048959667,7302.468725046603,2016.068960614247,7390.304764439736,2014.9845490307598,6220.987490018651,,
2011.4393573155126,10605.46978972588,2014.066969998578,7253.060952887967,2016.4026257168587,7318.937982432815,2015.3182141333714,6177.069470322085,,
2011.5227735911656,10810.420548309856,2014.4006351011897,7253.060952887967,2016.7362908194702,7247.571200425895,2015.6518792359827,6171.579717860015,,
2011.6061898668183,11000.73196699498,2014.7343002038012,7253.060952887967,2017.0699559220816,7181.694170881045,2015.9855443385943,6133.151450625519,,
2011.6896061424713,11205.682725578956,2015.0679653064126,7242.081447963825,2017.3619128868668,7121.306893798266,2016.3192094412059,6116.682193239307,,
2011.7730224181241,11388.67447431465,2015.4016304090242,7209.142933191399,2018.5714488838335,6989.552834708567,2016.6528745438172,6089.233430928953,,
2011.8731219489075,11622.903912696338,2015.7352955116357,7165.224913494832,2018.905113986445,6973.083577322353,2016.9865396464288,6067.274421080669,,
2012.148395658562,11716.22970455154,2016.068960614247,7132.286398722408,2019.2387790890564,6863.288528080939,2017.3202047490404,6045.315411232386,,
2012.4820607611737,11644.86292254462,2016.4026257168587,7104.837636412054,2019.9756228573235,6608.929997338324,2017.6538698516517,6045.315411232386,,
2012.815725863785,11573.4961405377,2016.7362908194702,7071.89912163963,2020.323190672544,6731.534468991238,2017.9875349542633,6061.7846686185985,,
2013.1493909663966,11540.557625765276,2017.0699559220816,7033.470854405134,2020.6568557751552,6852.309023156797,2018.3212000568749,6089.233430928953,,
2013.4830560690082,11535.067873303204,2017.4036210246932,7033.470854405134,2020.9905208777668,6940.145062549929,2018.6548651594862,6133.151450625519,,
2013.8167211716195,11518.598615916992,2017.7372861273047,7033.470854405134,2021.3241859803784,6945.634815011999,2018.9885302620978,6122.171945701377,,
2014.150386274231,11535.067873303204,2018.070951229916,6989.552834708567,2021.6578510829897,6945.634815011999,2019.3221953647094,6045.315411232386,,
2014.4840513768427,11562.51663561356,2018.4046163325277,6923.675805163717,2021.9915161856013,6929.165557625787,2019.6558604673207,5957.479371839252,,
2014.817716479454,11578.985892999772,2018.7382814351392,6852.309023156797,2022.325181288213,6945.634815011999,2019.9895255699323,5930.030609528898,,
2015.1513815820656,11557.026883151488,2019.0719465377506,6797.411498536088,2022.6588463908242,6945.634815011999,2020.323190672544,6050.8051636944565,,
2015.485046684677,11502.12935853078,2019.4056116403622,6748.00372637745,2022.9925114934358,6956.614319936141,2020.6568557751552,6188.048975246227,,
2015.8187117872885,11447.231833910071,2019.7392767429737,6698.595954218814,2023.201052182568,6989.552834708567,2020.9905208777668,6303.333776949714,,
2016.1523768899,11441.742081448001,2020.072941845585,6731.534468991238,2023.6181335608323,7033.470854405134,2021.3241859803784,6308.823529411786,,
2016.4860419925117,11447.231833910071,2020.4066069481967,6901.716795315433,,,2021.6578510829897,6303.333776949714,,
2016.819707095123,11447.231833910071,2020.7402720508082,7066.409369177558,,,2021.9915161856013,6286.864519563502,,
2017.1533721977346,11375.86505190315,2021.0739371534196,7165.224913494832,,,2022.325181288213,6308.823529411786,,
2017.487037300346,11255.090497737594,2021.4076022560312,7154.24540857069,,,2022.6588463908242,6308.823529411786,,
2017.8207024029575,11139.805696034105,2021.7412673586427,7121.306893798266,,,2022.9925114934358,6314.313281873856,,
2018.154367505569,11057.459409103045,2022.074932461254,7121.306893798266,,,2023.2427603203944,6352.741549108352,,
2018.4880326081804,11002.561884482337,2022.4085975638657,7110.327388874124,,,2023.6598416986587,6402.149321266988,,
2018.821697710792,10942.174607399556,2022.7422626664772,7077.3888741017,,,2023.9100905256173,6429.598083577343,,
2019.1553628134036,10859.828320468494,2023.0759277690886,7077.3888741017,,,,,,
2019.489027916015,10761.01277615122,2023.7432579743117,7115.817141336196,,,,,,
2019.8226930186265,10651.217726909803,2023.951798663444,7121.306893798266,,,,,,
2020.156358121238,10546.912430130458,,,,,,,,
2020.4900232238494,10426.1378759649,,,,,,,,
2020.823688326461,10321.832579185553,,,,,,,,
2021.1573534290726,10173.60926270964,,,,,,,,
2021.491018531684,10036.365451157872,,,,,,,,
2021.8246836342955,9888.142134681959,,,,,,,,
2022.158348736907,9789.326590364684,,,,,,,,
2022.4920138395184,9712.470055895694,,,,,,,,
2022.82567894213,9641.103273888773,,,,,,,,
2023.1593440447416,9602.675006654277,,,,,,,,
2023.6598416986587,9586.205749268065,,,,,,,,
2023.9100905256173,9569.736491881851,,,,,,,,
