,Country,t
243,TUN,4168.414052411409
244,TUR,5880.139677371497
245,TUV,7677.807501328788
246,TZA,10906.411242092656
247,UGA,17532.178027737078
248,UKR,3305.3802886428775
249,UMC,2781.0857404470125
250,URY,11619.28384455767
251,USA,4615.952168972307
252,UZB,2194.034693183091
253,VCT,6517.35181306825
254,VEN,0.3929229888703471
255,VGB,1.0
256,VIR,1.0
257,VNM,2842.592870011093
258,VUT,7320.538245503204
259,WLD,3775.564714126192
260,WSM,6309.932143482738
261,XKX,10706.513975629761
262,YEM,3.2413375367717183
263,ZAF,1916.379600176851
264,ZMB,7921.446345630245
265,ZWE,3751.896605371504
