,x,y0,y1,y2,y3,y4,ym,y2b,y3b
79,2023-08-31,,3.4148930913333335,4.206562197333334,5.613973941333334,2.383768515,2.8993308031666665,1.5920994089999994,0.18468766499999933
80,2023-09-30,,3.1900981600000002,3.952446188,5.418500088,2.2005117775,2.6953049687500004,1.4381637495000006,-0.027890150499999322
81,2023-10-31,,3.102134926,3.885426581142857,5.3347255794285715,2.0172550399999998,2.559694983,1.2339633848571427,-0.21533561342857155
82,2023-11-30,,3.014171692,3.8184069742857143,5.250951070857143,1.9058349435999997,2.4600033178,1.1015996613142858,-0.3309444352571429
83,2023-12-31,,2.926208458,3.7513873674285714,5.167176562285714,1.7944148471999997,2.3603116526,0.9692359377714288,-0.44655325708571425
84,2024-01-31,,2.838245224,3.684367760571429,5.083402053714286,1.6829947507999998,2.2606199874,0.8368722142285714,-0.5621620789142856
85,2024-02-29,,2.75028199,3.617348153714286,4.999627545142857,1.5715746543999998,2.1609283221999998,0.7045084906857135,-0.6777709007428578
86,2024-03-31,,2.6975040496,3.550328546857143,4.915853036571429,1.4601545579999997,2.0788293038,0.6073300607428571,-0.7581944289714286
87,2024-04-30,,2.6447261092,3.48330894,4.832078528,1.4392109308571426,2.041968520028571,0.6006281000571421,-0.7481414879428581
88,2024-05-31,,2.5919481687999997,3.4507299644444447,4.799499552444445,1.4182673037142854,2.0051077362571426,0.5594855080698404,-0.7892840799301597
89,2024-06-30,,2.5391702283999997,3.4181509888888892,4.766920576888889,1.3973236765714283,1.968246952485714,0.5183429160825388,-0.8304266719174613
90,2024-07-31,,2.486392288,3.3855720133333334,4.734341601333333,1.3763800494285712,1.9313861687142855,0.4772003240952376,-0.8715692639047621
91,2024-08-31,,2.476618595333333,3.352993037777778,4.701762625777778,1.355436422285714,1.9160275088095235,0.4790619798412692,-0.8697076081587305
92,2024-09-30,,2.466844902666667,3.3204140622222225,4.669183650222222,1.334492795142857,1.9006688489047618,0.4809236355873012,-0.8678459524126985
93,2024-10-31,,2.45707121,3.287835086666667,4.636604674666667,1.3135491679999998,1.885310189,0.4827852913333328,-0.8659842966666669
94,2024-11-30,,2.4472975173333333,3.2552561111111116,4.60402569911111,1.2940017826666665,1.8706496499999998,0.4860431888888881,-0.8627263991111107
95,2024-12-31,,2.437523824666667,3.2226771355555557,4.571446723555555,1.274454397333333,1.855989111,0.48930108644444426,-0.859468501555555
96,2025-01-31,,2.4277501320000003,3.1900981600000002,4.5388677479999995,1.2549070119999999,1.841328572,0.492558984,-0.8562106039999993
