Days,VIX50,VIX16,VIX84,VIX5,VIX95,SP50050,SP50016,SP50084,SP5005,SP50095,DGS150,DGS116,DGS184,DGS15,DGS195,spend_all50,spend_all16,spend_all84,spend_all5,spend_all95,emp_combined50,emp_combined16,emp_combined84,emp_combined5,emp_combined95,,Zero
11,2.066679395,0.658641551,3.247421576,-0.154115859,3.966466268,-0.588425354,-0.86868416,-0.221842949,-1.034335237,-0.015519432,-1.065122401,-1.813173694,-0.205736525,-2.306261259,0.391591222,-0.3622776,-0.549808743,-0.121471444,-0.673923334,0.050226109,-0.12152275,-0.194639122,-0.031831197,-0.242366718,0.029236388,,0
12,1.990814751,0.619256976,3.146941052,-0.183390291,3.871924002,-0.575573605,-0.858381029,-0.216858881,-1.024490672,-0.02466213,-1.056141494,-1.809886753,-0.178668127,-2.338062609,0.440423344,-0.378276815,-0.568061083,-0.128140237,-0.696955397,0.046520459,-0.138834174,-0.218668603,-0.043565222,-0.271265006,0.024387755,,0
13,1.911507508,0.580051942,3.048001581,-0.218318466,3.746492384,-0.561256355,-0.845434993,-0.212451204,-1.006175167,-0.028369223,-1.035431928,-1.79924669,-0.145607426,-2.340211906,0.484842468,-0.394883375,-0.590803301,-0.13562424,-0.722140646,0.041690667,-0.157970367,-0.244490174,-0.053464848,-0.300983445,0.018588488,,0
14,1.818112815,0.544547946,2.931206591,-0.24586752,3.619581674,-0.544295074,-0.826576726,-0.207748003,-0.993630052,-0.023630477,-1.012262048,-1.792171403,-0.111471213,-2.333721312,0.549124663,-0.41068453,-0.611755242,-0.146902549,-0.746269799,0.037814481,-0.176341408,-0.269654643,-0.061111163,-0.331455451,0.016155081,,0
15,1.718219365,0.497223804,2.793863855,-0.264007758,3.487329494,-0.530420698,-0.806260926,-0.203733009,-0.976537251,-0.025948107,-0.992423626,-1.77124586,-0.086953318,-2.329559442,0.579846302,-0.425092406,-0.631101398,-0.152908427,-0.767960664,0.029560667,-0.194720024,-0.296565132,-0.06953753,-0.361696697,0.013483779,,0
16,1.626586622,0.44633049,2.671086139,-0.28228901,3.350699246,-0.514699032,-0.787739176,-0.195212531,-0.956309163,-0.025864089,-0.964136973,-1.749437276,-0.053402466,-2.333303224,0.627367652,-0.435533716,-0.649000976,-0.15933585,-0.78931801,0.022714157,-0.213842899,-0.321606596,-0.076740688,-0.393685323,0.009994346,,0
17,1.534005884,0.406845133,2.55050971,-0.308014232,3.232897106,-0.501342159,-0.768998216,-0.191509225,-0.940752945,-0.020396531,-0.932141677,-1.727735914,-0.016105954,-2.318487861,0.660682147,-0.446675242,-0.666162831,-0.166569433,-0.806656076,0.013199214,-0.230309713,-0.345708656,-0.084417622,-0.422140148,0.006783083,,0
18,1.44738391,0.369884305,2.438899884,-0.331279917,3.119680447,-0.486721008,-0.751932166,-0.187518741,-0.92578697,-0.021556387,-0.90150636,-1.697869653,0.01217791,-2.297144203,0.681146963,-0.453930647,-0.679320023,-0.170540703,-0.822884126,0.00502271,-0.247947605,-0.368906213,-0.092827016,-0.449924772,0.00229982,,0
19,1.367800045,0.336394918,2.337887134,-0.350218149,3.004595873,-0.473458938,-0.737546713,-0.18400195,-0.911277822,-0.020846065,-0.868138088,-1.669053022,0.039547505,-2.285659098,0.693359189,-0.459692486,-0.688602554,-0.172625843,-0.83643056,-0.001986101,-0.263768995,-0.390564564,-0.099298034,-0.476209219,-0.000206354,,0
20,1.292534464,0.298360478,2.227374914,-0.359043147,2.906176991,-0.46144625,-0.722113671,-0.178884434,-0.895313033,-0.018298156,-0.828960681,-1.636614093,0.069623703,-2.253754093,0.710153036,-0.462896994,-0.696452732,-0.175876134,-0.84666028,-0.010030368,-0.277569997,-0.41121217,-0.105313164,-0.499544397,-0.003124964,,0
21,1.217580344,0.263699087,2.127967526,-0.372433738,2.805552296,-0.447255042,-0.707194056,-0.171937776,-0.877758143,-0.013833602,-0.797568771,-1.599439168,0.096751792,-2.228267835,0.739601525,-0.464360389,-0.700025444,-0.178052337,-0.849563499,-0.015421646,-0.290847929,-0.431551778,-0.110459648,-0.522833164,-0.0070135,,0
22,1.147499952,0.230960538,2.04463131,-0.379660239,2.71636509,-0.434545868,-0.691981618,-0.165524509,-0.86582807,-0.01106672,-0.765835772,-1.564449415,0.116528293,-2.190955135,0.738866586,-0.461783924,-0.701369393,-0.177108873,-0.849696266,-0.017487546,-0.302374639,-0.449921369,-0.114673958,-0.54172707,-0.008152857,,0
23,1.080689764,0.204961985,1.958140487,-0.392041814,2.63070124,-0.423038248,-0.676248468,-0.159665682,-0.852971449,-0.00821894,-0.734775024,-1.529659337,0.132598992,-2.167350817,0.766172106,-0.45943034,-0.69838005,-0.176770828,-0.853460384,-0.020572151,-0.313286904,-0.465053004,-0.117611227,-0.559772894,-0.008485056,,0
24,1.019667807,0.172569736,1.877410284,-0.404872521,2.556807197,-0.410959944,-0.661940975,-0.154670804,-0.837007353,-0.004302848,-0.706940452,-1.489605952,0.150924359,-2.122502214,0.776277725,-0.45335952,-0.693463453,-0.174220314,-0.853538832,-0.022154341,-0.321717161,-0.479453085,-0.121226123,-0.574185739,-0.012466369,,0
25,0.95556407,0.142311176,1.791566675,-0.428872724,2.475120456,-0.399316206,-0.647475316,-0.147963429,-0.818167997,-0.002522341,-0.677013092,-1.460432139,0.169261376,-2.084942069,0.783946433,-0.446794142,-0.687499101,-0.170546552,-0.84601297,-0.025203549,-0.327638685,-0.490657746,-0.124725747,-0.588389223,-0.015852019,,0
26,0.891484863,0.111337609,1.718130105,-0.436341536,2.397329524,-0.387263657,-0.63399212,-0.1423388,-0.805445035,-0.003204119,-0.654840555,-1.425320449,0.180441046,-2.049714887,0.78804174,-0.439333494,-0.680774502,-0.167498301,-0.838749797,-0.025884274,-0.332849466,-0.498676382,-0.127384766,-0.602248647,-0.016525945,,0
27,0.834869363,0.090035472,1.63491071,-0.441429269,2.335215191,-0.376357995,-0.621015275,-0.135992987,-0.79387195,-0.001003773,-0.628829963,-1.398021197,0.189128427,-2.021823152,0.789151865,-0.431606229,-0.673679686,-0.161787527,-0.82921642,-0.024919349,-0.336418973,-0.505565723,-0.12985509,-0.613331925,-0.018709223,,0
28,0.785920155,0.066762821,1.564094823,-0.450123116,2.268745195,-0.365604688,-0.608434297,-0.13063346,-0.781186909,0.001913134,-0.603228272,-1.367602763,0.194369439,-1.982499123,0.80838924,-0.423031637,-0.661294376,-0.155929379,-0.817252757,-0.024784451,-0.339283921,-0.511205312,-0.129602643,-0.622171677,-0.020054089,,0
29,0.731358522,0.044333266,1.493711779,-0.464335802,2.1970284,-0.35314497,-0.596868837,-0.125033794,-0.769254641,0.00279665,-0.580503346,-1.33546979,0.204466405,-1.96478936,0.808370157,-0.412401395,-0.648638802,-0.151805469,-0.80745551,-0.019278275,-0.339505096,-0.514665402,-0.128781184,-0.627904744,-0.020903365,,0
30,0.679958381,0.014670635,1.437127871,-0.471500763,2.133464429,-0.341902768,-0.584538327,-0.120996392,-0.757802569,0.004925332,-0.556743664,-1.310524178,0.214218911,-1.9396389,0.810399207,-0.399592381,-0.63622043,-0.148039522,-0.794908927,-0.017066268,-0.339849162,-0.51606067,-0.127229181,-0.629218865,-0.021507888,,0
31,0.629524443,-0.011424136,1.37544932,-0.489985042,2.084936462,-0.330808527,-0.572829745,-0.115384183,-0.747429714,0.006389886,-0.535200922,-1.287183946,0.22404462,-1.906618926,0.806710425,-0.388369878,-0.622659844,-0.141884517,-0.781368428,-0.011228129,-0.33799298,-0.516621054,-0.125388941,-0.630682365,-0.021146253,,0
32,0.584900583,-0.034670059,1.322500268,-0.508824699,2.02417829,-0.321018325,-0.561143836,-0.109292806,-0.73701823,0.009455551,-0.513345672,-1.262469407,0.227366091,-1.887815882,0.800852299,-0.375483991,-0.608615699,-0.136144157,-0.764845449,-0.004122691,-0.33483149,-0.515883312,-0.123811881,-0.629103581,-0.019126954,,0
33,0.5412477,-0.053909743,1.272283629,-0.531474182,1.964925954,-0.311556396,-0.546911156,-0.105218264,-0.729160265,0.011302438,-0.492885158,-1.233196201,0.235385038,-1.86623546,0.800060789,-0.362003654,-0.593287172,-0.129376329,-0.749172653,-0.001147012,-0.330017492,-0.513369009,-0.121072815,-0.624648057,-0.017219103,,0
34,0.501840286,-0.082620218,1.221479528,-0.555737833,1.914633722,-0.300847101,-0.536851146,-0.101373049,-0.719635254,0.012472639,-0.47737988,-1.21203592,0.235541737,-1.842146667,0.800594371,-0.348197712,-0.577053059,-0.122369251,-0.733445738,0.003661004,-0.324643648,-0.508281404,-0.118467111,-0.621702223,-0.014807485,,0
35,0.460777719,-0.103906727,1.176660937,-0.577239943,1.857587818,-0.290895512,-0.526944286,-0.096546759,-0.708449024,0.013966883,-0.459178714,-1.191335989,0.238762474,-1.818863802,0.805918162,-0.334801426,-0.562113516,-0.115320685,-0.719157483,0.007253039,-0.320191659,-0.502245442,-0.116775262,-0.619921132,-0.011206073,,0
36,0.430793291,-0.124479146,1.137705147,-0.584760175,1.803230391,-0.282305577,-0.51687999,-0.091197199,-0.696371867,0.013832021,-0.44482777,-1.176826676,0.249397258,-1.802112747,0.806295895,-0.321688233,-0.547569939,-0.108933022,-0.7065331,0.010601534,-0.31407431,-0.494380736,-0.114349072,-0.612879619,-0.006614062,,0
37,0.393607067,-0.144049326,1.091905825,-0.602129451,1.749170539,-0.274836102,-0.505195137,-0.085804195,-0.688482771,0.017260496,-0.428967655,-1.158701626,0.26282778,-1.785110441,0.820143896,-0.308611284,-0.532467265,-0.10264403,-0.692659887,0.013698243,-0.306628818,-0.484989711,-0.110187037,-0.606595094,-0.003608852,,0
38,0.363410276,-0.166677627,1.046825294,-0.624369638,1.704029121,-0.264922765,-0.494175233,-0.081166974,-0.677776202,0.018324589,-0.411916621,-1.142657426,0.272455913,-1.777365094,0.819337303,-0.295167574,-0.517774219,-0.096717043,-0.676472189,0.017273135,-0.297766832,-0.476263075,-0.106566374,-0.599217289,-0.0012074,,0
39,0.333193119,-0.183293624,1.0011018,-0.650794338,1.651222908,-0.253387912,-0.48316976,-0.076339875,-0.665746675,0.019541788,-0.393794375,-1.124723967,0.279138522,-1.761993839,0.83783586,-0.281999524,-0.500730743,-0.089514289,-0.66309161,0.020210407,-0.288387725,-0.466913214,-0.101743062,-0.589278971,0.00317332,,0
40,0.305051603,-0.206265733,0.969614127,-0.670903454,1.612690711,-0.243522005,-0.47385737,-0.072113812,-0.654615586,0.022614347,-0.375689498,-1.105560561,0.286526483,-1.738885373,0.839539957,-0.268835749,-0.485757998,-0.082144582,-0.649875334,0.023747895,-0.280155447,-0.457404312,-0.098053913,-0.57867281,0.009565508,,0
41,0.279314685,-0.224904876,0.932854833,-0.69926104,1.559358501,-0.234159709,-0.462444279,-0.068670781,-0.64124408,0.024112485,-0.356631369,-1.092060212,0.295703332,-1.721784571,0.851936871,-0.255473018,-0.470452204,-0.076484515,-0.633187832,0.024780735,-0.270173122,-0.448159202,-0.093057904,-0.570394726,0.012454378,,0
42,0.249048194,-0.24296811,0.898469141,-0.719084075,1.526058223,-0.225164107,-0.451315992,-0.063833077,-0.634078932,0.026671505,-0.343757249,-1.072051277,0.309924073,-1.708000729,0.851272631,-0.242673821,-0.455943979,-0.069998124,-0.618483251,0.028750298,-0.260460673,-0.43852686,-0.088169449,-0.560938711,0.013718577,,0
43,0.223275617,-0.260888761,0.870815188,-0.74290018,1.495959137,-0.21679353,-0.43956536,-0.058102399,-0.627378277,0.028165275,-0.332980618,-1.058385186,0.319013298,-1.676427089,0.85106513,-0.231327501,-0.442370194,-0.063605304,-0.605738565,0.032257462,-0.250969457,-0.427954474,-0.082855809,-0.55093883,0.016351779,,0
44,0.198774026,-0.28387343,0.831182672,-0.767168124,1.460651377,-0.20788073,-0.429638555,-0.052671229,-0.614465025,0.029640656,-0.318760312,-1.043139392,0.334865077,-1.667836335,0.861844873,-0.219370065,-0.427918368,-0.057132667,-0.59399978,0.035154733,-0.241576423,-0.417628305,-0.078924116,-0.540583918,0.018813731,,0
45,0.173258985,-0.304101189,0.801030104,-0.781125252,1.43668728,-0.198691569,-0.419230214,-0.045956681,-0.605207432,0.031529019,-0.303253316,-1.026367929,0.340855775,-1.646424489,0.861316559,-0.209258129,-0.412448507,-0.05126511,-0.581155931,0.037843586,-0.232537659,-0.407420234,-0.073715848,-0.52777405,0.020597892,,0
46,0.15181891,-0.322199573,0.768115305,-0.795176536,1.410307035,-0.189995052,-0.408990682,-0.041681713,-0.597145093,0.035080394,-0.290118071,-1.00570721,0.349923522,-1.63049167,0.876348755,-0.198761503,-0.400191367,-0.044807859,-0.567354192,0.041858731,-0.223673294,-0.39688849,-0.068428221,-0.517591366,0.023819874,,0
47,0.130837721,-0.344117153,0.738179759,-0.815344124,1.371558241,-0.18112402,-0.397585589,-0.035922989,-0.58386417,0.039624185,-0.275989071,-0.985992856,0.357503749,-1.618660594,0.885448258,-0.188052872,-0.38709722,-0.040171745,-0.555695921,0.04372335,-0.214394133,-0.386044952,-0.062495386,-0.506489655,0.02683757,,0
48,0.114270498,-0.361555743,0.711385297,-0.831011938,1.340497643,-0.171802669,-0.387116926,-0.03123775,-0.576143004,0.042345036,-0.266025019,-0.965674499,0.364684786,-1.596520815,0.894168036,-0.178292373,-0.37633292,-0.034405185,-0.543866688,0.048561409,-0.204985427,-0.375045918,-0.057893252,-0.496896308,0.02854003,,0
49,0.096244532,-0.375461397,0.689427532,-0.839988583,1.3047765,-0.16251269,-0.37537717,-0.026053681,-0.568329771,0.04426751,-0.250211733,-0.944339152,0.378277832,-1.574796846,0.912629001,-0.16890842,-0.364200875,-0.028751465,-0.53001395,0.050948386,-0.195975391,-0.363774795,-0.053073598,-0.486500897,0.030151484,,0
50,0.079952635,-0.395647523,0.663607058,-0.843303718,1.271761711,-0.153522625,-0.364556481,-0.020821306,-0.557940793,0.048908023,-0.239053433,-0.923809041,0.390750719,-1.562370817,0.927556464,-0.160350138,-0.350907998,-0.02370499,-0.517572465,0.053410086,-0.186946337,-0.351671215,-0.04802159,-0.476162361,0.032121015,,0
51,0.066246848,-0.408870209,0.643209732,-0.859195764,1.232645809,-0.144763933,-0.353103949,-0.016489908,-0.548045816,0.052994264,-0.222075547,-0.908543249,0.402968657,-1.54661468,0.940394498,-0.151137577,-0.339403479,-0.019214385,-0.506594853,0.058022853,-0.177793409,-0.339829236,-0.043065693,-0.465330056,0.036061796,,0
52,0.051039048,-0.424981528,0.619549189,-0.885060705,1.209178746,-0.136353549,-0.342745658,-0.012450939,-0.539009124,0.057548162,-0.207456339,-0.886507501,0.412161864,-1.523745589,0.958752691,-0.143328891,-0.328743957,-0.014328581,-0.497641043,0.061926412,-0.169400785,-0.329538683,-0.038265448,-0.453641071,0.039312614,,0
53,0.037511443,-0.440947926,0.592340835,-0.908653869,1.173772933,-0.128310432,-0.332572428,-0.007394915,-0.527211395,0.061785015,-0.194038198,-0.866302946,0.42533381,-1.493964674,0.969940179,-0.135603537,-0.318931831,-0.009636906,-0.486379553,0.065594285,-0.161183966,-0.320390421,-0.033313256,-0.444125345,0.04386571,,0
54,0.026532566,-0.456663208,0.569633616,-0.921256224,1.139789567,-0.120774257,-0.323478347,-0.003041708,-0.516876921,0.068478703,-0.179534229,-0.849297591,0.435146667,-1.472601431,0.98246489,-0.1281527,-0.310271762,-0.005472687,-0.476978076,0.069276062,-0.152990398,-0.30975556,-0.028985575,-0.433112865,0.047011264,,0
55,0.016513482,-0.46949565,0.547735558,-0.939780944,1.111030429,-0.113690307,-0.313166428,0.000442096,-0.511127819,0.072407014,-0.164885164,-0.831825508,0.446786535,-1.457423022,0.993180303,-0.12103146,-0.301451007,-0.001759978,-0.467890207,0.074174406,-0.145186965,-0.299996612,-0.025258435,-0.423413913,0.049584238,,0
56,0.009134764,-0.485562862,0.530520397,-0.944003393,1.081545079,-0.106493048,-0.303923644,0.005439167,-0.502018878,0.077760679,-0.154294928,-0.81314327,0.463308696,-1.436345555,1.007119357,-0.113894396,-0.291117087,0.002510481,-0.460252194,0.078773923,-0.137215568,-0.291066509,-2.08E-02,-0.414391215,0.052626217,,0
57,0.00098636,-0.49070664,0.511155116,-0.968391629,1.057356909,-0.099384514,-0.294312522,0.01015644,-0.48909515,0.084174133,-0.143566254,-0.789510478,0.467932705,-1.420469675,1.023759373,-0.106782567,-0.281948241,0.006478052,-0.451610106,0.083632527,-0.129894736,-0.280613267,-0.016764835,-0.408084338,0.055462663,,0
58,-0.009720607,-0.498344433,0.495048658,-0.982557566,1.036754156,-0.092990612,-0.284157753,0.014602888,-0.477141064,0.087689234,-0.131005571,-0.768294971,0.475214725,-1.397825548,1.032234875,-0.099823932,-0.273851544,0.010488009,-0.440842628,0.089405099,-0.122408307,-0.272188874,-0.012670743,-0.399846513,0.060991878,,0
59,-0.017468301,-0.506210546,0.476664378,-0.993133567,1.014388765,-0.086449119,-0.275459889,0.018118092,-0.467105467,0.092360492,-0.118493916,-0.75313582,0.483740825,-1.375471147,1.05529244,-0.093164295,-0.265605405,0.014461955,-0.432324635,0.092072742,-0.116054509,-0.264783437,-0.009115406,-0.392540574,0.063486249,,0
60,-0.023098493,-0.515421915,0.455288964,-0.986741976,0.993434608,-0.080449091,-0.266117789,0.021163378,-0.459306672,0.096430231,-0.109534549,-0.732658665,0.491936284,-1.344799229,1.064769489,-0.087270993,-0.258181674,0.018149309,-0.424134506,0.09830695,-0.109796632,-0.257446543,-0.00549411,-0.385031922,0.067483118,,0
61,-0.029879615,-0.518556955,0.437329864,-0.989183962,0.970756195,-0.074143282,-0.258647657,0.024209069,-0.449694952,0.102358242,-0.097575842,-0.717248776,0.49941389,-1.322127318,1.072877083,-0.08095143,-0.252023128,0.02042437,-0.413667361,0.102459648,-0.103357686,-0.250348929,-0.001807399,-0.376232037,0.070133139,,0
