pre_tax,tax,earning,amount
43400,11536.55,after_childcare,21955.050000000003
43500,11579.55,before_childcare,34172.05
43500,11579.55,after_childcare,22012.050000000003
43600,11622.55,before_childcare,34229.05
43600,11622.55,after_childcare,22069.050000000003
43700,11665.55,before_childcare,34286.05
43700,11665.55,after_childcare,22126.050000000003
43800,11708.55,before_childcare,34343.05
43800,11708.55,after_childcare,22183.050000000003
43900,11751.55,before_childcare,34400.05
43900,11751.55,after_childcare,22240.050000000003
44000,11794.55,before_childcare,34457.05
44000,11794.55,after_childcare,22297.050000000003
44100,11837.55,before_childcare,34514.05
44100,11837.55,after_childcare,22354.050000000003
44200,11880.55,before_childcare,34571.05
44200,11880.55,after_childcare,22411.050000000003
44300,11923.55,before_childcare,34628.05
44300,11923.55,after_childcare,22468.050000000003
44400,11966.55,before_childcare,34685.05
44400,11966.55,after_childcare,22525.050000000003
44500,12009.55,before_childcare,34742.05
44500,12009.55,after_childcare,22582.050000000003
44600,12052.55,before_childcare,34799.05
44600,12052.55,after_childcare,22639.050000000003
44700,12095.55,before_childcare,34856.05
44700,12095.55,after_childcare,22696.050000000003
44800,12138.55,before_childcare,34913.05
44800,12138.55,after_childcare,22753.050000000003
44900,12181.55,before_childcare,34970.05
44900,12181.55,after_childcare,22810.050000000003
45000,12224.55,before_childcare,35027.049999999996
45000,12224.55,after_childcare,22867.049999999996
45100,12267.55,before_childcare,35084.049999999996
45100,12267.55,after_childcare,22924.049999999996
45200,12310.55,before_childcare,35141.049999999996
45200,12310.55,after_childcare,22981.049999999996
45300,12353.55,before_childcare,35198.049999999996
45300,12353.55,after_childcare,23038.049999999996
45400,12396.55,before_childcare,35255.049999999996
45400,12396.55,after_childcare,23095.049999999996
45500,12439.55,before_childcare,35312.049999999996
45500,12439.55,after_childcare,23152.049999999996
45600,12482.55,before_childcare,35369.049999999996
45600,12482.55,after_childcare,23209.049999999996
45700,12525.55,before_childcare,35426.049999999996
45700,12525.55,after_childcare,23266.049999999996
45800,12568.55,before_childcare,35483.049999999996
45800,12568.55,after_childcare,23323.049999999996
45900,12611.55,before_childcare,35540.049999999996
45900,12611.55,after_childcare,23380.049999999996
46000,12654.55,before_childcare,35597.049999999996
46000,12654.55,after_childcare,23437.049999999996
46100,12697.55,before_childcare,35654.049999999996
46100,12697.55,after_childcare,23494.049999999996
46200,12740.55,before_childcare,35711.049999999996
46200,12740.55,after_childcare,23551.049999999996
46300,12783.55,before_childcare,35768.049999999996
46300,12783.55,after_childcare,23608.049999999996
46400,12826.55,before_childcare,35825.049999999996
46400,12826.55,after_childcare,23665.049999999996
46500,12869.55,before_childcare,35882.049999999996
46500,12869.55,after_childcare,23722.049999999996
46600,12912.55,before_childcare,35939.049999999996
46600,12912.55,after_childcare,23779.049999999996
46700,12955.55,before_childcare,35996.049999999996
46700,12955.55,after_childcare,23836.049999999996
46800,12998.55,before_childcare,36053.05
46800,12998.55,after_childcare,23893.049999999996
46900,13041.55,before_childcare,36110.05
46900,13041.55,after_childcare,23950.049999999996
47000,13084.55,before_childcare,36167.05
47000,13084.55,after_childcare,24007.049999999996
47100,13127.55,before_childcare,36224.05
47100,13127.55,after_childcare,24064.049999999996
47200,13170.55,before_childcare,36281.05
47200,13170.55,after_childcare,24121.049999999996
47300,13213.55,before_childcare,36338.05
47300,13213.55,after_childcare,24178.049999999996
47400,13256.55,before_childcare,36395.05
47400,13256.55,after_childcare,24235.049999999996
47500,13299.55,before_childcare,36452.05
47500,13299.55,after_childcare,24292.049999999996
47600,13342.55,before_childcare,36509.05
47600,13342.55,after_childcare,24349.049999999996
47700,13385.55,before_childcare,36566.05
47700,13385.55,after_childcare,24406.049999999996
47800,13428.55,before_childcare,36623.05
47800,13428.55,after_childcare,24463.049999999996
47900,13471.55,before_childcare,36680.05
47900,13471.55,after_childcare,24520.049999999996
48000,13514.55,before_childcare,36737.05
48000,13514.55,after_childcare,24577.049999999996
48100,13557.55,before_childcare,36794.05
48100,13557.55,after_childcare,24634.049999999996
48200,13600.55,before_childcare,36851.05
48200,13600.55,after_childcare,24691.049999999996
48300,13643.55,before_childcare,36908.05
48300,13643.55,after_childcare,24748.049999999996
48400,13686.55,before_childcare,36965.05
48400,13686.55,after_childcare,24805.049999999996
48500,13729.55,before_childcare,37022.05
48500,13729.55,after_childcare,24862.049999999996
48600,13772.55,before_childcare,37079.05
48600,13772.55,after_childcare,24919.049999999996
48700,13815.55,before_childcare,37136.05
48700,13815.55,after_childcare,24976.049999999996
48800,13858.55,before_childcare,37193.05
48800,13858.55,after_childcare,25033.049999999996
48900,13901.55,before_childcare,37250.05
48900,13901.55,after_childcare,25090.049999999996
49000,13944.55,before_childcare,37307.05
49000,13944.55,after_childcare,25147.049999999996
49100,13987.55,before_childcare,37364.05
49100,13987.55,after_childcare,25204.049999999996
49200,14030.55,before_childcare,37421.05
49200,14030.55,after_childcare,25261.049999999996
49300,14073.55,before_childcare,37478.05
49300,14073.55,after_childcare,25318.049999999996
49400,14116.55,before_childcare,37535.05
49400,14116.55,after_childcare,25375.049999999996
49500,14159.55,before_childcare,37592.05
49500,14159.55,after_childcare,25432.049999999996
49600,14202.55,before_childcare,37649.05
49600,14202.55,after_childcare,25489.049999999996
49700,14245.55,before_childcare,37706.05
49700,14245.55,after_childcare,25546.049999999996
49800,14288.55,before_childcare,37763.05
49800,14288.55,after_childcare,25603.049999999996
49900,14331.55,before_childcare,37820.05
49900,14331.55,after_childcare,25660.049999999996
50000,14374.55,before_childcare,37877.05
50000,14374.55,after_childcare,25717.049999999996
50100,14417.55,before_childcare,37934.05
50100,14417.55,after_childcare,25774.049999999996
50200,14460.55,before_childcare,37991.05
50200,14460.55,after_childcare,25831.049999999996
50300,14507.75,before_childcare,38043.85
50300,14507.75,after_childcare,25883.85
50400,14564.75,before_childcare,38086.85
50400,14564.75,after_childcare,25926.85
50500,14621.75,before_childcare,38129.85
